rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,set,match_id,rally_id
1,1,0:07:39,11496.0,1.0,0.0,Kento MOMOTA,1.0,發短球,,1.0,2.0,7.0,,,1.0,7.0,-13.017406188646248,97.30475147399534,,,,,8.0,3.487739755138108,-152.0604922752293,8.0,-28.982694994521523,171.45143742347568,0.0,1,23.0,0
1,2,00:07:43,11582.0,1.0,0.0,CHOU Tien Chen,3.0,長球,,1.0,2.0,7.0,164.48259381135375,382.6952485260047,2.0,10.0,-80.12198870902193,341.47383969546354,出界,對手出界,A,,8.0,26.094856266596565,-125.055028432786,8.0,2.1373214429062273,176.91145684600383,0.0,1,23.0,0
2,1,0:07:55,11881.0,2.0,0.0,Kento MOMOTA,1.0,發短球,,1.0,2.0,7.0,,,2.0,8.0,48.712109580511765,120.0342520441086,,,,,8.0,-12.18889027880698,-147.1755759960855,8.0,54.39942084335016,170.6314341582614,0.0,1,23.0,1
2,2,0:07:56,11900.0,2.0,0.0,CHOU Tien Chen,2.0,推撲球,,1.0,1.0,8.0,226.21210958051176,359.9657479558914,2.0,8.0,55.28930756912638,273.06771675251184,,,,,8.0,-19.961519272921237,-126.76987003285558,8.0,2.1288897289565796,173.84052594799812,0.0,1,23.0,1
2,3,0:07:56,11921.0,2.0,0.0,Kento MOMOTA,2.0,殺球,,0.0,2.0,8.0,122.21069243087364,753.0677167525118,1.0,8.0,-23.322416504814356,217.6817714846568,,,,,8.0,-41.20869428983255,-253.95741954411187,8.0,-10.310415216566014,205.77757640420464,0.0,1,23.0,1
2,4,0:07:57,11934.0,2.0,0.0,CHOU Tien Chen,2.0,接殺防守,,1.0,1.0,8.0,154.17758349518564,262.31822851534326,2.0,7.0,57.171216600484,45.58346832915947,,,,,8.0,26.556251384761424,-232.02732486163995,8.0,28.132056253032488,240.03359035007338,0.0,1,23.0,1
2,5,0:07:58,11952.0,2.0,0.0,Kento MOMOTA,2.0,推撲球,,0.0,2.0,7.0,120.328783399516,525.5834683291595,1.0,8.0,3.8442621572920928,207.97967355951937,,,,,8.0,-41.073038033361115,-146.93359569811844,8.0,-22.64722241190728,210.59396707428004,0.0,1,23.0,1
2,6,0:07:58,11965.0,2.0,0.0,CHOU Tien Chen,3.0,平球,,0.0,2.0,8.0,181.3442621572921,272.02032644048063,1.0,10.0,-163.66200695983542,342.09972534350186,未過網,對手未過網,A,,8.0,-0.6897672761186868,-187.114337508713,8.0,18.61388206226158,169.07571079308002,0.0,1,23.0,1
3,1,0:08:11,12298.0,2.0,1.0,Kento MOMOTA,1.0,發短球,,1.0,2.0,7.0,,,1.0,8.0,-21.141843058703415,173.63808648024337,,,,,8.0,2.955124272257109,-156.78235386756228,8.0,-32.669308747462736,176.0206556830767,0.0,1,23.0,2
3,2,0:08:12,12313.0,2.0,1.0,CHOU Tien Chen,2.0,網前球,,1.0,1.0,8.0,156.35815694129658,306.3619135197566,2.0,7.0,58.07326367851363,104.40257702345377,,,,,8.0,42.07143079586905,-127.36737622505996,8.0,15.665805849170198,159.76326271133496,0.0,1,23.0,2
3,3,0:08:13,12331.0,2.0,1.0,Kento MOMOTA,2.0,挑球,,0.0,2.0,7.0,119.42673632148636,584.4025770234538,1.0,3.0,-77.3395129810756,297.0012770225985,,,,,7.0,-66.10687166277722,-97.61832942153637,8.0,-25.87197921930425,162.41733775199145,0.0,1,23.0,2
3,4,0:08:14,12362.0,2.0,1.0,CHOU Tien Chen,2.0,殺球,,0.0,1.0,3.0,100.1604870189244,182.9987229774015,2.0,8.0,-34.93577566357857,186.35921863483986,,,,,9.0,52.568002238289296,-281.50928989595764,8.0,15.927926560487066,200.95572057711138,0.0,1,23.0,2
3,5,0:08:14,12372.0,2.0,1.0,Kento MOMOTA,2.0,接殺防守,,1.0,1.0,8.0,212.43577566357857,666.3592186348399,2.0,7.0,69.80088783415016,102.8201609429193,,,,,8.0,-10.51050210473042,-211.343816567084,9.0,-49.151016462791716,301.8356312722848,0.0,1,23.0,2
3,6,0:08:16,12400.0,2.0,1.0,CHOU Tien Chen,2.0,挑球,,1.0,2.0,7.0,247.30088783415016,377.1798390570807,1.0,8.0,61.32662686826146,274.3753330453136,,,,,8.0,-47.551844090793566,-141.74487742402903,8.0,-18.9408589146299,196.765319034801,0.0,1,23.0,2
3,7,0:08:17,12429.0,2.0,1.0,Kento MOMOTA,2.0,殺球,,0.0,1.0,8.0,116.17337313173854,754.3753330453136,2.0,8.0,-71.13013521794193,204.04642734733284,,,,,9.0,-27.377083750439652,-294.672606153649,8.0,-6.00734766745353,201.06368469363656,0.0,1,23.0,2
3,8,0:08:17,12446.0,2.0,1.0,CHOU Tien Chen,2.0,接殺防守,,0.0,1.0,8.0,106.36986478205807,275.9535726526672,2.0,7.0,69.4801603839762,47.26319145650075,,,,,8.0,48.007438459254956,-185.30123590610287,8.0,25.793287669386586,235.79433599198023,0.0,1,23.0,2
3,9,0:08:18,12465.0,2.0,1.0,Kento MOMOTA,2.0,網前球,,0.0,1.0,7.0,108.0198396160238,527.2631914565007,2.0,2.0,75.85013103803479,94.36959357507271,,,,,8.0,-67.12154085948826,-168.6742031987477,8.0,-27.432478819296335,196.62767427018343,0.0,1,23.0,2
3,10,0:08:19,12492.0,2.0,1.0,CHOU Tien Chen,2.0,網前球,,1.0,1.0,2.0,253.3501310380348,385.6304064249273,2.0,1.0,-75.00524392542755,25.015445892109597,,,,,7.0,-49.47484537147619,-86.29959468366849,8.0,-7.881212195316891,169.29501598777995,0.0,1,23.0,2
3,11,0:08:20,12516.0,2.0,1.0,Kento MOMOTA,2.0,挑球,,1.0,2.0,1.0,252.50524392542755,505.0154458921096,1.0,3.0,-92.9960353499616,286.98151118149235,,,,,7.0,55.66738088309731,-78.20790779583865,8.0,52.90803494980548,141.69291268342772,0.0,1,23.0,2
3,12,0:08:22,12560.0,2.0,1.0,CHOU Tien Chen,2.0,殺球,,0.0,1.0,3.0,84.5039646500384,193.0184888185077,2.0,8.0,-50.91416639738969,168.10293168141902,,,,,8.0,46.0897344369794,-276.41350540895996,8.0,6.614419710466592,228.79950899885387,0.0,1,23.0,2
3,13,0:08:23,12577.0,2.0,1.0,Kento MOMOTA,2.0,接殺防守,,1.0,1.0,8.0,228.4141663973897,648.102931681419,2.0,8.0,67.36698084308867,130.64288701306134,,,,,8.0,55.93080577210267,-205.98830698037477,8.0,-17.36420913231268,261.1775606620215,0.0,1,23.0,2
