rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,set,match_id,rally_id
1,1,0:07:39,11496.0,1.0,0.0,Kento MOMOTA,1.0,發短球,,1.0,2.0,7.0,,,1.0,7.0,-0.12826105108105182,-0.4390872472603921,,,,,8.0,0.07302121652607449,0.859690063933486,8.0,-0.32295969505514055,-0.8252679032472692,0.0,1,23,0
1,2,00:07:43,11582.0,1.0,0.0,CHOU Tien Chen,3.0,長球,,1.0,2.0,7.0,164.48259381135375,382.6952485260047,2.0,10.0,1.007585228158804,1.8462179150805393,出界,對手出界,A,,8.0,-0.28774214959264105,-0.5836199397540934,8.0,0.004422909232850887,0.9891221710729367,0.0,1,23,0
2,1,0:07:55,11881.0,2.0,0.0,Kento MOMOTA,1.0,發短球,,1.0,2.0,7.0,,,2.0,8.0,0.6245379217135582,-0.5574700627297323,,,,,8.0,-0.11815719852203634,0.8342477916462787,8.0,0.6938953761384166,-0.8209970529076115,0.0,1,23,1
2,2,0:07:56,11900.0,2.0,0.0,CHOU Tien Chen,2.0,推撲球,,1.0,1.0,8.0,226.21210958051176,359.9657479558914,2.0,8.0,-0.6437720435259313,1.4899360247526658,,,,,8.0,0.2739209667429419,-0.5925514064211225,8.0,0.004525735012724639,0.9731277393124902,0.0,1,23,1
2,3,0:07:56,11921.0,2.0,0.0,Kento MOMOTA,2.0,殺球,,0.0,2.0,8.0,122.21069243087364,753.0677167525118,1.0,8.0,-0.253931908595297,-1.0660508931492538,,,,,8.0,-0.4720572474369823,1.3904032267922493,8.0,-0.0952489660556831,-1.0040498771052329,0.0,1,23,1
2,4,0:07:57,11934.0,2.0,0.0,CHOU Tien Chen,2.0,接殺防守,,1.0,1.0,8.0,154.17758349518564,262.31822851534326,2.0,7.0,-0.666722153664439,0.3051222308810389,,,,,8.0,-0.29336891932635883,-1.1407673169877084,8.0,-0.3125860518662498,1.317883283073299,0.0,1,23,1
2,5,0:07:58,11952.0,2.0,0.0,Kento MOMOTA,2.0,推撲球,,0.0,2.0,7.0,120.328783399516,525.5834683291595,1.0,8.0,0.07736905069868406,-1.0155191331224966,,,,,8.0,-0.4704029028458673,0.8329874775943669,8.0,-0.24569783429155218,-1.0291352451785423,0.0,1,23,1
2,6,0:07:58,11965.0,2.0,0.0,CHOU Tien Chen,3.0,平球,,0.0,2.0,8.0,181.3442621572921,272.02032644048063,1.0,10.0,2.0263659385345782,1.8494777361640722,未過網,對手未過網,A,,8.0,0.03889960092827667,-0.9068455078578802,8.0,-0.19651075685684855,0.9483109937139584,0.0,1,23,1
3,1,0:08:11,12298.0,2.0,1.0,Kento MOMOTA,1.0,發短球,,1.0,2.0,7.0,,,1.0,8.0,-0.2273395494963831,-0.8366567004179343,,,,,8.0,0.06652590575923303,0.8842830930602202,8.0,-0.36791839935930165,-0.8490659150160242,0.0,1,23,2
3,2,0:08:12,12313.0,2.0,1.0,CHOU Tien Chen,2.0,網前球,,1.0,1.0,8.0,156.35815694129658,306.3619135197566,2.0,7.0,-0.6777227277867517,0.6114717553304884,,,,,8.0,-0.4825784243398664,-0.5956634178388539,8.0,-0.16055860791670973,0.8998086599548696,0.0,1,23,2
3,3,0:08:13,12331.0,2.0,1.0,Kento MOMOTA,2.0,挑球,,0.0,2.0,7.0,119.42673632148636,584.4025770234538,1.0,3.0,-0.9126769875740927,-1.479173317826034,,,,,7.0,-0.7756935568631369,0.5761371324038352,8.0,-0.28502413682078354,-0.7782153007916218,0.0,1,23,2
3,4,0:08:14,12362.0,2.0,1.0,CHOU Tien Chen,2.0,殺球,,0.0,1.0,3.0,100.1604870189244,182.9987229774015,2.0,8.0,0.4565338495558362,1.0383292637231243,,,,,9.0,-0.6105853931498693,-1.3984858848747794,8.0,-0.16375520195715934,1.1143527113391218,0.0,1,23,2
3,5,0:08:14,12372.0,2.0,1.0,Kento MOMOTA,2.0,接殺防守,,1.0,1.0,8.0,212.43577566357857,666.3592186348399,2.0,7.0,0.8817181443189044,-0.4678133382443714,,,,,8.0,-0.09768905005768806,1.1684573779535625,9.0,-0.568914834912094,-1.5043522462098167,0.0,1,23,2
3,6,0:08:16,12400.0,2.0,1.0,CHOU Tien Chen,2.0,挑球,,1.0,2.0,7.0,247.30088783415016,377.1798390570807,1.0,8.0,-0.7173978886373349,1.496746526277675,,,,,8.0,0.6103883425706532,-0.6705462365834842,8.0,0.2614738892028037,1.0925277033062553,0.0,1,23,2
3,7,0:08:17,12429.0,2.0,1.0,Kento MOMOTA,2.0,殺球,,0.0,1.0,8.0,116.17337313173854,754.3753330453136,2.0,8.0,-0.8369528685114869,-0.9950334757673582,,,,,9.0,-0.30337907012731286,1.6024614903835885,8.0,-0.042772532529921095,-0.9794983577793571,0.0,1,23,2
3,8,0:08:17,12446.0,2.0,1.0,CHOU Tien Chen,2.0,接殺防守,,0.0,1.0,8.0,106.36986478205807,275.9535726526672,2.0,7.0,-0.8168312241948317,0.3138707888359414,,,,,8.0,-0.5549687616982312,-0.8974022703442858,8.0,-0.28406448377300714,1.2958038332915638,0.0,1,23,2
3,9,0:08:18,12465.0,2.0,1.0,Kento MOMOTA,2.0,網前球,,0.0,1.0,7.0,108.0198396160238,527.2631914565007,2.0,2.0,0.9554894029028633,-0.42379996653683705,,,,,8.0,-0.788067571457174,0.946219808326811,8.0,-0.3040546197475163,-0.9563941368238721,0.0,1,23,2
3,10,0:08:19,12492.0,2.0,1.0,CHOU Tien Chen,2.0,網前球,,1.0,1.0,2.0,253.3501310380348,385.6304064249273,2.0,1.0,0.9451859015296042,0.19799711402140416,,,,,7.0,0.6338395777009291,-0.38176872231077336,8.0,0.12660014872337672,0.9494532082696873,0.0,1,23,2
3,11,0:08:20,12516.0,2.0,1.0,Kento MOMOTA,2.0,挑球,,1.0,2.0,1.0,252.50524392542755,505.0154458921096,1.0,3.0,-1.1036101871946538,-1.4269870374036058,,,,,7.0,0.7093583034524062,0.47504118643665966,8.0,0.6757077432903108,-0.6702755868928524,0.0,1,23,2
3,12,0:08:22,12560.0,2.0,1.0,CHOU Tien Chen,2.0,殺球,,0.0,1.0,3.0,84.5039646500384,193.0184888185077,2.0,8.0,0.6513922731388987,0.943244435840724,,,,,8.0,-0.5315821272802366,-1.3719453406716664,8.0,-0.050175850127641364,1.2593724427023638,0.0,1,23,2
3,13,0:08:23,12577.0,2.0,1.0,Kento MOMOTA,2.0,接殺防守,,1.0,1.0,8.0,228.4141663973897,648.102931681419,2.0,8.0,0.8520363517449838,-0.6127233698596944,,,,,8.0,0.7125708020988131,1.1405640988561185,8.0,-0.1812708430769839,-1.2925914617813623,0.0,1,23,2
3,14,0:08:24,12602.0,2.0,1.0,CHOU Tien Chen,2.0,挑球,,1.0,2.0,8.0,244.86698084308867,349.35711298693866,1.0,8.0,-0.7922144239702014,1.4894415109235493,,,,,8.0,0.7321835403122325,-0.5570285995211472,8.0,0.3837500935212668,1.0459583804195471,0.0,1,23,2
3,15,0:08:25,12631.0,2.0,1.0,Kento MOMOTA,2.0,切球,,0.0,2.0,8.0,110.03841723444349,752.9727700973215,1.0,8.0,-0.71545651706881,-0.6305046341288602,,,,,9.0,-0.6225732840317649,1.5461022327820917,8.0,-0.14706326356956334,-0.9316239302548471,0.0,1,23,2
3,16,0:08:26,12655.0,2.0,1.0,CHOU Tien Chen,2.0,平球,,0.0,2.0,8.0,116.33256560035758,345.94311024725886,1.0,8.0,0.6116550092291079,0.9832716217308443,,,,,8.0,-0.557496167185253,-0.6525677165918896,8.0,-0.35113429357857256,1.220769620900293,0.0,1,23,2
3,17,0:08:26,12670.0,2.0,1.0,Kento MOMOTA,2.0,接殺防守,,1.0,2.0,8.0,225.15571075678685,655.7881513723221,1.0,9.0,-0.7306476238991263,-1.4517860475089712,,,,,8.0,0.35811477708976136,1.0772575966043536,8.0,0.10468606024514454,-0.83526070533199,0.0,1,23,2
3,18,0:08:28,12702.0,2.0,1.0,CHOU Tien Chen,2.0,長球,,0.0,2.0,9.0,115.08689484027164,188.25707887827755,1.0,4.0,-0.8996145373419322,1.5521421788785918,,,,,8.0,-0.6800260351643707,-1.256279810104488,8.0,-0.17559395055583663,1.1220512263182758,0.0,1,23,2
3,19,0:08:29,12735.0,2.0,1.0,Kento MOMOTA,2.0,長球,,0.0,2.0,4.0,101.23160793796156,765.0112983446896,1.0,9.0,-0.8363351392093098,-1.3994824716381806,,,,,9.0,-0.8033164550535341,1.5524607047601957,8.0,-0.10975800763557131,-0.9194562362611908,0.0,1,23,2
3,20,0:08:30,12766.0,2.0,1.0,CHOU Tien Chen,2.0,殺球,,0.0,1.0,9.0,106.4205185848366,198.29936544546933,2.0,8.0,0.6609114030279711,1.0469282210114492,,,,,9.0,-0.806111421250918,-1.4124939461358494,8.0,-0.20487948154445754,1.1527650551400523,0.0,1,23,2
3,21,0:08:31,12783.0,2.0,1.0,Kento MOMOTA,2.0,接殺防守,,1.0,1.0,8.0,229.19473504829364,668.0102184341982,2.0,2.0,0.9670554358116146,-0.4674662002685646,,,,,8.0,0.5777419997599522,1.0308554833423258,9.0,-0.4976310967742827,-1.4906654070125398,0.0,1,23,2
3,22,0:08:32,12810.0,2.0,1.0,CHOU Tien Chen,2.0,挑球,,1.0,2.0,2.0,254.2985457365524,377.2464895484356,1.0,4.0,-0.987528392545132,1.6682759745069866,,,,,8.0,0.6452906810128615,-0.5462221291282038,8.0,0.44493618960437165,1.0303899840123052,0.0,1,23,2
3,23,0:08:33,12847.0,2.0,1.0,Kento MOMOTA,2.0,長球,,0.0,2.0,4.0,94.02267181129918,787.3089871053414,1.0,3.0,-1.1779743457182723,-1.4670448167192507,,,,,9.0,-0.4956700286677623,1.683350320709226,8.0,-0.013061831077317404,-0.9190466581779783,0.0,1,23,2
3,24,0:08:35,12875.0,2.0,1.0,CHOU Tien Chen,2.0,殺球,,0.0,1.0,3.0,78.40610365110167,185.32739518990385,2.0,8.0,-0.8133676629954468,1.135278052133323,,,,,5.0,-0.9829997109201898,-1.2960994728192812,8.0,-0.2327677188444911,1.2362462047909126,0.0,1,23,2
3,25,0:08:35,12886.0,2.0,1.0,Kento MOMOTA,2.0,接殺防守,,0.0,2.0,8.0,108.30385163437336,684.973386009598,1.0,5.0,-0.9613808022908463,-0.6315194174983958,,,,,8.0,-0.2386581702126307,1.2362260181325002,3.0,-1.457362601582591,-1.5083096895027992,0.0,1,23,2
3,26,0:08:36,12913.0,2.0,1.0,CHOU Tien Chen,2.0,推撲球,,0.0,2.0,5.0,96.1667742121506,345.748271840308,1.0,9.0,0.7972494320573882,1.5716234270962282,,,,,8.0,-0.6944852389371915,-0.641763327791752,8.0,-0.5160610335496281,1.1208698334801774,0.0,1,23,2
3,27,00:08:37,12942.0,2.0,1.0,Kento MOMOTA,3.0,切球,,1.0,2.0,9.0,240.37445342870583,768.7516980024758,2.0,2.0,1.0758695741575415,0.16013420065072945,掛網,對手掛網,B,,6.0,0.934935427240189,1.5092855525996995,8.0,0.33963112173799664,-1.0021940377416838,0.0,1,23,2
4,1,0:08:57,13434.0,3.0,1.0,CHOU Tien Chen,1.0,發短球,,1.0,2.0,7.0,,,1.0,8.0,-0.6659104579862398,0.689207112896891,,,,,8.0,0.14849407873308723,-0.8115260507762526,8.0,-0.4374759701417468,1.0114498091076385,0.0,1,23,3
4,2,0:08:58,13456.0,3.0,1.0,Kento MOMOTA,2.0,網前球,,1.0,1.0,8.0,120.39534244512834,599.3277656762031,2.0,5.0,-0.985051004184678,-0.5752657722215782,,,,,8.0,-0.6327900784181432,0.8074982932721415,8.0,-0.02791225392772875,-0.9311187030386906,0.0,1,23,3
4,3,0:08:59,13478.0,3.0,1.0,CHOU Tien Chen,2.0,網前球,,0.0,1.0,5.0,94.2258176568564,356.548971733457,2.0,2.0,-0.8999203085705505,0.4056787497390785,,,,,7.0,-0.7392012728432237,-0.45248806555185794,8.0,-0.34866508729359746,0.9558247849703712,0.0,1,23,3
4,4,0:09:00,13502.0,3.0,1.0,Kento MOMOTA,2.0,網前球,,0.0,2.0,2.0,101.20653469721486,544.8903199499031,1.0,1.0,-0.9884397618396483,-0.239507382165178,,,,,2.0,-0.9374847732778291,0.5491266936132794,8.0,-0.5290457038160751,-0.6638458825474265,0.0,1,23,3
4,5,0:09:00,13516.0,3.0,1.0,CHOU Tien Chen,2.0,推撲球,,0.0,1.0,1.0,93.94793952914884,421.0145826242858,2.0,8.0,-0.4600150276856796,0.7914334521283356,,,,,7.0,-0.7501784541104687,-0.5075128965114916,8.0,-0.691675592174475,0.6805486172486036,0.0,1,23,3
4,6,0:09:00,13523.0,3.0,1.0,Kento MOMOTA,3.0,接殺防守,,1.0,1.0,8.0,137.27876772977427,618.9552228086404,2.0,8.0,0.9114662414233605,-1.2749557196583103,對手落地致勝,落地致勝,A,,8.0,-0.5857831930539733,0.7658320371195823,1.0,-1.0323627814266618,-0.12588498353226552,0.0,1,23,3
4,7,,,,,CHOU Tien Chen,,接不到,,,,,,,,,0.0,0.0,,,,,,0.0,-1.0,,0.0,1.0,,1,23,3
5,1,0:09:16,13923.0,3.0,2.0,Kento MOMOTA,1.0,發短球,,1.0,2.0,7.0,,,2.0,8.0,0.5871741658379867,-0.6478345917127921,,,,,8.0,-0.09339983546302633,0.842605501916528,8.0,0.7043004510171301,-0.7624253706426677,0.0,1,23,4
5,2,0:09:17,13947.0,3.0,2.0,CHOU Tien Chen,2.0,推撲球,,1.0,2.0,8.0,223.1482815987149,342.6157583911439,1.0,9.0,-0.8507509053206259,1.531396173495958,,,,,8.0,0.24577310549569845,-0.6152224844958045,8.0,0.07150730136007329,0.9653439889099301,0.0,1,23,4
5,3,0:09:18,13970.0,3.0,2.0,Kento MOMOTA,2.0,殺球,,0.0,1.0,9.0,105.23842576370868,761.0280653112239,2.0,8.0,-0.5464340871129908,-1.030421386278882,,,,,8.0,-0.5348743463240352,1.4973540935272656,8.0,-0.10274814291035045,-1.0040818796456845,0.0,1,23,4
5,4,0:09:19,13979.0,3.0,2.0,CHOU Tien Chen,2.0,接殺防守,,0.0,2.0,8.0,130.19240485673475,269.15909383445467,1.0,8.0,0.35577403330020035,1.245775909930396,,,,,8.0,-0.2768309561637924,-1.07850054959804,8.0,-0.5365165502316854,1.3756787798565078,0.0,1,23,4
5,5,0:09:20,14001.0,3.0,2.0,Kento MOMOTA,2.0,殺球,1.0,0.0,1.0,8.0,204.17347073061643,706.188974706636,2.0,8.0,0.6878801357804255,-1.049692103681287,,,,,8.0,0.2005274731785166,1.3196259672434756,8.0,-0.08021532882021527,-0.9918075747735561,0.0,1,23,4
5,6,0:09:20,14016.0,3.0,2.0,CHOU Tien Chen,2.0,接殺防守,,1.0,2.0,8.0,231.4061711339949,265.4591160931929,1.0,8.0,-0.7941990997031146,1.4681915259058282,,,,,8.0,0.3092246698939855,-0.9901474286687509,8.0,0.3402712056121766,1.200438325117874,0.0,1,23,4
5,7,0:09:21,14044.0,3.0,2.0,Kento MOMOTA,2.0,長球,,0.0,2.0,8.0,109.8756738243446,748.892772973919,1.0,3.0,-1.006459728815577,-1.3871194259666861,,,,,9.0,-0.5984467267665446,1.5670141350590612,8.0,-0.05775371457488458,-1.0038898671034016,0.0,1,23,4
