obs_ball_round,obs_serve,obs_player,act_ball_type,act_landing_location_x,act_landing_location_y,act_player_defend_x,act_player_defend_y
1,True,B,發短球,10.524415887581625,97.30474777993999,-82.67707040801037,-341.4738394092318
2,False,A,長球,82.67707040801037,500.4738394092318,0,-165
1,True,B,發短球,-51.24625397448128,120.0342485335828,52.82449983445936,-273.0677180280768
2,False,A,推球,-52.82449983445936,273.0677180280768,-20.83629601738852,-217.68176919928572
3,False,B,殺球,20.83629601738852,217.68176919928572,54.707663094866675,-45.583472297778826
4,False,A,擋小球,-54.707663094866675,45.583472297778826,6.348494267439662,-207.97967112071922
5,False,B,殺球,-6.348494267439662,207.97967112071922,-8.386007457971573,-353.4809265136719
6,False,A,平球,8.386007457971573,353.4809265136719,-40.18743717670441,-85.13996124267578
7,False,B,切球,40.18743717670441,85.13996124267578,110.27355313301086,-134.91598510742188
8,False,A,放小球,-110.27355313301086,134.91598510742188,-148.96979188919067,-126.40678405761719
9,False,B,挑球,148.96979188919067,126.40678405761719,-63.46122741699219,-167.13355255126953
10,False,A,挑球,63.46122741699219,167.13355255126953,-96.12929487228394,-193.03561401367188
11,False,B,長球,96.12929487228394,193.03561401367188,-95.93349361419678,-202.398681640625
12,False,A,長球,95.93349361419678,202.398681640625,-137.16628408432007,-100.08036041259766
13,False,B,切球,137.16628408432007,100.08036041259766,-20.979987382888794,-132.98843383789062
14,False,A,推球,20.979987382888794,132.98843383789062,-40.16372263431549,-116.72247314453125
15,False,B,切球,40.16372263431549,116.72247314453125,61.47519302368164,-252.5376739501953
16,False,A,挑球,-61.47519302368164,252.5376739501953,-31.551164865493774,-181.33043670654297
17,False,B,推球,31.551164865493774,181.33043670654297,146.00125122070312,-35.65742874145508
18,False,A,切球,-146.00125122070312,35.65742874145508,8.271524429321289,-181.1168212890625
19,False,B,放小球,-8.271524429321289,181.1168212890625,106.72309708595276,-206.52571868896484
20,False,A,挑球,-106.72309708595276,206.52571868896484,-50.71361970901489,-342.10848236083984
21,False,B,推球,50.71361970901489,342.10848236083984,-72.26627767086029,-124.83309936523438
22,False,A,長球,72.26627767086029,124.83309936523438,16.179758578538895,-122.65000915527344
23,False,B,長球,-16.179758578538895,122.65000915527344,-50.58926999568939,-134.12953567504883
24,False,A,挑球,50.58926999568939,134.12953567504883,-78.55621778964996,-88.00761032104492
25,False,B,擋小球,78.55621778964996,88.00761032104492,150.18429708480835,-423.2624206542969
26,False,A,推球,-150.18429708480835,423.2624206542969,-163.17808723449707,-336.0434112548828
27,False,B,長球,163.17808723449707,336.0434112548828,69.28284931182861,-309.5812530517578
28,False,A,殺球,-69.28284931182861,309.5812530517578,110.1721408367157,-127.68800735473633
29,False,B,擋小球,-110.1721408367157,127.68800735473633,15.272474378347397,-59.86491012573242
30,False,A,推球,-15.272474378347397,59.86491012573242,-15.83356499671936,-192.66538619995117
31,False,B,推球,15.83356499671936,192.66538619995117,-80.43731093406677,-57.56730270385742
32,False,A,放小球,80.43731093406677,57.56730270385742,-4.468576446175575,-5.555755615234375
33,False,B,推球,4.468576446175575,5.555755615234375,-35.42107820510864,-33.44162368774414
34,False,A,推球,35.42107820510864,33.44162368774414,38.85448157787323,-196.35565948486328
35,False,B,殺球,-38.85448157787323,196.35565948486328,-0.6065085232257843,-97.76498413085938
36,False,A,擋小球,0.6065085232257843,97.76498413085938,31.175996720790863,-190.26570892333984
37,False,B,擋小球,-31.175996720790863,190.26570892333984,12.648147702217102,37.14051055908203
38,False,A,挑球,-12.648147702217102,-37.14051055908203,31.88886994123459,-199.39683532714844
39,False,B,挑球,-31.88886994123459,199.39683532714844,-78.9513885974884,-265.2694549560547
40,False,A,殺球,78.9513885974884,265.2694549560547,104.93181347846985,-151.48461151123047
41,False,B,推球,-104.93181347846985,151.48461151123047,74.77506792545319,-178.9081268310547
42,False,A,長球,-74.77506792545319,178.9081268310547,120.36469221115112,-116.84748840332031
43,False,B,擋小球,-120.36469221115112,116.84748840332031,4.023356929421425,-223.37329864501953
44,False,A,挑球,-4.023356929421425,223.37329864501953,-41.80477678775787,-165.31208419799805
45,False,B,殺球,41.80477678775787,165.31208419799805,-137.63505697250366,-113.22655868530273
46,False,A,放小球,137.63505697250366,113.22655868530273,52.007020354270935,-39.253570556640625
47,False,B,挑球,-52.007020354270935,39.253570556640625,158.28102445602417,-137.29525756835938
48,False,A,殺球,-158.28102445602417,137.29525756835938,20.54793256521225,-126.3829116821289
49,False,B,切球,-20.54793256521225,126.3829116821289,-94.22427725791931,53.99357223510742
50,False,A,挑球,94.22427725791931,-53.99357223510742,-40.13537955284119,-256.40333557128906
51,False,B,長球,40.13537955284119,256.40333557128906,-135.76735591888428,-60.66359329223633
52,False,A,擋小球,135.76735591888428,60.66359329223633,27.602757215499878,-267.1540756225586
53,False,B,挑球,-27.602757215499878,267.1540756225586,-96.5937569141388,-67.39879608154297
54,False,A,長球,96.5937569141388,67.39879608154297,110.14135885238647,-159.79027557373047
55,False,B,切球,-110.14135885238647,159.79027557373047,0,-165
1,True,B,發短球,18.654268944755444,173.6380835545574,55.610311643103586,-104.40258066431954
2,False,A,放小球,-55.610311643103586,104.40258066431954,-74.88940489557764,-297.0012762539218
3,False,B,挑球,74.88940489557764,297.0012762539218,-37.460734048980726,-186.35922139038667
4,False,A,殺球,37.460734048980726,186.35922139038667,72.34909164765352,-102.82015728987085
5,False,B,平球,-72.34909164765352,102.82015728987085,-62.892547607421875,-100.13752746582031
6,False,A,放小球,62.892547607421875,100.13752746582031,87.89532923698425,-52.18902778625488
7,False,B,長球,-87.89532923698425,52.18902778625488,-18.907188773155212,-159.96781158447266
8,False,A,殺球,18.907188773155212,159.96781158447266,27.805068850517273,-147.0768051147461
9,False,B,切球,-27.805068850517273,147.0768051147461,-92.0924904346466,-87.45079040527344
10,False,A,推球,92.0924904346466,87.45079040527344,-73.66441404819489,-289.7993698120117
11,False,B,擋小球,73.66441404819489,289.7993698120117,113.54782176017761,-298.7598571777344
12,False,A,殺球,-113.54782176017761,298.7598571777344,59.965399861335754,-155.02196884155273
13,False,B,擋小球,-59.965399861335754,155.02196884155273,-101.76562881469727,-299.6796646118164
14,False,A,切球,101.76562881469727,299.6796646118164,-53.16942381858826,13.179916381835938
15,False,B,放小球,53.16942381858826,-13.179916381835938,-33.95585232973099,-273.6651153564453
16,False,A,放小球,33.95585232973099,273.6651153564453,-4.083126850426197,-317.4940948486328
17,False,B,放小球,4.083126850426197,317.4940948486328,7.347074434161186,-289.65294647216797
18,False,A,挑球,-7.347074434161186,289.65294647216797,20.067314743995667,-157.75725555419922
19,False,B,放小球,-20.067314743995667,157.75725555419922,-150.8094823360443,-92.98228073120117
20,False,A,放小球,150.8094823360443,92.98228073120117,160.56569981575012,-110.18953323364258
21,False,B,放小球,-160.56569981575012,110.18953323364258,31.559891641139984,-314.78607177734375
22,False,A,長球,-31.559891641139984,314.78607177734375,-18.30756801366806,-329.1199188232422
23,False,B,推球,18.30756801366806,329.1199188232422,42.187330186367035,-270.56282806396484
24,False,A,平球,-42.187330186367035,270.56282806396484,-35.14681392908096,-265.50555419921875
25,False,B,推球,35.14681392908096,265.50555419921875,-45.79394221305847,-165.1660270690918
26,False,A,殺球,45.79394221305847,165.1660270690918,43.65490221977234,-227.32913970947266
