rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:41:18,74366,0,1,A,1,發長球,,,2.0,,,,1.0,3,495.0,389.0,,,,,8,660.0,583.0,8,535.0,421.0,0
1,2,00:41:20,74422,0,1,B,2,過度切球,,,1.0,3,495.0,389.0,2.0,7,495.0,551.0,,,,,3,503.0,390.0,8,645.0,590.0,0
1,3,00:41:21,74443,0,1,A,2,放小球,,1.0,2.0,7,495.0,551.0,2.0,7,584.0,479.0,,,,,8,540.0,576.0,8,563.0,412.0,0
1,4,00:41:22,74476,0,1,B,2,推球,,,2.0,7,584.0,479.0,1.0,5,818.0,622.0,,,,,7,605.0,471.0,8,614.0,586.0,0
1,5,00:41:23,74505,0,1,A,2,後場抽平球,,,1.0,5,818.0,622.0,2.0,6,777.0,413.0,,,,,8,767.0,642.0,8,662.0,434.0,0
1,6,00:41:24,74521,0,1,B,2,防守回抽,,1.0,2.0,6,777.0,413.0,1.0,5,856.0,629.0,,,,,8,648.0,429.0,8,725.0,620.0,0
1,7,00:41:24,74548,0,1,A,2,過度切球,,,1.0,5,856.0,629.0,2.0,5,461.0,453.0,,,,,8,806.0,641.0,8,683.0,429.0,0
1,8,00:41:25,74578,0,1,B,2,放小球,,,2.0,5,461.0,453.0,2.0,2,406.0,541.0,,,,,8,529.0,446.0,8,624.0,601.0,0
1,9,00:41:26,74603,0,1,A,2,放小球,,1.0,2.0,2,406.0,541.0,2.0,1,432.0,476.0,,,,,6,428.0,559.0,8,553.0,444.0,0
1,10,00:41:27,74633,0,1,B,2,挑球,,,2.0,1,432.0,476.0,1.0,4,444.0,648.0,,,,,1,472.0,463.0,8,539.0,577.0,0
1,11,00:41:28,74668,0,1,A,2,點扣,1.0,,1.0,4,444.0,648.0,2.0,5,431.0,431.0,,,,,8,496.0,641.0,8,547.0,447.0,0
1,12,00:41:29,74691,0,1,B,2,擋小球,,,2.0,5,431.0,431.0,2.0,2,461.0,521.0,,,,,5,484.0,429.0,8,531.0,623.0,0
1,13,00:41:30,74719,0,1,A,2,放小球,,1.0,2.0,2,461.0,521.0,2.0,1,421.0,480.0,,,,,2,490.0,543.0,8,546.0,438.0,0
1,14,00:41:31,74749,0,1,B,2,挑球,,,2.0,1,421.0,480.0,1.0,8,490.0,633.0,,,,,1,459.0,472.0,8,524.0,558.0,0
1,15,00:41:33,74801,0,1,A,2,點扣,,,1.0,8,490.0,633.0,2.0,6,773.0,431.0,,,,,9,478.0,650.0,8,570.0,433.0,0
1,16,00:41:33,74819,0,1,B,2,防守回挑,,1.0,2.0,6,773.0,431.0,1.0,8,516.0,641.0,,,,,8,685.0,440.0,8,557.0,631.0,0
1,17,00:41:35,74854,0,1,A,2,點扣,1.0,,1.0,8,516.0,641.0,2.0,5,484.0,419.0,,,,,8,575.0,626.0,8,641.0,444.0,0
1,18,00:41:35,74872,0,1,B,2,防守回挑,,,2.0,5,484.0,419.0,1.0,4,392.0,646.0,,,,,8,551.0,426.0,8,574.0,625.0,0
1,19,00:41:37,74910,0,1,A,2,切球,1.0,,1.0,4,392.0,646.0,2.0,5,480.0,454.0,,,,,6,462.0,631.0,8,558.0,422.0,0
1,20,00:41:37,74935,0,1,B,2,勾球,,,2.0,5,480.0,454.0,2.0,7,773.0,520.0,,,,,8,513.0,452.0,9,511.0,649.0,0
1,21,00:41:38,74959,0,1,A,2,放小球,,,2.0,7,773.0,520.0,2.0,2,804.0,487.0,,,,,7,756.0,548.0,8,562.0,449.0,0
1,22,00:41:39,74991,0,1,B,2,挑球,,1.0,2.0,2,804.0,487.0,1.0,9,528.0,646.0,,,,,7,749.0,475.0,8,723.0,565.0,0
1,23,00:41:41,75036,0,1,A,2,長球,1.0,,1.0,9,528.0,646.0,1.0,8,524.0,417.0,,,,,9,571.0,648.0,8,649.0,438.0,0
1,24,00:41:42,75064,0,1,B,2,長球,,,1.0,8,524.0,417.0,1.0,8,500.0,635.0,,,,,8,520.0,415.0,8,578.0,630.0,0
1,25,00:41:43,75095,0,1,A,2,長球,1.0,,1.0,8,500.0,635.0,1.0,3,479.0,396.0,,,,,8,536.0,636.0,8,544.0,421.0,0
1,26,00:41:44,75135,0,1,B,2,切球,,,1.0,3,479.0,396.0,2.0,1,819.0,528.0,,,,,5,513.0,402.0,8,612.0,616.0,0
1,27,00:41:45,75162,0,1,A,2,放小球,,,2.0,1,819.0,528.0,2.0,2,850.0,483.0,,,,,8,769.0,564.0,8,568.0,406.0,0
1,28,00:41:46,75193,0,1,B,2,挑球,,1.0,2.0,2,850.0,483.0,1.0,3,879.0,656.0,,,,,2,793.0,468.0,8,708.0,567.0,0
1,29,00:41:48,75246,0,1,A,2,長球,,,1.0,3,879.0,656.0,1.0,6,787.0,397.0,,,,,3,819.0,660.0,8,692.0,443.0,0
1,30,00:41:49,75281,0,1,B,2,長球,1.0,,1.0,6,787.0,397.0,1.0,5,868.0,639.0,,,,,8,729.0,408.0,8,693.0,622.0,0
1,31,00:41:50,75315,0,1,A,2,過度切球,,,1.0,5,868.0,639.0,2.0,2,778.0,460.0,,,,,3,822.0,649.0,8,701.0,417.0,0
1,32,00:41:51,75340,0,1,B,2,放小球,,1.0,2.0,2,778.0,460.0,2.0,1,857.0,523.0,,,,,7,739.0,457.0,8,719.0,622.0,0
1,33,00:41:52,75368,0,1,A,2,放小球,,,2.0,1,857.0,523.0,2.0,2,835.0,479.0,,,,,1,814.0,539.0,8,704.0,444.0,0
1,34,00:41:53,75395,0,1,B,3,推球,,1.0,2.0,2,835.0,479.0,2.0,4,391.0,666.0,對手落地致勝,落地致勝,B,,7,777.0,475.0,8,784.0,561.0,0
2,1,00:42:20,76206,1,1,B,1,發長球,,,2.0,,,,1.0,4,449.0,648.0,,,,,8,645.0,448.0,8,516.0,621.0,0
2,2,00:42:22,76261,1,1,A,2,點扣,1.0,,1.0,4,449.0,648.0,2.0,5,450.0,424.0,,,,,4,442.0,658.0,8,606.0,433.0,0
2,3,00:42:22,76279,1,1,B,2,擋小球,,,2.0,5,450.0,424.0,2.0,2,433.0,521.0,,,,,8,520.0,424.0,8,504.0,635.0,0
2,4,00:42:23,76312,1,1,A,2,放小球,,1.0,2.0,2,433.0,521.0,2.0,1,431.0,482.0,,,,,2,454.0,541.0,8,560.0,429.0,0
2,5,00:42:24,76339,1,1,B,2,挑球,,,2.0,1,431.0,482.0,1.0,4,415.0,654.0,,,,,1,465.0,472.0,8,514.0,576.0,0
2,6,00:42:26,76392,1,1,A,2,點扣,1.0,,1.0,4,415.0,654.0,2.0,5,467.0,425.0,,,,,4,422.0,653.0,8,588.0,438.0,0
2,7,00:42:27,76412,1,1,B,2,擋小球,,,2.0,5,467.0,425.0,2.0,2,477.0,517.0,,,,,8,514.0,421.0,8,485.0,629.0,0
2,8,00:42:28,76442,1,1,A,2,推球,,1.0,2.0,2,477.0,517.0,1.0,8,711.0,402.0,,,,,7,498.0,549.0,8,555.0,441.0,0
