rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:32:32,58568,1,0,A,1,發短球,,1.0,2.0,,,,2.0,7,580.0,453.0,,,,,8,655.0,559.0,8,537.0,419.0,0
1,2,00:32:33,58591,1,0,B,2,勾球,,,2.0,7,580.0,453.0,2.0,1,805.0,505.0,,,,,8,602.0,443.0,8,647.0,577.0,0
1,3,00:32:33,58616,1,0,A,2,放小球,,,2.0,1,805.0,505.0,2.0,2,789.0,480.0,,,,,7,747.0,540.0,8,645.0,441.0,0
1,4,00:32:34,58642,1,0,B,2,推球,,1.0,2.0,2,789.0,480.0,1.0,6,468.0,602.0,,,,,7,746.0,474.0,8,724.0,546.0,0
1,5,00:32:35,58669,1,0,A,2,長球,1.0,,1.0,6,468.0,602.0,1.0,3,487.0,398.0,,,,,8,606.0,600.0,7,675.0,455.0,0
1,6,00:32:36,58698,1,0,B,2,過度切球,,,1.0,3,487.0,398.0,2.0,2,496.0,518.0,,,,,5,506.0,409.0,8,539.0,622.0,0
1,7,00:32:37,58720,1,0,A,2,勾球,,1.0,2.0,2,496.0,518.0,2.0,2,781.0,470.0,,,,,8,520.0,560.0,5,519.0,412.0,0
1,8,00:32:38,58747,1,0,B,2,放小球,,1.0,2.0,2,781.0,470.0,2.0,1,809.0,513.0,,,,,7,733.0,462.0,8,603.0,564.0,0
1,9,00:32:39,58775,1,0,A,2,挑球,,,2.0,1,809.0,513.0,1.0,3,514.0,393.0,,,,,7,776.0,537.0,7,678.0,455.0,0
1,10,00:32:40,58813,1,0,B,2,長球,,,1.0,3,514.0,393.0,1.0,6,451.0,598.0,,,,,8,531.0,405.0,8,660.0,574.0,0
1,11,00:32:41,58834,1,0,A,2,切球,1.0,,1.0,6,451.0,598.0,2.0,7,538.0,464.0,,,,,8,532.0,600.0,8,562.0,425.0,0
1,12,00:32:42,58865,1,0,B,3,挑球,,,2.0,7,538.0,464.0,2.0,13,861.0,683.0,出界,對手出界,A,,7,568.0,468.0,8,518.0,590.0,0
2,1,00:32:58,59365,2,0,A,1,發短球,,1.0,2.0,,,,2.0,8,698.0,446.0,,,,,8,606.0,580.0,8,692.0,434.0,0
2,2,00:32:59,59391,2,0,B,2,放小球,,1.0,2.0,8,698.0,446.0,2.0,1,823.0,522.0,,,,,8,673.0,447.0,8,631.0,573.0,0
2,3,00:33:00,59419,2,0,A,2,挑球,,,2.0,1,823.0,522.0,1.0,3,507.0,393.0,,,,,7,777.0,540.0,8,674.0,437.0,0
2,4,00:33:02,59465,2,0,B,2,過度切球,,,1.0,3,507.0,393.0,2.0,6,438.0,577.0,,,,,9,546.0,395.0,8,619.0,577.0,0
2,5,00:33:02,59481,2,0,A,2,勾球,,1.0,2.0,6,438.0,577.0,2.0,7,762.0,468.0,,,,,8,606.0,595.0,8,567.0,410.0,0
2,6,00:33:03,59509,2,0,B,2,放小球,,1.0,2.0,7,762.0,468.0,2.0,1,792.0,515.0,,,,,7,710.0,458.0,8,605.0,585.0,0
2,7,00:33:04,59536,2,0,A,2,挑球,,,2.0,1,792.0,515.0,1.0,9,565.0,392.0,,,,,7,764.0,539.0,8,699.0,449.0,0
2,8,00:33:06,59589,2,0,B,2,殺球,,,1.0,9,565.0,392.0,2.0,6,471.0,581.0,,,,,8,586.0,402.0,8,665.0,580.0,0
2,9,00:33:06,59603,2,0,A,2,擋小球,,1.0,2.0,6,471.0,581.0,2.0,5,440.0,449.0,,,,,8,670.0,576.0,8,562.0,401.0,0
2,10,00:33:07,59632,2,0,B,2,放小球,,,2.0,5,440.0,449.0,2.0,2,447.0,509.0,,,,,5,494.0,447.0,8,584.0,587.0,0
2,11,00:33:09,59670,2,0,A,2,放小球,,1.0,2.0,2,447.0,509.0,1.0,7,517.0,486.0,,,,,2,467.0,542.0,5,513.0,446.0,0
2,12,00:33:10,59704,2,0,B,3,撲球,,,1.0,7,517.0,486.0,2.0,7,738.0,525.0,犯規,對手犯規,A,,7,545.0,477.0,8,538.0,556.0,0
3,1,00:33:43,60699,2,1,A,3,發短球,,1.0,2.0,,,,,7,544.0,507.0,掛網,對手掛網,B,,8,649.0,580.0,8,543.0,431.0,0
4,1,00:34:07,61414,2,2,B,1,發短球,,1.0,2.0,,,,2.0,7,553.0,544.0,,,,,8,647.0,440.0,8,532.0,592.0,0
4,2,00:34:07,61436,2,2,A,2,勾球,,1.0,2.0,7,553.0,544.0,2.0,2,768.0,461.0,,,,,8,572.0,561.0,8,646.0,447.0,0
4,3,00:34:08,61459,2,2,B,2,推球,,1.0,2.0,2,768.0,461.0,2.0,5,869.0,629.0,,,,,7,699.0,454.0,8,642.0,582.0,0
4,4,00:34:09,61493,2,2,A,2,放小球,,,2.0,5,869.0,629.0,2.0,2,816.0,470.0,,,,,9,796.0,646.0,8,692.0,436.0,0
4,5,00:34:10,61522,2,2,B,2,放小球,,1.0,2.0,2,816.0,470.0,2.0,1,860.0,511.0,,,,,7,761.0,460.0,8,705.0,594.0,0
4,6,00:34:11,61550,2,2,A,2,挑球,,,2.0,1,860.0,511.0,1.0,3,508.0,396.0,,,,,1,810.0,526.0,8,719.0,449.0,0
