rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:30:34,55047,1,0,A,1,發長球,,,2,,,,1,9,544,289,,,,,8,656,503,8,573,308,0
1,2,00:30:36,55108,1,0,B,2,長球,,,1,9,544.0,289.0,1,3,808,597,,,,,3,539,290,8,651,501,0
1,3,00:30:38,55142,1,0,A,2,切球,,,1,3,808.0,597.0,2,6,780,344,,,,,9,763,599,8,629,320,0
1,4,00:30:38,55164,1,0,B,2,推球,,1.0,2,6,780.0,344.0,1,3,851,599,,,,,8,725,336,8,707,567,0
1,5,00:30:39,55192,1,0,A,2,長球,,,1,3,851.0,599.0,1,9,728,284,,,,,8,793,591,8,664,331,0
1,6,00:30:40,55223,1,0,B,2,點扣,,,1,9,728.0,284.0,2,5,791,522,,,,,8,704,294,8,705,539,0
1,7,00:30:41,55239,1,0,A,2,擋小球,,,2,5,791.0,522.0,1,8,667,339,,,,,8,704,529,8,689,300,0
1,8,00:30:42,55268,1,0,B,2,推球,,1.0,1,8,667.0,339.0,1,4,434,606,,,,,8,612,349,8,653,504,0
1,9,00:30:43,55303,1,0,A,2,長球,1.0,,1,4,434.0,606.0,1,9,708,285,,,,,9,526,606,8,610,324,0
1,10,00:30:44,55335,1,0,B,2,長球,1.0,,1,9,708.0,285.0,1,4,403,597,,,,,8,684,307,8,588,569,0
1,11,00:30:45,55368,1,0,A,2,長球,1.0,,1,4,403.0,597.0,1,3,515,284,,,,,8,532,572,8,642,311,0
1,12,00:30:46,55407,1,0,B,2,長球,,,1,3,515.0,284.0,1,6,403,581,,,,,3,529,290,8,584,517,0
1,13,00:30:47,55435,1,0,A,3,長球,1.0,,1,6,403.0,581.0,2,3,506,275,落點判斷失誤,對手落點判斷失誤,A,,8,511,560,8,578,302,0
2,1,00:31:12,56176,1,1,A,1,發長球,,,2,,,,1,9,724,283,,,,,8,618,506,8,698,309,0
2,2,00:31:14,56238,1,1,B,2,點扣,,,1,9,724.0,283.0,2,5,867,522,,,,,9,717,285,8,687,522,0
2,3,00:31:15,56257,1,1,A,2,擋小球,,,2,5,867.0,522.0,1,2,819,354,,,,,5,783,519,8,696,298,0
2,4,00:31:16,56286,1,1,B,2,推球,,1.0,1,2,819.0,354.0,1,3,878,622,,,,,6,784,351,8,720,512,0
2,5,00:31:17,56319,1,1,A,2,後場抽平球,,,1,3,878.0,622.0,1,6,808,344,,,,,3,814,615,8,690,330,0
2,6,00:31:18,56343,1,1,B,2,放小球,,1.0,1,6,808.0,344.0,2,1,800,444,,,,,6,763,347,8,708,561,0
2,7,00:31:19,56371,1,1,A,2,挑球,,,2,1,800.0,444.0,1,4,784,287,,,,,7,769,463,8,680,325,0
2,8,00:31:20,56407,1,1,B,2,殺球,1.0,,1,4,784.0,287.0,2,5,841,517,,,,,8,701,301,8,702,514,0
2,9,00:31:20,56422,1,1,A,2,擋小球,,,2,5,841.0,517.0,1,8,678,348,,,,,8,749,534,8,729,306,0
2,10,00:31:21,56449,1,1,B,2,推球,,,1,8,678.0,348.0,1,9,475,601,,,,,8,699,347,8,697,522,0
2,11,00:31:22,56475,1,1,A,2,長球,1.0,,1,9,475.0,601.0,1,9,730,283,,,,,8,624,570,8,638,331,0
2,12,00:31:23,56511,1,1,B,2,長球,,,1,9,730.0,283.0,1,9,758,627,,,,,8,686,296,8,645,546,0
2,13,00:31:25,56552,1,1,A,2,切球,,,1,9,758.0,627.0,2,6,780,331,,,,,9,721,633,8,638,307,0
2,14,00:31:25,56575,1,1,B,2,放小球,,1.0,2,6,780.0,331.0,2,1,812,423,,,,,6,754,338,8,669,586,0
2,15,00:31:26,56605,1,1,A,2,放小球,,,2,1,812.0,423.0,2,2,804,392,,,,,1,776,444,8,698,332,0
2,16,00:31:27,56632,1,1,B,2,放小球,,1.0,2,2,804.0,392.0,2,2,485,419,,,,,2,768,381,8,735,473,0
2,17,00:31:28,56661,1,1,A,3,放小球,,1.0,2,2,485.0,419.0,2,1,455,404,掛網,對手掛網,B,,7,518,434,7,716,356,0
3,1,00:31:50,57315,2,1,B,1,發短球,,,2,,,,2,8,563,481,,,,,8,648,323,8,507,550,0
3,2,00:31:51,57340,2,1,A,2,挑球,,1.0,2,8,563.0,481.0,1,3,508,279,,,,,8,573,494,8,633,321,0
3,3,00:31:52,57385,2,1,B,3,長球,,,1,3,508.0,279.0,2,13,417,650,出界,對手出界,A,,3,541,286,8,621,511,0
4,1,00:32:05,57762,2,2,A,1,發長球,,,2,,,,1,9,561,278,,,,,8,660,501,8,560,312,0
4,2,00:32:07,57823,2,2,B,2,切球,,,1,9,561.0,278.0,2,8,711,479,,,,,9,571,277,8,637,511,0
4,3,00:32:08,57843,2,2,A,2,小平球,,,2,8,711.0,479.0,1,8,622,332,,,,,8,678,501,8,596,303,0
4,4,00:32:08,57866,2,2,B,2,推球,,,1,8,622.0,332.0,1,3,804,605,,,,,8,664,343,8,660,501,0
4,5,00:32:09,57899,2,2,A,2,切球,,,1,3,804.0,605.0,2,5,502,350,,,,,9,776,609,8,640,330,0
4,6,00:32:10,57924,2,2,B,2,放小球,,,2,5,502.0,350.0,2,2,454,432,,,,,8,536,341,8,673,557,0
4,7,00:32:11,57953,2,2,A,2,放小球,,1.0,2,2,454.0,432.0,2,1,455,392,,,,,2,481,445,8,599,337,0
4,8,00:32:12,57983,2,2,B,2,挑球,,,2,1,455.0,392.0,1,4,440,639,,,,,1,483,375,7,529,471,0
4,9,00:32:14,58043,2,2,A,2,點扣,,,1,4,440.0,639.0,2,5,492,334,,,,,9,473,616,8,594,331,0
4,10,00:32:15,58063,2,2,B,2,防守回挑,,,2,5,492.0,334.0,1,9,510,616,,,,,5,527,323,8,547,592,0
4,11,00:32:16,58098,2,2,A,2,殺球,,,1,9,510.0,616.0,2,8,549,317,,,,,9,551,608,8,593,317,0
4,12,00:32:17,58123,2,2,B,2,防守回抽,,,2,8,549.0,317.0,1,6,431,555,,,,,8,584,318,8,611,584,0
4,13,00:32:18,58144,2,2,A,2,點扣,1.0,,1,6,431.0,555.0,2,8,744,332,,,,,8,561,569,8,591,324,0
4,14,00:32:18,58167,2,2,B,2,擋小球,,1.0,2,8,744.0,332.0,2,1,848,466,,,,,8,707,330,8,550,557,0
4,15,00:32:20,58200,2,2,A,2,推球,,,2,1,848.0,466.0,1,8,546,298,,,,,5,780,486,8,647,321,0
4,16,00:32:20,58221,2,2,B,2,點扣,,,1,8,546.0,298.0,2,8,509,508,,,,,8,619,303,8,719,501,0
4,17,00:32:21,58236,2,2,A,2,擋小球,,1.0,2,8,509.0,508.0,1,5,495,349,,,,,8,637,513,8,544,301,0
4,18,00:32:22,58262,2,2,B,2,推球,,,1,5,495.0,349.0,1,6,428,587,,,,,8,545,345,8,606,517,0
4,19,00:32:22,58288,2,2,A,3,長球,1.0,,1,6,428.0,587.0,2,13,513,268,出界,對手出界,B,,8,511,571,8,577,319,0
6,1,00:33:11,59738,4,2,A,1,發長球,,,2,,,,1,9,707,284,,,,,8,610,498,8,692,308,0
6,2,00:33:13,59795,4,2,B,2,長球,,,1,9,707.0,284.0,1,5,829,592,,,,,9,701,288,8,681,510,0
6,3,00:33:14,59826,4,2,A,2,切球,,,1,5,829.0,592.0,2,6,792,351,,,,,8,771,590,8,654,312,0
6,4,00:33:15,59850,4,2,B,2,放小球,,1.0,2,6,792.0,351.0,2,1,830,422,,,,,6,754,343,8,727,544,0
6,5,00:33:15,59879,4,2,A,2,放小球,,,2,1,830.0,422.0,2,2,817,380,,,,,1,804,443,8,699,338,0
6,6,00:33:16,59905,4,2,B,2,推球,,1.0,2,2,817.0,380.0,1,3,852,598,,,,,2,764,374,7,727,471,0
