rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:05:53,10602,1,0,A,1,發長球,,,2,,,,1,5,809.0,590.0,,,,,8,616.0,340.0,8,735.0,538.0,0
1,2,00:05:55,10661,1,0,B,2,殺球,,,1,5,809.0,590.0,2,6,762.0,314.0,,,,,9,774.0,611.0,8,617.0,326.0,0
1,3,00:05:55,10675,1,0,A,2,擋小球,,1.0,2,6,762.0,314.0,2,1,831.0,440.0,,,,,8,606.0,330.0,8,764.0,594.0,0
1,4,00:05:56,10704,1,0,B,2,放小球,,,2,1,831.0,440.0,2,2,797.0,381.0,,,,,1,778.0,470.0,8,658.0,329.0,0
1,5,00:05:57,10728,1,0,A,2,放小球,,1.0,2,2,797.0,381.0,2,1,812.0,413.0,,,,,7,746.0,372.0,8,738.0,485.0,0
1,6,00:05:58,10760,1,0,B,2,勾球,,,2,1,812.0,413.0,1,7,655.0,397.0,,,,,1,784.0,447.0,7,709.0,370.0,0
1,7,00:05:59,10780,1,0,A,3,撲球,,,1,7,655.0,397.0,2,8,672.0,508.0,對手落地致勝,落地致勝,A,,7,634.0,392.0,1,800.0,451.0,0
2,1,00:06:14,11226,2,0,A,1,發長球,,,2,,,,1,9,479.0,596.0,,,,,8,646.0,332.0,8,531.0,552.0,0
2,2,00:06:15,11267,2,0,B,2,切球,,,1,9,479.0,596.0,2,5,517.0,348.0,,,,,4,448.0,619.0,8,585.0,336.0,0
2,3,00:06:16,11289,2,0,A,2,放小球,,,2,5,517.0,348.0,2,7,626.0,454.0,,,,,8,547.0,339.0,8,545.0,577.0,0
2,4,00:06:17,11316,2,0,B,2,推球,,1.0,2,7,626.0,454.0,1,4,769.0,286.0,,,,,8,656.0,486.0,8,601.0,344.0,0
2,5,00:06:18,11347,2,0,A,2,殺球,1.0,,1,4,769.0,286.0,2,8,509.0,511.0,,,,,8,692.0,304.0,8,677.0,536.0,0
2,6,00:06:18,11364,2,0,B,3,擋小球,,1.0,2,8,509.0,511.0,2,2,488.0,420.0,掛網,對手掛網,A,,8,689.0,546.0,8,709.0,300.0,0
3,1,00:06:33,11813,3,0,A,1,發長球,,,2,,,,1,9,769.0,629.0,,,,,8,613.0,341.0,8,733.0,537.0,0
3,2,00:06:35,11871,3,0,B,2,切球,,,1,9,769.0,629.0,2,5,514.0,332.0,,,,,9,715.0,637.0,8,611.0,336.0,0
3,3,00:06:36,11891,3,0,A,2,挑球,,,2,5,514.0,332.0,1,8,616.0,575.0,,,,,8,562.0,329.0,8,652.0,574.0,0
3,4,00:06:37,11929,3,0,B,2,長球,,,1,8,616.0,575.0,1,5,502.0,294.0,,,,,9,556.0,601.0,8,608.0,336.0,0
3,5,00:06:38,11961,3,0,A,2,過度切球,,,1,5,502.0,294.0,2,2,435.0,454.0,,,,,5,520.0,303.0,8,608.0,571.0,0
3,6,00:06:39,11987,3,0,B,2,推球,,1.0,2,2,435.0,454.0,1,4,746.0,290.0,,,,,6,465.0,487.0,8,580.0,310.0,0
3,7,00:06:40,12018,3,0,A,2,殺球,1.0,,1,4,746.0,290.0,2,5,824.0,525.0,,,,,8,659.0,304.0,8,594.0,528.0,0
3,8,00:06:41,12031,3,0,B,2,擋小球,,,2,5,824.0,525.0,2,2,820.0,366.0,,,,,8,742.0,546.0,8,660.0,308.0,0
3,9,00:06:42,12064,3,0,A,2,推球,,1.0,2,2,820.0,366.0,2,5,837.0,593.0,,,,,2,783.0,360.0,8,698.0,535.0,0
