rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:36:08,65067,1,0,A,1,發長球,,,2,,,,1,3,827.0,641.0,,,,,8,607.0,418.0,8,729.0,611.0,0
1,2,00:36:11,65133,1,0,B,3,長球,,,1,3,827.0,641.0,2,13,819.0,339.0,出界,對手出界,A,,9,771.0,657.0,8,645.0,388.0,0
2,1,00:36:23,65504,1,1,A,1,未知球種,,,2,,,,1,,,,,,,1,,,,,,,0
2,2,00:36:25,65571,1,1,B,2,切球,,,1,,,,2,5,441.0,398.0,,,,,4,434.0,653.0,8,595.0,388.0,0
2,3,00:36:26,65592,1,1,A,2,放小球,,,2,5,441.0,398.0,2,2,430.0,519.0,,,,,5,499.0,394.0,8,539.0,610.0,0
2,4,00:36:27,65622,1,1,B,2,挑球,,1.0,2,2,430.0,519.0,1,4,804.0,358.0,,,,,2,464.0,533.0,8,575.0,399.0,0
2,5,00:36:28,65661,1,1,A,2,長球,1.0,,1,4,804.0,358.0,1,3,879.0,640.0,,,,,9,740.0,355.0,8,683.0,577.0,0
2,6,00:36:30,65703,1,1,B,2,切球,,,1,3,879.0,640.0,2,7,513.0,434.0,,,,,3,823.0,646.0,8,676.0,393.0,0
2,7,00:36:30,65728,1,1,A,2,挑球,,,2,7,513.0,434.0,1,5,848.0,624.0,,,,,7,543.0,428.0,8,690.0,601.0,0
2,8,00:36:31,65759,1,1,B,2,長球,,,1,5,848.0,624.0,1,6,834.0,376.0,,,,,8,767.0,637.0,8,654.0,402.0,0
2,9,00:36:32,65778,1,1,A,2,長球,1.0,,1,6,834.0,376.0,1,5,816.0,582.0,,,,,8,708.0,385.0,8,727.0,603.0,0
2,10,00:36:33,65802,1,1,B,2,殺球,,,1,5,816.0,582.0,2,6,814.0,382.0,,,,,8,749.0,585.0,8,713.0,376.0,0
2,11,00:36:33,65812,1,1,A,2,擋小球,,1.0,2,6,814.0,382.0,2,7,573.0,506.0,,,,,8,691.0,371.0,5,820.0,569.0,0
2,12,00:36:34,65834,1,1,B,2,撲球,,1.0,2,7,573.0,506.0,2,6,795.0,388.0,,,,,7,650.0,521.0,8,688.0,375.0,0
2,13,00:36:34,65848,1,1,A,2,擋小球,,1.0,2,6,795.0,388.0,2,1,827.0,499.0,,,,,8,646.0,387.0,7,640.0,523.0,0
2,14,00:36:35,65876,1,1,B,3,放小球,,,2,1,827.0,499.0,2,2,834.0,444.0,對手落地致勝,落地致勝,B,,8,728.0,544.0,8,630.0,385.0,0
3,1,00:36:51,66334,2,1,B,1,發長球,,,2,,,,1,4,774.0,358.0,,,,,8,618.0,567.0,8,715.0,386.0,0
3,2,00:36:53,66393,2,1,A,2,切球,,,1,4,774.0,358.0,2,5,844.0,571.0,,,,,9,762.0,358.0,8,720.0,578.0,0
3,3,00:36:53,66409,2,1,B,2,擋小球,,,2,5,844.0,571.0,2,8,689.0,412.0,,,,,8,751.0,584.0,8,725.0,372.0,0
3,4,00:36:54,66435,2,1,A,2,挑球,,1.0,2,8,689.0,412.0,1,8,475.0,617.0,,,,,8,639.0,414.0,8,692.0,572.0,0
3,5,00:36:55,66478,2,1,B,3,切球,,,1,8,475.0,617.0,2,11,880.0,392.0,出界,對手出界,A,,8,520.0,626.0,8,609.0,394.0,0
4,1,00:37:08,66862,3,1,A,1,發長球,,,2,,,,1,3,826.0,649.0,,,,,8,610.0,417.0,8,729.0,608.0,0
4,2,00:37:10,66924,3,1,B,2,長球,,,1,3,826.0,649.0,1,8,533.0,370.0,,,,,9,781.0,666.0,8,647.0,397.0,0
4,3,00:37:11,66955,3,1,A,2,點扣,,,1,8,533.0,370.0,2,6,417.0,572.0,,,,,9,620.0,362.0,8,675.0,599.0,0
4,4,00:37:12,66971,3,1,B,2,擋小球,,1.0,2,6,417.0,572.0,2,1,491.0,429.0,,,,,8,660.0,586.0,9,541.0,361.0,0
4,5,00:37:13,67000,3,1,A,2,挑球,,,2,1,491.0,429.0,1,6,422.0,618.0,,,,,7,539.0,432.0,8,563.0,561.0,0
4,6,00:37:14,67034,3,1,B,2,長球,1.0,,1,6,422.0,618.0,1,8,514.0,363.0,,,,,8,521.0,626.0,8,588.0,398.0,0
4,7,00:37:15,67068,3,1,A,2,長球,,,1,8,514.0,363.0,1,8,492.0,607.0,,,,,9,528.0,355.0,8,596.0,598.0,0
4,8,00:37:16,67101,3,1,B,2,點扣,1.0,,1,8,492.0,607.0,2,8,772.0,400.0,,,,,8,536.0,618.0,8,619.0,373.0,0
4,9,00:37:17,67118,3,1,A,2,擋小球,,1.0,2,8,772.0,400.0,2,7,792.0,500.0,,,,,8,606.0,390.0,8,552.0,635.0,0
4,10,00:37:18,67149,3,1,B,2,放小球,,,2,7,792.0,500.0,2,2,794.0,468.0,,,,,7,770.0,521.0,8,692.0,405.0,0
4,11,00:37:19,67174,3,1,A,2,挑球,,1.0,2,2,794.0,468.0,1,6,446.0,609.0,,,,,7,773.0,450.0,7,724.0,531.0,0
4,12,00:37:20,67215,3,1,B,2,長球,,1.0,1,6,446.0,609.0,1,9,648.0,357.0,,,,,8,480.0,620.0,8,646.0,405.0,0
4,13,00:37:21,67254,3,1,A,2,切球,,,1,9,648.0,357.0,2,2,482.0,515.0,,,,,9,669.0,348.0,8,651.0,580.0,0
4,14,00:37:22,67281,3,1,B,2,放小球,,,2,2,482.0,515.0,2,7,512.0,458.0,,,,,7,519.0,537.0,8,628.0,370.0,0
4,15,00:37:23,67310,3,1,A,2,挑球,,,2,7,512.0,458.0,1,3,851.0,641.0,,,,,7,529.0,461.0,7,547.0,537.0,0
4,16,00:37:25,67371,3,1,B,2,切球,,,1,3,851.0,641.0,2,2,836.0,439.0,,,,,9,795.0,653.0,8,648.0,409.0,0
