rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:07:58,14360,1,0,A,1,發長球,,,2,,,,1.0,3,805,659,,,,,8,615,443,8,720,628,0
1,2,00:08:00,14426,1,0,B,2,長球,,,1,3,805.0,659.0,1.0,8,566,398,,,,,9,763,661,8,643,417,0
1,3,00:08:01,14455,1,0,A,2,殺球,,,1,8,566.0,398.0,2.0,8,507,601,,,,,8,613,397,8,686,609,0
1,4,00:08:02,14467,1,0,B,2,防守回挑,,1.0,2,8,507.0,601.0,1.0,5,494,409,,,,,8,672,604,8,543,390,0
1,5,00:08:03,14493,1,0,A,3,殺球,,,1,5,494.0,409.0,2.0,8,756,586,對手落地致勝,落地致勝,A,,8,543,415,8,646,597,0
2,1,00:08:13,14797,2,0,A,1,發長球,,,2,,,,1.0,4,487,649,,,,,8,647,441,8,522,621,0
2,2,00:08:15,14861,2,0,B,2,長球,,,1,4,487.0,649.0,1.0,3,487,387,,,,,4,462,662,8,614,419,0
2,3,00:08:16,14893,2,0,A,2,長球,,,1,3,487.0,387.0,1.0,6,451,616,,,,,3,494,385,8,587,603,0
2,4,00:08:17,14924,2,0,B,2,長球,,,1,6,451.0,616.0,1.0,3,463,388,,,,,8,515,618,8,576,403,0
2,5,00:08:18,14957,2,0,A,2,切球,,,1,3,463.0,388.0,2.0,7,524,540,,,,,3,481,386,8,568,611,0
2,6,00:08:19,14988,2,0,B,2,挑球,,1.0,2,7,524.0,540.0,1.0,4,759,382,,,,,8,538,559,8,582,419,0
2,7,00:08:21,15032,2,0,A,2,切球,,,1,4,759.0,382.0,2.0,7,529,540,,,,,9,742,378,8,664,593,0
2,8,00:08:21,15059,2,0,B,2,放小球,,1.0,2,7,529.0,540.0,2.0,7,561,480,,,,,7,550,546,9,716,387,0
2,9,00:08:23,15090,2,0,A,2,挑球,,,2,7,561.0,480.0,1.0,6,465,646,,,,,7,582,472,8,584,556,0
2,10,00:08:24,15140,2,0,B,2,長球,,,1,6,465.0,646.0,1.0,3,511,381,,,,,4,474,658,8,606,423,0
2,11,00:08:25,15174,2,0,A,2,長球,,,1,3,511.0,381.0,1.0,6,469,623,,,,,9,536,382,8,578,602,0
2,12,00:08:26,15208,2,0,B,2,點扣,,,1,6,469.0,623.0,2.0,6,768,421,,,,,8,502,628,8,605,398,0
2,13,00:08:27,15227,2,0,A,2,擋小球,,1.0,2,6,768.0,421.0,2.0,1,779,538,,,,,8,641,422,9,499,652,0
2,14,00:08:28,15256,2,0,B,2,放小球,,,2,1,779.0,538.0,2.0,1,514,459,,,,,8,732,556,8,732,426,0
2,15,00:08:29,15287,2,0,A,2,挑球,,,2,1,514.0,459.0,1.0,8,561,636,,,,,8,547,448,8,643,563,0
2,16,00:08:30,15326,2,0,B,2,切球,,,1,8,561.0,636.0,2.0,1,484,451,,,,,8,557,642,8,607,426,0
2,17,00:08:31,15354,2,0,A,2,放小球,,,2,1,484.0,451.0,2.0,2,494,513,,,,,5,505,438,8,597,623,0
2,18,00:08:32,15386,2,0,B,2,挑球,,1.0,2,2,494.0,513.0,1.0,3,523,383,,,,,2,511,535,8,557,439,0
2,19,00:08:34,15431,2,0,A,3,點扣,,,1,3,523.0,383.0,2.0,5,870,568,落點判斷失誤,對手落點判斷失誤,A,,9,550,386,8,599,576,0
3,1,00:09:13,16614,2,1,A,1,發長球,,,2,,,,1.0,9,776,663,,,,,8,614,444,8,720,633,0
3,2,00:09:15,16677,2,1,B,2,長球,,,1,9,776.0,663.0,1.0,6,780,390,,,,,9,733,673,8,643,419,0
3,3,00:09:17,16710,2,1,A,2,殺球,,,1,6,780.0,390.0,2.0,5,823,590,,,,,8,710,397,8,707,612,0
3,4,00:09:17,16728,2,1,B,2,防守回挑,,,2,5,823.0,590.0,1.0,4,773,387,,,,,5,782,594,8,709,399,0
3,5,00:09:18,16761,2,1,A,2,長球,,,1,4,773.0,387.0,1.0,3,844,648,,,,,8,727,394,8,733,594,0
3,6,00:09:20,16800,2,1,B,2,長球,,,1,3,844.0,648.0,1.0,6,801,396,,,,,3,789,653,8,668,416,0
3,7,00:09:20,16825,2,1,A,2,長球,,,1,6,801.0,396.0,1.0,5,828,639,,,,,8,692,399,8,771,631,0
3,8,00:09:22,16864,2,1,B,3,點扣,,,1,5,828.0,639.0,2.0,5,477,437,對手落地致勝,落地致勝,B,,8,775,642,8,668,414,0
4,1,00:09:35,17265,3,1,B,1,發長球,,,2,,,,1.0,9,710,380,,,,,8,620,592,8,703,413,0
4,2,00:09:37,17322,3,1,A,3,殺球,,,1,9,710.0,380.0,2.0,6,403,594,對手落地致勝,落地致勝,A,,9,707,379,8,682,596,0
5,1,00:09:49,17693,4,1,A,1,發長球,,,2,,,,1.0,4,437,649,,,,,8,648,444,8,522,628,0
5,2,00:09:51,17756,4,1,B,2,長球,,,1,4,437.0,649.0,1.0,3,502,379,,,,,4,438,660,8,597,420,0
5,3,00:09:53,17794,4,1,A,2,長球,,,1,3,502.0,379.0,1.0,6,466,625,,,,,3,528,374,8,603,599,0
5,4,00:09:54,17825,4,1,B,2,切球,,,1,6,466.0,625.0,2.0,5,464,450,,,,,8,533,622,8,592,399,0
5,5,00:09:55,17853,4,1,A,2,放小球,,,2,5,464.0,450.0,2.0,2,474,520,,,,,5,487,444,8,535,622,0
5,6,00:09:56,17882,4,1,B,2,挑球,,1.0,2,2,474.0,520.0,1.0,3,506,378,,,,,2,496,526,8,570,440,0
5,7,00:09:57,17919,4,1,A,2,切球,,,1,3,506.0,378.0,2.0,2,479,539,,,,,9,546,373,8,579,569,0
5,8,00:09:58,17947,4,1,B,2,放小球,,1.0,2,2,479.0,539.0,2.0,1,462,477,,,,,2,505,551,8,586,393,0
5,9,00:09:59,17978,4,1,A,2,挑球,,,2,1,462.0,477.0,1.0,6,487,645,,,,,1,497,472,8,547,567,0
5,10,00:10:00,18022,4,1,B,2,點扣,,,1,6,487.0,645.0,2.0,5,495,425,,,,,9,507,652,8,592,425,0
5,11,00:10:01,18044,4,1,A,2,擋小球,,,2,5,495.0,425.0,2.0,7,518,521,,,,,5,523,419,8,553,635,0
5,12,00:10:02,18074,4,1,B,2,放小球,,1.0,2,7,518.0,521.0,2.0,1,489,483,,,,,7,537,527,8,571,435,0
5,13,00:10:03,18098,4,1,A,2,推球,,,2,1,489.0,483.0,1.0,8,511,627,,,,,1,517,479,7,572,540,0
5,14,00:10:04,18128,4,1,B,2,長球,,1.0,1,8,511.0,627.0,1.0,9,600,381,,,,,8,538,631,8,576,444,0
5,15,00:10:05,18169,4,1,A,2,殺球,,,1,9,600.0,381.0,2.0,6,463,604,,,,,9,598,381,8,660,606,0
5,16,00:10:06,18186,4,1,B,2,擋小球,,1.0,2,6,463.0,604.0,2.0,1,508,454,,,,,8,692,598,8,584,394,0
5,17,00:10:07,18212,4,1,A,2,挑球,,,2,1,508.0,454.0,1.0,6,495,638,,,,,8,534,447,8,513,571,0
5,18,00:10:08,18251,4,1,B,2,長球,,1.0,1,6,495.0,638.0,1.0,5,452,392,,,,,9,533,649,8,591,417,0
5,19,00:10:09,18283,4,1,A,2,長球,,,1,5,452.0,392.0,1.0,6,439,613,,,,,5,503,392,8,631,611,0
5,20,00:10:10,18306,4,1,B,2,長球,,,1,6,439.0,613.0,1.0,3,521,385,,,,,8,534,615,5,488,394,0
5,21,00:10:11,18352,4,1,A,3,殺球,,,1,3,521.0,385.0,2.0,6,400,603,落點判斷失誤,對手落點判斷失誤,A,,3,515,382,8,586,601,0
6,1,00:10:36,19090,5,1,A,1,發長球,,,2,,,,1.0,3,795,660,,,,,8,617,443,8,718,623,0
6,2,00:10:38,19157,5,1,B,3,長球,,,1,3,795.0,660.0,2.0,12,850,377,出界,對手出界,A,,9,751,666,8,644,421,0
7,1,00:10:51,19559,5,2,A,1,發長球,,,2,,,,1.0,9,531,666,,,,,8,650,442,8,523,630,0
7,2,00:10:54,19622,5,2,B,2,切球,,,1,9,531.0,666.0,2.0,8,632,442,,,,,9,494,679,8,618,423,0
7,3,00:10:54,19647,5,2,A,2,放小球,,1.0,2,8,632.0,442.0,2.0,2,478,526,,,,,8,598,436,8,588,621,0
7,4,00:10:55,19674,5,2,B,2,挑球,,1.0,2,2,478.0,526.0,1.0,4,770,388,,,,,2,508,543,8,604,436,0
7,5,00:10:56,19709,5,2,A,2,長球,,,1,4,770.0,388.0,1.0,5,793,644,,,,,8,654,391,8,652,579,0
7,6,00:10:58,19748,5,2,B,2,點扣,,,1,5,793.0,644.0,2.0,8,543,434,,,,,8,731,644,8,653,414,0
7,7,00:10:59,19770,5,2,A,2,擋小球,,,2,8,543.0,434.0,2.0,2,459,524,,,,,8,573,437,8,701,639,0
7,8,00:11:00,19801,5,2,B,2,挑球,,1.0,2,2,459.0,524.0,1.0,9,556,378,,,,,2,494,528,8,583,430,0
7,9,00:11:02,19861,5,2,A,3,殺球,,,1,9,556.0,378.0,2.0,7,544,490,掛網,對手掛網,B,,9,553,378,8,627,570,0
8,1,00:11:16,20305,5,3,B,1,發長球,,,2,,,,1.0,9,566,375,,,,,8,663,584,8,551,409,0
8,2,00:11:18,20361,5,3,A,2,殺球,,,1,9,566.0,375.0,2.0,6,478,597,,,,,9,571,373,8,653,594,0
8,3,00:11:19,20381,5,3,B,2,防守回挑,,1.0,2,6,478.0,597.0,1.0,9,734,387,,,,,8,644,589,8,591,390,0
8,4,00:11:20,20418,5,3,A,2,長球,,,1,9,734.0,387.0,1.0,6,486,628,,,,,8,684,389,8,662,592,0
8,5,00:11:21,20453,5,3,B,2,長球,,,1,6,486.0,628.0,1.0,6,766,392,,,,,8,557,630,8,647,405,0
8,6,00:11:22,20485,5,3,A,2,殺球,,,1,6,766.0,392.0,2.0,5,823,602,,,,,8,689,396,8,613,625,0
8,7,00:11:23,20504,5,3,B,2,擋小球,,,2,5,823.0,602.0,2.0,2,785,480,,,,,8,753,598,8,699,398,0
8,8,00:11:24,20532,5,3,A,2,放小球,,1.0,2,2,785.0,480.0,2.0,1,770,509,,,,,7,750,461,8,708,593,0
8,9,00:11:25,20560,5,3,B,2,挑球,,,2,1,770.0,509.0,1.0,9,613,385,,,,,7,738,525,7,708,457,0
8,10,00:11:27,20625,5,3,A,2,殺球,,,1,9,613.0,385.0,2.0,6,424,599,,,,,9,621,382,8,655,593,0
8,11,00:11:28,20645,5,3,B,2,防守回挑,,1.0,2,6,424.0,599.0,1.0,5,488,390,,,,,8,598,593,8,607,400,0
