rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:10:10,18300,0,1,A,1,發長球,,,2.0,,,,1.0,3,865.0,656.0,,,,,8,604.0,461.0,8,717.0,619.0,0
1,2,00:10:12,18368,0,1,B,2,長球,,,1.0,3,865.0,656.0,1.0,4,779.0,403.0,,,,,9,809.0,662.0,8,644.0,433.0,0
1,3,00:10:13,18399,0,1,A,2,點扣,1.0,,1.0,4,779.0,403.0,2.0,5,856.0,585.0,,,,,8,711.0,425.0,8,714.0,616.0,0
1,4,00:10:13,18419,0,1,B,2,擋小球,,,2.0,5,856.0,585.0,2.0,8,659.0,461.0,,,,,5,801.0,601.0,8,692.0,418.0,0
1,5,00:10:14,18448,0,1,A,2,放小球,,,2.0,8,659.0,461.0,2.0,2,457.0,516.0,,,,,7,674.0,470.0,8,704.0,588.0,0
1,6,00:10:15,18479,0,1,B,2,推球,,1.0,2.0,2,457.0,516.0,2.0,3,486.0,402.0,,,,,7,496.0,553.0,8,608.0,456.0,0
1,7,00:10:17,18514,0,1,A,2,長球,,,2.0,3,486.0,402.0,1.0,6,410.0,639.0,,,,,8,525.0,409.0,8,577.0,585.0,0
1,8,00:10:18,18544,0,1,B,2,長球,1.0,,1.0,6,410.0,639.0,1.0,5,515.0,418.0,,,,,8,488.0,645.0,8,580.0,422.0,0
1,9,00:10:19,18571,0,1,A,2,長球,,,1.0,5,515.0,418.0,1.0,3,819.0,657.0,,,,,5,512.0,419.0,8,519.0,635.0,0
1,10,00:10:20,18611,0,1,B,3,切球,,,1.0,3,819.0,657.0,2.0,5,463.0,456.0,對手落地致勝,落地致勝,B,,9,769.0,662.0,8,628.0,432.0,0
2,1,00:10:32,18978,1,1,B,1,發長球,,,2.0,,,,1.0,4,774.0,404.0,,,,,8,608.0,592.0,8,693.0,433.0,0
2,2,00:10:34,19038,1,1,A,2,點扣,1.0,,1.0,4,774.0,404.0,2.0,5,809.0,590.0,,,,,8,749.0,410.0,8,699.0,603.0,0
2,3,00:10:35,19053,1,1,B,2,擋小球,,,2.0,5,809.0,590.0,2.0,8,684.0,454.0,,,,,8,726.0,611.0,8,731.0,427.0,0
2,4,00:10:35,19077,1,1,A,2,推球,,,2.0,8,684.0,454.0,1.0,6,420.0,627.0,,,,,8,718.0,460.0,8,691.0,616.0,0
2,5,00:10:37,19110,1,1,B,2,長球,1.0,,1.0,6,420.0,627.0,1.0,9,539.0,403.0,,,,,8,540.0,627.0,8,601.0,451.0,0
2,6,00:10:38,19157,1,1,A,3,殺球,,,1.0,9,539.0,403.0,2.0,5,894.0,614.0,對手落地致勝,落地致勝,A,,5,518.0,411.0,8,634.0,614.0,0
3,1,00:10:54,19633,1,2,A,1,未知球種,,,2.0,,,,1.0,,,,,,,1,,,,,,,0
3,2,00:10:55,19662,1,2,B,2,長球,1.0,,1.0,,,,1.0,3,467.0,403.0,,,,,4,388.0,659.0,8,597.0,436.0,0
3,3,00:10:56,19696,1,2,A,2,過度切球,,,1.0,3,467.0,403.0,2.0,7,644.0,554.0,,,,,5,466.0,413.0,8,563.0,623.0,0
3,4,00:10:57,19718,1,2,B,2,推球,,1.0,2.0,7,644.0,554.0,2.0,3,465.0,404.0,,,,,8,686.0,592.0,8,576.0,431.0,0
3,5,00:10:58,19752,1,2,A,2,過度切球,,,2.0,3,465.0,404.0,1.0,2,392.0,545.0,,,,,8,523.0,409.0,8,595.0,602.0,0
3,6,00:10:59,19774,1,2,B,2,放小球,,1.0,1.0,2,392.0,545.0,2.0,1,469.0,475.0,,,,,2,449.0,556.0,8,535.0,419.0,0
3,7,00:10:59,19794,1,2,A,2,挑球,,,2.0,1,469.0,475.0,1.0,4,418.0,646.0,,,,,1,477.0,470.0,8,495.0,563.0,0
3,8,00:11:01,19830,1,2,B,2,點扣,1.0,,1.0,4,418.0,646.0,2.0,5,439.0,437.0,,,,,9,492.0,648.0,8,564.0,459.0,0
3,9,00:11:01,19853,1,2,A,2,擋小球,,,2.0,5,439.0,437.0,2.0,2,436.0,531.0,,,,,5,477.0,442.0,8,518.0,644.0,0
3,10,00:11:02,19884,1,2,B,2,挑球,,1.0,2.0,2,436.0,531.0,2.0,3,486.0,397.0,,,,,2,457.0,554.0,8,547.0,461.0,0
3,11,00:11:04,19931,1,2,A,3,過度切球,,,2.0,3,486.0,397.0,2.0,1,485.0,490.0,掛網,對手掛網,B,,9,533.0,398.0,8,574.0,590.0,0
4,1,00:11:20,20409,2,2,B,1,發長球,,,2.0,,,,1.0,9,545.0,398.0,,,,,8,666.0,579.0,8,537.0,426.0,0
4,2,00:11:22,20469,2,2,A,2,點扣,,,1.0,9,545.0,398.0,2.0,6,461.0,578.0,,,,,8,549.0,410.0,8,656.0,597.0,0
4,3,00:11:22,20488,2,2,B,2,防守回抽,,1.0,2.0,6,461.0,578.0,1.0,5,488.0,424.0,,,,,8,658.0,608.0,8,564.0,424.0,0
