rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:47:54,86249,1,0,B,1,發長球,,,2,,,,1,9,557,352,,,,,8,677,580,8,542,393,0
1,2,00:47:57,86310,1,0,A,2,殺球,,,1,9,557.0,352.0,2,8,491,573,,,,,9,582,347,8,673,587,0
1,3,00:47:57,86327,1,0,B,2,擋小球,,1.0,2,8,491.0,573.0,2,7,596,439,,,,,8,586,568,8,584,370,0
1,4,00:47:58,86353,1,0,A,2,放小球,,,2,7,596.0,439.0,2,2,423,512,,,,,7,648,430,8,652,585,0
1,5,00:47:59,86381,1,0,B,2,挑球,,1.0,2,2,423.0,512.0,1,9,666,358,,,,,7,504,517,8,638,400,0
1,6,00:48:00,86421,1,0,A,2,切球,,,1,9,666.0,358.0,2,2,405,529,,,,,9,659,356,8,649,570,0
1,7,00:48:01,86446,1,0,B,2,放小球,,1.0,2,2,405.0,529.0,2,1,479,463,,,,,6,447,548,8,641,372,0
1,8,00:48:02,86476,1,0,A,2,挑球,,,2,1,479.0,463.0,1,4,452,639,,,,,7,499,450,8,554,550,0
1,9,00:48:04,86527,1,0,B,2,切球,,,1,4,452.0,639.0,2,5,455,409,,,,,9,465,652,8,583,399,0
1,10,00:48:04,86548,1,0,A,2,放小球,,,2,5,455.0,409.0,2,2,466,504,,,,,5,502,402,8,499,637,0
1,11,00:48:05,86576,1,0,B,2,放小球,,1.0,2,2,466.0,504.0,2,1,453,471,,,,,2,466,520,8,559,404,0
1,12,00:48:06,86602,1,0,A,2,挑球,,,2,1,453.0,471.0,1,9,561,652,,,,,1,478,456,7,524,530,0
1,13,00:48:08,86664,1,0,B,2,長球,,,1,9,561.0,652.0,1,4,789,359,,,,,9,535,668,8,614,410,0
1,14,00:48:10,86705,1,0,A,2,切球,,,1,4,789.0,359.0,2,1,832,532,,,,,9,765,361,8,704,594,0
1,15,00:48:11,86734,1,0,B,2,挑球,,,2,1,832.0,532.0,1,9,512,358,,,,,5,809,546,8,745,378,0
1,16,00:48:12,86776,1,0,A,2,切球,,,1,9,512.0,358.0,2,2,446,519,,,,,9,519,356,8,671,576,0
1,17,00:48:13,86802,1,0,B,2,放小球,,1.0,2,2,446.0,519.0,2,2,785,462,,,,,6,472,540,8,579,376,0
1,18,00:48:14,86830,1,0,A,2,挑球,,1.0,2,2,785.0,462.0,1,8,510,618,,,,,7,743,442,8,595,560,0
1,19,00:48:15,86862,1,0,B,2,長球,,,1,8,510.0,618.0,1,3,499,360,,,,,8,602,614,8,643,413,0
1,20,00:48:16,86896,1,0,A,2,殺球,,,1,3,499.0,360.0,2,8,796,585,,,,,8,523,363,8,632,610,0
1,21,00:48:17,86913,1,0,B,2,擋小球,,,2,8,796.0,585.0,2,2,861,448,,,,,8,676,590,3,478,359,0
1,22,00:48:18,86948,1,0,A,2,挑球,,1.0,2,2,861.0,448.0,1,3,851,653,,,,,2,815,434,8,798,562,0
1,23,00:48:19,86994,1,0,B,2,長球,,,1,3,851.0,653.0,1,6,771,369,,,,,9,775,666,8,673,400,0
1,24,00:48:20,87029,1,0,A,2,長球,,,1,6,771.0,369.0,1,5,888,600,,,,,8,723,373,8,717,603,0
1,25,00:48:21,87057,1,0,B,2,長球,,,1,5,888.0,600.0,1,8,761,365,,,,,5,827,611,8,717,384,0
1,26,00:48:23,87107,1,0,A,3,切球,,,1,8,761.0,365.0,2,1,875,523,對手落地致勝,落地致勝,A,,9,751,362,8,698,584,0
2,1,00:49:01,88240,1,1,A,1,發長球,,,2,,,,1,4,463,649,,,,,8,650,415,8,523,607,0
2,2,00:49:05,88376,1,1,B,2,長球,,,1,4,463.0,649.0,1,5,448,368,,,,,9,477,661,8,591,391,0
2,3,00:49:06,88399,1,1,A,2,切球,,,1,5,448.0,368.0,2,2,418,513,,,,,5,496,374,8,540,622,0
2,4,00:49:07,88427,1,1,B,2,推球,,1.0,2,2,418.0,513.0,1,3,451,362,,,,,2,449,532,8,553,392,0
2,5,00:49:08,88457,1,1,A,2,殺球,,,1,3,451.0,362.0,2,6,454,567,,,,,3,498,362,8,571,572,0
2,6,00:49:09,88471,1,1,B,2,擋小球,,1.0,2,6,454.0,567.0,2,8,620,419,,,,,8,614,581,8,537,368,0
2,7,00:49:09,88492,1,1,A,2,推球,,1.0,2,8,620.0,419.0,1,8,513,602,,,,,8,565,418,8,618,574,0
2,8,00:49:10,88520,1,1,B,2,殺球,,,1,8,513.0,602.0,2,5,467,395,,,,,8,553,603,8,580,396,0
2,9,00:49:11,88532,1,1,A,2,擋小球,,,2,5,467.0,395.0,2,7,488,516,,,,,8,560,394,8,558,619,0
2,10,00:49:11,88559,1,1,B,2,挑球,,1.0,2,7,488.0,516.0,1,3,449,358,,,,,7,523,535,8,558,404,0
2,11,00:49:13,88594,1,1,A,2,切球,,,1,3,449.0,358.0,2,2,439,513,,,,,3,474,361,8,609,573,0
2,12,00:49:14,88620,1,1,B,2,放小球,,1.0,2,2,439.0,513.0,2,7,501,462,,,,,6,453,538,8,552,377,0
2,13,00:49:15,88650,1,1,A,2,挑球,,,2,7,501.0,462.0,1,9,508,643,,,,,7,526,452,8,576,543,0
2,14,00:49:16,88708,1,1,B,2,切球,,,1,9,508.0,643.0,2,6,780,420,,,,,9,521,657,8,599,395,0
2,15,00:49:17,88726,1,1,A,2,放小球,,1.0,2,6,780.0,420.0,2,7,770,508,,,,,8,666,400,9,548,639,0
2,16,00:49:18,88751,1,1,B,2,放小球,,,2,7,770.0,508.0,2,2,855,460,,,,,7,766,531,8,708,397,0
2,17,00:49:19,88779,1,1,A,2,挑球,,1.0,2,2,855.0,460.0,1,6,452,629,,,,,2,808,443,8,716,544,0
2,18,00:49:20,88818,1,1,B,2,長球,,,1,6,452.0,629.0,1,4,787,359,,,,,8,553,628,8,652,409,0
2,19,00:49:21,88857,1,1,A,2,殺球,,,1,4,787.0,359.0,2,5,870,571,,,,,8,715,365,8,628,603,0
2,20,00:49:22,88876,1,1,B,2,擋小球,,,2,5,870.0,571.0,2,7,583,453,,,,,5,827,575,8,718,369,0
