rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:27:40,49801,1,0,A,1,發長球,,,2.0,,,,1.0,3,836.0,661.0,,,,,8,607.0,457.0,8,767.0,618.0,0
1,2,00:27:42,49868,1,0,B,2,殺球,,,1.0,3,836.0,661.0,2.0,6,820.0,432.0,,,,,3,826.0,661.0,8,639.0,433.0,0
1,3,00:27:42,49886,1,0,A,2,擋小球,,1.0,2.0,6,820.0,432.0,2.0,1,841.0,551.0,,,,,8,638.0,437.0,8,764.0,643.0,0
1,4,00:27:43,49910,1,0,B,2,小平球,,,2.0,1,841.0,551.0,1.0,8,705.0,431.0,,,,,5,795.0,563.0,8,681.0,437.0,0
1,5,00:27:44,49921,1,0,A,2,擋小球,,1.0,1.0,8,705.0,431.0,2.0,7,538.0,539.0,,,,,8,660.0,436.0,8,783.0,566.0,0
1,6,00:27:44,49942,1,0,B,2,推球,,1.0,2.0,7,538.0,539.0,1.0,5,510.0,409.0,,,,,8,570.0,558.0,8,616.0,433.0,0
1,7,00:27:45,49966,1,0,A,2,過度切球,,,1.0,5,510.0,409.0,2.0,2,447.0,531.0,,,,,8,547.0,413.0,8,566.0,568.0,0
1,8,00:27:46,49991,1,0,B,2,挑球,,1.0,2.0,2,447.0,531.0,1.0,3,488.0,402.0,,,,,2,465.0,544.0,8,587.0,432.0,0
1,9,00:27:47,50026,1,0,A,2,長球,,,1.0,3,488.0,402.0,1.0,9,477.0,646.0,,,,,3,506.0,401.0,8,572.0,577.0,0
1,10,00:27:48,50066,1,0,B,2,長球,,,1.0,9,477.0,646.0,1.0,5,497.0,408.0,,,,,9,498.0,653.0,8,593.0,430.0,0
1,11,00:27:49,50094,1,0,A,2,長球,,,1.0,5,497.0,408.0,1.0,6,422.0,632.0,,,,,3,512.0,406.0,8,547.0,634.0,0
1,12,00:27:50,50128,1,0,B,2,殺球,,,1.0,6,422.0,632.0,2.0,5,480.0,429.0,,,,,8,484.0,628.0,8,587.0,426.0,0
1,13,00:27:51,50143,1,0,A,2,防守回挑,,,2.0,5,480.0,429.0,1.0,8,511.0,624.0,,,,,8,537.0,428.0,6,445.0,635.0,0
