rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:31:01,55830,1,0,A,1,發短球,,1.0,2,,,,2.0,7,728.0,527.0,,,,,8,626.0,439.0,8,747.0,593.0,0
1,2,00:31:01,55853,1,0,B,2,放小球,,,2,7,728.0,527.0,2.0,7,590.0,475.0,,,,,7,701.0,543.0,8,627.0,438.0,0
1,3,00:31:02,55876,1,0,A,2,放小球,,1.0,2,7,590.0,475.0,2.0,2,490.0,506.0,,,,,7,577.0,468.0,7,638.0,546.0,0
1,4,00:31:03,55899,1,0,B,2,推球,,1.0,2,2,490.0,506.0,1.0,8,707.0,399.0,,,,,7,524.0,506.0,7,577.0,457.0,0
1,5,00:31:04,55929,1,0,A,2,長球,1.0,,1,8,707.0,399.0,1.0,5,865.0,588.0,,,,,8,653.0,410.0,8,617.0,552.0,0
1,6,00:31:05,55954,1,0,B,2,殺球,,,1,5,865.0,588.0,1.0,6,795.0,411.0,,,,,8,748.0,597.0,8,661.0,403.0,0
1,7,00:31:05,55967,1,0,A,2,擋小球,,1.0,1,6,795.0,411.0,2.0,6,485.0,552.0,,,,,8,641.0,412.0,5,888.0,612.0,0
1,8,00:31:06,55995,1,0,B,2,放小球,,1.0,2,6,485.0,552.0,2.0,1,442.0,453.0,,,,,8,535.0,560.0,8,636.0,421.0,0
1,9,00:31:07,56025,1,0,A,2,放小球,,,2,1,442.0,453.0,2.0,2,437.0,511.0,,,,,5,484.0,450.0,8,569.0,562.0,0
1,10,00:31:08,56051,1,0,B,2,挑球,,1.0,2,2,437.0,511.0,1.0,3,457.0,395.0,,,,,2,478.0,522.0,7,539.0,454.0,0
1,11,00:31:09,56096,1,0,A,2,切球,,,1,3,457.0,395.0,2.0,6,457.0,550.0,,,,,3,494.0,399.0,8,581.0,573.0,0
1,12,00:31:10,56112,1,0,B,2,挑球,,1.0,2,6,457.0,550.0,1.0,9,707.0,396.0,,,,,8,524.0,568.0,8,549.0,402.0,0
1,13,00:31:11,56150,1,0,A,2,殺球,,,1,9,707.0,396.0,2.0,6,476.0,576.0,,,,,8,677.0,401.0,8,667.0,583.0,0
1,14,00:31:12,56165,1,0,B,2,擋小球,,1.0,2,6,476.0,576.0,2.0,1,464.0,453.0,,,,,8,692.0,582.0,8,659.0,401.0,0
1,15,00:31:13,56194,1,0,A,2,放小球,,,2,1,464.0,453.0,2.0,1,814.0,514.0,,,,,5,505.0,447.0,8,587.0,570.0,0
1,16,00:31:14,56224,1,0,B,2,放小球,,,2,1,814.0,514.0,2.0,2,816.0,484.0,,,,,7,769.0,522.0,8,642.0,437.0,0
1,17,00:31:15,56252,1,0,A,2,挑球,,1.0,2,2,816.0,484.0,1.0,9,788.0,649.0,,,,,2,787.0,472.0,7,721.0,533.0,0
1,18,00:31:17,56313,1,0,B,2,長球,,,1,9,788.0,649.0,1.0,6,777.0,398.0,,,,,9,740.0,657.0,8,647.0,429.0,0
1,19,00:31:18,56349,1,0,A,2,切球,,,1,6,777.0,398.0,2.0,6,480.0,559.0,,,,,8,731.0,403.0,8,694.0,597.0,0
1,20,00:31:18,56369,1,0,B,2,放小球,,1.0,2,6,480.0,559.0,2.0,1,474.0,470.0,,,,,8,531.0,571.0,8,733.0,402.0,0
1,21,00:31:20,56400,1,0,A,2,推球,,,2,1,474.0,470.0,1.0,6,437.0,573.0,,,,,1,508.0,458.0,8,556.0,566.0,0
1,22,00:31:20,56420,1,0,B,2,長球,,1.0,1,6,437.0,573.0,1.0,9,593.0,392.0,,,,,8,518.0,572.0,7,537.0,455.0,0
1,23,00:31:21,56459,1,0,A,2,切球,,,1,9,593.0,392.0,2.0,6,408.0,548.0,,,,,9,617.0,390.0,8,613.0,590.0,0
1,24,00:31:22,56483,1,0,B,2,挑球,,1.0,2,6,408.0,548.0,1.0,5,507.0,407.0,,,,,6,471.0,555.0,8,625.0,410.0,0
1,25,00:31:23,56507,1,0,A,2,切球,,,1,5,507.0,407.0,2.0,2,434.0,528.0,,,,,8,555.0,414.0,8,572.0,577.0,0
1,26,00:31:24,56535,1,0,B,2,挑球,,1.0,2,2,434.0,528.0,1.0,3,477.0,393.0,,,,,2,479.0,538.0,8,582.0,422.0,0
1,27,00:31:25,56574,1,0,A,2,切球,,,1,3,477.0,393.0,2.0,1,815.0,531.0,,,,,3,499.0,396.0,8,581.0,575.0,0
1,28,00:31:26,56603,1,0,B,2,挑球,,,2,1,815.0,531.0,1.0,4,789.0,397.0,,,,,7,775.0,544.0,8,614.0,422.0,0
1,29,00:31:27,56634,1,0,A,2,切球,,1.0,1,4,789.0,397.0,2.0,8,747.0,548.0,,,,,6,758.0,400.0,8,724.0,574.0,0
1,30,00:31:28,56659,1,0,B,2,放小球,,,2,8,747.0,548.0,2.0,2,838.0,471.0,,,,,8,709.0,563.0,8,679.0,417.0,0
1,31,00:31:29,56692,1,0,A,2,放小球,,1.0,2,2,838.0,471.0,2.0,1,874.0,508.0,,,,,2,791.0,463.0,8,689.0,564.0,0
1,32,00:31:30,56721,1,0,B,2,挑球,,,2,1,874.0,508.0,1.0,9,555.0,396.0,,,,,1,824.0,519.0,7,734.0,450.0,0
1,33,00:31:31,56759,1,0,A,2,殺球,,,1,9,555.0,396.0,2.0,6,455.0,578.0,,,,,9,585.0,396.0,8,682.0,559.0,0
1,34,00:31:32,56776,1,0,B,3,擋小球,,1.0,2,6,455.0,578.0,2.0,2,445.0,500.0,掛網,對手掛網,A,,8,616.0,581.0,8,594.0,407.0,0
2,1,00:32:02,57665,2,0,A,1,發短球,,1.0,2,,,,2.0,7,568.0,533.0,,,,,8,654.0,436.0,8,541.0,591.0,0
2,2,00:32:02,57689,2,0,B,2,推球,,1.0,2,7,568.0,533.0,1.0,5,473.0,402.0,,,,,7,625.0,544.0,8,658.0,438.0,0
2,3,00:32:04,57722,2,0,A,2,後場抽平球,,,1,5,473.0,402.0,1.0,6,452.0,578.0,,,,,8,530.0,401.0,8,583.0,567.0,0
2,4,00:32:04,57736,2,0,B,2,擋小球,,1.0,1,6,452.0,578.0,2.0,7,537.0,452.0,,,,,8,580.0,572.0,8,547.0,405.0,0
2,5,00:32:05,57759,2,0,A,2,推球,,,2,7,537.0,452.0,1.0,8,496.0,577.0,,,,,8,572.0,446.0,8,623.0,587.0,0
2,6,00:32:05,57773,2,0,B,2,殺球,,1.0,1,8,496.0,577.0,2.0,8,568.0,431.0,,,,,8,587.0,576.0,8,574.0,443.0,0
2,7,00:32:06,57785,2,0,A,2,防守回抽,,,2,8,568.0,431.0,1.0,8,511.0,584.0,,,,,8,563.0,436.0,8,543.0,568.0,0
2,8,00:32:06,57800,2,0,B,2,平球,1.0,,1,8,511.0,584.0,1.0,5,521.0,420.0,,,,,8,641.0,583.0,8,576.0,432.0,0
2,9,00:32:07,57814,2,0,A,2,平球,,,1,5,521.0,420.0,2.0,8,694.0,589.0,,,,,8,565.0,430.0,8,641.0,581.0,0
2,10,00:32:07,57832,2,0,B,2,擋小球,,,2,8,694.0,589.0,2.0,2,815.0,473.0,,,,,8,664.0,581.0,8,569.0,424.0,0
2,11,00:32:08,57861,2,0,A,2,放小球,,1.0,2,2,815.0,473.0,2.0,1,813.0,512.0,,,,,7,732.0,459.0,8,688.0,572.0,0
2,12,00:32:09,57890,2,0,B,2,挑球,,,2,1,813.0,512.0,1.0,4,812.0,393.0,,,,,1,799.0,530.0,8,713.0,443.0,0
2,13,00:32:11,57940,2,0,A,2,切球,,,1,4,812.0,393.0,2.0,6,406.0,560.0,,,,,9,750.0,397.0,8,715.0,576.0,0
2,14,00:32:12,57965,2,0,B,2,放小球,,1.0,2,6,406.0,560.0,2.0,1,482.0,471.0,,,,,6,441.0,566.0,8,735.0,403.0,0
2,15,00:32:13,57995,2,0,A,2,放小球,,,2,1,482.0,471.0,2.0,1,830.0,510.0,,,,,1,510.0,458.0,8,547.0,580.0,0
2,16,00:32:14,58024,2,0,B,2,放小球,,,2,1,830.0,510.0,1.0,2,829.0,482.0,,,,,1,797.0,524.0,8,630.0,450.0,0
2,17,00:32:14,58047,2,0,A,3,撲球,,1.0,1,2,829.0,482.0,2.0,8,690.0,604.0,對手落地致勝,落地致勝,A,,7,712.0,459.0,7,756.0,544.0,0
3,1,00:32:40,58821,3,0,A,1,發短球,,1.0,2,,,,2.0,7,742.0,529.0,,,,,8,630.0,438.0,8,754.0,593.0,0
3,2,00:32:41,58842,3,0,B,2,挑球,,,2,7,742.0,529.0,1.0,8,749.0,398.0,,,,,8,707.0,547.0,8,629.0,440.0,0
3,3,00:32:42,58877,3,0,A,2,切球,,,1,8,749.0,398.0,2.0,8,774.0,563.0,,,,,8,678.0,404.0,8,699.0,574.0,0
3,4,00:32:43,58894,3,0,B,2,放小球,,,2,8,774.0,563.0,2.0,8,643.0,445.0,,,,,8,736.0,579.0,8,691.0,404.0,0
3,5,00:32:43,58916,3,0,A,2,推球,,1.0,2,8,643.0,445.0,1.0,8,763.0,577.0,,,,,8,586.0,436.0,8,676.0,576.0,0
3,6,00:32:44,58935,3,0,B,2,殺球,,,1,8,763.0,577.0,2.0,6,777.0,417.0,,,,,8,654.0,576.0,8,593.0,431.0,0
3,7,00:32:44,58947,3,0,A,2,防守回抽,,1.0,2,6,777.0,417.0,1.0,5,866.0,594.0,,,,,8,632.0,426.0,8,722.0,593.0,0
3,8,00:32:45,58969,3,0,B,2,殺球,,,1,5,866.0,594.0,2.0,6,830.0,405.0,,,,,8,768.0,601.0,8,663.0,426.0,0
3,9,00:32:46,58983,3,0,A,3,擋小球,,1.0,2,6,830.0,405.0,2.0,6,470.0,559.0,對手落地致勝,落地致勝,A,,8,658.0,420.0,5,863.0,617.0,0
4,1,00:33:13,59811,4,0,A,1,發短球,,1.0,2,,,,2.0,7,586.0,539.0,,,,,8,656.0,437.0,8,539.0,594.0,0
4,2,00:33:14,59832,4,0,B,2,放小球,,1.0,2,7,586.0,539.0,2.0,2,784.0,481.0,,,,,8,618.0,550.0,8,652.0,439.0,0
4,3,00:33:15,59858,4,0,A,2,放小球,,1.0,2,2,784.0,481.0,2.0,1,836.0,502.0,,,,,7,750.0,467.0,8,665.0,558.0,0
4,4,00:33:16,59883,4,0,B,2,推球,,,2,1,836.0,502.0,1.0,8,673.0,405.0,,,,,1,803.0,512.0,7,721.0,460.0,0
4,5,00:33:16,59907,4,0,A,3,點扣,1.0,,1,8,673.0,405.0,2.0,6,389.0,577.0,對手落地致勝,落地致勝,A,,8,687.0,413.0,7,744.0,533.0,0
5,1,00:33:36,60490,5,0,A,1,發短球,,1.0,2,,,,2.0,7,737.0,534.0,,,,,8,627.0,435.0,8,750.0,592.0,0
5,2,00:33:37,60514,5,0,B,2,放小球,,,2,7,737.0,534.0,2.0,7,598.0,478.0,,,,,7,704.0,543.0,8,626.0,434.0,0
5,3,00:33:37,60538,5,0,A,2,放小球,,1.0,2,7,598.0,478.0,2.0,2,449.0,506.0,,,,,7,573.0,465.0,8,630.0,554.0,0
5,4,00:33:38,60564,5,0,B,2,挑球,,1.0,2,2,449.0,506.0,1.0,8,556.0,403.0,,,,,7,511.0,515.0,7,590.0,452.0,0
5,5,00:33:40,60624,5,0,A,2,殺球,,,1,8,556.0,403.0,2.0,8,797.0,588.0,,,,,9,577.0,394.0,8,653.0,588.0,0
5,6,00:33:41,60639,5,0,B,2,擋小球,,,2,8,797.0,588.0,2.0,6,819.0,436.0,,,,,8,730.0,591.0,8,563.0,413.0,0
5,7,00:33:42,60666,5,0,A,2,放小球,,1.0,2,6,819.0,436.0,2.0,7,656.0,524.0,,,,,6,775.0,431.0,8,723.0,578.0,0
5,8,00:33:43,60690,5,0,B,2,推球,,1.0,2,7,656.0,524.0,1.0,6,777.0,398.0,,,,,7,727.0,530.0,8,682.0,433.0,0
5,9,00:33:44,60723,5,0,A,2,切球,,,1,6,777.0,398.0,2.0,6,429.0,578.0,,,,,8,701.0,407.0,8,710.0,583.0,0
5,10,00:33:44,60741,5,0,B,2,放小球,,1.0,2,6,429.0,578.0,2.0,7,532.0,467.0,,,,,8,616.0,583.0,8,725.0,404.0,0
5,11,00:33:45,60771,5,0,A,2,放小球,,,2,7,532.0,467.0,2.0,1,819.0,513.0,,,,,7,536.0,459.0,8,527.0,571.0,0
5,12,00:33:46,60801,5,0,B,3,放小球,,,2,1,819.0,513.0,2.0,1,805.0,499.0,掛網,對手掛網,A,,7,772.0,529.0,8,636.0,443.0,0
6,1,00:34:09,61497,6,0,A,1,發短球,,1.0,2,,,,2.0,7,580.0,541.0,,,,,8,654.0,438.0,8,535.0,591.0,0
6,2,00:34:10,61520,6,0,B,2,放小球,,1.0,2,7,580.0,541.0,2.0,2,804.0,476.0,,,,,8,611.0,548.0,8,652.0,439.0,0
6,3,00:34:11,61546,6,0,A,2,挑球,,1.0,2,2,804.0,476.0,1.0,5,838.0,635.0,,,,,7,735.0,467.0,8,685.0,557.0,0
6,4,00:34:12,61580,6,0,B,2,切球,,,1,5,838.0,635.0,1.0,2,783.0,460.0,,,,,9,766.0,647.0,8,681.0,439.0,0
6,5,00:34:13,61607,6,0,A,2,放小球,,1.0,1,2,783.0,460.0,2.0,2,495.0,523.0,,,,,7,738.0,451.0,8,717.0,607.0,0
6,6,00:34:14,61632,6,0,B,2,挑球,,1.0,2,2,495.0,523.0,1.0,9,693.0,398.0,,,,,7,521.0,536.0,8,641.0,442.0,0
6,7,00:34:15,61672,6,0,A,2,殺球,,,1,9,693.0,398.0,2.0,5,832.0,585.0,,,,,8,679.0,399.0,8,660.0,577.0,0
6,8,00:34:16,61690,6,0,B,2,擋小球,,,2,5,832.0,585.0,2.0,2,792.0,474.0,,,,,8,777.0,583.0,8,674.0,408.0,0
6,9,00:34:17,61721,6,0,A,2,放小球,,1.0,2,2,792.0,474.0,2.0,1,875.0,520.0,,,,,7,754.0,465.0,8,705.0,567.0,0
6,10,00:34:18,61751,6,0,B,2,挑球,,,2,1,875.0,520.0,1.0,8,530.0,406.0,,,,,1,855.0,531.0,8,720.0,443.0,0
6,11,00:34:19,61796,6,0,A,2,殺球,,,1,8,530.0,406.0,2.0,6,464.0,578.0,,,,,8,570.0,404.0,8,689.0,576.0,0
6,12,00:34:20,61811,6,0,B,2,擋小球,,1.0,2,6,464.0,578.0,2.0,7,564.0,466.0,,,,,8,655.0,584.0,8,539.0,402.0,0
6,13,00:34:21,61838,6,0,A,2,放小球,,,2,7,564.0,466.0,2.0,7,582.0,508.0,,,,,7,604.0,455.0,8,613.0,583.0,0
6,14,00:34:22,61863,6,0,B,2,挑球,,1.0,2,7,582.0,508.0,1.0,8,537.0,409.0,,,,,7,630.0,517.0,8,597.0,450.0,0
6,15,00:34:23,61912,6,0,A,2,殺球,,,1,8,537.0,409.0,2.0,8,611.0,600.0,,,,,8,554.0,410.0,8,662.0,593.0,0
6,16,00:34:24,61925,6,0,B,3,擋小球,,,2,8,611.0,600.0,2.0,7,629.0,499.0,未過網,對手未過網,A,,8,680.0,606.0,8,529.0,426.0,0
7,1,00:34:47,62629,6,1,A,1,發短球,,1.0,2,,,,2.0,7,740.0,531.0,,,,,8,628.0,436.0,8,744.0,589.0,0
7,2,00:34:48,62650,6,1,B,2,放小球,,,2,7,740.0,531.0,2.0,7,622.0,471.0,,,,,8,718.0,547.0,8,625.0,437.0,0
7,3,00:34:49,62673,6,1,A,2,放小球,,1.0,2,7,622.0,471.0,2.0,2,467.0,506.0,,,,,7,590.0,463.0,8,662.0,553.0,0
7,4,00:34:49,62698,6,1,B,2,挑球,,1.0,2,2,467.0,506.0,1.0,8,627.0,404.0,,,,,7,517.0,515.0,7,592.0,458.0,0
7,5,00:34:52,62763,6,1,A,2,殺球,,,1,8,627.0,404.0,2.0,8,498.0,603.0,,,,,8,634.0,400.0,8,680.0,598.0,0
7,6,00:34:52,62776,6,1,B,2,擋小球,,1.0,2,8,498.0,603.0,2.0,1,473.0,470.0,,,,,8,703.0,609.0,8,609.0,415.0,0
