rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:22:11,39945,1,0,A,1,發短球,,1.0,2,,,,1.0,7,585.0,392.0,,,,,8,660.0,536.0,8,583.0,367.0,0
1,2,00:22:12,39965,1,0,B,3,放小球,,1.0,1,7,585.0,392.0,2.0,1,481.0,433.0,掛網,對手掛網,A,,8,579.0,388.0,8,637.0,537.0,0
2,1,00:22:22,40278,2,0,A,1,發短球,,1.0,2,,,,2.0,7,687.0,391.0,,,,,8,619.0,513.0,8,714.0,357.0,0
2,2,00:22:23,40304,2,0,B,2,推球,,1.0,2,7,687.0,391.0,1.0,9,487.0,615.0,,,,,8,696.0,379.0,8,623.0,518.0,0
2,3,00:22:24,40336,2,0,A,2,殺球,1.0,,1,9,487.0,615.0,2.0,8,741.0,349.0,,,,,8,485.0,600.0,8,630.0,341.0,0
2,4,00:22:25,40350,2,0,B,2,擋小球,,1.0,2,8,741.0,349.0,2.0,1,802.0,502.0,,,,,8,647.0,356.0,8,489.0,589.0,0
2,5,00:22:26,40381,2,0,A,2,挑球,,,2,1,802.0,502.0,1.0,4,794.0,316.0,,,,,8,692.0,526.0,8,666.0,362.0,0
2,6,00:22:27,40423,2,0,B,3,殺球,1.0,,1,4,794.0,316.0,2.0,15,952.0,600.0,出界,對手出界,A,,4,786.0,317.0,8,678.0,534.0,0
3,1,00:22:48,41048,2,1,A,1,發短球,,1.0,2,,,,2.0,8,577.0,383.0,,,,,8,660.0,541.0,8,579.0,371.0,0
3,2,00:22:49,41071,2,1,B,2,推球,,,2,8,577.0,383.0,1.0,3,832.0,618.0,,,,,8,591.0,384.0,8,616.0,525.0,0
3,3,00:22:50,41101,2,1,A,3,殺球,,,1,3,832.0,618.0,2.0,2,821.0,442.0,掛網,對手掛網,B,,9,706.0,616.0,8,660.0,364.0,0
4,1,00:23:07,41630,2,2,B,1,發短球,,1.0,2,,,,2.0,7,524.0,497.0,,,,,8,664.0,378.0,8,529.0,537.0,0
4,2,00:23:08,41652,2,2,A,2,放小球,,1.0,2,7,524.0,497.0,2.0,1,472.0,401.0,,,,,8,575.0,510.0,8,650.0,372.0,0
4,3,00:23:09,41680,2,2,B,2,放小球,,,2,1,472.0,401.0,2.0,2,454.0,470.0,,,,,8,584.0,375.0,8,605.0,527.0,0
4,4,00:23:10,41710,2,2,A,2,放小球,,1.0,2,2,454.0,470.0,2.0,1,436.0,416.0,,,,,7,527.0,492.0,8,579.0,365.0,0
4,5,00:23:11,41736,2,2,B,2,挑球,,,2,1,436.0,416.0,1.0,4,454.0,645.0,,,,,7,528.0,393.0,7,552.0,495.0,0
4,6,00:23:13,41803,2,2,A,2,點扣,1.0,,1,4,454.0,645.0,2.0,5,455.0,360.0,,,,,4,416.0,646.0,8,609.0,361.0,0
4,7,00:23:14,41842,2,2,B,2,擋小球,,,2,5,455.0,360.0,2.0,2,455.0,486.0,,,,,8,586.0,364.0,8,510.0,543.0,0
4,8,00:23:14,41848,2,2,A,2,推球,,1.0,2,2,455.0,486.0,1.0,4,765.0,316.0,,,,,6,480.0,530.0,8,587.0,344.0,0
4,9,00:23:16,41888,2,2,B,2,過度切球,,1.0,1,4,765.0,316.0,2.0,5,846.0,556.0,,,,,8,698.0,328.0,8,636.0,542.0,0
4,10,00:23:16,41905,2,2,A,2,擋小球,,,2,5,846.0,556.0,1.0,6,782.0,366.0,,,,,8,700.0,555.0,8,706.0,335.0,0
4,11,00:23:18,41953,2,2,B,2,擋小球,,1.0,1,6,782.0,366.0,2.0,1,802.0,496.0,,,,,8,698.0,362.0,7,773.0,501.0,0
4,12,00:23:18,41953,2,2,A,2,推球,,,2,1,802.0,496.0,1.0,9,531.0,314.0,,,,,7,760.0,507.0,8,687.0,371.0,0
4,13,00:23:19,41990,2,2,B,2,長球,,,1,9,531.0,314.0,1.0,6,475.0,613.0,,,,,9,582.0,324.0,8,649.0,534.0,0
4,14,00:23:20,42020,2,2,A,2,殺球,1.0,,1,6,475.0,613.0,2.0,6,771.0,351.0,,,,,6,456.0,610.0,8,629.0,336.0,0
4,15,00:23:21,42037,2,2,B,2,擋小球,,1.0,2,6,771.0,351.0,2.0,1,794.0,490.0,,,,,8,685.0,354.0,6,477.0,613.0,0
4,16,00:23:22,42067,2,2,A,3,放小球,,,2,1,794.0,490.0,2.0,1,799.0,449.0,掛網,對手掛網,B,,8,727.0,513.0,8,723.0,346.0,0
