rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:05:11,9346,1,0,B,1,發短球,,1.0,2,,,,2.0,8,715.0,508.0,,,,,8,621.0,370.0,8,724.0,540.0,0
1,2,00:05:12,9367,1,0,A,2,推球,,,2,8,715.0,508.0,1.0,3,465.0,313.0,,,,,8,691.0,517.0,8,648.0,364.0,0
1,3,00:05:13,9399,1,0,B,3,後場抽平球,,,1,3,465.0,313.0,2.0,12,334.0,618.0,出界,對手出界,A,,9,546.0,323.0,8,598.0,560.0,0
2,1,00:05:25,9767,2,0,A,1,未知球種,,,2,,,,2.0,,,,,,,1,,,,,,,0
2,2,00:05:26,9797,2,0,B,2,放小球,,1.0,2,,,,2.0,6,410.0,508.0,,,,,7,624.0,399.0,8,644.0,512.0,0
2,3,00:05:27,9826,2,0,A,2,挑球,,1.0,2,6,410.0,508.0,1.0,4,766.0,320.0,,,,,6,489.0,514.0,8,606.0,379.0,0
2,4,00:05:28,9856,2,0,B,2,點扣,1.0,,1,4,766.0,320.0,2.0,5,838.0,555.0,,,,,8,650.0,346.0,8,640.0,551.0,0
2,5,00:05:28,9869,2,0,A,2,擋小球,,,2,5,838.0,555.0,2.0,6,779.0,387.0,,,,,8,707.0,582.0,8,704.0,326.0,0
2,6,00:05:29,9895,2,0,B,2,挑球,,1.0,2,6,779.0,387.0,1.0,3,813.0,626.0,,,,,7,733.0,390.0,8,757.0,559.0,0
2,7,00:05:31,9935,2,0,A,3,點扣,,,1,3,813.0,626.0,2.0,5,451.0,369.0,對手落地致勝,落地致勝,A,,8,761.0,605.0,8,615.0,357.0,0
3,1,00:05:48,10458,2,1,A,1,未知球種,,,2,,,,2.0,,,,,,,1,,,,,,,0
3,2,00:05:48,10458,2,1,B,2,挑球,,,2,,,,1.0,3,849.0,622.0,,,,,7,515.0,404.0,8,624.0,538.0,0
3,3,00:05:49,10485,2,1,A,2,過度切球,,,1,3,849.0,622.0,2.0,1,450.0,397.0,,,,,3,817.0,627.0,8,621.0,369.0,0
3,4,00:05:50,10514,2,1,B,2,放小球,,,2,1,450.0,397.0,2.0,2,438.0,475.0,,,,,7,514.0,394.0,8,685.0,565.0,0
3,5,00:05:51,10544,2,1,A,2,推球,,1.0,2,2,438.0,475.0,1.0,3,484.0,321.0,,,,,7,503.0,499.0,8,554.0,375.0,0
3,6,00:05:52,10572,2,1,B,2,過度切球,,,1,3,484.0,321.0,2.0,7,776.0,503.0,,,,,8,525.0,335.0,8,594.0,536.0,0
3,7,00:05:53,10599,2,1,A,2,放小球,,,2,7,776.0,503.0,2.0,2,826.0,399.0,,,,,8,728.0,535.0,8,597.0,355.0,0
3,8,00:05:54,10633,2,1,B,2,放小球,,1.0,2,2,826.0,399.0,2.0,1,841.0,474.0,,,,,2,783.0,403.0,8,694.0,524.0,0
3,9,00:05:55,10665,2,1,A,2,挑球,,,2,1,841.0,474.0,1.0,4,802.0,318.0,,,,,1,808.0,501.0,8,723.0,386.0,0
3,10,00:05:56,10703,2,1,B,2,殺球,1.0,,1,4,802.0,318.0,2.0,5,812.0,550.0,,,,,8,701.0,326.0,8,725.0,553.0,0
3,11,00:05:57,10715,2,1,A,2,擋小球,,,2,5,812.0,550.0,2.0,5,493.0,385.0,,,,,8,711.0,570.0,8,727.0,325.0,0
3,12,00:05:58,10746,2,1,B,2,挑球,,,2,5,493.0,385.0,1.0,9,780.0,622.0,,,,,8,561.0,376.0,8,650.0,563.0,0
3,13,00:05:59,10777,2,1,A,2,點扣,,,1,9,780.0,622.0,2.0,6,807.0,346.0,,,,,8,706.0,609.0,8,608.0,365.0,0
3,14,00:05:59,10789,2,1,B,2,擋小球,,1.0,2,6,807.0,346.0,2.0,8,562.0,579.0,,,,,8,609.0,354.0,9,770.0,619.0,0
3,15,00:06:00,10814,2,1,A,2,放小球,,1.0,2,8,562.0,579.0,2.0,7,719.0,391.0,,,,,8,720.0,584.0,8,642.0,372.0,0
