rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:40:05,72174,1,0,A,1,發長球,,,2,,,,1.0,3,954,629,,,,,8,588,323,8,741,542,0
1,2,00:40:08,72240,1,0,B,2,殺球,,,1,3,954.0,629.0,2.0,6,826,311,,,,,3,946,622,8,637,331,0
1,3,00:40:08,72262,1,0,A,2,防守回挑,,1.0,2,6,826.0,311.0,1.0,5,942,596,,,,,8,644,317,8,804,551,0
1,4,00:40:09,72298,1,0,B,2,切球,,,1,5,942.0,596.0,2.0,8,510,347,,,,,5,852,597,8,648,313,0
1,5,00:40:10,72328,1,0,A,2,推球,,,2,8,510.0,347.0,1.0,6,358,579,,,,,7,538,354,8,708,535,0
1,6,00:40:11,72356,1,0,B,2,後場抽平球,,1.0,1,6,358.0,579.0,1.0,1,477,361,,,,,6,438,586,8,549,342,0
1,7,00:40:12,72382,1,0,A,2,推球,,,1,1,477.0,361.0,2.0,3,958,607,,,,,7,509,356,8,571,543,0
1,8,00:40:13,72418,1,0,B,2,後場抽平球,,,2,3,958.0,607.0,1.0,2,848,356,,,,,9,819,607,8,662,328,0
1,9,00:40:14,72445,1,0,A,2,放小球,,1.0,1,2,848.0,356.0,2.0,2,441,425,,,,,2,805,360,8,741,553,0
1,10,00:40:15,72473,1,0,B,2,放小球,,1.0,2,2,441.0,425.0,1.0,7,489,387,,,,,7,484,446,8,708,340,0
1,11,00:40:16,72497,1,0,A,3,推球,,,1,7,489.0,387.0,2.0,4,289,615,對手落地致勝,落地致勝,A,,7,507,377,7,494,434,0
2,1,00:40:36,73082,2,0,A,1,發長球,,,2,,,,1.0,9,438,648,,,,,8,640,322,8,504,544,0
2,2,00:40:38,73147,2,0,B,2,切球,,,1,9,438.0,648.0,2.0,1,453,352,,,,,13,445,667,8,591,312,0
2,3,00:40:39,73177,2,0,A,2,推球,,,2,1,453.0,352.0,1.0,4,346,610,,,,,5,492,349,8,567,551,0
2,4,00:40:40,73210,2,0,B,2,長球,,,1,4,346.0,610.0,1.0,3,468,282,,,,,8,510,572,8,582,321,0
2,5,00:40:41,73242,2,0,A,2,點扣,,,1,3,468.0,282.0,2.0,5,838,485,,,,,3,497,286,8,556,560,0
2,6,00:40:42,73262,2,0,B,3,擋小球,,,2,5,838.0,485.0,2.0,5,909,479,未過網,對手未過網,A,,8,758,506,3,505,285,0
3,1,00:40:58,73750,3,0,A,1,發長球,,,2,,,,1.0,3,876,634,,,,,8,588,325,8,752,549,0
3,2,00:41:00,73813,3,0,B,3,長球,,,1,3,876.0,634.0,2.0,12,866,279,出界,對手出界,A,,9,844,649,8,627,318,0
4,1,00:41:22,74478,3,1,A,1,發長球,,,2,,,,1.0,4,385,633,,,,,8,639,315,8,512,546,0
4,2,00:41:24,74544,3,1,B,2,切球,,,1,4,385.0,633.0,2.0,6,798,329,,,,,4,401,646,8,588,316,0
4,3,00:41:25,74569,3,1,A,2,推球,,1.0,2,6,798.0,329.0,1.0,6,435,559,,,,,8,748,331,8,565,582,0
4,4,00:41:26,74594,3,1,B,2,殺球,,,1,6,435.0,559.0,2.0,5,462,308,,,,,8,621,551,8,646,323,0
4,5,00:41:27,74612,3,1,A,2,擋小球,,,2,5,462.0,308.0,2.0,2,426,467,,,,,8,513,312,8,572,556,0
4,6,00:41:28,74642,3,1,B,2,推球,,1.0,2,2,426.0,467.0,1.0,3,497,283,,,,,6,464,479,8,575,317,0
4,7,00:41:29,74671,3,1,A,2,後場抽平球,,,1,3,497.0,283.0,1.0,8,686,526,,,,,8,527,290,8,571,511,0
4,8,00:41:29,74687,3,1,B,2,長球,,,1,8,686.0,526.0,1.0,3,513,285,,,,,8,621,534,8,545,297,0
4,9,00:41:30,74713,3,1,A,2,切球,,,1,3,513.0,285.0,2.0,2,421,428,,,,,8,539,302,8,582,536,0
4,10,00:41:31,74742,3,1,B,2,放小球,,1.0,2,2,421.0,428.0,2.0,1,441,394,,,,,2,452,447,8,560,310,0
4,11,00:41:32,74772,3,1,A,3,放小球,,,2,1,441.0,394.0,2.0,16,896,416,出界,對手出界,B,,1,474,370,7,517,458,0
5,1,00:41:56,75500,4,1,B,1,發長球,,,2,,,,1.0,4,763,282,,,,,8,612,530,8,714,311,0
5,2,00:41:58,75563,4,1,A,3,長球,,,1,4,763.0,282.0,2.0,6,294,595,對手落地致勝,落地致勝,A,,9,726,286,8,718,503,0
6,1,00:42:16,76088,4,2,A,1,發長球,,,2,,,,1.0,3,860,643,,,,,8,589,320,8,749,541,0
6,2,00:42:18,76159,4,2,B,2,長球,,,1,3,860.0,643.0,1.0,3,508,282,,,,,9,827,655,8,629,319,0
6,3,00:42:19,76195,4,2,A,2,長球,,,1,3,508.0,282.0,1.0,4,424,620,,,,,8,520,290,8,626,556,0
6,4,00:42:21,76236,4,2,B,2,切球,,,1,4,424.0,620.0,2.0,8,739,328,,,,,9,466,610,8,599,307,0
6,5,00:42:21,76259,4,2,A,2,推球,,1.0,2,8,739.0,328.0,1.0,8,537,572,,,,,8,704,325,8,500,599,0
6,6,00:42:22,76280,4,2,B,3,切球,,,1,8,537.0,572.0,2.0,2,819,351,對手落地致勝,落地致勝,B,,8,596,571,8,619,324,0
7,1,00:42:40,76807,5,2,B,1,發短球,,,2,,,,2.0,5,477,344,,,,,8,670,527,8,541,303,0
7,2,00:42:41,76834,5,2,A,2,放小球,,1.0,2,5,477.0,344.0,2.0,1,878,435,,,,,5,491,345,8,655,508,0
7,3,00:42:42,76868,5,2,B,3,放小球,,,2,1,878.0,435.0,2.0,1,885,406,掛網,對手掛網,A,,1,798,456,8,625,333,0
8,1,00:42:59,77390,5,3,A,1,發長球,,,2,,,,1.0,9,475,642,,,,,8,640,318,8,507,545,0
8,2,00:43:01,77458,5,3,B,2,長球,,,1,9,475.0,642.0,1.0,3,491,287,,,,,9,448,657,8,589,315,0
8,3,00:43:02,77486,5,3,A,2,點扣,,,1,3,491.0,287.0,1.0,8,559,516,,,,,3,493,287,8,555,568,0
8,4,00:43:03,77501,5,3,B,2,擋小球,,1.0,1,8,559.0,516.0,2.0,6,786,338,,,,,8,639,545,3,479,289,0
8,5,00:43:04,77528,5,3,A,2,挑球,,1.0,2,6,786.0,338.0,1.0,5,869,572,,,,,8,710,341,8,653,535,0
8,6,00:43:05,77557,5,3,B,2,殺球,,,1,5,869.0,572.0,2.0,6,775,307,,,,,8,761,586,8,661,324,0
8,7,00:43:05,77570,5,3,A,2,擋小球,,1.0,2,6,775.0,307.0,2.0,7,519,460,,,,,8,624,317,8,770,586,0
8,8,00:43:06,77598,5,3,B,2,放小球,,1.0,2,7,519.0,460.0,2.0,1,476,365,,,,,8,540,474,8,637,314,0
8,9,00:43:07,77628,5,3,A,2,挑球,,,2,1,476.0,365.0,1.0,3,893,607,,,,,7,515,351,8,567,488,0
8,10,00:43:08,77668,5,3,B,2,長球,,,1,3,893.0,607.0,1.0,9,612,283,,,,,9,788,615,8,619,323,0
8,11,00:43:10,77701,5,3,A,2,切球,,,1,9,612.0,283.0,2.0,2,457,469,,,,,9,629,285,8,658,547,0
8,12,00:43:10,77729,5,3,B,2,推球,,1.0,2,2,457.0,469.0,1.0,3,483,281,,,,,8,487,475,8,613,302,0
8,13,00:43:12,77761,5,3,A,2,長球,,,1,3,483.0,281.0,1.0,5,929,586,,,,,5,511,290,8,563,511,0
8,14,00:43:13,77794,5,3,B,2,殺球,,,1,5,929.0,586.0,2.0,6,800,301,,,,,8,821,597,8,582,300,0
8,15,00:43:13,77810,5,3,A,3,擋小球,,1.0,2,6,800.0,301.0,2.0,7,518,357,未過網,對手未過網,B,,8,634,309,5,888,602,0
9,1,00:43:38,78551,6,3,B,1,發長球,,,2,,,,1.0,4,755,280,,,,,8,610,528,8,712,306,0
9,2,00:43:40,78617,6,3,A,2,殺球,,,1,4,755.0,280.0,2.0,8,492,525,,,,,9,705,287,8,718,511,0
9,3,00:43:41,78633,6,3,B,2,擋小球,,1.0,2,8,492.0,525.0,2.0,7,563,363,,,,,8,716,532,8,710,295,0
9,4,00:43:42,78664,6,3,A,2,挑球,,,2,7,563.0,363.0,1.0,4,408,616,,,,,7,565,352,8,624,530,0
9,5,00:43:43,78696,6,3,B,2,殺球,,,1,4,408.0,616.0,2.0,5,474,309,,,,,8,527,582,8,590,326,0
9,6,00:43:43,78713,6,3,A,2,防守回抽,,,2,5,474.0,309.0,1.0,6,379,529,,,,,8,556,311,9,450,609,0
9,7,00:43:44,78731,6,3,B,2,擋小球,,1.0,1,6,379.0,529.0,2.0,7,528,356,,,,,8,549,553,8,518,310,0
9,8,00:43:45,78757,6,3,A,2,挑球,,,2,7,528.0,356.0,1.0,4,417,604,,,,,7,550,354,8,552,529,0
9,9,00:43:46,78794,6,3,B,3,切球,,,1,4,417.0,604.0,2.0,7,741,409,掛網,對手掛網,A,,8,467,585,8,592,326,0
10,1,00:44:13,79607,7,3,A,1,發長球,,,2,,,,1.0,3,937,631,,,,,8,588,318,8,756,541,0
10,2,00:44:15,79677,7,3,B,2,切球,,,1,3,937.0,631.0,2.0,5,498,347,,,,,3,882,634,8,626,313,0
10,3,00:44:16,79705,7,3,A,2,放小球,,,2,5,498.0,347.0,2.0,2,433,437,,,,,8,514,342,8,693,552,0
10,4,00:44:17,79733,7,3,B,2,挑球,,1.0,2,2,433.0,437.0,1.0,9,553,285,,,,,2,471,447,8,549,342,0
10,5,00:44:19,79778,7,3,A,2,長球,,,1,9,553.0,285.0,1.0,3,937,628,,,,,9,562,286,8,606,500,0
10,6,00:44:20,79813,7,3,B,2,長球,,,1,3,937.0,628.0,1.0,4,803,280,,,,,9,828,623,8,614,302,0
10,7,00:44:21,79848,7,3,A,2,長球,,,1,4,803.0,280.0,1.0,3,986,626,,,,,8,719,295,8,694,553,0
10,8,00:44:22,79886,7,3,B,2,長球,,,1,3,986.0,626.0,1.0,4,813,282,,,,,3,889,621,8,677,310,0
10,9,00:44:23,79918,7,3,A,2,長球,,,1,4,813.0,282.0,1.0,3,920,608,,,,,8,711,296,8,737,565,0
10,10,00:44:25,79954,7,3,B,2,切球,,,1,3,920.0,608.0,2.0,1,458,351,,,,,9,832,610,8,671,315,0
10,11,00:44:26,79982,7,3,A,2,推球,,,2,1,458.0,351.0,1.0,6,335,599,,,,,7,505,354,8,702,544,0
10,12,00:44:27,80014,7,3,B,2,長球,,,1,6,335.0,599.0,1.0,9,517,283,,,,,8,526,573,8,557,326,0
10,13,00:44:28,80041,7,3,A,2,長球,,,1,9,517.0,283.0,1.0,3,903,606,,,,,8,532,304,8,537,556,0
10,14,00:44:29,80076,7,3,B,2,長球,,,1,3,903.0,606.0,1.0,4,782,284,,,,,9,806,615,8,591,299,0
10,15,00:44:30,80111,7,3,A,2,切球,,,1,4,782.0,284.0,2.0,2,429,448,,,,,8,707,294,8,695,548,0
10,16,00:44:31,80140,7,3,B,2,放小球,,1.0,2,2,429.0,448.0,2.0,1,454,366,,,,,2,437,470,8,688,293,0
10,17,00:44:32,80171,7,3,A,3,挑球,,,2,1,454.0,366.0,2.0,11,285,600,落點判斷失誤,對手落點判斷失誤,A,,1,487,359,8,529,475,0
11,1,00:45:22,81673,8,3,A,1,發長球,,,2,,,,1.0,4,362,628,,,,,8,639,322,8,503,544,0
11,2,00:45:24,81739,8,3,B,2,長球,,,1,4,362.0,628.0,1.0,3,490,281,,,,,4,383,633,8,595,312,0
11,3,00:45:25,81770,8,3,A,2,切球,,,1,3,490.0,281.0,2.0,1,867,458,,,,,3,482,285,8,522,549,0
11,4,00:45:26,81798,8,3,B,2,放小球,,,2,1,867.0,458.0,2.0,2,844,363,,,,,8,783,474,8,580,300,0
11,5,00:45:27,81827,8,3,A,2,挑球,,1.0,2,2,844.0,363.0,1.0,9,441,607,,,,,2,783,359,8,692,477,0
11,6,00:45:28,81865,8,3,B,2,長球,,,1,9,441.0,607.0,1.0,9,534,285,,,,,8,571,576,8,646,327,0
11,7,00:45:29,81898,8,3,A,2,長球,,,1,9,534.0,285.0,1.0,6,410,569,,,,,9,548,287,8,550,555,0
11,8,00:45:30,81928,8,3,B,2,點扣,,,1,6,410.0,569.0,2.0,8,515,307,,,,,8,533,558,8,586,304,0
11,9,00:45:31,81949,8,3,A,2,擋小球,,,2,8,515.0,307.0,2.0,2,441,464,,,,,8,551,308,8,540,568,0
11,10,00:45:32,81981,8,3,B,2,放小球,,1.0,2,2,441.0,464.0,1.0,7,501,354,,,,,8,473,476,8,598,321,0
