rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,01:01:59,111588,0,1,B,1,發短球,,,2,,,,2,8,554,336,,,,,8,650,528,8,535,311,0
1,2,01:02:00,111614,0,1,A,2,推球,,1.0,2,8,554.0,336.0,1,8,788,562,,,,,8,542,341,8,596,526,0
1,3,01:02:01,111633,0,1,B,2,點扣,,,1,8,788.0,562.0,2,8,563,315,,,,,8,633,550,8,554,334,0
1,4,01:02:01,111646,0,1,A,2,防守回抽,,,2,8,563.0,315.0,1,8,683,522,,,,,8,600,322,8,640,555,0
1,5,01:02:02,111662,0,1,B,3,切球,,,1,8,683.0,522.0,2,2,791,362,對手落地致勝,落地致勝,B,,8,618,544,8,603,332,0
2,1,01:02:15,112063,0,2,B,1,發短球,,,2,,,,2,8,729,340,,,,,8,586,522,8,709,312,0
2,2,01:02:16,112091,0,2,A,2,推球,,1.0,2,8,729.0,340.0,1,5,944,596,,,,,8,687,348,8,620,516,0
2,3,01:02:17,112118,0,2,B,2,長球,,,1,5,944.0,596.0,1,4,798,285,,,,,8,722,569,8,668,338,0
2,4,01:02:18,112156,0,2,A,3,切球,,,1,4,798.0,285.0,2,16,916,452,出界,對手出界,B,,8,720,296,8,695,545,0
3,1,01:02:35,112674,0,3,B,1,發短球,,,2,,,,2,8,556,335,,,,,8,651,528,8,540,310,0
3,2,01:02:36,112699,0,3,A,2,挑球,,1.0,2,8,556.0,335.0,1,4,319,621,,,,,8,540,340,8,590,530,0
3,3,01:02:38,112748,0,3,B,2,長球,,,1,4,319.0,621.0,1,3,473,286,,,,,4,359,636,8,582,322,0
3,4,01:02:39,112774,0,3,A,2,點扣,,,1,3,473.0,286.0,2,5,882,499,,,,,5,488,296,8,460,574,0
3,5,01:02:39,112797,0,3,B,2,防守回抽,,1.0,2,5,882.0,499.0,1,6,769,293,,,,,8,806,525,8,537,307,0
3,6,01:02:40,112823,0,3,A,2,切球,,1.0,1,6,769.0,293.0,2,1,876,425,,,,,8,717,306,8,775,542,0
3,7,01:02:41,112858,0,3,B,2,放小球,,1.0,2,1,876.0,425.0,2,2,853,389,,,,,1,826,465,8,655,315,0
3,8,01:02:43,112890,0,3,A,2,放小球,,1.0,2,2,853.0,389.0,2,7,586,404,,,,,2,806,379,8,756,482,0
3,9,01:02:44,112920,0,3,B,2,挑球,,,2,7,586.0,404.0,1,4,760,280,,,,,7,576,423,7,745,362,0
3,10,01:02:46,112982,0,3,A,2,長球,,1.0,1,4,760.0,280.0,1,8,532,577,,,,,9,721,281,8,647,488,0
3,11,01:02:47,113025,0,3,B,3,殺球,,,1,8,532.0,577.0,2,6,785,309,對手落地致勝,落地致勝,B,,8,547,600,8,600,305,0
4,1,01:03:18,113956,1,3,B,1,發短球,,,2,,,,2,8,684,340,,,,,8,585,537,8,706,311,0
4,2,01:03:19,113978,1,3,A,2,放小球,,,2,8,684.0,340.0,2,7,777,421,,,,,8,706,347,8,605,527,0
4,3,01:03:20,114004,1,3,B,2,推球,,1.0,2,7,777.0,421.0,1,9,514,280,,,,,7,748,446,8,666,336,0
4,4,01:03:21,114042,1,3,A,2,切球,,,1,9,514.0,280.0,2,1,830,463,,,,,8,536,291,8,594,509,0
4,5,01:03:22,114070,1,3,B,2,推球,,1.0,2,1,830.0,463.0,1,4,784,290,,,,,8,792,483,8,577,303,0
4,6,01:03:23,114094,1,3,A,2,長球,,1.0,1,4,784.0,290.0,1,9,794,610,,,,,8,718,312,8,724,511,0
4,7,01:03:24,114134,1,3,B,2,點扣,,,1,9,794.0,610.0,2,6,826,329,,,,,9,738,614,8,648,318,0
4,8,01:03:25,114158,1,3,A,2,擋小球,,1.0,2,6,826.0,329.0,2,1,851,457,,,,,6,768,334,8,703,588,0
4,9,01:03:26,114184,1,3,B,3,推球,,1.0,2,1,851.0,457.0,2,12,835,280,出界,對手出界,A,,5,814,474,8,674,324,0
5,1,01:03:48,114855,1,4,A,1,發長球,,,2,,,,1,4,384,626,,,,,8,637,322,8,506,563,0
5,2,01:03:50,114917,1,4,B,2,長球,,,1,4,384.0,626.0,1,3,440,280,,,,,4,369,641,8,590,317,0
5,3,01:03:51,114950,1,4,A,2,長球,,,1,3,440.0,280.0,1,6,366,569,,,,,5,465,290,8,522,551,0
5,4,01:03:52,114978,1,4,B,2,長球,,,1,6,366.0,569.0,1,9,515,280,,,,,8,451,579,8,521,300,0
5,5,01:03:53,115012,1,4,A,2,切球,,,1,9,515.0,280.0,2,2,467,442,,,,,9,537,289,8,523,541,0
5,6,01:03:54,115039,1,4,B,2,放小球,,,2,2,467.0,442.0,2,2,824,373,,,,,7,500,465,8,584,305,0
5,7,01:03:55,115071,1,4,A,2,挑球,,1.0,2,2,824.0,373.0,1,9,836,619,,,,,7,759,363,8,658,491,0
5,8,01:03:57,115121,1,4,B,2,殺球,,,1,9,836.0,619.0,2,5,490,318,,,,,9,774,613,8,641,329,0
5,9,01:03:57,115139,1,4,A,3,擋小球,,,2,5,490.0,318.0,2,1,413,400,掛網,對手掛網,B,,8,583,321,9,758,617,0
6,1,01:04:31,116141,2,4,B,1,未知球種,,,2,,,,2,1,413,400,,,,1,8,583,321,9,758,617,0
6,2,01:04:22,115888,2,4,A,2,放小球,,1.0,2,1,413.0,400.0,2,1,840,453,,,,,8,527,340,8,599,527,0
6,3,01:04:23,115918,2,4,B,2,推球,,1.0,2,1,840.0,453.0,1,3,497,283,,,,,8,785,474,8,616,329,0
6,4,01:04:25,115950,2,4,A,2,長球,,,1,3,497.0,283.0,1,4,367,621,,,,,8,531,290,8,589,514,0
6,5,01:04:26,115982,2,4,B,2,長球,,,1,4,367.0,621.0,1,9,733,286,,,,,9,445,617,8,576,309,0
6,6,01:04:27,116014,2,4,A,2,長球,,,1,9,733.0,286.0,1,3,873,617,,,,,8,653,301,8,559,586,0
6,7,01:04:28,116054,2,4,B,2,點扣,,,1,3,873.0,617.0,2,6,761,321,,,,,9,821,619,8,644,311,0
6,8,01:04:29,116074,2,4,A,2,擋小球,,1.0,2,6,761.0,321.0,2,2,437,453,,,,,8,614,320,8,784,602,0
6,9,01:04:30,116105,2,4,B,2,推球,,,2,2,437.0,453.0,1,4,795,287,,,,,7,469,467,8,623,322,0
6,10,01:04:31,116138,2,4,A,2,長球,,1.0,1,4,795.0,287.0,1,5,880,561,,,,,6,750,295,8,609,500,0
6,11,01:04:32,116166,2,4,B,2,殺球,,,1,5,880.0,561.0,2,6,785,303,,,,,8,752,559,8,657,307,0
6,12,01:04:32,116181,2,4,A,2,擋小球,,1.0,2,6,785.0,303.0,2,1,812,433,,,,,8,613,316,8,786,556,0
6,13,01:04:33,116208,2,4,B,3,推球,,1.0,2,1,812.0,433.0,2,13,520,266,出界,對手出界,A,,7,768,456,8,658,325,0
7,1,01:05:03,117116,3,4,A,1,發長球,,,2,,,,1,3,904,651,,,,,8,583,325,8,758,547,0
7,2,01:05:06,117184,3,4,B,2,切球,,,1,3,904.0,651.0,2,5,462,342,,,,,9,850,648,8,624,318,0
7,3,01:05:06,117208,3,4,A,2,推球,,,2,5,462.0,342.0,1,6,404,587,,,,,8,509,336,8,713,585,0
7,4,01:05:07,117233,3,4,B,2,長球,,,1,6,404.0,587.0,1,3,511,284,,,,,8,509,573,8,564,324,0
7,5,01:05:08,117261,3,4,A,2,點扣,,,1,3,511.0,284.0,2,6,431,515,,,,,8,509,296,8,443,568,0
7,6,01:05:09,117275,3,4,B,2,擋小球,,,2,6,431.0,515.0,2,8,727,349,,,,,8,482,536,8,556,299,0
7,7,01:05:10,117306,3,4,A,2,推球,,1.0,2,8,727.0,349.0,1,9,450,615,,,,,8,701,350,8,621,523,0
7,8,01:05:11,117338,3,4,B,2,長球,,,1,9,450.0,615.0,1,3,478,283,,,,,9,503,620,8,607,328,0
7,9,01:05:12,117370,3,4,A,2,切球,,,1,3,478.0,283.0,2,2,464,441,,,,,5,490,293,8,549,554,0
7,10,01:05:13,117401,3,4,B,2,挑球,,,2,2,464.0,441.0,1,3,511,277,,,,,7,495,461,8,559,310,0
7,11,01:05:14,117437,3,4,A,2,切球,,,1,3,511.0,277.0,2,6,415,479,,,,,9,525,288,8,556,511,0
7,12,01:05:15,117464,3,4,B,2,推球,,,2,6,415.0,479.0,2,3,454,281,,,,,8,468,503,8,559,295,0
7,13,01:05:16,117501,3,4,A,2,後場抽平球,,,2,3,454.0,281.0,2,2,423,459,,,,,3,501,283,8,513,523,0
7,14,01:05:17,117529,3,4,B,2,放小球,,,2,2,423.0,459.0,2,1,461,365,,,,,7,472,470,8,550,300,0
7,15,01:05:18,117562,3,4,A,2,挑球,,,2,1,461.0,365.0,1,9,687,607,,,,,1,486,357,8,582,492,0
7,16,01:05:20,117606,3,4,B,2,長球,,,1,9,687.0,607.0,1,3,502,280,,,,,9,645,608,8,586,337,0
7,17,01:05:21,117639,3,4,A,2,切球,,,1,3,502.0,280.0,2,2,451,430,,,,,3,510,289,8,567,559,0
7,18,01:05:22,117668,3,4,B,2,放小球,,,2,2,451.0,430.0,2,1,436,379,,,,,2,461,446,8,548,301,0
7,19,01:05:23,117698,3,4,A,2,挑球,,,2,1,436.0,379.0,1,9,557,622,,,,,1,480,365,7,541,467,0
7,20,01:05:24,117748,3,4,B,2,長球,,,1,9,557.0,622.0,1,9,542,283,,,,,9,535,611,8,543,332,0
7,21,01:05:25,117776,3,4,A,2,點扣,,,1,9,542.0,283.0,2,5,916,517,,,,,8,530,293,8,562,578,0
7,22,01:05:26,117797,3,4,B,3,擋小球,,1.0,2,5,916.0,517.0,2,16,1224,437,出界,對手出界,A,,5,825,523,8,572,299,0
8,1,01:06:14,119232,4,4,A,1,發長球,,,2,,,,1,9,425,644,,,,,8,636,319,8,500,562,0
8,2,01:06:16,119298,4,4,B,3,切球,,,1,9,425.0,644.0,2,2,437,408,掛網,對手掛網,A,,13,413,666,8,596,312,0
9,1,01:06:32,119780,5,4,A,1,發長球,,,2,,,,1,3,863,645,,,,,8,586,322,8,771,565,0
9,2,01:06:34,119844,5,4,B,2,長球,,,1,3,863.0,645.0,1,3,502,281,,,,,9,798,647,8,621,317,0
9,3,01:06:35,119878,5,4,A,2,長球,,,1,3,502.0,281.0,1,6,361,589,,,,,9,535,289,8,604,555,0
9,4,01:06:37,119911,5,4,B,3,點扣,,,1,6,361.0,589.0,2,11,843,315,出界,對手出界,A,,6,400,597,8,581,302,0
10,1,01:07:12,120989,6,4,A,1,發長球,,,2,,,,1,4,366,633,,,,,8,636,318,8,506,560,0
10,2,01:07:15,121053,6,4,B,2,點扣,,,1,4,366.0,633.0,2,8,695,327,,,,,4,348,644,8,587,315,0
10,3,01:07:15,121071,6,4,A,2,擋小球,,1.0,2,8,695.0,327.0,2,7,564,426,,,,,8,583,317,4,404,614,0
10,4,01:07:16,121102,6,4,B,2,放小球,,,2,7,564.0,426.0,2,7,615,373,,,,,7,577,449,8,622,335,0
10,5,01:07:17,121131,6,4,A,2,放小球,,1.0,2,7,615.0,373.0,2,1,791,415,,,,,7,590,372,8,625,472,0
10,6,01:07:18,121163,6,4,B,3,放小球,,1.0,2,1,791.0,415.0,2,2,822,403,掛網,對手掛網,A,,7,756,433,7,627,368,0
11,1,01:07:37,121731,7,4,A,1,發長球,,,2,,,,1,9,793,648,,,,,8,582,320,8,774,566,0
11,2,01:07:39,121798,7,4,B,2,長球,,,1,9,793.0,648.0,1,4,746,285,,,,,9,734,640,8,621,319,0
11,3,01:07:40,121821,7,4,A,2,點扣,,,1,4,746.0,285.0,2,8,500,492,,,,,8,661,305,8,684,569,0
11,4,01:07:41,121840,7,4,B,3,擋小球,,,2,8,500.0,492.0,2,11,869,347,出界,對手出界,A,,8,539,517,8,663,308,0
12,1,01:08:01,122456,7,5,A,1,發長球,,,2,,,,1,4,366,641,,,,,8,633,322,8,494,567,0
12,2,01:08:04,122521,7,5,B,2,長球,,,1,4,366.0,641.0,1,3,458,284,,,,,4,358,646,8,589,315,0
12,3,01:08:04,122549,7,5,A,2,長球,,,1,3,458.0,284.0,1,3,902,612,,,,,3,469,289,8,514,560,0
12,4,01:08:06,122580,7,5,B,2,點扣,,,1,3,902.0,612.0,1,5,495,323,,,,,8,700,584,8,555,303,0
12,5,01:08:06,122604,7,5,A,2,擋小球,,,1,5,495.0,323.0,2,2,422,450,,,,,8,560,331,8,772,587,0
12,6,01:08:07,122634,7,5,B,2,挑球,,,2,2,422.0,450.0,1,3,475,278,,,,,2,461,461,8,599,330,0
12,7,01:08:09,122675,7,5,A,2,長球,,,1,3,475.0,278.0,1,4,423,608,,,,,3,498,284,8,550,518,0
12,8,01:08:10,122726,7,5,B,2,殺球,,,1,4,423.0,608.0,2,6,779,310,,,,,4,416,616,8,590,308,0
12,9,01:08:11,122744,7,5,A,2,擋小球,,1.0,2,6,779.0,310.0,2,1,828,426,,,,,8,569,319,8,465,586,0
12,10,01:08:12,122774,7,5,B,2,放小球,,1.0,2,1,828.0,426.0,2,2,848,383,,,,,1,798,455,8,678,326,0
12,11,01:08:13,122804,7,5,A,3,放小球,,1.0,2,2,848.0,383.0,2,10,896,395,掛網,對手掛網,B,,2,776,362,8,759,473,0
13,1,01:08:49,123898,8,5,B,1,發短球,,,2,,,,2,8,718,339,,,,,8,592,527,8,705,312,0
13,2,01:08:50,123927,8,5,A,2,推球,,1.0,2,8,718.0,339.0,1,8,468,579,,,,,8,688,346,8,599,520,0
13,3,01:08:51,123951,8,5,B,2,切球,,,1,8,468.0,579.0,2,7,514,360,,,,,8,609,558,8,613,330,0
13,4,01:08:52,123977,8,5,A,2,放小球,,,2,7,514.0,360.0,2,2,446,429,,,,,7,549,354,8,546,551,0
13,5,01:08:53,124008,8,5,B,2,挑球,,,2,2,446.0,429.0,1,3,490,281,,,,,2,466,456,8,582,333,0
