rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:35:36,64083,0,1,A,1,發長球,,,2,,,,1,3,939,630,,,,,8,601,245,8,782,532,0
1,2,00:35:38,64142,0,1,B,2,長球,,,1,3,939.0,630.0,1,9,518,198,,,,,9,838,616,8,623,239,0
1,3,00:35:39,64178,0,1,A,2,切球,,,1,9,518.0,198.0,2,2,451,437,,,,,9,553,200,8,625,530,0
1,4,00:35:40,64200,0,1,B,2,放小球,,,2,2,451.0,437.0,2,1,453,325,,,,,8,482,462,8,607,211,0
1,5,00:35:40,64229,0,1,A,2,挑球,,,2,1,453.0,325.0,1,4,342,645,,,,,7,496,304,8,574,478,0
1,6,00:35:42,64278,0,1,B,2,長球,,,1,4,342.0,645.0,1,5,434,206,,,,,13,354,669,8,569,245,0
1,7,00:35:43,64312,0,1,A,2,切球,,,1,5,434.0,206.0,2,7,693,427,,,,,3,449,204,8,509,561,0
1,8,00:35:44,64335,0,1,B,2,放小球,,,2,7,693.0,427.0,2,7,792,340,,,,,8,709,452,8,544,213,0
1,9,00:35:45,64364,0,1,A,2,放小球,,1.0,2,7,792.0,340.0,2,1,860,376,,,,,7,737,310,8,668,503,0
1,10,00:35:46,64392,0,1,B,2,挑球,,1.0,2,1,860.0,376.0,1,4,802,191,,,,,1,814,394,7,723,293,0
1,11,00:35:48,64459,0,1,A,2,切球,,,1,4,802.0,191.0,2,8,519,489,,,,,4,777,194,8,698,497,0
1,12,00:35:49,64477,0,1,B,2,挑球,,,2,8,519.0,489.0,1,5,505,218,,,,,8,617,503,9,771,196,0
1,13,00:35:50,64504,0,1,A,2,長球,,,1,5,505.0,218.0,1,9,458,623,,,,,8,588,226,8,521,509,0
1,14,00:35:51,64552,0,1,B,2,點扣,,,1,9,458.0,623.0,2,8,775,248,,,,,4,422,603,8,581,232,0
1,15,00:35:52,64569,0,1,A,2,擋小球,,1.0,2,8,775.0,248.0,2,5,866,468,,,,,8,599,242,8,504,584,0
1,16,00:35:53,64594,0,1,B,2,挑球,,1.0,2,5,866.0,468.0,1,9,533,202,,,,,8,793,486,8,670,248,0
1,17,00:35:54,64630,0,1,A,2,切球,,,1,9,533.0,202.0,2,7,521,403,,,,,9,557,200,8,630,517,0
1,18,00:35:55,64658,0,1,B,2,放小球,,,2,7,521.0,403.0,2,7,606,339,,,,,7,514,437,8,598,213,0
1,19,00:35:56,64689,0,1,A,3,挑球,,,2,7,606.0,339.0,2,14,1012,614,出界,對手出界,B,,7,627,317,7,589,432,0
2,1,00:36:13,65195,1,1,B,1,發短球,,,2,,,,2,7,694,300,,,,,8,593,500,8,725,238,0
2,2,00:36:14,65222,1,1,A,2,挑球,,1.0,2,7,694.0,300.0,1,9,437,625,,,,,8,642,286,8,623,481,0
2,3,00:36:15,65260,1,1,B,2,切球,,,1,9,437.0,625.0,2,5,483,258,,,,,9,462,625,8,581,240,0
2,4,00:36:16,65280,1,1,A,2,放小球,,,2,5,483.0,258.0,2,7,626,442,,,,,8,526,244,8,537,578,0
2,5,00:36:16,65307,1,1,B,3,挑球,,1.0,2,7,626.0,442.0,2,13,501,167,出界,對手出界,A,,8,546,465,8,608,256,0
3,1,00:36:31,65752,1,2,A,1,發長球,,,2,,,,1,9,544,618,,,,,8,656,246,8,503,533,0
3,2,00:36:33,65814,1,2,B,2,切球,,,1,9,544.0,618.0,2,1,479,290,,,,,9,505,613,8,609,237,0
3,3,00:36:34,65836,1,2,A,2,放小球,,,2,1,479.0,290.0,2,7,490,397,,,,,8,500,270,8,566,556,0
3,4,00:36:35,65868,1,2,B,2,挑球,,,2,7,490.0,397.0,1,3,506,200,,,,,7,539,431,8,598,271,0
3,5,00:36:36,65905,1,2,A,2,長球,,,1,3,506.0,200.0,1,8,444,592,,,,,9,531,195,8,573,512,0
3,6,00:36:38,65940,1,2,B,2,切球,,,1,8,444.0,592.0,2,8,545,286,,,,,8,471,594,8,584,233,0
3,7,00:36:38,65959,1,2,A,2,放小球,,,2,8,545.0,286.0,2,8,676,466,,,,,8,585,263,8,536,559,0
3,8,00:36:39,65978,1,2,B,2,放小球,,1.0,2,8,676.0,466.0,2,7,529,324,,,,,8,606,484,8,582,257,0
3,9,00:36:40,66008,1,2,A,2,挑球,,,2,7,529.0,324.0,1,9,466,602,,,,,7,565,294,8,650,496,0
3,10,00:36:41,66045,1,2,B,2,切球,,,1,9,466.0,602.0,2,8,508,280,,,,,9,504,628,8,573,248,0
3,11,00:36:42,66068,1,2,A,2,放小球,,,2,8,508.0,280.0,2,2,472,401,,,,,8,553,249,8,583,566,0
3,12,00:36:43,66098,1,2,B,2,放小球,,,2,2,472.0,401.0,2,1,451,349,,,,,7,502,434,8,588,264,0
3,13,00:36:44,66124,1,2,A,2,放小球,,,2,1,451.0,349.0,2,2,433,368,,,,,7,499,319,8,557,449,0
3,14,00:36:44,66147,1,2,B,2,挑球,,,2,2,433.0,368.0,1,6,848,228,,,,,2,469,387,7,539,305,0
3,15,00:36:47,66210,1,2,A,2,殺球,,,1,6,848.0,228.0,2,6,435,550,,,,,6,803,230,8,633,541,0
3,16,00:36:47,66226,1,2,B,2,擋小球,,,2,6,435.0,550.0,2,1,470,320,,,,,8,600,568,6,805,241,0
3,17,00:36:48,66256,1,2,A,2,挑球,,,2,1,470.0,320.0,1,4,420,628,,,,,8,513,285,8,486,519,0
3,18,00:36:49,66295,1,2,B,2,切球,,,1,4,420.0,628.0,2,8,541,287,,,,,9,463,629,8,576,256,0
3,19,00:36:50,66316,1,2,A,2,放小球,,,2,8,541.0,287.0,2,7,794,436,,,,,8,569,261,8,553,571,0
3,20,00:36:51,66347,1,2,B,2,挑球,,1.0,2,7,794.0,436.0,1,8,776,218,,,,,8,699,459,8,608,242,0
3,21,00:36:52,66374,1,2,A,2,切球,,1.0,1,8,776.0,218.0,2,1,894,391,,,,,8,702,231,8,683,490,0
3,22,00:36:53,66403,1,2,B,2,挑球,,1.0,2,1,894.0,391.0,1,4,841,198,,,,,1,829,415,8,710,236,0
