rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:08:01,14430,0,1,B,1,發短球,,1.0,2.0,,,,2.0,7,581.0,449.0,,,,,8,650.0,552.0,8,540.0,392.0,0
1,2,00:08:01,14455,0,1,A,2,放小球,,,2.0,7,581.0,449.0,2.0,7,667.0,492.0,,,,,8,558.0,426.0,8,633.0,559.0,0
1,3,00:08:02,14482,0,1,B,2,挑球,,,2.0,7,667.0,492.0,1.0,9,727.0,358.0,,,,,7,654.0,510.0,8,643.0,422.0,0
1,4,00:08:04,14521,0,1,A,2,長球,,,1.0,9,727.0,358.0,1.0,5,850.0,602.0,,,,,8,682.0,369.0,8,682.0,563.0,0
1,5,00:08:05,14553,0,1,B,2,點扣,,,1.0,5,850.0,602.0,2.0,8,536.0,390.0,,,,,8,793.0,598.0,8,669.0,378.0,0
1,6,00:08:05,14570,0,1,A,2,擋小球,,,2.0,8,536.0,390.0,1.0,7,506.0,510.0,,,,,8,618.0,389.0,5,824.0,613.0,0
1,7,00:08:06,14597,0,1,B,2,放小球,,1.0,1.0,7,506.0,510.0,2.0,7,765.0,439.0,,,,,8,521.0,537.0,8,530.0,391.0,0
1,8,00:08:07,14622,0,1,A,2,挑球,,1.0,2.0,7,765.0,439.0,1.0,9,769.0,632.0,,,,,8,748.0,416.0,8,627.0,554.0,0
1,9,00:08:09,14671,0,1,B,2,切球,,,1.0,9,769.0,632.0,2.0,2,784.0,449.0,,,,,9,750.0,639.0,8,640.0,397.0,0
1,10,00:08:09,14696,0,1,A,2,挑球,,1.0,2.0,2,784.0,449.0,1.0,5,891.0,622.0,,,,,8,750.0,421.0,8,696.0,600.0,0
1,11,00:08:11,14737,0,1,B,2,後場抽平球,,,1.0,5,891.0,622.0,2.0,6,831.0,393.0,,,,,5,846.0,617.0,8,671.0,400.0,0
1,12,00:08:11,14755,0,1,A,2,擋小球,,1.0,2.0,6,831.0,393.0,2.0,1,805.0,498.0,,,,,8,660.0,396.0,8,773.0,606.0,0
1,13,00:08:12,14782,0,1,B,2,放小球,,,2.0,1,805.0,498.0,2.0,2,818.0,462.0,,,,,7,790.0,516.0,8,688.0,396.0,0
1,14,00:08:13,14810,0,1,A,2,挑球,,1.0,2.0,2,818.0,462.0,1.0,9,495.0,634.0,,,,,7,752.0,436.0,8,728.0,535.0,0
1,15,00:08:14,14849,0,1,B,2,長球,,,1.0,9,495.0,634.0,1.0,5,506.0,370.0,,,,,8,600.0,603.0,8,634.0,400.0,0
1,16,00:08:16,14886,0,1,A,2,殺球,,,1.0,5,506.0,370.0,2.0,6,434.0,577.0,,,,,5,508.0,369.0,8,607.0,605.0,0
1,17,00:08:16,14900,0,1,B,2,擋小球,,1.0,2.0,6,434.0,577.0,1.0,1,487.0,447.0,,,,,8,693.0,580.0,5,500.0,368.0,0
1,18,00:08:17,14925,0,1,A,3,撲球,,,1.0,1,487.0,447.0,2.0,13,579.0,677.0,出界,對手出界,B,,5,497.0,423.0,8,595.0,569.0,0
2,1,00:08:33,15418,0,2,B,1,發短球,,1.0,2.0,,,,2.0,7,650.0,440.0,,,,,8,625.0,557.0,8,716.0,398.0,0
2,2,00:08:34,15444,0,2,A,3,挑球,,1.0,2.0,7,650.0,440.0,2.0,12,334.0,642.0,出界,對手出界,B,,7,641.0,427.0,8,646.0,567.0,0
3,1,00:08:47,15834,1,2,B,1,發短球,,1.0,2.0,,,,2.0,7,563.0,457.0,,,,,8,653.0,551.0,8,544.0,393.0,0
3,2,00:08:48,15855,1,2,A,2,放小球,,1.0,2.0,7,563.0,457.0,2.0,7,501.0,478.0,,,,,7,548.0,431.0,8,645.0,562.0,0
3,3,00:08:49,15882,1,2,B,2,挑球,,1.0,2.0,7,501.0,478.0,1.0,9,720.0,361.0,,,,,7,540.0,507.0,8,602.0,418.0,0
3,4,00:08:50,15922,1,2,A,2,點扣,,,1.0,9,720.0,361.0,2.0,6,452.0,544.0,,,,,9,680.0,362.0,8,676.0,563.0,0
3,5,00:08:51,15943,1,2,B,2,擋小球,,1.0,2.0,6,452.0,544.0,2.0,1,493.0,449.0,,,,,8,676.0,560.0,9,706.0,365.0,0
3,6,00:08:52,15974,1,2,A,2,放小球,,,2.0,1,493.0,449.0,2.0,2,443.0,482.0,,,,,7,530.0,427.0,8,586.0,564.0,0
3,7,00:08:53,15999,1,2,B,2,挑球,,1.0,2.0,2,443.0,482.0,1.0,8,747.0,370.0,,,,,2,464.0,498.0,8,567.0,423.0,0
