rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:43:15,77871,1,0,A,1,發短球,,1.0,2,,,,2.0,7,587,345,,,,,8,649,502,8,584,305,0
1,2,00:43:18,77945,1,0,B,2,放小球,,,2,7,587.0,345.0,2.0,7,702,439,,,,,8,593,332,8,631,505,0
1,3,00:43:19,77971,1,0,A,2,放小球,,,2,7,702.0,439.0,2.0,7,636,375,,,,,7,714,449,8,631,320,0
1,4,00:43:19,77997,1,0,B,2,挑球,,1.0,2,7,636.0,375.0,1.0,3,822,627,,,,,7,608,363,7,672,469,0
1,5,00:43:21,78048,1,0,A,2,切球,,,1,3,822.0,627.0,2.0,6,784,339,,,,,9,793,638,8,652,311,0
1,6,00:43:22,78072,1,0,B,2,挑球,,1.0,2,6,784.0,339.0,1.0,6,485,577,,,,,6,755,330,8,713,585,0
1,7,00:43:23,78106,1,0,A,2,殺球,,,1,6,485.0,577.0,2.0,5,529,306,,,,,8,584,558,8,629,315,0
1,8,00:43:24,78120,1,0,B,2,擋小球,,,2,5,529.0,306.0,2.0,7,749,459,,,,,8,552,304,8,570,586,0
1,9,00:43:24,78148,1,0,A,2,放小球,,,2,7,749.0,459.0,2.0,2,780,376,,,,,8,734,471,8,627,311,0
1,10,00:43:25,78177,1,0,B,2,挑球,,1.0,2,2,780.0,376.0,1.0,6,443,602,,,,,7,725,361,8,686,489,0
1,11,00:43:27,78219,1,0,A,2,殺球,,,1,6,443.0,602.0,2.0,5,485,306,,,,,9,508,605,8,617,314,0
1,12,00:43:27,78233,1,0,B,3,擋小球,,,2,5,485.0,306.0,2.0,1,458,396,掛網,對手掛網,A,,8,546,305,4,444,616,0
2,1,00:43:47,78817,2,0,A,1,發短球,,1.0,2,,,,2.0,7,714,346,,,,,8,627,500,8,721,313,0
2,2,00:43:48,78840,2,0,B,3,放小球,,,2,7,714.0,346.0,2.0,2,807,397,掛網,對手掛網,A,,8,721,344,8,638,521,0
3,1,00:44:03,79317,3,0,A,1,發短球,,1.0,2,,,,2.0,5,514,343,,,,,8,650,494,8,585,307,0
3,2,00:44:04,79342,3,0,B,2,挑球,,,2,5,514.0,343.0,1.0,6,436,572,,,,,7,561,345,8,639,516,0
3,3,00:44:05,79372,3,0,A,2,切球,,,1,6,436.0,572.0,2.0,1,477,346,,,,,8,492,570,8,586,316,0
3,4,00:44:06,79398,3,0,B,2,挑球,,,2,1,477.0,346.0,1.0,8,763,585,,,,,5,502,337,8,522,561,0
3,5,00:44:07,79432,3,0,A,2,殺球,,,1,8,763.0,585.0,2.0,6,785,311,,,,,9,710,604,8,602,321,0
3,6,00:44:08,79445,3,0,B,2,擋小球,,1.0,2,6,785.0,311.0,2.0,1,842,450,,,,,8,640,312,13,789,665,0
3,7,00:44:09,79477,3,0,A,2,放小球,,,2,1,842.0,450.0,2.0,2,816,374,,,,,1,802,465,8,689,320,0
3,8,00:44:10,79506,3,0,B,2,挑球,,1.0,2,2,816.0,374.0,1.0,3,865,629,,,,,2,775,361,8,732,478,0
3,9,00:44:12,79564,3,0,A,3,切球,,,1,3,865.0,629.0,2.0,1,458,350,對手落地致勝,落地致勝,A,,3,824,653,8,664,326,0
4,1,00:44:52,80778,3,1,A,1,發短球,,1.0,2,,,,2.0,7,671,348,,,,,8,628,499,8,718,308,0
4,2,00:44:53,80801,3,1,B,2,挑球,,,2,7,671.0,348.0,1.0,5,798,548,,,,,7,711,349,8,653,518,0
4,3,00:44:54,80825,3,1,A,3,點扣,,,1,5,798.0,548.0,2.0,7,557,404,掛網,對手掛網,B,,8,724,553,8,669,325,0
5,1,00:45:12,81368,4,1,B,1,發短球,,1.0,2,,,,2.0,2,486,467,,,,,8,648,325,8,552,532,0
5,2,00:45:13,81393,4,1,A,2,挑球,,1.0,2,2,486.0,467.0,1.0,6,739,287,,,,,7,558,454,8,637,317,0
5,3,00:45:14,81425,4,1,B,2,殺球,,,1,6,739.0,287.0,2.0,5,862,548,,,,,8,651,293,8,666,521,0
5,4,00:45:14,81442,4,1,A,2,擋小球,,,2,5,862.0,548.0,2.0,2,770,368,,,,,8,732,555,8,689,293,0
5,5,00:45:15,81468,4,1,B,2,放小球,,1.0,2,2,770.0,368.0,2.0,1,799,417,,,,,7,748,348,5,811,576,0
5,6,00:45:16,81498,4,1,A,2,放小球,,,2,1,799.0,417.0,2.0,2,774,384,,,,,7,760,435,8,696,335,0
5,7,00:45:17,81522,4,1,B,3,推球,,1.0,2,2,774.0,384.0,2.0,7,652,390,掛網,對手掛網,A,,7,741,369,7,722,452,0
6,1,00:45:34,82042,5,1,A,1,發短球,,1.0,2,,,,2.0,7,588,349,,,,,8,650,500,8,582,309,0
6,2,00:45:35,82067,5,1,B,2,挑球,,,2,7,588.0,349.0,1.0,5,868,601,,,,,8,602,339,8,639,506,0
6,3,00:45:36,82106,5,1,A,2,後場抽平球,,,1,5,868.0,601.0,2.0,6,775,303,,,,,3,818,611,8,651,311,0
6,4,00:45:37,82120,5,1,B,2,擋小球,,1.0,2,6,775.0,303.0,2.0,2,453,460,,,,,8,664,311,9,779,603,0
6,5,00:45:38,82148,5,1,A,2,挑球,,1.0,2,2,453.0,460.0,1.0,9,691,278,,,,,8,516,471,8,655,313,0
6,6,00:45:39,82184,5,1,B,2,長球,,,1,9,691.0,278.0,1.0,6,483,566,,,,,9,658,281,8,606,505,0
6,7,00:45:40,82214,5,1,A,3,殺球,,,1,6,483.0,566.0,2.0,5,476,294,對手落地致勝,落地致勝,A,,8,545,563,8,631,298,0
7,1,00:46:23,83496,6,1,A,1,發短球,,1.0,2,,,,2.0,7,671,346,,,,,8,626,499,8,720,308,0
7,2,00:46:24,83520,6,1,B,2,挑球,,,2,7,671.0,346.0,1.0,6,482,593,,,,,7,711,347,8,657,506,0
7,3,00:46:25,83553,6,1,A,2,點扣,,,1,6,482.0,593.0,2.0,8,711,318,,,,,8,548,585,8,615,313,0
7,4,00:46:25,83567,6,1,B,2,擋小球,,1.0,2,8,711.0,318.0,2.0,2,441,457,,,,,8,589,308,9,499,619,0
7,5,00:46:26,83599,6,1,A,2,放小球,,1.0,2,2,441.0,457.0,2.0,1,471,377,,,,,6,499,472,8,632,317,0
7,6,00:46:27,83628,6,1,B,2,挑球,,,2,1,471.0,377.0,1.0,6,472,597,,,,,1,510,365,8,545,486,0
7,7,00:46:29,83683,6,1,A,2,殺球,,,1,6,472.0,597.0,2.0,8,634,312,,,,,4,479,620,8,589,314,0
7,8,00:46:29,83694,6,1,B,2,擋小球,,1.0,2,8,634.0,312.0,2.0,2,485,461,,,,,8,585,313,9,505,607,0
7,9,00:46:30,83721,6,1,A,2,挑球,,1.0,2,2,485.0,461.0,1.0,8,728,282,,,,,8,534,475,8,600,307,0
7,10,00:46:31,83757,6,1,B,2,殺球,,,1,8,728.0,282.0,2.0,5,862,534,,,,,8,676,284,8,685,526,0
7,11,00:46:32,83772,6,1,A,2,擋小球,,,2,5,862.0,534.0,2.0,2,780,373,,,,,8,731,548,8,695,288,0
7,12,00:46:33,83800,6,1,B,2,放小球,,1.0,2,2,780.0,373.0,2.0,1,827,418,,,,,2,765,355,8,785,537,0
7,13,00:46:34,83828,6,1,A,3,挑球,,,2,1,827.0,418.0,2.0,4,740,267,落點判斷失誤,對手落點判斷失誤,A,,1,796,431,8,703,342,0
8,1,00:47:12,84987,6,2,A,1,發短球,,1.0,2,,,,2.0,7,576,350,,,,,8,649,495,8,588,307,0
8,2,00:47:13,85017,6,2,B,2,放小球,,,2,7,576.0,350.0,2.0,7,659,445,,,,,8,600,343,8,649,494,0
8,3,00:47:14,85040,6,2,A,2,放小球,,,2,7,659.0,445.0,2.0,7,615,391,,,,,7,643,457,8,626,328,0
8,4,00:47:15,85063,6,2,B,2,挑球,,,2,7,615.0,391.0,1.0,3,836,610,,,,,7,624,367,7,628,468,0
8,5,00:47:17,85114,6,2,A,3,切球,,,1,3,836.0,610.0,2.0,2,499,409,掛網,對手掛網,B,,9,787,640,8,647,315,0
9,1,00:47:33,85617,7,2,B,1,發短球,,1.0,2,,,,2.0,7,716,461,,,,,8,617,323,8,751,533,0
9,2,00:47:34,85642,7,2,A,2,推球,,1.0,2,7,716.0,461.0,1.0,6,755,313,,,,,7,749,465,8,638,324,0
9,3,00:47:35,85659,7,2,B,2,切球,,1.0,1,6,755.0,313.0,2.0,2,484,455,,,,,8,685,316,8,730,479,0
9,4,00:47:36,85685,7,2,A,2,放小球,,1.0,2,2,484.0,455.0,2.0,7,737,375,,,,,8,519,479,8,654,309,0
9,5,00:47:37,85710,7,2,B,2,挑球,,1.0,2,7,737.0,375.0,1.0,9,548,609,,,,,7,707,357,8,609,485,0
9,6,00:47:38,85750,7,2,A,2,殺球,,,1,9,548.0,609.0,2.0,5,484,308,,,,,9,564,619,8,623,318,0
9,7,00:47:38,85767,7,2,B,3,擋小球,,,2,5,484.0,308.0,2.0,15,286,302,未過網,對手未過網,A,,8,544,304,9,526,616,0
10,1,00:48:00,86417,7,3,A,1,發短球,,1.0,2,,,,2.0,8,698,344,,,,,8,627,499,8,722,309,0
10,2,00:48:01,86440,7,3,B,2,挑球,,,2,8,698.0,344.0,1.0,3,845,603,,,,,8,723,343,8,648,520,0
10,3,00:48:02,86481,7,3,A,2,切球,,,1,3,845.0,603.0,2.0,1,493,347,,,,,9,801,624,8,652,311,0
