rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:31:20,56410,0,1,A,1,發長球,,1.0,2,,,,1,3,556,250,,,,,8,648,469,8,584,283,0
1,2,00:31:21,56444,0,1,B,2,長球,,,1,3,556.0,250.0,1,6,460,577,,,,,9,565,253,8,671,511,0
1,3,00:31:22,56482,0,1,A,2,點扣,,,1,6,460.0,577.0,2,5,518,284,,,,,4,479,602,8,606,276,0
1,4,00:31:23,56495,0,1,B,2,擋小球,,,2,5,518.0,284.0,2,2,481,436,,,,,8,585,286,4,432,624,0
1,5,00:31:24,56522,0,1,A,2,挑球,,,2,2,481.0,436.0,1,3,516,249,,,,,2,525,434,8,571,289,0
1,6,00:31:25,56557,0,1,B,2,長球,,,1,3,516.0,249.0,1,6,448,578,,,,,3,555,247,8,564,494,0
1,7,00:31:26,56593,0,1,A,3,長球,,,1,6,448.0,578.0,2,13,743,234,出界,對手出界,B,,4,484,594,8,600,273,0
2,1,00:31:40,57016,1,1,B,1,發短球,,1.0,2,,,,2,7,589,424,,,,,8,649,300,8,560,512,0
2,2,00:31:41,57038,1,1,A,2,放小球,,1.0,2,7,589.0,424.0,2,7,558,358,,,,,7,558,430,8,629,300,0
2,3,00:31:42,57063,1,1,B,2,放小球,,,2,7,558.0,358.0,2,2,516,381,,,,,7,561,344,7,585,440,0
2,4,00:31:42,57086,1,1,A,2,放小球,,,2,2,516.0,381.0,2,1,491,356,,,,,7,551,389,7,596,325,0
2,5,00:31:43,57113,1,1,B,2,挑球,,,2,1,491.0,356.0,1,8,532,489,,,,,1,531,348,7,586,414,0
2,6,00:31:45,57176,1,1,A,3,殺球,,,1,8,532.0,489.0,2,8,660,257,對手落地致勝,落地致勝,A,,8,514,498,8,584,270,0
3,1,00:32:13,57997,1,2,A,1,發長球,,1.0,2,,,,1,8,722,254,,,,,8,633,473,8,691,281,0
3,2,00:32:14,58027,1,2,B,2,長球,,,1,8,722.0,254.0,1,8,521,582,,,,,8,695,268,8,632,486,0
3,3,00:32:15,58059,1,2,A,2,長球,,,1,8,521.0,582.0,1,8,686,261,,,,,9,516,607,8,651,270,0
3,4,00:32:16,58085,1,2,B,2,長球,,,1,8,686.0,261.0,1,5,790,529,,,,,8,640,271,8,564,578,0
3,5,00:32:16,58109,1,2,A,2,點扣,,,1,5,790.0,529.0,2,6,749,280,,,,,8,716,528,8,656,266,0
3,6,00:32:17,58122,1,2,B,2,擋小球,,1.0,2,6,749.0,280.0,2,1,778,424,,,,,8,649,272,8,707,539,0
3,7,00:32:18,58146,1,2,A,2,推球,,1.0,2,1,778.0,424.0,1,6,760,259,,,,,7,744,436,8,663,286,0
3,8,00:32:19,58174,1,2,B,2,切球,,1.0,1,6,760.0,259.0,2,1,797,399,,,,,6,749,261,8,684,473,0
3,9,00:32:20,58201,1,2,A,3,推球,,1.0,2,1,797.0,399.0,2,14,504,242,出界,對手出界,B,,1,775,411,8,706,274,0
4,1,00:32:43,58902,2,2,B,1,未知球種,,,2,,,,2,14,504,242,,,,1,1,775,411,8,706,274,0
4,2,00:32:43,58910,2,2,A,2,推球,,1.0,2,14,504.0,242.0,1,3,547,248,,,,,7,641,437,8,642,293,0
4,3,00:32:44,58949,2,2,B,2,過度切球,,,1,3,547.0,248.0,2,1,817,438,,,,,3,562,245,8,575,500,0
4,4,00:32:45,58974,2,2,A,2,挑球,,1.0,2,1,817.0,438.0,1,6,750,253,,,,,5,765,450,8,630,261,0
4,5,00:32:46,59008,2,2,B,2,長球,,,1,6,750.0,253.0,1,6,471,563,,,,,8,710,257,8,665,495,0
4,6,00:32:47,59036,2,2,A,2,後場抽平球,,,1,6,471.0,563.0,1,5,519,280,,,,,8,511,574,8,671,263,0
4,7,00:32:48,59053,2,2,B,2,擋小球,,,1,5,519.0,280.0,2,2,513,404,,,,,5,544,277,8,532,549,0
4,8,00:32:49,59081,2,2,A,2,放小球,,,2,2,513.0,404.0,2,2,742,347,,,,,7,534,416,8,576,293,0
4,9,00:32:50,59107,2,2,B,2,挑球,,1.0,2,2,742.0,347.0,1,9,768,624,,,,,7,715,336,7,621,441,0
4,10,00:32:52,59160,2,2,A,3,切球,,,1,9,768.0,624.0,2,6,795,313,對手落地致勝,落地致勝,A,,9,721,636,8,668,289,0
5,1,00:33:22,60064,3,2,A,1,發短球,,1.0,2,,,,2,7,581,318,,,,,8,648,470,8,582,279,0
5,2,00:33:22,60085,3,2,B,2,放小球,,1.0,2,7,581.0,318.0,2,2,463,402,,,,,8,583,311,8,632,477,0
5,3,00:33:23,60114,3,2,A,2,挑球,,,2,2,463.0,402.0,1,3,551,247,,,,,2,508,413,8,593,311,0
