rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:23:48,42857,1,0,A,1,發長球,,,2,,,,1.0,3,525.0,314.0,,,,,8,652.0,522.0,8,549.0,347.0,0
1,2,00:23:50,42918,1,0,B,2,殺球,1.0,,1,3,525.0,314.0,2.0,6,457.0,563.0,,,,,5,521.0,326.0,8,631.0,571.0,0
1,3,00:23:51,42931,1,0,A,2,防守回抽,,1.0,2,6,457.0,563.0,1.0,8,578.0,336.0,,,,,8,603.0,561.0,8,536.0,340.0,0
1,4,00:23:52,42965,1,0,B,2,點扣,1.0,,1,8,578.0,336.0,2.0,8,740.0,544.0,,,,,8,563.0,349.0,8,626.0,549.0,0
1,5,00:23:52,42981,1,0,A,2,擋小球,,,2,8,740.0,544.0,2.0,8,727.0,379.0,,,,,8,647.0,548.0,8,610.0,339.0,0
1,6,00:23:53,43006,1,0,B,2,勾球,,,2,8,727.0,379.0,2.0,2,431.0,472.0,,,,,8,667.0,364.0,8,657.0,549.0,0
1,7,00:23:54,43038,1,0,A,2,挑球,,1.0,2,2,431.0,472.0,1.0,9,558.0,317.0,,,,,7,543.0,495.0,8,603.0,351.0,0
1,8,00:23:56,43089,1,0,B,2,長球,1.0,,1,9,558.0,317.0,1.0,8,509.0,567.0,,,,,9,569.0,315.0,8,613.0,548.0,0
1,9,00:23:57,43110,1,0,A,2,長球,1.0,,1,8,509.0,567.0,1.0,9,529.0,312.0,,,,,8,564.0,582.0,8,597.0,333.0,0
1,10,00:23:58,43148,1,0,B,2,長球,1.0,,1,9,529.0,312.0,1.0,6,417.0,606.0,,,,,9,537.0,315.0,8,600.0,544.0,0
1,11,00:23:59,43175,1,0,A,2,切球,1.0,,1,6,417.0,606.0,1.0,5,482.0,381.0,,,,,8,506.0,565.0,8,578.0,341.0,0
1,12,00:24:00,43203,1,0,B,2,推球,,1.0,1,5,482.0,381.0,1.0,5,818.0,579.0,,,,,8,536.0,380.0,8,517.0,576.0,0
1,13,00:24:00,43227,1,0,A,2,切球,,,1,5,818.0,579.0,2.0,6,773.0,383.0,,,,,8,718.0,567.0,8,585.0,371.0,0
1,14,00:24:01,43251,1,0,B,2,勾球,,,2,6,773.0,383.0,2.0,2,477.0,477.0,,,,,8,698.0,382.0,8,725.0,578.0,0
1,15,00:24:02,43278,1,0,A,2,放小球,,1.0,2,2,477.0,477.0,2.0,1,467.0,404.0,,,,,8,568.0,516.0,8,667.0,363.0,0
1,16,00:24:03,43305,1,0,B,2,勾球,,1.0,2,1,467.0,404.0,2.0,7,741.0,452.0,,,,,7,551.0,395.0,8,557.0,517.0,0
1,17,00:24:04,43329,1,0,A,2,推球,,,2,7,741.0,452.0,1.0,8,582.0,345.0,,,,,7,673.0,481.0,7,553.0,391.0,0
1,18,00:24:04,43340,1,0,B,2,長球,1.0,,1,8,582.0,345.0,2.0,9,755.0,624.0,,,,,8,599.0,375.0,7,715.0,474.0,0
1,19,00:24:06,43381,1,0,A,2,長球,,,2,9,755.0,624.0,1.0,8,674.0,342.0,,,,,8,665.0,605.0,8,668.0,370.0,0
1,20,00:24:07,43410,1,0,B,3,切球,,,1,8,674.0,342.0,2.0,7,635.0,417.0,未過網,對手未過網,A,,8,683.0,355.0,8,693.0,597.0,0
2,1,00:24:25,43978,2,0,A,1,未知球種,,,2,,,,1.0,7,635.0,417.0,,,,1,8,683.0,355.0,8,693.0,597.0,0
2,2,00:24:26,43999,2,0,B,2,殺球,,,1,7,635.0,417.0,2.0,8,528.0,545.0,,,,,9,682.0,313.0,8,657.0,551.0,0
2,3,00:24:27,44014,2,0,A,2,防守回抽,,1.0,2,8,528.0,545.0,1.0,3,503.0,310.0,,,,,8,628.0,564.0,8,675.0,331.0,0
2,4,00:24:27,44039,2,0,B,2,長球,1.0,,1,3,503.0,310.0,1.0,9,503.0,634.0,,,,,8,566.0,326.0,8,591.0,563.0,0
2,5,00:24:29,44082,2,0,A,2,長球,1.0,,1,9,503.0,634.0,1.0,3,514.0,312.0,,,,,9,513.0,619.0,8,611.0,338.0,0
2,6,00:24:30,44113,2,0,B,2,點扣,1.0,,1,3,514.0,312.0,2.0,6,417.0,518.0,,,,,8,539.0,325.0,8,598.0,549.0,0
2,7,00:24:31,44137,2,0,A,2,擋小球,,1.0,2,6,417.0,518.0,2.0,7,604.0,398.0,,,,,8,502.0,552.0,8,553.0,327.0,0
2,8,00:24:32,44165,2,0,B,2,推球,,1.0,2,7,604.0,398.0,1.0,3,852.0,623.0,,,,,8,629.0,375.0,8,543.0,547.0,0
2,9,00:24:33,44198,2,0,A,2,挑球,,,1,3,852.0,623.0,2.0,2,781.0,394.0,,,,,8,756.0,596.0,8,633.0,347.0,0
2,10,00:24:34,44225,2,0,B,3,勾球,,,2,2,781.0,394.0,2.0,1,483.0,432.0,掛網,對手掛網,A,,8,737.0,380.0,8,706.0,571.0,0
3,1,00:24:53,44809,2,1,A,1,發長球,,,2,,,,1.0,9,603.0,309.0,,,,,8,659.0,522.0,8,549.0,341.0,0
3,2,00:24:55,44869,2,1,B,2,長球,1.0,,1,9,603.0,309.0,1.0,5,831.0,587.0,,,,,9,602.0,316.0,8,643.0,555.0,0
3,3,00:24:56,44893,2,1,A,2,殺球,,,1,5,831.0,587.0,2.0,6,797.0,350.0,,,,,8,707.0,553.0,8,657.0,339.0,0
3,4,00:24:57,44910,2,1,B,2,防守回抽,,,2,6,797.0,350.0,1.0,9,803.0,646.0,,,,,8,716.0,356.0,8,780.0,578.0,0
3,5,00:24:58,44944,2,1,A,3,切球,,,1,9,803.0,646.0,2.0,11,870.0,385.0,出界,對手出界,B,,9,706.0,618.0,8,680.0,344.0,0
4,1,00:25:20,45627,3,1,B,1,未知球種,,,2,,,,2.0,11,870.0,385.0,,,,1,8,706.0,618.0,8,680.0,344.0,0
4,2,00:25:21,45651,3,1,A,2,推球,,1.0,2,11,870.0,385.0,1.0,9,679.0,309.0,,,,,8,588.0,530.0,8,632.0,355.0,0
4,3,00:25:22,45682,3,1,B,2,切球,,,1,9,679.0,309.0,2.0,8,770.0,508.0,,,,,8,672.0,330.0,8,649.0,549.0,0
4,4,00:25:23,45705,3,1,A,2,推球,,,2,8,770.0,508.0,1.0,3,464.0,312.0,,,,,8,689.0,538.0,8,691.0,325.0,0
4,5,00:25:24,45740,3,1,B,3,切球,1.0,,1,3,464.0,312.0,2.0,1,446.0,435.0,掛網,對手掛網,A,,9,533.0,319.0,8,626.0,546.0,0
5,1,00:25:41,46259,4,1,A,1,發長球,,,2,,,,1.0,9,707.0,311.0,,,,,8,612.0,516.0,8,708.0,351.0,0
5,2,00:25:43,46315,4,1,B,2,長球,,,1,9,707.0,311.0,1.0,5,857.0,593.0,,,,,9,700.0,305.0,8,645.0,546.0,0
5,3,00:25:44,46343,4,1,A,2,長球,,,1,5,857.0,593.0,1.0,4,774.0,315.0,,,,,8,791.0,564.0,8,694.0,338.0,0
5,4,00:25:46,46396,4,1,B,2,切球,,,1,4,774.0,315.0,2.0,7,782.0,501.0,,,,,9,738.0,316.0,8,721.0,544.0,0
5,5,00:25:46,46402,4,1,A,2,放小球,,,2,7,782.0,501.0,2.0,7,755.0,416.0,,,,,8,725.0,523.0,8,704.0,334.0,0
5,6,00:25:47,46431,4,1,B,2,挑球,,,2,7,755.0,416.0,1.0,9,710.0,647.0,,,,,7,719.0,394.0,8,711.0,513.0,0
5,7,00:25:49,46474,4,1,A,2,長球,,,1,9,710.0,647.0,1.0,9,740.0,315.0,,,,,9,658.0,640.0,8,656.0,357.0,0
5,8,00:25:50,46509,4,1,B,3,點扣,,,1,9,740.0,315.0,2.0,7,577.0,442.0,掛網,對手掛網,A,,9,721.0,318.0,8,646.0,555.0,0
6,1,00:26:10,47110,5,1,A,1,發長球,,,2,,,,1.0,9,573.0,309.0,,,,,8,654.0,512.0,8,549.0,356.0,0
6,2,00:26:12,47170,5,1,B,2,殺球,1.0,,1,9,573.0,309.0,2.0,5,843.0,554.0,,,,,8,561.0,328.0,8,626.0,559.0,0
6,3,00:26:12,47185,5,1,A,2,擋小球,,,2,5,843.0,554.0,1.0,6,804.0,388.0,,,,,8,656.0,555.0,8,590.0,331.0,0
6,4,00:26:13,47212,5,1,B,3,推球,,,1,6,804.0,388.0,2.0,13,355.0,665.0,出界,對手出界,A,,8,752.0,389.0,8,773.0,555.0,0
