rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:09:54,17843,1,0,A,1,發長球,,1.0,2,,,,1.0,5,517.0,349.0,,,,,8,662.0,564.0,8,567.0,353.0,0
1,2,00:09:55,17869,1,0,B,2,殺球,,,1,5,517.0,349.0,2.0,6,451.0,550.0,,,,,8,527.0,355.0,8,681.0,564.0,0
1,3,00:09:56,17881,1,0,A,2,擋小球,,,2,6,451.0,550.0,2.0,5,497.0,382.0,,,,,8,535.0,563.0,5,479.0,353.0,0
1,4,00:09:56,17906,1,0,B,2,推球,,,2,5,497.0,382.0,1.0,6,458.0,584.0,,,,,8,542.0,381.0,8,556.0,555.0,0
1,5,00:09:57,17926,1,0,A,2,長球,,,1,6,458.0,584.0,1.0,5,514.0,348.0,,,,,8,600.0,564.0,8,554.0,373.0,0
1,6,00:09:58,17949,1,0,B,2,長球,,,1,5,514.0,348.0,1.0,8,741.0,600.0,,,,,8,579.0,359.0,8,521.0,582.0,0
1,7,00:09:59,17985,1,0,A,2,長球,1.0,,1,8,741.0,600.0,1.0,9,562.0,321.0,,,,,8,660.0,596.0,8,606.0,348.0,0
1,8,00:10:00,18024,1,0,B,3,切球,,,1,9,562.0,321.0,2.0,15,929.0,530.0,出界,對手出界,A,,9,579.0,320.0,8,616.0,565.0,0
2,1,00:10:19,18597,2,0,A,1,發短球,,1.0,2,,,,2.0,7,722.0,398.0,,,,,8,634.0,525.0,8,710.0,352.0,0
2,2,00:10:20,18620,2,0,B,2,推球,,1.0,2,7,722.0,398.0,1.0,5,864.0,612.0,,,,,7,676.0,394.0,8,640.0,534.0,0
2,3,00:10:21,18650,2,0,A,2,長球,1.0,,1,5,864.0,612.0,1.0,6,774.0,333.0,,,,,8,675.0,606.0,8,659.0,376.0,0
2,4,00:10:22,18682,2,0,B,2,點扣,1.0,,1,6,774.0,333.0,2.0,8,536.0,553.0,,,,,8,741.0,332.0,8,675.0,572.0,0
2,5,00:10:23,18699,2,0,A,2,擋小球,,,2,8,536.0,553.0,2.0,8,689.0,386.0,,,,,8,577.0,554.0,8,746.0,328.0,0
2,6,00:10:24,18724,2,0,B,2,放小球,,1.0,2,8,689.0,386.0,2.0,2,502.0,458.0,,,,,7,643.0,391.0,8,630.0,525.0,0
2,7,00:10:25,18750,2,0,A,2,推球,,,2,2,502.0,458.0,1.0,3,464.0,317.0,,,,,7,548.0,494.0,8,620.0,378.0,0
2,8,00:10:26,18787,2,0,B,2,長球,,,1,3,464.0,317.0,1.0,6,416.0,568.0,,,,,5,509.0,325.0,8,572.0,546.0,0
2,9,00:10:26,18807,2,0,A,2,長球,,,1,6,416.0,568.0,1.0,5,510.0,326.0,,,,,8,523.0,575.0,8,550.0,329.0,0
2,10,00:10:27,18831,2,0,B,2,長球,,,1,5,510.0,326.0,1.0,5,807.0,613.0,,,,,8,551.0,337.0,6,455.0,566.0,0
2,11,00:10:28,18866,2,0,A,2,過度切球,,1.0,1,5,807.0,613.0,2.0,1,481.0,414.0,,,,,8,776.0,616.0,8,593.0,345.0,0
2,12,00:10:29,18896,2,0,B,2,挑球,,,2,1,481.0,414.0,1.0,4,385.0,622.0,,,,,7,523.0,395.0,8,676.0,583.0,0
2,13,00:10:31,18932,2,0,A,2,過度切球,,,1,4,385.0,622.0,2.0,1,495.0,403.0,,,,,4,470.0,635.0,8,570.0,372.0,0
2,14,00:10:32,18960,2,0,B,3,挑球,,,2,1,495.0,403.0,2.0,12,339.0,634.0,出界,對手出界,A,,5,513.0,389.0,8,555.0,582.0,0
3,1,00:11:00,19826,3,0,A,1,發短球,,1.0,2,,,,2.0,7,589.0,395.0,,,,,8,644.0,532.0,8,564.0,352.0,0
3,2,00:11:01,19847,3,0,B,2,放小球,,1.0,2,7,589.0,395.0,2.0,2,460.0,459.0,,,,,7,534.0,393.0,8,631.0,547.0,0
3,3,00:11:02,19872,3,0,A,2,挑球,,,2,2,460.0,459.0,1.0,3,520.0,317.0,,,,,7,511.0,478.0,8,564.0,381.0,0
3,4,00:11:03,19914,3,0,B,2,殺球,,,1,3,520.0,317.0,2.0,6,441.0,555.0,,,,,9,541.0,318.0,8,581.0,528.0,0
3,5,00:11:04,19931,3,0,A,2,擋小球,,,2,6,441.0,555.0,2.0,8,747.0,388.0,,,,,8,496.0,545.0,9,530.0,323.0,0
3,6,00:11:05,19958,3,0,B,2,推球,,1.0,2,8,747.0,388.0,1.0,6,470.0,609.0,,,,,8,696.0,381.0,8,580.0,553.0,0
3,7,00:11:06,19989,3,0,A,2,殺球,,,1,6,470.0,609.0,2.0,8,650.0,358.0,,,,,8,540.0,615.0,8,601.0,361.0,0
3,8,00:11:06,20001,3,0,B,2,擋小球,,,2,8,650.0,358.0,2.0,1,842.0,502.0,,,,,8,577.0,350.0,8,548.0,590.0,0
3,9,00:11:07,20024,3,0,A,2,推球,,1.0,2,1,842.0,502.0,1.0,6,799.0,346.0,,,,,8,785.0,532.0,8,641.0,358.0,0
