rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,01:04:15,115670,1,0,A,1,發短球,,1.0,2.0,,,,2.0,7,763.0,525.0,,,,,8,626.0,437.0,8,739.0,584.0,0
1,2,01:04:16,115691,1,0,B,2,放小球,,,2.0,7,763.0,525.0,2.0,7,647.0,460.0,,,,,7,718.0,541.0,8,637.0,432.0,0
1,3,01:04:17,115710,1,0,A,2,放小球,,,2.0,7,647.0,460.0,2.0,7,746.0,503.0,,,,,7,643.0,457.0,8,670.0,557.0,0
1,4,01:04:17,115731,1,0,B,2,挑球,,,2.0,7,746.0,503.0,1.0,3,526.0,395.0,,,,,7,717.0,524.0,7,646.0,456.0,0
1,5,01:04:19,115777,1,0,A,3,切球,,,1.0,3,526.0,395.0,2.0,5,891.0,570.0,對手落地致勝,落地致勝,A,,9,563.0,393.0,8,679.0,582.0,0
2,1,01:04:38,116356,1,1,A,1,未知球種,,,2.0,,,,2.0,5,891.0,570.0,,,,1,9,563.0,393.0,8,679.0,582.0,0
2,2,01:04:35,116264,1,1,B,2,挑球,,,2.0,5,891.0,570.0,1.0,8,560.0,401.0,,,,,7,549.0,539.0,8,618.0,432.0,0
2,3,01:04:36,116295,1,1,A,2,殺球,,,1.0,8,560.0,401.0,2.0,6,459.0,585.0,,,,,8,606.0,401.0,8,627.0,577.0,0
2,4,01:04:36,116307,1,1,B,2,擋小球,,1.0,2.0,6,459.0,585.0,2.0,8,546.0,449.0,,,,,8,667.0,596.0,13,567.0,383.0,0
2,5,01:04:37,116334,1,1,A,2,推球,,,2.0,8,546.0,449.0,1.0,8,713.0,567.0,,,,,8,577.0,439.0,8,609.0,590.0,0
2,6,01:04:38,116346,1,1,B,2,擋小球,,,1.0,8,713.0,567.0,2.0,8,659.0,442.0,,,,,8,654.0,576.0,8,580.0,437.0,0
2,7,01:04:38,116365,1,1,A,2,放小球,,1.0,2.0,8,659.0,442.0,2.0,7,699.0,518.0,,,,,8,603.0,434.0,8,683.0,567.0,0
2,8,01:04:39,116390,1,1,B,2,挑球,,,2.0,7,699.0,518.0,1.0,9,544.0,398.0,,,,,8,665.0,555.0,8,626.0,433.0,0
2,9,01:04:40,116426,1,1,A,3,殺球,,,1.0,9,544.0,398.0,2.0,15,947.0,609.0,出界,對手出界,B,,9,587.0,396.0,8,672.0,590.0,0
3,1,01:04:59,116987,2,1,B,1,發短球,,1.0,2.0,,,,2.0,7,677.0,461.0,,,,,8,632.0,559.0,8,724.0,416.0,0
3,2,01:05:00,117006,2,1,A,2,推球,,,2.0,7,677.0,461.0,1.0,8,764.0,574.0,,,,,7,721.0,456.0,8,660.0,570.0,0
3,3,01:05:00,117017,2,1,B,3,平球,,,1.0,8,764.0,574.0,2.0,7,762.0,506.0,掛網,對手掛網,A,,8,708.0,575.0,8,710.0,444.0,0
4,1,01:05:17,117511,3,1,A,1,發短球,,1.0,2.0,,,,2.0,7,726.0,516.0,,,,,8,623.0,434.0,8,738.0,589.0,0
4,2,01:05:17,117536,3,1,B,2,放小球,,,2.0,7,726.0,516.0,2.0,2,788.0,468.0,,,,,7,667.0,534.0,8,620.0,433.0,0
4,3,01:05:18,117564,3,1,A,2,放小球,,1.0,2.0,2,788.0,468.0,2.0,1,813.0,510.0,,,,,7,729.0,464.0,8,689.0,561.0,0
4,4,01:05:19,117589,3,1,B,2,挑球,,,2.0,1,813.0,510.0,1.0,4,756.0,398.0,,,,,7,782.0,526.0,7,693.0,451.0,0
4,5,01:05:21,117641,3,1,A,2,殺球,1.0,,1.0,4,756.0,398.0,2.0,8,771.0,577.0,,,,,9,735.0,393.0,8,704.0,588.0,0
4,6,01:05:21,117651,3,1,B,2,擋小球,,,2.0,8,771.0,577.0,1.0,8,593.0,441.0,,,,,8,730.0,587.0,9,722.0,395.0,0
4,7,01:05:22,117675,3,1,A,2,殺球,,,1.0,8,593.0,441.0,2.0,8,672.0,587.0,,,,,8,602.0,439.0,8,673.0,599.0,0
4,8,01:05:22,117686,3,1,B,3,防守回挑,,,2.0,8,672.0,587.0,2.0,13,610.0,377.0,出界,對手出界,A,,8,637.0,611.0,8,587.0,447.0,0
5,1,01:05:40,118201,3,2,A,1,發短球,,1.0,2.0,,,,2.0,7,593.0,517.0,,,,,8,652.0,435.0,8,541.0,588.0,0
5,2,01:05:40,118219,3,2,B,2,放小球,,,2.0,7,593.0,517.0,2.0,1,475.0,469.0,,,,,7,548.0,532.0,8,624.0,430.0,0
5,3,01:05:41,118239,3,2,A,2,挑球,,,2.0,1,475.0,469.0,1.0,8,712.0,576.0,,,,,7,523.0,454.0,7,574.0,546.0,0
5,4,01:05:42,118261,3,2,B,3,殺球,,,1.0,8,712.0,576.0,2.0,4,776.0,393.0,對手落地致勝,落地致勝,B,,8,614.0,585.0,8,580.0,435.0,0
6,1,01:06:15,119270,4,2,B,1,發短球,,1.0,2.0,,,,2.0,7,523.0,464.0,,,,,8,649.0,558.0,8,563.0,416.0,0
6,2,01:06:16,119290,4,2,A,2,放小球,,1.0,2.0,7,523.0,464.0,2.0,2,421.0,522.0,,,,,7,530.0,458.0,8,631.0,563.0,0
6,3,01:06:17,119313,4,2,B,2,挑球,,1.0,2.0,2,421.0,522.0,1.0,4,781.0,396.0,,,,,2,493.0,526.0,8,561.0,449.0,0
6,4,01:06:18,119358,4,2,A,2,切球,1.0,,1.0,4,781.0,396.0,2.0,7,585.0,536.0,,,,,9,722.0,388.0,8,697.0,590.0,0
6,5,01:06:19,119376,4,2,B,2,擋小球,,,2.0,7,585.0,536.0,2.0,7,574.0,452.0,,,,,8,656.0,576.0,9,733.0,391.0,0
6,6,01:06:20,119403,4,2,A,2,放小球,,,2.0,7,574.0,452.0,2.0,2,496.0,496.0,,,,,8,599.0,442.0,8,638.0,555.0,0
6,7,01:06:20,119428,4,2,B,2,挑球,,1.0,2.0,2,496.0,496.0,1.0,4,788.0,393.0,,,,,7,539.0,512.0,8,592.0,450.0,0
6,8,01:06:22,119480,4,2,A,2,切球,1.0,,1.0,4,788.0,393.0,2.0,7,557.0,531.0,,,,,4,752.0,389.0,8,702.0,583.0,0
6,9,01:06:23,119501,4,2,B,2,擋小球,,,2.0,7,557.0,531.0,2.0,7,519.0,462.0,,,,,8,574.0,552.0,9,736.0,396.0,0
6,10,01:06:24,119529,4,2,A,2,放小球,,,2.0,7,519.0,462.0,2.0,2,426.0,509.0,,,,,8,560.0,446.0,8,599.0,557.0,0
6,11,01:06:25,119553,4,2,B,2,挑球,,1.0,2.0,2,426.0,509.0,1.0,9,734.0,397.0,,,,,2,467.0,525.0,8,570.0,445.0,0
6,12,01:06:26,119599,4,2,A,2,切球,1.0,,1.0,9,734.0,397.0,2.0,7,525.0,532.0,,,,,9,702.0,390.0,8,662.0,575.0,0
6,13,01:06:27,119619,4,2,B,2,勾球,,1.0,2.0,7,525.0,532.0,2.0,6,835.0,450.0,,,,,8,601.0,554.0,9,694.0,396.0,0
6,14,01:06:28,119647,4,2,A,2,放小球,,1.0,2.0,6,835.0,450.0,2.0,1,817.0,502.0,,,,,6,776.0,443.0,8,669.0,567.0,0
6,15,01:06:29,119672,4,2,B,2,挑球,,,2.0,1,817.0,502.0,1.0,4,807.0,397.0,,,,,1,803.0,522.0,8,718.0,441.0,0
6,16,01:06:30,119715,4,2,A,2,點扣,1.0,,1.0,4,807.0,397.0,2.0,8,525.0,567.0,,,,,4,766.0,397.0,8,706.0,590.0,0
6,17,01:06:15,119266,4,2,B,2,未知球種,,1.0,2.0,8,525.0,567.0,,,,,,,,1,8,741.0,588.0,4,762.0,393.0,0
7,1,01:06:54,120445,4,3,A,1,發短球,,1.0,2.0,,,,2.0,7,725.0,521.0,,,,,8,623.0,434.0,8,739.0,583.0,0
7,2,01:06:55,120464,4,3,B,2,挑球,,,2.0,7,725.0,521.0,1.0,3,498.0,392.0,,,,,7,683.0,537.0,8,624.0,432.0,0
7,3,01:06:56,120501,4,3,A,2,後場抽平球,,,1.0,3,498.0,392.0,2.0,6,407.0,584.0,,,,,9,546.0,385.0,8,621.0,582.0,0
7,4,01:06:57,120516,4,3,B,2,擋小球,,1.0,2.0,6,407.0,584.0,2.0,1,485.0,453.0,,,,,8,632.0,585.0,9,560.0,394.0,0
7,5,01:06:58,120540,4,3,A,2,放小球,,,2.0,1,485.0,453.0,2.0,2,437.0,505.0,,,,,8,526.0,446.0,8,585.0,576.0,0
7,6,01:06:58,120566,4,3,B,2,放小球,,1.0,2.0,2,437.0,505.0,2.0,1,439.0,458.0,,,,,2,488.0,522.0,8,557.0,441.0,0
7,7,01:06:59,120591,4,3,A,3,挑球,,,2.0,1,439.0,458.0,2.0,7,538.0,476.0,掛網,對手掛網,B,,1,474.0,454.0,7,551.0,536.0,0
8,1,01:07:28,121445,4,4,B,1,未知球種,,,2.0,,,,1.0,7,538.0,476.0,,,,1,1,474.0,454.0,7,551.0,536.0,0
8,2,01:07:23,121317,4,4,A,3,殺球,1.0,,1.0,7,538.0,476.0,2.0,15,944.0,605.0,出界,對手出界,B,,8,747.0,401.0,8,688.0,597.0,0
9,1,01:07:42,121873,5,4,B,1,未知球種,,,2.0,,,,2.0,15,944.0,605.0,,,,1,8,747.0,401.0,8,688.0,597.0,0
9,2,01:07:42,121864,5,4,A,2,放小球,,,2.0,15,944.0,605.0,2.0,7,719.0,508.0,,,,,7,556.0,452.0,8,645.0,563.0,0
9,3,01:07:42,121885,5,4,B,2,挑球,,,2.0,7,719.0,508.0,1.0,3,483.0,394.0,,,,,7,705.0,525.0,8,620.0,442.0,0
9,4,01:07:44,121929,5,4,A,2,切球,,,1.0,3,483.0,394.0,2.0,2,429.0,545.0,,,,,3,513.0,388.0,8,633.0,572.0,0
9,5,01:07:45,121952,5,4,B,2,擋小球,,1.0,2.0,2,429.0,545.0,2.0,7,583.0,464.0,,,,,8,504.0,562.0,8,577.0,400.0,0
9,6,01:07:45,121977,5,4,A,2,放小球,,,2.0,7,583.0,464.0,2.0,7,543.0,504.0,,,,,7,624.0,451.0,8,598.0,552.0,0
