rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:33:21,60039,1,0,A,1,發短球,,1.0,2,,,,2.0,7,552.0,453.0,,,,,8,653.0,571.0,8,563.0,427.0,0
1,2,00:33:22,60061,1,0,B,2,挑球,,,2,7,552.0,453.0,1.0,5,828.0,603.0,,,,,7,566.0,452.0,8,630.0,566.0,0
1,3,00:33:23,60090,1,0,A,2,點扣,,,1,5,828.0,603.0,2.0,6,788.0,417.0,,,,,8,735.0,617.0,8,625.0,430.0,0
1,4,00:33:23,60101,1,0,B,2,擋小球,,1.0,2,6,788.0,417.0,2.0,7,584.0,539.0,,,,,8,609.0,423.0,9,794.0,655.0,0
1,5,00:33:24,60126,1,0,A,2,放小球,,1.0,2,7,584.0,539.0,2.0,1,510.0,460.0,,,,,8,648.0,569.0,8,652.0,431.0,0
1,6,00:33:25,60156,1,0,B,2,放小球,,,2,1,510.0,460.0,2.0,2,471.0,512.0,,,,,7,569.0,460.0,8,607.0,559.0,0
1,7,00:33:25,60179,1,0,A,2,推球,,1.0,2,2,471.0,512.0,1.0,6,778.0,403.0,,,,,7,508.0,525.0,7,593.0,456.0,0
1,8,00:33:27,60215,1,0,B,2,殺球,1.0,,1,6,778.0,403.0,2.0,8,722.0,557.0,,,,,8,681.0,417.0,8,676.0,571.0,0
1,9,00:33:27,60225,1,0,A,2,擋小球,,,2,8,722.0,557.0,2.0,8,673.0,431.0,,,,,8,716.0,599.0,8,695.0,429.0,0
1,10,00:33:28,60250,1,0,B,2,勾球,,1.0,2,8,673.0,431.0,2.0,2,422.0,520.0,,,,,8,624.0,435.0,8,666.0,603.0,0
1,11,00:33:29,60278,1,0,A,2,放小球,,1.0,2,2,422.0,520.0,2.0,1,485.0,476.0,,,,,6,459.0,551.0,8,593.0,435.0,0
1,12,00:33:30,60305,1,0,B,3,挑球,,,2,1,485.0,476.0,2.0,13,854.0,700.0,出界,對手出界,A,,7,512.0,470.0,8,545.0,559.0,0
2,1,00:33:46,60798,2,0,A,1,發短球,,1.0,2,,,,2.0,7,679.0,461.0,,,,,8,614.0,566.0,8,726.0,428.0,0
2,2,00:33:47,60818,2,0,B,2,放小球,,,2,7,679.0,461.0,2.0,7,674.0,522.0,,,,,7,703.0,462.0,8,657.0,569.0,0
2,3,00:33:48,60841,2,0,A,2,挑球,,,2,7,674.0,522.0,1.0,9,746.0,396.0,,,,,8,659.0,548.0,7,659.0,460.0,0
2,4,00:33:49,60879,2,0,B,2,切球,1.0,,1,9,746.0,396.0,2.0,8,778.0,573.0,,,,,8,702.0,401.0,8,703.0,588.0,0
2,5,00:33:49,60897,2,0,A,2,放小球,,,2,8,778.0,573.0,2.0,8,655.0,447.0,,,,,8,718.0,600.0,8,709.0,409.0,0
2,6,00:33:50,60919,2,0,B,2,平球,,1.0,2,8,655.0,447.0,2.0,8,514.0,560.0,,,,,8,623.0,446.0,8,693.0,600.0,0
2,7,00:33:51,60931,2,0,A,2,平球,,1.0,2,8,514.0,560.0,1.0,8,705.0,424.0,,,,,8,632.0,583.0,8,602.0,432.0,0
