rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:27:22,49286,1,0,A,1,發短球,,1.0,2,,,,2,7,587.0,378.0,,,,,8,650.0,510.0,8,563.0,334.0,0
1,2,00:27:23,49308,1,0,B,2,放小球,,,2,7,587.0,378.0,2,7,703.0,460.0,,,,,7,617.0,369.0,8,646.0,516.0,0
1,3,00:27:24,49326,1,0,A,2,放小球,,1.0,2,7,703.0,460.0,2,7,637.0,409.0,,,,,7,663.0,468.0,8,634.0,358.0,0
1,4,00:27:24,49348,1,0,B,2,挑球,,1.0,2,7,637.0,409.0,1,8,507.0,590.0,,,,,7,623.0,394.0,8,680.0,518.0,0
1,5,00:27:26,49387,1,0,A,2,點扣,,,1,8,507.0,590.0,2,5,530.0,322.0,,,,,8,543.0,607.0,8,609.0,328.0,0
1,6,00:27:26,49400,1,0,B,3,擋小球,,,2,5,530.0,322.0,2,2,782.0,411.0,掛網,對手掛網,A,,8,571.0,321.0,4,469.0,658.0,0
2,1,00:27:42,49880,2,0,A,1,發短球,,1.0,2,,,,2,7,694.0,373.0,,,,,8,624.0,516.0,8,710.0,334.0,0
2,2,00:27:43,49902,2,0,B,2,挑球,,1.0,2,7,694.0,373.0,1,5,877.0,594.0,,,,,7,656.0,374.0,8,632.0,513.0,0
2,3,00:27:44,49933,2,0,A,2,切球,,1.0,1,5,877.0,594.0,2,5,528.0,354.0,,,,,5,808.0,606.0,8,666.0,347.0,0
2,4,00:27:45,49958,2,0,B,2,放小球,,,2,5,528.0,354.0,2,7,647.0,471.0,,,,,8,569.0,350.0,8,724.0,563.0,0
2,5,00:27:46,49985,2,0,A,2,挑球,,1.0,2,7,647.0,471.0,1,9,559.0,301.0,,,,,7,602.0,488.0,8,610.0,350.0,0
2,6,00:27:47,50020,2,0,B,2,切球,,,1,9,559.0,301.0,2,6,492.0,510.0,,,,,9,567.0,290.0,8,669.0,538.0,0
2,7,00:27:47,50039,2,0,A,2,放小球,,,2,6,492.0,510.0,2,7,635.0,368.0,,,,,8,531.0,533.0,8,592.0,309.0,0
2,8,00:27:48,50065,2,0,B,2,放小球,,1.0,2,7,635.0,368.0,2,7,750.0,459.0,,,,,7,601.0,370.0,8,591.0,518.0,0
2,9,00:27:49,50094,2,0,A,2,放小球,,1.0,2,7,750.0,459.0,2,2,767.0,404.0,,,,,7,716.0,480.0,8,665.0,349.0,0
2,10,00:27:50,50120,2,0,B,2,放小球,,1.0,2,2,767.0,404.0,1,7,721.0,438.0,,,,,7,717.0,393.0,7,680.0,477.0,0
2,11,00:27:51,50136,2,0,A,2,撲球,,1.0,1,7,721.0,438.0,2,8,616.0,348.0,,,,,7,657.0,445.0,7,707.0,384.0,0
2,12,00:27:51,50146,2,0,B,3,防守回抽,,,2,8,616.0,348.0,2,10,385.0,481.0,出界,對手出界,A,,8,637.0,356.0,7,656.0,425.0,0
4,1,00:29:05,52355,2,2,B,1,未知球種,,,2,,,,2,,,,,,,1,8,606.0,345.0,8,587.0,527.0,0
4,2,00:29:06,52380,2,2,A,2,推球,,1.0,2,,,,1,8,548.0,322.0,,,,,8,580.0,494.0,8,633.0,347.0,0
4,3,00:29:06,52397,2,2,B,2,點扣,,,1,8,548.0,322.0,2,8,635.0,507.0,,,,,8,575.0,329.0,8,564.0,507.0,0
4,4,00:29:06,52406,2,2,A,2,防守回挑,,1.0,2,8,635.0,507.0,1,8,580.0,353.0,,,,,8,546.0,528.0,8,559.0,321.0,0
4,5,00:29:07,52424,2,2,B,2,平球,,1.0,1,8,580.0,353.0,2,8,682.0,515.0,,,,,8,606.0,345.0,8,584.0,529.0,0
4,6,00:29:07,52434,2,2,A,2,擋小球,,1.0,2,8,682.0,515.0,1,7,619.0,380.0,,,,,8,570.0,548.0,8,610.0,349.0,0
4,7,00:29:08,52454,2,2,B,2,放小球,,1.0,1,7,619.0,380.0,2,7,673.0,460.0,,,,,8,616.0,365.0,8,588.0,541.0,0
4,8,00:29:09,52480,2,2,A,2,放小球,,1.0,2,7,673.0,460.0,2,7,699.0,408.0,,,,,7,649.0,483.0,8,629.0,341.0,0
4,9,00:29:10,52505,2,2,B,2,挑球,,1.0,2,7,699.0,408.0,1,8,495.0,594.0,,,,,7,686.0,388.0,7,644.0,491.0,0
4,10,00:29:11,52544,2,2,A,2,點扣,,,1,8,495.0,594.0,2,8,542.0,332.0,,,,,8,573.0,596.0,8,612.0,333.0,0
4,11,00:29:11,52556,2,2,B,2,擋小球,,,2,8,542.0,332.0,2,5,861.0,502.0,,,,,8,581.0,325.0,4,426.0,659.0,0
4,12,00:29:12,52588,2,2,A,2,挑球,,1.0,2,5,861.0,502.0,1,8,595.0,312.0,,,,,5,791.0,523.0,8,683.0,337.0,0
4,13,00:29:14,52625,2,2,B,2,點扣,,,1,8,595.0,312.0,2,6,477.0,566.0,,,,,8,643.0,310.0,8,643.0,575.0,0
4,14,00:29:14,52638,2,2,A,2,擋小球,,,2,6,477.0,566.0,1,7,542.0,379.0,,,,,8,559.0,591.0,8,597.0,308.0,0
4,15,00:29:15,52659,2,2,B,3,撲球,,,1,7,542.0,379.0,2,4,394.0,621.0,對手落地致勝,落地致勝,B,,7,560.0,372.0,8,550.0,576.0,0
5,1,00:29:40,53428,2,3,B,1,發短球,,1.0,2,,,,2,7,723.0,482.0,,,,,8,632.0,352.0,8,739.0,542.0,0
5,2,00:29:41,53452,2,3,A,2,放小球,,1.0,2,7,723.0,482.0,2,7,596.0,385.0,,,,,7,673.0,489.0,8,633.0,350.0,0
5,3,00:29:42,53474,2,3,B,2,挑球,,1.0,2,7,596.0,385.0,1,5,824.0,578.0,,,,,7,594.0,374.0,8,646.0,494.0,0
5,4,00:29:43,53513,2,3,A,2,殺球,1.0,,1,5,824.0,578.0,2,6,771.0,331.0,,,,,8,695.0,583.0,8,626.0,336.0,0
5,5,00:29:44,53528,2,3,B,2,擋小球,,1.0,2,6,771.0,331.0,2,7,728.0,471.0,,,,,8,627.0,327.0,8,758.0,590.0,0
5,6,00:29:44,53549,2,3,A,2,挑球,,1.0,2,7,728.0,471.0,1,8,558.0,339.0,,,,,8,662.0,494.0,8,654.0,334.0,0
5,7,00:29:45,53564,2,3,B,2,切球,,,1,8,558.0,339.0,2,2,490.0,457.0,,,,,8,624.0,341.0,8,601.0,507.0,0
5,8,00:29:46,53583,2,3,A,2,推球,,,2,2,490.0,457.0,1,5,494.0,326.0,,,,,7,534.0,477.0,8,573.0,344.0,0
5,9,00:29:46,53603,2,3,B,2,切球,,,1,5,494.0,326.0,2,7,529.0,476.0,,,,,8,556.0,332.0,8,532.0,499.0,0
5,10,00:29:47,53625,2,3,A,2,放小球,,,2,7,529.0,476.0,2,7,625.0,382.0,,,,,8,541.0,494.0,8,561.0,332.0,0
