rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:34:25,61973,1,0,A,1,發短球,,,2.0,,,,2.0,7,551.0,359.0,,,,,8,654.0,515.0,8,566.0,306.0,0
1,2,00:34:26,61998,1,0,B,2,挑球,,,2.0,7,551.0,359.0,1.0,6,453.0,588.0,,,,,7,585.0,348.0,8,633.0,506.0,0
1,3,00:34:27,62028,1,0,A,2,後場抽平球,,,1.0,6,453.0,588.0,1.0,5,530.0,322.0,,,,,9,496.0,605.0,8,590.0,314.0,0
1,4,00:34:28,62042,1,0,B,2,平球,,,1.0,5,530.0,322.0,2.0,8,592.0,499.0,,,,,8,568.0,308.0,8,526.0,583.0,0
1,5,00:34:28,62058,1,0,A,2,平球,,,2.0,8,592.0,499.0,1.0,8,648.0,315.0,,,,,8,642.0,503.0,8,587.0,306.0,0
1,6,00:34:29,62070,1,0,B,2,擋小球,,1.0,1.0,8,648.0,315.0,1.0,7,694.0,452.0,,,,,8,601.0,314.0,8,643.0,494.0,0
1,7,00:34:29,62087,1,0,A,2,平球,,1.0,1.0,7,694.0,452.0,2.0,8,621.0,311.0,,,,,7,592.0,468.0,8,604.0,313.0,0
1,8,00:34:29,62099,1,0,B,2,擋小球,,,2.0,8,621.0,311.0,1.0,7,706.0,436.0,,,,,8,607.0,309.0,7,619.0,469.0,0
1,9,00:34:30,62122,1,0,A,2,撲球,,,1.0,7,706.0,436.0,2.0,8,578.0,297.0,,,,,7,689.0,470.0,8,658.0,301.0,0
1,10,00:34:31,62132,1,0,B,2,防守回挑,,,2.0,8,578.0,297.0,1.0,8,508.0,499.0,,,,,8,616.0,306.0,7,726.0,455.0,0
1,11,00:34:31,62156,1,0,A,2,殺球,,,1.0,8,508.0,499.0,2.0,8,612.0,297.0,,,,,8,600.0,504.0,8,588.0,302.0,0
1,12,00:34:32,62168,1,0,B,3,擋小球,,,2.0,8,612.0,297.0,2.0,1,479.0,394.0,掛網,對手掛網,A,,8,578.0,302.0,6,500.0,522.0,0
2,1,00:34:50,62703,1,1,A,1,發短球,,,2.0,,,,1.0,7,688.0,365.0,,,,,8,613.0,510.0,8,704.0,309.0,0
2,2,00:34:50,62728,1,1,B,2,放小球,,1.0,1.0,7,688.0,365.0,2.0,2,483.0,422.0,,,,,7,650.0,355.0,8,633.0,505.0,0
2,3,00:34:51,62753,1,1,A,2,挑球,,,2.0,2,483.0,422.0,1.0,9,552.0,271.0,,,,,7,521.0,443.0,8,609.0,330.0,0
2,4,00:34:53,62796,1,1,B,2,切球,,,1.0,9,552.0,271.0,2.0,6,440.0,493.0,,,,,9,574.0,267.0,8,590.0,507.0,0
2,5,00:34:54,62820,1,1,A,2,放小球,,,2.0,6,440.0,493.0,2.0,1,487.0,368.0,,,,,6,485.0,515.0,8,607.0,294.0,0
2,6,00:34:54,62848,1,1,B,2,放小球,,,2.0,1,487.0,368.0,2.0,2,481.0,413.0,,,,,1,512.0,351.0,8,569.0,503.0,0
2,7,00:34:55,62873,1,1,A,2,放小球,,,2.0,2,481.0,413.0,2.0,2,764.0,382.0,,,,,7,524.0,436.0,8,578.0,340.0,0
2,8,00:34:56,62898,1,1,B,2,挑球,,1.0,2.0,2,764.0,382.0,1.0,6,478.0,592.0,,,,,7,701.0,360.0,7,607.0,465.0,0
2,9,00:34:57,62935,1,1,A,3,後場抽平球,,,1.0,6,478.0,592.0,2.0,13,556.0,257.0,出界,對手出界,B,,9,510.0,611.0,8,627.0,319.0,0
3,1,00:35:13,63409,2,1,B,1,發短球,,1.0,2.0,,,,2.0,7,549.0,447.0,,,,,8,649.0,323.0,8,532.0,518.0,0
3,2,00:35:14,63432,2,1,A,2,放小球,,,2.0,7,549.0,447.0,2.0,7,649.0,374.0,,,,,8,575.0,472.0,8,629.0,318.0,0
3,3,00:35:15,63457,2,1,B,2,挑球,,,2.0,7,649.0,374.0,1.0,5,805.0,590.0,,,,,7,666.0,360.0,8,654.0,478.0,0
3,4,00:35:16,63497,2,1,A,2,殺球,,,1.0,5,805.0,590.0,2.0,6,748.0,293.0,,,,,8,745.0,594.0,8,635.0,307.0,0
3,5,00:35:17,63510,2,1,B,3,擋小球,,1.0,2.0,6,748.0,293.0,2.0,16,862.0,403.0,掛網,對手掛網,A,,8,617.0,299.0,8,773.0,596.0,0
4,1,00:35:36,64081,2,2,A,1,發短球,,,2.0,,,,2.0,7,580.0,372.0,,,,,8,659.0,515.0,8,572.0,307.0,0
4,2,00:35:36,64106,2,2,B,2,放小球,,,2.0,7,580.0,372.0,2.0,7,656.0,422.0,,,,,7,587.0,350.0,8,631.0,503.0,0
4,3,00:35:37,64130,2,2,A,2,放小球,,1.0,2.0,7,656.0,422.0,2.0,7,573.0,384.0,,,,,7,637.0,440.0,8,642.0,332.0,0
4,4,00:35:38,64156,2,2,B,2,挑球,,,2.0,7,573.0,384.0,1.0,9,544.0,615.0,,,,,7,602.0,369.0,7,651.0,468.0,0
4,5,00:35:40,64217,2,2,A,2,殺球,,,1.0,9,544.0,615.0,2.0,5,539.0,288.0,,,,,9,509.0,608.0,8,606.0,296.0,0
4,6,00:35:41,64230,2,2,B,2,擋小球,,,2.0,5,539.0,288.0,2.0,7,521.0,447.0,,,,,8,580.0,287.0,8,530.0,563.0,0
4,7,00:35:41,64259,2,2,A,2,挑球,,,2.0,7,521.0,447.0,1.0,9,726.0,280.0,,,,,7,593.0,464.0,8,600.0,308.0,0
4,8,00:35:43,64290,2,2,B,2,點扣,,,1.0,9,726.0,280.0,2.0,6,497.0,515.0,,,,,8,691.0,289.0,8,661.0,522.0,0
4,9,00:35:43,64308,2,2,A,3,擋小球,,,2.0,6,497.0,515.0,2.0,7,616.0,398.0,掛網,對手掛網,B,,8,600.0,548.0,8,706.0,282.0,0
5,1,00:36:19,65378,2,3,B,1,發短球,,1.0,2.0,,,,2.0,7,705.0,463.0,,,,,8,629.0,326.0,8,717.0,520.0,0
5,2,00:36:19,65397,2,3,A,2,挑球,,1.0,2.0,7,705.0,463.0,1.0,3,540.0,280.0,,,,,8,684.0,481.0,8,627.0,324.0,0
5,3,00:36:20,65427,2,3,B,2,點扣,,,1.0,3,540.0,280.0,2.0,6,448.0,516.0,,,,,8,583.0,281.0,8,593.0,534.0,0
5,4,00:36:21,65446,2,3,A,2,擋小球,,,2.0,6,448.0,516.0,2.0,1,516.0,358.0,,,,,8,513.0,530.0,8,566.0,288.0,0
5,5,00:36:22,65472,2,3,B,2,挑球,,,2.0,1,516.0,358.0,1.0,3,860.0,611.0,,,,,8,558.0,342.0,8,606.0,512.0,0
5,6,00:36:23,65510,2,3,A,2,點扣,,,1.0,3,860.0,611.0,2.0,6,762.0,312.0,,,,,9,747.0,607.0,8,619.0,309.0,0
5,7,00:36:24,65527,2,3,B,2,擋小球,,1.0,2.0,6,762.0,312.0,2.0,2,466.0,425.0,,,,,8,672.0,314.0,8,771.0,595.0,0
5,8,00:36:25,65561,2,3,A,2,挑球,,,2.0,2,466.0,425.0,1.0,3,533.0,274.0,,,,,2,504.0,453.0,8,633.0,323.0,0
5,9,00:36:26,65601,2,3,B,2,切球,,,1.0,3,533.0,274.0,2.0,2,504.0,440.0,,,,,9,555.0,270.0,8,582.0,517.0,0
5,10,00:36:27,65627,2,3,A,2,放小球,,,2.0,2,504.0,440.0,2.0,1,467.0,373.0,,,,,7,529.0,470.0,8,598.0,292.0,0
5,11,00:36:28,65657,2,3,B,2,挑球,,,2.0,1,467.0,373.0,1.0,4,402.0,615.0,,,,,1,505.0,356.0,8,596.0,499.0,0
5,12,00:36:30,65701,2,3,A,2,殺球,,,1.0,4,402.0,615.0,2.0,5,498.0,297.0,,,,,4,421.0,617.0,8,588.0,314.0,0
5,13,00:36:30,65716,2,3,B,2,擋小球,,,2.0,5,498.0,297.0,2.0,7,545.0,442.0,,,,,8,555.0,293.0,4,378.0,616.0,0
5,14,00:36:31,65743,2,3,A,2,挑球,,,2.0,7,545.0,442.0,1.0,4,764.0,279.0,,,,,7,570.0,453.0,8,609.0,299.0,0
5,15,00:36:32,65784,2,3,B,2,切球,,1.0,1.0,4,764.0,279.0,2.0,7,763.0,449.0,,,,,8,733.0,281.0,8,702.0,504.0,0
5,16,00:36:33,65809,2,3,A,2,放小球,,1.0,2.0,7,763.0,449.0,2.0,2,785.0,367.0,,,,,7,735.0,458.0,8,664.0,298.0,0
5,17,00:36:34,65836,2,3,B,2,挑球,,1.0,2.0,2,785.0,367.0,1.0,3,816.0,607.0,,,,,7,749.0,345.0,8,706.0,490.0,0
5,18,00:36:35,65876,2,3,A,2,切球,,,1.0,3,816.0,607.0,2.0,6,768.0,317.0,,,,,9,774.0,603.0,8,657.0,313.0,0
5,19,00:36:36,65893,2,3,B,2,放小球,,1.0,2.0,6,768.0,317.0,2.0,1,810.0,458.0,,,,,8,638.0,309.0,8,759.0,600.0,0
5,20,00:36:37,65922,2,3,A,2,挑球,,1.0,2.0,1,810.0,458.0,1.0,9,554.0,274.0,,,,,8,771.0,476.0,8,674.0,317.0,0
5,21,00:36:38,65953,2,3,B,2,切球,,,1.0,9,554.0,274.0,2.0,1,835.0,457.0,,,,,9,589.0,279.0,8,617.0,523.0,0
5,22,00:36:39,65983,2,3,A,3,挑球,,1.0,2.0,1,835.0,457.0,2.0,13,733.0,259.0,出界,對手出界,B,,5,799.0,479.0,8,613.0,291.0,0
6,1,00:36:59,66580,2,4,B,1,發短球,,1.0,2.0,,,,2.0,7,569.0,436.0,,,,,8,650.0,324.0,8,533.0,519.0,0
6,2,00:36:59,66599,2,4,A,2,放小球,,,2.0,7,569.0,436.0,2.0,2,760.0,377.0,,,,,7,600.0,455.0,8,637.0,315.0,0
6,3,00:37:00,66623,2,4,B,3,挑球,,1.0,2.0,2,760.0,377.0,2.0,4,414.0,648.0,落點判斷失誤,對手落點判斷失誤,B,,7,732.0,353.0,8,669.0,476.0,0
7,1,00:37:27,67434,2,5,B,1,發短球,,1.0,2.0,,,,2.0,7,722.0,452.0,,,,,8,632.0,323.0,8,714.0,528.0,0
7,2,00:37:28,67458,2,5,A,2,放小球,,1.0,2.0,7,722.0,452.0,2.0,7,643.0,376.0,,,,,8,689.0,472.0,8,630.0,321.0,0
7,3,00:37:29,67484,2,5,B,2,放小球,,1.0,2.0,7,643.0,376.0,2.0,7,662.0,419.0,,,,,7,610.0,358.0,8,660.0,487.0,0
7,4,00:37:30,67511,2,5,A,2,挑球,,1.0,2.0,7,662.0,419.0,1.0,9,565.0,270.0,,,,,7,647.0,432.0,7,632.0,353.0,0
7,5,00:37:32,67583,2,5,B,2,切球,,,1.0,9,565.0,270.0,2.0,8,772.0,481.0,,,,,9,565.0,267.0,8,591.0,516.0,0
7,6,00:37:33,67601,2,5,A,2,放小球,,1.0,2.0,8,772.0,481.0,2.0,2,768.0,368.0,,,,,8,696.0,499.0,8,589.0,285.0,0
7,7,00:37:34,67628,2,5,B,2,挑球,,1.0,2.0,2,768.0,368.0,1.0,3,882.0,619.0,,,,,7,728.0,351.0,8,693.0,517.0,0
7,8,00:37:35,67673,2,5,A,2,長球,,,1.0,3,882.0,619.0,1.0,3,540.0,275.0,,,,,9,784.0,613.0,8,662.0,315.0,0
7,9,00:37:37,67710,2,5,B,2,長球,,,1.0,3,540.0,275.0,1.0,8,793.0,572.0,,,,,9,554.0,275.0,8,643.0,547.0,0
7,10,00:37:38,67740,2,5,A,2,點扣,,,1.0,8,793.0,572.0,2.0,6,762.0,304.0,,,,,8,688.0,543.0,8,595.0,289.0,0
7,11,00:37:38,67756,2,5,B,2,擋小球,,1.0,2.0,6,762.0,304.0,2.0,1,818.0,454.0,,,,,8,635.0,301.0,8,708.0,554.0,0
7,12,00:37:39,67781,2,5,A,2,放小球,,1.0,2.0,1,818.0,454.0,2.0,2,790.0,363.0,,,,,7,763.0,465.0,8,659.0,307.0,0
7,13,00:37:40,67807,2,5,B,2,挑球,,1.0,2.0,2,790.0,363.0,1.0,8,485.0,600.0,,,,,6,767.0,342.0,8,730.0,493.0,0
7,14,00:37:41,67853,2,5,A,2,點扣,,,1.0,8,485.0,600.0,2.0,8,544.0,319.0,,,,,9,486.0,621.0,8,614.0,312.0,0
7,15,00:37:42,67868,2,5,B,2,擋小球,,,2.0,8,544.0,319.0,2.0,8,650.0,475.0,,,,,8,574.0,305.0,8,533.0,570.0,0
7,16,00:37:43,67892,2,5,A,2,放小球,,1.0,2.0,8,650.0,475.0,2.0,7,528.0,379.0,,,,,8,618.0,487.0,8,596.0,309.0,0
7,17,00:37:43,67919,2,5,B,2,挑球,,,2.0,7,528.0,379.0,1.0,4,420.0,623.0,,,,,7,554.0,353.0,8,623.0,491.0,0
7,18,00:37:45,67960,2,5,A,2,長球,,,1.0,4,420.0,623.0,1.0,3,494.0,275.0,,,,,9,485.0,634.0,8,599.0,319.0,0
7,19,00:37:46,68003,2,5,B,2,點扣,,,1.0,3,494.0,275.0,2.0,6,435.0,507.0,,,,,3,513.0,270.0,8,567.0,559.0,0
7,20,00:37:47,68018,2,5,A,2,擋小球,,,2.0,6,435.0,507.0,2.0,1,523.0,364.0,,,,,8,507.0,522.0,3,498.0,263.0,0
7,21,00:37:48,68051,2,5,B,2,放小球,,,2.0,1,523.0,364.0,2.0,2,516.0,411.0,,,,,7,554.0,356.0,8,587.0,497.0,0
7,22,00:37:49,68076,2,5,A,3,挑球,,,2.0,2,516.0,411.0,2.0,13,575.0,257.0,出界,對手出界,B,,7,543.0,427.0,8,584.0,343.0,0
9,1,00:38:34,69436,2,7,B,1,發短球,,1.0,2.0,,,,2.0,7,709.0,463.0,,,,,8,629.0,322.0,8,724.0,527.0,0
9,2,00:38:35,69457,2,7,A,2,放小球,,1.0,2.0,7,709.0,463.0,2.0,7,601.0,372.0,,,,,8,675.0,480.0,8,630.0,317.0,0
9,3,00:38:36,69484,2,7,B,2,放小球,,1.0,2.0,7,601.0,372.0,2.0,7,637.0,412.0,,,,,7,618.0,352.0,8,653.0,486.0,0
9,4,00:38:37,69510,2,7,A,2,挑球,,1.0,2.0,7,637.0,412.0,1.0,8,626.0,330.0,,,,,7,632.0,430.0,7,622.0,355.0,0
9,5,00:38:39,69587,2,7,B,3,殺球,,,1.0,8,626.0,330.0,2.0,9,489.0,614.0,對手落地致勝,落地致勝,B,,8,615.0,327.0,8,718.0,543.0,0
10,1,00:39:07,70424,2,8,B,1,發短球,,1.0,2.0,,,,2.0,7,546.0,466.0,,,,,8,651.0,322.0,8,539.0,520.0,0
10,2,00:39:08,70447,2,8,A,2,挑球,,1.0,2.0,7,546.0,466.0,1.0,4,760.0,273.0,,,,,8,525.0,486.0,8,612.0,313.0,0
10,3,00:39:09,70487,2,8,B,2,長球,,1.0,1.0,4,760.0,273.0,1.0,8,790.0,585.0,,,,,8,732.0,281.0,8,698.0,508.0,0
10,4,00:39:10,70524,2,8,A,2,點扣,,,1.0,8,790.0,585.0,2.0,6,772.0,312.0,,,,,8,741.0,574.0,8,645.0,299.0,0
10,5,00:39:11,70540,2,8,B,2,擋小球,,1.0,2.0,6,772.0,312.0,2.0,1,831.0,441.0,,,,,8,627.0,303.0,8,719.0,583.0,0
10,6,00:39:12,70570,2,8,A,3,挑球,,1.0,2.0,1,831.0,441.0,2.0,13,739.0,261.0,出界,對手出界,B,,1,785.0,455.0,8,672.0,320.0,0
11,1,00:39:27,71010,2,9,B,1,發短球,,1.0,2.0,,,,2.0,7,692.0,461.0,,,,,8,632.0,324.0,8,713.0,524.0,0
11,2,00:39:27,71030,2,9,A,2,放小球,,1.0,2.0,7,692.0,461.0,2.0,7,618.0,376.0,,,,,8,668.0,472.0,8,634.0,322.0,0
11,3,00:39:28,71057,2,9,B,2,挑球,,1.0,2.0,7,618.0,376.0,1.0,4,414.0,608.0,,,,,7,597.0,360.0,8,650.0,476.0,0
11,4,00:39:30,71100,2,9,A,2,切球,,,1.0,4,414.0,608.0,2.0,5,528.0,332.0,,,,,4,465.0,608.0,8,594.0,315.0,0
11,5,00:39:30,71123,2,9,B,2,放小球,,,2.0,5,528.0,332.0,2.0,2,501.0,423.0,,,,,8,553.0,315.0,8,555.0,559.0,0
11,6,00:39:31,71153,2,9,A,2,挑球,,,2.0,2,501.0,423.0,1.0,3,523.0,275.0,,,,,7,545.0,443.0,8,600.0,332.0,0
11,7,00:39:33,71192,2,9,B,2,長球,,,1.0,3,523.0,275.0,1.0,5,831.0,578.0,,,,,9,549.0,279.0,8,595.0,509.0,0
11,8,00:39:34,71232,2,9,A,2,點扣,,,1.0,5,831.0,578.0,2.0,8,736.0,317.0,,,,,8,718.0,552.0,8,651.0,307.0,0
11,9,00:39:34,71246,2,9,B,2,擋小球,,1.0,2.0,8,736.0,317.0,2.0,2,456.0,461.0,,,,,8,636.0,312.0,8,756.0,562.0,0
11,10,00:39:35,71276,2,9,A,2,挑球,,,2.0,2,456.0,461.0,1.0,5,527.0,303.0,,,,,8,517.0,481.0,8,619.0,317.0,0
11,11,00:39:36,71303,2,9,B,2,點扣,,,1.0,5,527.0,303.0,2.0,8,634.0,502.0,,,,,8,581.0,304.0,8,559.0,507.0,0
11,12,00:39:37,71314,2,9,A,2,擋小球,,1.0,2.0,8,634.0,502.0,1.0,7,568.0,352.0,,,,,8,544.0,544.0,5,525.0,292.0,0
