rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:30:39,55197,1,0,B,1,發短球,,1.0,2,,,,2,8,624.0,306.0,,,,,8,654.0,474.0,8,585.0,283.0,0
1,2,00:30:40,55220,1,0,A,2,放小球,,1.0,2,8,624.0,306.0,2,1,772.0,396.0,,,,,8,621.0,304.0,8,597.0,484.0,0
1,3,00:30:41,55248,1,0,B,2,挑球,,1.0,2,1,772.0,396.0,1,4,729.0,250.0,,,,,7,739.0,427.0,8,655.0,302.0,0
1,4,00:30:43,55294,1,0,A,2,過度切球,,,1,4,729.0,250.0,2,5,806.0,482.0,,,,,8,714.0,253.0,8,637.0,499.0,0
1,5,00:30:43,55313,1,0,B,2,放小球,,1.0,2,5,806.0,482.0,2,2,765.0,321.0,,,,,8,733.0,491.0,8,672.0,260.0,0
1,6,00:30:44,55337,1,0,A,2,挑球,,,2,2,765.0,321.0,1,5,868.0,576.0,,,,,8,729.0,310.0,8,711.0,506.0,0
1,7,00:30:45,55370,1,0,B,2,長球,1.0,,1,5,868.0,576.0,1,3,544.0,249.0,,,,,8,749.0,567.0,8,683.0,288.0,0
1,8,00:30:47,55410,1,0,A,2,點扣,1.0,,1,3,544.0,249.0,2,6,437.0,485.0,,,,,8,582.0,264.0,8,640.0,526.0,0
1,9,00:30:47,55427,1,0,B,2,勾球,,,2,6,437.0,485.0,2,7,734.0,323.0,,,,,6,500.0,502.0,8,571.0,256.0,0
1,10,00:30:48,55459,1,0,A,2,挑球,,,2,7,734.0,323.0,1,4,494.0,607.0,,,,,7,684.0,319.0,8,590.0,510.0,0
1,11,00:30:49,55497,1,0,B,3,長球,,,1,4,494.0,607.0,2,13,538.0,230.0,出界,對手出界,A,,9,543.0,628.0,8,647.0,301.0,0
2,1,00:31:05,55970,2,0,A,1,發短球,,,2,,,,2,7,599.0,414.0,,,,,8,661.0,286.0,8,558.0,516.0,0
2,2,00:31:06,55991,2,0,B,2,放小球,,1.0,2,7,599.0,414.0,2,7,596.0,344.0,,,,,7,572.0,438.0,8,652.0,305.0,0
2,3,00:31:07,56014,2,0,A,2,挑球,,1.0,2,7,596.0,344.0,1,8,762.0,553.0,,,,,7,623.0,336.0,8,568.0,441.0,0
2,4,00:31:08,56050,2,0,B,3,切球,1.0,,1,8,762.0,553.0,2,7,707.0,383.0,未過網,對手未過網,A,,8,693.0,548.0,8,652.0,298.0,0
3,1,00:31:22,56485,3,0,A,1,發短球,,,2,,,,2,7,725.0,439.0,,,,,8,628.0,293.0,8,714.0,536.0,0
3,2,00:31:23,56508,3,0,B,3,推球,,1.0,2,7,725.0,439.0,2,13,728.0,226.0,出界,對手出界,A,,8,661.0,453.0,8,657.0,301.0,0
4,1,00:31:35,56861,4,0,A,1,發短球,,,2,,,,2,7,568.0,404.0,,,,,8,660.0,293.0,8,558.0,523.0,0
4,2,00:31:36,56884,4,0,B,2,放小球,,,2,7,568.0,404.0,2,7,687.0,319.0,,,,,7,598.0,420.0,8,651.0,294.0,0
4,3,00:31:36,56903,4,0,A,2,放小球,,1.0,2,7,687.0,319.0,2,1,775.0,394.0,,,,,7,702.0,324.0,8,601.0,448.0,0
