rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:49:28,89059,1,0,B,1,發長球,,,2,,,,1,9,771.0,647.0,,,,,8,585.0,367.0,8,775.0,577.0,0
1,2,00:49:30,89120,1,0,A,2,殺球,,,1,9,771.0,647.0,2,5,480.0,356.0,,,,,9,723.0,649.0,8,584.0,367.0,0
1,3,00:49:31,89137,1,0,B,3,防守回挑,,,2,5,480.0,356.0,2,12,244.0,648.0,出界,對手出界,A,,8,527.0,365.0,8,720.0,630.0,0
2,1,00:49:46,89588,1,1,A,1,發短球,,,2,,,,2,8,657.0,388.0,,,,,8,571.0,568.0,8,710.0,370.0,0
2,2,00:49:47,89614,1,1,B,2,挑球,,1.0,2,8,657.0,388.0,1,8,811.0,623.0,,,,,7,601.0,395.0,8,604.0,551.0,0
2,3,00:49:48,89654,1,1,A,2,點扣,1.0,,1,8,811.0,623.0,2,6,797.0,356.0,,,,,8,699.0,620.0,8,610.0,371.0,0
2,4,00:49:49,89671,1,1,B,2,擋小球,,1.0,2,6,797.0,356.0,2,1,850.0,493.0,,,,,8,652.0,366.0,8,703.0,617.0,0
2,5,00:49:50,89700,1,1,A,3,挑球,,1.0,2,1,850.0,493.0,2,14,402.0,308.0,出界,對手出界,B,,8,789.0,524.0,8,656.0,365.0,0
3,1,00:50:07,90218,2,1,B,1,發長球,,,2,,,,1,4,414.0,647.0,,,,,8,641.0,366.0,8,479.0,600.0,0
3,2,00:50:09,90280,2,1,A,2,過度切球,,,1,4,414.0,647.0,2,6,809.0,386.0,,,,,9,440.0,663.0,8,552.0,378.0,0
3,3,00:50:10,90305,2,1,B,2,放小球,,1.0,2,6,809.0,386.0,2,1,807.0,456.0,,,,,8,756.0,384.0,8,611.0,580.0,0
3,4,00:50:11,90343,2,1,A,2,放小球,,1.0,2,1,807.0,456.0,1,2,829.0,420.0,,,,,7,756.0,494.0,8,670.0,374.0,0
3,5,00:50:12,90368,2,1,B,3,推球,,1.0,1,2,829.0,420.0,2,9,702.0,682.0,出界,對手出界,A,,7,697.0,413.0,7,734.0,481.0,0
4,1,00:50:29,90898,3,1,A,1,發短球,,,2,,,,2,7,544.0,405.0,,,,,8,645.0,564.0,8,522.0,361.0,0
4,2,00:50:30,90921,3,1,B,2,挑球,,,2,7,544.0,405.0,1,8,774.0,629.0,,,,,7,547.0,398.0,8,588.0,554.0,0
4,3,00:50:31,90959,3,1,A,2,長球,,,1,8,774.0,629.0,1,8,552.0,332.0,,,,,8,705.0,625.0,8,610.0,368.0,0
4,4,00:50:32,90987,3,1,B,2,長球,,,1,8,552.0,332.0,1,9,442.0,635.0,,,,,8,609.0,341.0,8,644.0,604.0,0
4,5,00:50:34,91026,3,1,A,2,點扣,,,1,9,442.0,635.0,2,5,450.0,370.0,,,,,9,457.0,650.0,8,569.0,347.0,0
4,6,00:50:34,91047,3,1,B,2,防守回挑,,,2,5,450.0,370.0,1,8,789.0,612.0,,,,,8,502.0,366.0,8,531.0,607.0,0
4,7,00:50:36,91080,3,1,A,2,點扣,1.0,,1,8,789.0,612.0,2,5,477.0,364.0,,,,,8,699.0,612.0,8,578.0,359.0,0
4,8,00:50:36,91097,3,1,B,2,擋小球,,,2,5,477.0,364.0,2,2,455.0,471.0,,,,,8,520.0,368.0,8,702.0,624.0,0
4,9,00:50:37,91130,3,1,A,2,放小球,,,2,2,455.0,471.0,2,1,417.0,434.0,,,,,7,465.0,503.0,8,519.0,390.0,0
4,10,00:50:38,91157,3,1,B,2,挑球,,,2,1,417.0,434.0,1,9,743.0,641.0,,,,,1,447.0,425.0,7,516.0,503.0,0
4,11,00:50:40,91222,3,1,A,2,切球,,,1,9,743.0,641.0,2,5,485.0,384.0,,,,,9,659.0,634.0,8,585.0,362.0,0
4,12,00:50:41,91238,3,1,B,2,挑球,,,2,5,485.0,384.0,1,8,815.0,634.0,,,,,8,518.0,380.0,8,655.0,623.0,0
4,13,00:50:42,91282,3,1,A,2,殺球,1.0,,1,8,815.0,634.0,2,5,492.0,346.0,,,,,9,723.0,640.0,8,570.0,362.0,0
4,14,00:50:43,91299,3,1,B,2,擋小球,,,2,5,492.0,346.0,2,2,417.0,480.0,,,,,8,571.0,356.0,9,773.0,639.0,0
4,15,00:50:44,91332,3,1,A,2,挑球,,,2,2,417.0,480.0,1,3,452.0,321.0,,,,,7,468.0,513.0,8,526.0,370.0,0
4,16,00:50:45,91374,3,1,B,2,長球,,,1,3,452.0,321.0,1,4,431.0,646.0,,,,,3,490.0,326.0,8,556.0,566.0,0
4,17,00:50:47,91417,3,1,A,2,長球,,,1,4,431.0,646.0,1,5,483.0,337.0,,,,,4,397.0,651.0,8,558.0,356.0,0
4,18,00:50:48,91443,3,1,B,2,切球,,,1,5,483.0,337.0,2,7,779.0,499.0,,,,,5,490.0,339.0,8,470.0,629.0,0
4,19,00:50:48,91466,3,1,A,2,放小球,,1.0,2,7,779.0,499.0,2,2,841.0,424.0,,,,,8,713.0,534.0,8,538.0,350.0,0
4,20,00:50:49,91496,3,1,B,2,挑球,,1.0,2,2,841.0,424.0,1,9,725.0,641.0,,,,,2,788.0,399.0,8,678.0,545.0,0
4,21,00:50:51,91558,3,1,A,2,殺球,,,1,9,725.0,641.0,2,5,490.0,346.0,,,,,9,616.0,642.0,8,588.0,355.0,0
4,22,00:50:52,91571,3,1,B,2,擋小球,,,2,5,490.0,346.0,2,2,430.0,490.0,,,,,8,537.0,361.0,8,613.0,629.0,0
4,23,00:50:53,91600,3,1,A,2,挑球,,,2,2,430.0,490.0,1,3,466.0,320.0,,,,,8,487.0,531.0,8,563.0,383.0,0
4,24,00:50:54,91636,3,1,B,2,過度切球,,,1,3,466.0,320.0,2,1,844.0,478.0,,,,,9,502.0,326.0,8,575.0,558.0,0
4,25,00:50:55,91665,3,1,A,2,放小球,,1.0,2,1,844.0,478.0,2,2,819.0,422.0,,,,,8,794.0,535.0,8,567.0,338.0,0
4,26,00:50:56,91695,3,1,B,2,挑球,,1.0,2,2,819.0,422.0,1,9,818.0,644.0,,,,,7,762.0,417.0,8,734.0,536.0,0
4,27,00:50:58,91763,3,1,A,2,點扣,,,1,9,818.0,644.0,2,6,808.0,350.0,,,,,9,790.0,649.0,8,597.0,361.0,0
4,28,00:50:59,91778,3,1,B,2,擋小球,,1.0,2,6,808.0,350.0,2,1,862.0,513.0,,,,,8,619.0,356.0,8,748.0,611.0,0
