rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:32:30,58517,1,0,A,1,發短球,,1.0,2,,,,2.0,7,732,443,,,,,8,625,335,8,712,532,0
1,2,00:32:31,58536,1,0,B,2,放小球,,,2,7,732.0,443.0,2.0,1,495,378,,,,,7,693,463,8,636,334,0
1,3,00:32:32,58561,1,0,A,2,挑球,,,2,1,495.0,378.0,1.0,8,640,594,,,,,7,527,367,8,621,491,0
1,4,00:32:33,58607,1,0,B,3,長球,,,1,8,640.0,594.0,2.0,13,762,271,出界,對手出界,A,,9,612,599,8,609,323,0
2,1,00:32:49,59075,2,0,A,1,發短球,,1.0,2,,,,2.0,7,601,446,,,,,8,647,337,8,528,530,0
2,2,00:32:49,59095,2,0,B,3,挑球,,,2,7,601.0,446.0,2.0,14,453,280,出界,對手出界,A,,7,565,469,8,615,336,0
3,1,00:33:05,59563,3,0,A,1,發短球,,1.0,2,,,,2.0,1,807,454,,,,,8,626,341,8,713,531,0
3,2,00:33:05,59574,3,0,B,2,挑球,,,2,1,807.0,454.0,1.0,4,784,282,,,,,7,742,466,8,655,335,0
3,3,00:33:06,59606,3,0,A,3,殺球,,,1,4,784.0,282.0,2.0,3,914,627,對手落地致勝,落地致勝,A,,9,709,288,8,704,524,0
4,1,00:33:32,60361,3,1,A,1,發短球,,1.0,2,,,,2.0,7,626,449,,,,,8,646,340,8,523,533,0
4,2,00:33:32,60383,3,1,B,2,放小球,,,2,7,626.0,449.0,2.0,7,735,378,,,,,7,548,463,8,615,338,0
4,3,00:33:33,60409,3,1,A,2,挑球,,1.0,2,7,735.0,378.0,1.0,9,539,610,,,,,7,706,369,8,628,490,0
4,4,00:33:34,60449,3,1,B,2,殺球,,,1,9,539.0,610.0,2.0,8,737,316,,,,,9,569,604,8,588,323,0
4,5,00:33:35,60460,3,1,A,2,擋小球,,1.0,2,8,737.0,316.0,2.0,1,816,458,,,,,8,575,319,9,560,613,0
4,6,00:33:36,60493,3,1,B,2,挑球,,,2,1,816.0,458.0,1.0,3,537,281,,,,,5,776,475,8,680,330,0
4,7,00:33:37,60532,3,1,A,3,切球,,,1,3,537.0,281.0,2.0,7,753,393,掛網,對手掛網,B,,3,542,278,8,657,520,0
5,1,00:33:52,60970,3,2,B,1,發短球,,1.0,2,,,,2.0,7,654,353,,,,,8,618,499,8,699,316,0
5,2,00:33:53,60998,3,2,A,2,挑球,,,2,7,654.0,353.0,1.0,5,835,574,,,,,8,674,346,8,626,503,0
5,3,00:33:54,61028,3,2,B,2,後場抽平球,,,1,5,835.0,574.0,2.0,6,784,312,,,,,8,793,595,8,651,325,0
5,4,00:33:54,61044,3,2,A,2,防守回挑,,1.0,2,6,784.0,312.0,1.0,5,827,583,,,,,8,693,333,8,753,561,0
5,5,00:33:55,61076,3,2,B,2,長球,,,1,5,827.0,583.0,1.0,4,774,288,,,,,9,753,598,8,639,317,0
5,6,00:33:56,61109,3,2,A,2,長球,,,1,4,774.0,288.0,1.0,3,871,625,,,,,8,720,297,8,700,542,0
5,7,00:33:58,61153,3,2,B,2,點扣,,,1,3,871.0,625.0,2.0,6,806,331,,,,,3,811,633,8,655,326,0
5,8,00:33:59,61174,3,2,A,2,擋小球,,1.0,2,6,806.0,331.0,2.0,8,728,480,,,,,6,760,328,9,743,598,0
5,9,00:33:59,61198,3,2,B,2,挑球,,,2,8,728.0,480.0,1.0,4,755,279,,,,,8,681,490,8,657,323,0
5,10,00:34:01,61241,3,2,A,3,長球,,,1,4,755.0,279.0,2.0,13,490,652,出界,對手出界,B,,9,709,285,8,719,529,0
6,1,00:34:17,61724,4,2,B,1,發短球,,1.0,2,,,,2.0,7,622,357,,,,,8,645,500,8,582,316,0
6,2,00:34:17,61736,4,2,A,2,挑球,,1.0,2,7,622.0,357.0,1.0,8,482,585,,,,,8,595,351,8,633,508,0
6,3,00:34:18,61768,4,2,B,2,長球,,,1,8,482.0,585.0,1.0,5,516,311,,,,,8,561,574,8,606,317,0
6,4,00:34:19,61789,4,2,A,2,切球,,,1,5,516.0,311.0,2.0,2,458,439,,,,,8,572,312,9,503,599,0
6,5,00:34:20,61814,4,2,B,2,挑球,,1.0,2,2,458.0,439.0,1.0,6,752,293,,,,,2,476,453,5,519,322,0
