rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:43:25,78178,1,0,A,1,發短球,,1.0,2,,,,2.0,7,555,454,,,,,8,648,570,8,579,424,0
1,2,00:43:26,78204,1,0,B,2,放小球,,,2,7,555.0,454.0,2.0,2,480,527,,,,,7,625,454,8,648,577,0
1,3,00:43:27,78232,1,0,A,2,放小球,,1.0,2,2,480.0,527.0,2.0,1,486,482,,,,,7,519,545,8,602,436,0
1,4,00:43:28,78257,1,0,B,2,放小球,,,2,1,486.0,482.0,2.0,2,475,511,,,,,1,513,465,8,557,561,0
1,5,00:43:29,78285,1,0,A,2,挑球,,1.0,2,2,475.0,511.0,1.0,9,646,382,,,,,2,503,523,7,564,451,0
1,6,00:43:31,78350,1,0,B,2,殺球,,,1,9,646.0,382.0,2.0,8,554,590,,,,,9,615,380,8,685,598,0
1,7,00:43:32,78363,1,0,A,2,擋小球,,1.0,2,8,554.0,590.0,2.0,2,774,456,,,,,8,694,603,8,605,399,0
1,8,00:43:33,78392,1,0,B,2,挑球,,1.0,2,2,774.0,456.0,1.0,5,831,607,,,,,8,732,447,8,669,584,0
1,9,00:43:33,78416,1,0,A,3,切球,,,1,5,831.0,607.0,2.0,2,837,467,對手落地致勝,落地致勝,A,,8,725,613,8,685,426,0
2,1,00:43:57,79110,2,0,A,1,發短球,,1.0,2,,,,2.0,7,686,461,,,,,8,623,571,8,725,420,0
2,2,00:43:57,79131,2,0,B,2,挑球,,,2,7,686.0,461.0,1.0,4,436,650,,,,,7,703,454,8,631,575,0
2,3,00:43:59,79175,2,0,A,2,殺球,,,1,4,436.0,650.0,2.0,5,504,424,,,,,9,533,652,8,562,427,0
2,4,00:43:59,79192,2,0,B,2,擋小球,,,2,5,504.0,424.0,2.0,1,792,539,,,,,5,519,421,4,472,662,0
2,5,00:44:00,79221,2,0,A,2,放小球,,,2,1,792.0,539.0,2.0,2,810,483,,,,,7,757,549,8,629,426,0
2,6,00:44:01,79249,2,0,B,2,放小球,,1.0,2,2,810.0,483.0,2.0,1,832,512,,,,,2,774,472,8,695,564,0
2,7,00:44:02,79274,2,0,A,2,挑球,,,2,1,832.0,512.0,1.0,8,562,390,,,,,1,796,528,7,750,456,0
2,8,00:44:03,79310,2,0,B,2,長球,,,1,8,562.0,390.0,1.0,8,566,615,,,,,8,571,389,8,676,578,0
2,9,00:44:04,79341,2,0,A,2,殺球,,,1,8,566.0,615.0,2.0,5,492,419,,,,,8,557,615,8,587,407,0
2,10,00:44:05,79355,2,0,B,2,防守回抽,,,2,5,492.0,419.0,1.0,6,466,606,,,,,8,572,417,8,588,643,0
2,11,00:44:05,79374,2,0,A,2,擋小球,,1.0,1,6,466.0,606.0,2.0,1,469,465,,,,,8,537,607,8,525,425,0
2,12,00:44:06,79395,2,0,B,2,挑球,,,2,1,469.0,465.0,1.0,5,858,643,,,,,1,510,456,8,542,582,0
2,13,00:44:07,79430,2,0,A,2,切球,,,1,5,858.0,643.0,2.0,6,812,449,,,,,3,802,656,8,627,424,0
2,14,00:44:08,79456,2,0,B,2,放小球,,1.0,2,6,812.0,449.0,2.0,1,818,538,,,,,6,778,437,8,712,606,0
2,15,00:44:09,79485,2,0,A,2,挑球,,,2,1,818.0,538.0,1.0,4,793,383,,,,,1,784,551,8,696,432,0
2,16,00:44:10,79521,2,0,B,3,長球,,,1,4,793.0,383.0,2.0,14,906,680,出界,對手出界,A,,8,713,393,8,728,599,0
3,1,00:44:33,80210,3,0,A,1,發短球,,1.0,2,,,,2.0,7,570,470,,,,,8,646,572,8,571,418,0
3,2,00:44:34,80232,3,0,B,2,推球,,,2,7,570.0,470.0,1.0,5,831,637,,,,,7,598,470,8,645,573,0
3,3,00:44:35,80264,3,0,A,2,長球,,,1,5,831.0,637.0,1.0,8,552,398,,,,,3,801,654,8,651,426,0
3,4,00:44:36,80288,3,0,B,2,殺球,,,1,8,552.0,398.0,2.0,8,522,602,,,,,8,566,400,8,714,628,0
3,5,00:44:36,80301,3,0,A,2,擋小球,,1.0,2,8,522.0,602.0,2.0,6,777,447,,,,,8,684,603,5,521,390,0
3,6,00:44:37,80331,3,0,B,2,放小球,,1.0,2,6,777.0,447.0,2.0,1,829,529,,,,,8,729,442,8,678,585,0
3,7,00:44:38,80364,3,0,A,2,挑球,,,2,1,829.0,529.0,1.0,9,541,378,,,,,1,805,543,8,707,431,0
3,8,00:44:40,80405,3,0,B,2,殺球,,,1,9,541.0,378.0,2.0,5,835,582,,,,,9,581,376,8,678,593,0
3,9,00:44:40,80423,3,0,A,2,擋小球,,,2,5,835.0,582.0,2.0,2,802,473,,,,,8,690,595,3,513,376,0
3,10,00:44:41,80456,3,0,B,2,挑球,,1.0,2,2,802.0,473.0,1.0,6,470,639,,,,,2,766,462,8,756,574,0
3,11,00:44:43,80493,3,0,A,2,長球,,,1,6,470.0,639.0,1.0,4,779,383,,,,,8,577,631,8,644,428,0
3,12,00:44:44,80534,3,0,B,2,殺球,,,1,4,779.0,383.0,2.0,6,474,584,,,,,8,707,389,8,668,608,0
3,13,00:44:45,80553,3,0,A,2,擋小球,,1.0,2,6,474.0,584.0,2.0,1,499,470,,,,,8,675,593,8,738,392,0
3,14,00:44:46,80585,3,0,B,2,挑球,,,2,1,499.0,470.0,1.0,6,463,638,,,,,7,523,462,8,552,568,0
3,15,00:44:47,80622,3,0,A,2,長球,,,1,6,463.0,638.0,1.0,9,537,378,,,,,8,532,633,8,577,429,0
3,16,00:44:48,80656,3,0,B,2,長球,,,1,9,537.0,378.0,1.0,8,523,608,,,,,9,545,375,8,626,616,0
