rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:27:24,49346,1,0,A,1,發短球,,1.0,2.0,,,,2.0,7,597.0,465.0,,,,,7,649.0,541.0,8,590.0,427.0,0
1,2,00:27:25,49367,1,0,B,2,放小球,,1.0,2.0,7,597.0,465.0,2.0,2,468.0,512.0,,,,,7,572.0,456.0,8,638.0,556.0,0
1,3,00:27:26,49388,1,0,A,2,挑球,,,2.0,2,468.0,512.0,1.0,3,522.0,391.0,,,,,2,493.0,531.0,8,597.0,442.0,0
1,4,00:27:27,49422,1,0,B,2,切球,,,1.0,3,522.0,391.0,2.0,7,753.0,536.0,,,,,9,544.0,393.0,8,581.0,579.0,0
1,5,00:27:28,49445,1,0,A,2,挑球,,1.0,2.0,7,753.0,536.0,1.0,3,522.0,392.0,,,,,8,735.0,561.0,8,632.0,410.0,0
1,6,00:27:29,49482,1,0,B,2,切球,,,1.0,3,522.0,392.0,2.0,2,494.0,536.0,,,,,3,530.0,396.0,8,659.0,585.0,0
1,7,00:27:30,49507,1,0,A,2,挑球,,,2.0,2,494.0,536.0,1.0,6,756.0,402.0,,,,,8,532.0,548.0,8,589.0,411.0,0
1,8,00:27:31,49535,1,0,B,2,殺球,,,1.0,6,756.0,402.0,2.0,5,839.0,608.0,,,,,8,676.0,412.0,8,606.0,578.0,0
1,9,00:27:31,49548,1,0,A,2,擋小球,,1.0,2.0,5,839.0,608.0,2.0,7,551.0,458.0,,,,,8,603.0,604.0,8,700.0,404.0,0
1,10,00:27:32,49578,1,0,B,3,放小球,,,2.0,7,551.0,458.0,2.0,7,702.0,488.0,掛網,對手掛網,A,,8,614.0,444.0,8,635.0,592.0,0
2,1,00:27:46,49986,2,0,A,1,未知球種,,,2.0,,,,2.0,,,,,,,1,,,,,,,0
2,2,00:27:49,50073,2,0,B,2,挑球,,1.0,2.0,,,,1.0,3,826.0,643.0,,,,,8,688.0,444.0,8,649.0,559.0,0
2,3,00:27:50,50107,2,0,A,2,切球,1.0,,1.0,3,826.0,643.0,2.0,7,749.0,450.0,,,,,8,739.0,624.0,8,662.0,424.0,0
2,4,00:27:50,50128,2,0,B,2,放小球,,1.0,2.0,7,749.0,450.0,2.0,2,476.0,514.0,,,,,8,706.0,439.0,8,783.0,628.0,0
2,5,00:27:51,50155,2,0,A,3,挑球,,,2.0,2,476.0,514.0,2.0,3,512.0,388.0,對手落地致勝,落地致勝,A,,7,509.0,532.0,8,636.0,429.0,0
3,1,00:28:13,50810,3,0,A,1,發短球,,1.0,2.0,,,,2.0,7,621.0,461.0,,,,,8,649.0,545.0,8,579.0,417.0,0
3,2,00:28:14,50831,3,0,B,2,放小球,,1.0,2.0,7,621.0,461.0,2.0,2,497.0,512.0,,,,,7,612.0,454.0,8,648.0,548.0,0
3,3,00:28:15,50852,3,0,A,2,放小球,,,2.0,2,497.0,512.0,2.0,7,559.0,466.0,,,,,7,519.0,526.0,8,613.0,436.0,0
3,4,00:28:15,50875,3,0,B,2,挑球,,,2.0,7,559.0,466.0,1.0,9,761.0,638.0,,,,,7,574.0,459.0,7,600.0,542.0,0
3,5,00:28:16,50909,3,0,A,2,切球,1.0,,1.0,9,761.0,638.0,2.0,8,728.0,442.0,,,,,8,695.0,610.0,8,620.0,425.0,0
3,6,00:28:17,50930,3,0,B,2,放小球,,1.0,2.0,8,728.0,442.0,2.0,2,505.0,512.0,,,,,8,677.0,436.0,8,699.0,622.0,0
3,7,00:28:18,50954,3,0,A,2,放小球,,,2.0,2,505.0,512.0,2.0,2,807.0,466.0,,,,,7,515.0,541.0,8,636.0,433.0,0
3,8,00:28:19,50980,3,0,B,3,挑球,,1.0,2.0,2,807.0,466.0,2.0,13,777.0,682.0,出界,對手出界,A,,7,760.0,455.0,8,657.0,551.0,0
4,1,00:28:33,51402,3,1,A,1,發短球,,1.0,2.0,,,,2.0,7,714.0,465.0,,,,,8,636.0,550.0,8,721.0,419.0,0
4,2,00:28:34,51422,3,1,B,2,放小球,,,2.0,7,714.0,465.0,2.0,1,784.0,509.0,,,,,7,724.0,456.0,8,659.0,554.0,0
4,3,00:28:34,51444,3,1,A,2,挑球,,1.0,2.0,1,784.0,509.0,1.0,8,610.0,407.0,,,,,7,759.0,522.0,8,708.0,446.0,0
4,4,00:28:35,51476,3,1,B,3,切球,,,1.0,8,610.0,407.0,2.0,5,872.0,553.0,對手落地致勝,落地致勝,B,,8,640.0,408.0,8,619.0,579.0,0
5,1,00:28:52,51964,4,1,B,1,未知球種,,,2.0,,,,2.0,,,,,,,1,,,,,,,0
5,2,00:28:53,51998,4,1,A,2,放小球,,1.0,2.0,,,,2.0,1,470.0,475.0,,,,,7,537.0,536.0,8,630.0,434.0,0
5,3,00:28:54,52022,4,1,B,2,放小球,,,2.0,1,470.0,475.0,2.0,2,425.0,505.0,,,,,1,518.0,463.0,8,570.0,545.0,0
5,4,00:28:54,52047,4,1,A,2,挑球,,,2.0,2,425.0,505.0,1.0,9,591.0,389.0,,,,,2,451.0,510.0,7,564.0,453.0,0
5,5,00:28:56,52093,4,1,B,2,長球,,,1.0,9,591.0,389.0,1.0,5,828.0,626.0,,,,,9,580.0,394.0,8,575.0,572.0,0
5,6,00:28:57,52125,4,1,A,2,殺球,1.0,,1.0,5,828.0,626.0,2.0,6,816.0,421.0,,,,,8,711.0,607.0,8,625.0,409.0,0
5,7,00:28:58,52144,4,1,B,2,擋小球,,1.0,2.0,6,816.0,421.0,2.0,1,797.0,528.0,,,,,6,772.0,420.0,8,726.0,612.0,0
5,8,00:28:58,52169,4,1,A,2,放小球,,1.0,2.0,1,797.0,528.0,2.0,7,709.0,468.0,,,,,7,748.0,532.0,8,708.0,426.0,0
5,9,00:28:59,52195,4,1,B,2,挑球,,1.0,2.0,7,709.0,468.0,1.0,8,808.0,627.0,,,,,7,659.0,455.0,8,689.0,548.0,0
5,10,00:29:01,52232,4,1,A,2,殺球,,,1.0,8,808.0,627.0,2.0,6,783.0,409.0,,,,,8,732.0,608.0,8,641.0,423.0,0
5,11,00:29:01,52245,4,1,B,2,擋小球,,1.0,2.0,6,783.0,409.0,2.0,7,510.0,539.0,,,,,8,626.0,416.0,8,772.0,623.0,0
5,12,00:29:02,52275,4,1,A,2,擋小球,,,2.0,7,510.0,539.0,2.0,1,487.0,466.0,,,,,8,545.0,558.0,8,631.0,422.0,0
5,13,00:29:03,52302,4,1,B,2,推球,,,2.0,1,487.0,466.0,1.0,6,488.0,581.0,,,,,7,534.0,456.0,8,577.0,563.0,0
5,14,00:29:03,52318,4,1,A,2,擋小球,,,1.0,6,488.0,581.0,2.0,5,489.0,449.0,,,,,8,526.0,580.0,8,539.0,440.0,0
5,15,00:29:04,52340,4,1,B,2,放小球,,,2.0,5,489.0,449.0,2.0,1,812.0,521.0,,,,,5,500.0,440.0,8,550.0,580.0,0
5,16,00:29:05,52372,4,1,A,2,挑球,,1.0,2.0,1,812.0,521.0,1.0,4,797.0,392.0,,,,,7,755.0,526.0,8,630.0,435.0,0
5,17,00:29:06,52404,4,1,B,2,殺球,,1.0,1.0,4,797.0,392.0,1.0,8,777.0,568.0,,,,,4,757.0,394.0,8,685.0,569.0,0
5,18,00:29:07,52417,4,1,A,2,擋小球,,1.0,1.0,8,777.0,568.0,2.0,2,808.0,455.0,,,,,8,663.0,562.0,8,744.0,406.0,0
5,19,00:29:08,52441,4,1,B,2,放小球,,1.0,2.0,2,808.0,455.0,1.0,7,593.0,499.0,,,,,6,788.0,443.0,8,676.0,566.0,0
5,20,00:29:08,52463,4,1,A,3,撲球,,,1.0,7,593.0,499.0,2.0,9,563.0,399.0,對手落地致勝,落地致勝,A,,7,597.0,514.0,6,763.0,437.0,0
6,1,00:29:28,53058,5,1,A,1,發短球,,1.0,2.0,,,,2.0,7,629.0,460.0,,,,,8,650.0,544.0,8,581.0,420.0,0
6,2,00:29:29,53080,5,1,B,2,挑球,,1.0,2.0,7,629.0,460.0,1.0,6,463.0,617.0,,,,,7,572.0,454.0,8,635.0,552.0,0
6,3,00:29:30,53112,5,1,A,2,切球,,,1.0,6,463.0,617.0,2.0,2,803.0,457.0,,,,,6,457.0,631.0,8,607.0,424.0,0
6,4,00:29:31,53139,5,1,B,2,放小球,,1.0,2.0,2,803.0,457.0,2.0,1,816.0,509.0,,,,,6,791.0,442.0,8,609.0,596.0,0
6,5,00:29:32,53166,5,1,A,2,放小球,,1.0,2.0,1,816.0,509.0,2.0,2,817.0,476.0,,,,,7,762.0,516.0,8,731.0,435.0,0
6,6,00:29:33,53191,5,1,B,2,挑球,,1.0,2.0,2,817.0,476.0,1.0,6,473.0,618.0,,,,,2,776.0,468.0,7,736.0,523.0,0
6,7,00:29:34,53233,5,1,A,2,長球,,,1.0,6,473.0,618.0,1.0,5,496.0,410.0,,,,,8,523.0,631.0,8,642.0,423.0,0
6,8,00:29:35,53263,5,1,B,2,切球,,,1.0,5,496.0,410.0,2.0,1,801.0,537.0,,,,,8,536.0,411.0,8,520.0,604.0,0
6,9,00:29:36,53290,5,1,A,2,放小球,,1.0,2.0,1,801.0,537.0,2.0,7,669.0,475.0,,,,,8,752.0,549.0,8,590.0,414.0,0
6,10,00:29:37,53316,5,1,B,2,放小球,,,2.0,7,669.0,475.0,2.0,1,790.0,504.0,,,,,7,685.0,465.0,8,670.0,554.0,0
6,11,00:29:37,53336,5,1,A,2,挑球,,1.0,2.0,1,790.0,504.0,1.0,3,503.0,390.0,,,,,7,733.0,511.0,7,699.0,450.0,0
6,12,00:29:39,53378,5,1,B,2,長球,,,1.0,3,503.0,390.0,1.0,6,481.0,610.0,,,,,9,551.0,392.0,8,594.0,570.0,0
6,13,00:29:40,53408,5,1,A,3,點扣,,,1.0,6,481.0,610.0,2.0,6,813.0,426.0,對手落地致勝,落地致勝,A,,6,475.0,617.0,8,570.0,408.0,0
7,1,00:30:07,54229,6,1,A,1,發短球,,1.0,2.0,,,,2.0,7,711.0,464.0,,,,,8,637.0,545.0,8,716.0,415.0,0
