rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:32:10,57913,0,1,A,1,發短球,,1.0,2.0,,,,2.0,7,604.0,366.0,,,,,8,651.0,483.0,8,577.0,316.0,0
1,2,00:32:11,57934,0,1,B,2,挑球,,,2.0,7,604.0,366.0,1.0,3,873.0,618.0,,,,,8,606.0,344.0,8,627.0,487.0,0
1,3,00:32:12,57973,0,1,A,2,切球,,,1.0,3,873.0,618.0,2.0,6,787.0,344.0,,,,,9,821.0,611.0,8,634.0,330.0,0
1,4,00:32:13,57996,0,1,B,2,放小球,,1.0,2.0,6,787.0,344.0,2.0,7,685.0,434.0,,,,,8,723.0,330.0,8,761.0,542.0,0
1,5,00:32:14,58020,0,1,A,2,放小球,,1.0,2.0,7,685.0,434.0,2.0,2,795.0,384.0,,,,,7,722.0,444.0,8,667.0,329.0,0
1,6,00:32:14,58041,0,1,B,2,放小球,,1.0,2.0,2,795.0,384.0,2.0,1,817.0,406.0,,,,,2,757.0,363.0,8,720.0,469.0,0
1,7,00:32:15,58066,0,1,A,2,挑球,,,2.0,1,817.0,406.0,1.0,4,754.0,283.0,,,,,1,794.0,428.0,7,733.0,352.0,0
1,8,00:32:17,58116,0,1,B,2,長球,1.0,,1.0,4,754.0,283.0,1.0,9,504.0,608.0,,,,,9,719.0,279.0,8,675.0,512.0,0
1,9,00:32:18,58146,0,1,A,2,點扣,1.0,,1.0,9,504.0,608.0,2.0,5,510.0,321.0,,,,,8,578.0,569.0,8,678.0,294.0,0
1,10,00:32:18,58164,0,1,B,2,擋小球,,,2.0,5,510.0,321.0,2.0,2,471.0,440.0,,,,,8,559.0,317.0,8,566.0,567.0,0
1,11,00:32:19,58192,0,1,A,2,放小球,,1.0,2.0,2,471.0,440.0,2.0,2,767.0,371.0,,,,,8,498.0,469.0,8,613.0,320.0,0
1,12,00:32:20,58222,0,1,B,2,放小球,,1.0,2.0,2,767.0,371.0,2.0,1,826.0,416.0,,,,,7,719.0,346.0,8,642.0,497.0,0
1,13,00:32:21,58250,0,1,A,2,放小球,,,2.0,1,826.0,416.0,2.0,2,821.0,394.0,,,,,1,788.0,432.0,8,678.0,335.0,0
1,14,00:32:22,58276,0,1,B,2,挑球,,1.0,2.0,2,821.0,394.0,1.0,4,448.0,601.0,,,,,2,773.0,370.0,7,750.0,461.0,0
1,15,00:32:23,58309,0,1,A,2,長球,1.0,,1.0,4,448.0,601.0,1.0,4,766.0,286.0,,,,,8,604.0,578.0,8,672.0,332.0,0
