rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:36:39,65980,1,0,A,1,發短球,,1.0,2,,,,2.0,7,712.0,531.0,,,,,8,608.0,412.0,8,759.0,591.0,0
1,2,00:36:40,66000,1,0,B,2,放小球,,1.0,2,7,712.0,531.0,2.0,7,600.0,451.0,,,,,8,657.0,551.0,8,609.0,412.0,0
1,3,00:36:40,66025,1,0,A,2,放小球,,,2,7,600.0,451.0,2.0,7,674.0,500.0,,,,,7,603.0,446.0,8,650.0,548.0,0
1,4,00:36:41,66046,1,0,B,2,放小球,,1.0,2,7,674.0,500.0,2.0,7,657.0,455.0,,,,,7,646.0,514.0,7,608.0,431.0,0
1,5,00:36:42,66071,1,0,A,2,挑球,,1.0,2,7,657.0,455.0,2.0,5,891.0,622.0,,,,,7,604.0,452.0,7,632.0,525.0,0
1,6,00:36:43,66115,1,0,B,2,過度切球,,1.0,2,5,891.0,622.0,1.0,6,777.0,418.0,,,,,3,846.0,640.0,8,664.0,421.0,0
1,7,00:36:44,66132,1,0,A,2,撲球,,1.0,1,6,777.0,418.0,2.0,8,697.0,574.0,,,,,7,675.0,427.0,9,768.0,640.0,0
1,8,00:36:44,66147,1,0,B,2,防守回抽,,1.0,2,8,697.0,574.0,1.0,8,658.0,414.0,,,,,8,718.0,593.0,7,692.0,430.0,0
1,9,00:36:45,66161,1,0,A,2,撲球,1.0,,1,8,658.0,414.0,2.0,8,621.0,573.0,,,,,8,718.0,415.0,8,688.0,591.0,0
1,10,00:36:45,66172,1,0,B,3,擋小球,,1.0,2,8,621.0,573.0,2.0,7,641.0,487.0,掛網,對手掛網,A,,8,684.0,605.0,8,675.0,418.0,0
2,1,00:37:09,66878,2,0,A,1,發短球,,1.0,2,,,,2.0,7,581.0,520.0,,,,,8,650.0,415.0,8,580.0,579.0,0
2,2,00:37:10,66927,2,0,B,3,挑球,,1.0,2,7,581.0,520.0,2.0,13,504.0,338.0,出界,對手出界,A,,8,576.0,578.0,8,624.0,426.0,0
3,1,00:37:22,67278,3,0,A,1,發短球,,1.0,2,,,,2.0,7,706.0,538.0,,,,,8,615.0,413.0,8,754.0,583.0,0
3,2,00:37:23,67293,3,0,B,2,放小球,,1.0,2,7,706.0,538.0,2.0,7,660.0,445.0,,,,,8,674.0,562.0,8,617.0,421.0,0
3,3,00:37:23,67316,3,0,A,2,挑球,,,2,7,660.0,445.0,1.0,5,830.0,613.0,,,,,7,643.0,438.0,8,658.0,562.0,0
3,4,00:37:25,67351,3,0,B,3,殺球,1.0,,1,5,830.0,613.0,2.0,15,379.0,377.0,出界,對手出界,A,,8,791.0,618.0,8,641.0,403.0,0
4,1,00:37:38,67762,4,0,A,1,發短球,,1.0,2,,,,2.0,2,472.0,521.0,,,,,8,647.0,416.0,8,577.0,568.0,0
4,2,00:37:39,67788,4,0,B,2,放小球,,,2,2,472.0,521.0,2.0,7,640.0,462.0,,,,,8,545.0,544.0,8,616.0,413.0,0
4,3,00:37:40,67813,4,0,A,2,挑球,,,2,7,640.0,462.0,1.0,9,482.0,651.0,,,,,7,630.0,452.0,8,611.0,546.0,0
4,4,00:37:42,67861,4,0,B,2,過度切球,,,1,9,482.0,651.0,2.0,7,519.0,429.0,,,,,13,539.0,678.0,8,604.0,397.0,0
4,5,00:37:42,67884,4,0,A,2,放小球,,,2,7,519.0,429.0,2.0,7,617.0,525.0,,,,,8,536.0,422.0,8,587.0,636.0,0
4,6,00:37:43,67906,4,0,B,2,挑球,,1.0,2,7,617.0,525.0,1.0,3,502.0,352.0,,,,,8,591.0,543.0,8,604.0,425.0,0
4,7,00:37:44,67946,4,0,A,2,過度切球,,,1,3,502.0,352.0,2.0,7,797.0,535.0,,,,,9,512.0,362.0,8,589.0,590.0,0
4,8,00:37:45,67968,4,0,B,2,放小球,,1.0,2,7,797.0,535.0,2.0,7,660.0,443.0,,,,,8,750.0,569.0,8,550.0,386.0,0
4,9,00:37:46,67995,4,0,A,2,放小球,,,2,7,660.0,443.0,2.0,1,851.0,511.0,,,,,7,690.0,439.0,8,674.0,555.0,0
4,10,00:37:47,68016,4,0,B,2,放小球,,1.0,2,1,851.0,511.0,1.0,2,856.0,456.0,,,,,7,791.0,529.0,7,674.0,435.0,0
4,11,00:37:47,68035,4,0,A,3,撲球,,1.0,1,2,856.0,456.0,2.0,8,601.0,615.0,對手落地致勝,落地致勝,A,,7,770.0,445.0,8,756.0,542.0,0
5,1,00:38:10,68726,5,0,A,1,發短球,,1.0,2,,,,2.0,7,721.0,532.0,,,,,8,616.0,413.0,8,755.0,573.0,0
5,2,00:38:11,68747,5,0,B,2,勾球,,1.0,2,7,721.0,532.0,2.0,1,490.0,449.0,,,,,8,677.0,563.0,8,606.0,415.0,0
5,3,00:38:12,68775,5,0,A,2,推球,,,2,1,490.0,449.0,1.0,6,450.0,623.0,,,,,7,520.0,441.0,8,613.0,558.0,0
5,4,00:38:13,68805,5,0,B,2,後場抽平球,,,1,6,450.0,623.0,1.0,5,456.0,393.0,,,,,8,471.0,634.0,8,567.0,425.0,0
5,5,00:38:14,68820,5,0,A,2,擋小球,,,1,5,456.0,393.0,2.0,2,484.0,508.0,,,,,8,510.0,388.0,8,517.0,600.0,0
5,6,00:38:14,68839,5,0,B,2,平球,,,2,2,484.0,508.0,1.0,8,721.0,391.0,,,,,8,487.0,549.0,8,529.0,397.0,0
5,7,00:38:15,68853,5,0,A,2,平球,,1.0,1,8,721.0,391.0,2.0,8,749.0,560.0,,,,,8,578.0,390.0,8,557.0,572.0,0
5,8,00:38:15,68866,5,0,B,2,擋小球,,1.0,2,8,749.0,560.0,2.0,6,791.0,412.0,,,,,8,591.0,569.0,8,660.0,403.0,0
5,9,00:38:16,68883,5,0,A,3,推球,,1.0,2,6,791.0,412.0,2.0,4,397.0,660.0,落點判斷失誤,對手落點判斷失誤,A,,8,697.0,417.0,8,658.0,584.0,0
6,1,00:38:33,69418,6,0,A,1,發短球,,1.0,2,,,,2.0,7,572.0,530.0,,,,,8,646.0,417.0,8,568.0,583.0,0
6,2,00:38:34,69437,6,0,B,2,挑球,,1.0,2,7,572.0,530.0,1.0,4,800.0,351.0,,,,,8,544.0,553.0,8,617.0,410.0,0
6,3,00:38:36,69480,6,0,A,2,過度切球,,1.0,1,4,800.0,351.0,2.0,8,793.0,541.0,,,,,9,765.0,359.0,8,647.0,574.0,0
6,4,00:38:36,69502,6,0,B,2,勾球,,1.0,2,8,793.0,541.0,2.0,7,526.0,427.0,,,,,8,740.0,569.0,8,688.0,384.0,0
6,5,00:38:37,69526,6,0,A,2,勾球,,,2,7,526.0,427.0,2.0,1,811.0,513.0,,,,,7,546.0,437.0,8,636.0,584.0,0
6,6,00:38:38,69550,6,0,B,2,推球,,1.0,2,1,811.0,513.0,2.0,4,801.0,360.0,,,,,7,729.0,525.0,8,622.0,419.0,0
6,7,00:38:39,69596,6,0,A,2,過度切球,,1.0,2,4,801.0,360.0,1.0,1,867.0,514.0,,,,,8,751.0,371.0,8,699.0,545.0,0
6,8,00:38:40,69614,6,0,B,3,撲球,,1.0,1,1,867.0,514.0,2.0,1,828.0,488.0,掛網,對手掛網,A,,8,732.0,544.0,8,678.0,383.0,0
7,1,00:39:04,70331,7,0,A,1,發短球,,1.0,2,,,,2.0,7,728.0,524.0,,,,,8,612.0,412.0,8,752.0,568.0,0
7,2,00:39:05,70354,7,0,B,2,挑球,,1.0,2,7,728.0,524.0,1.0,3,478.0,353.0,,,,,8,690.0,557.0,8,622.0,413.0,0
7,3,00:39:06,70395,7,0,A,2,過度切球,,,1,3,478.0,353.0,2.0,7,590.0,525.0,,,,,5,490.0,363.0,8,592.0,592.0,0
7,4,00:39:07,70420,7,0,B,3,放小球,,,2,7,590.0,525.0,2.0,7,749.0,486.0,掛網,對手掛網,A,,8,640.0,543.0,8,574.0,371.0,0
8,1,00:39:24,70937,8,0,A,1,發短球,,1.0,2,,,,2.0,7,573.0,521.0,,,,,8,643.0,414.0,8,558.0,585.0,0
8,2,00:39:24,70949,8,0,B,2,放小球,,1.0,2,7,573.0,521.0,2.0,1,479.0,448.0,,,,,8,536.0,552.0,8,588.0,423.0,0
8,3,00:39:25,70972,8,0,A,2,挑球,,,2,1,479.0,448.0,1.0,5,850.0,633.0,,,,,7,506.0,444.0,8,579.0,563.0,0
8,4,00:39:26,71008,8,0,B,2,切球,1.0,,1,5,850.0,633.0,2.0,8,537.0,422.0,,,,,8,758.0,627.0,8,604.0,402.0,0
8,5,00:39:27,71033,8,0,A,2,放小球,,,2,8,537.0,422.0,2.0,7,729.0,530.0,,,,,8,557.0,411.0,9,764.0,649.0,0
8,6,00:39:28,71056,8,0,B,3,挑球,,1.0,2,7,729.0,530.0,2.0,13,476.0,330.0,出界,對手出界,A,,8,688.0,546.0,8,616.0,415.0,0
9,1,00:39:42,71475,9,0,A,1,發短球,,1.0,2,,,,2.0,7,703.0,535.0,,,,,8,614.0,412.0,8,734.0,564.0,0
9,2,00:39:43,71499,9,0,B,2,放小球,,1.0,2,7,703.0,535.0,2.0,7,639.0,451.0,,,,,8,682.0,550.0,8,622.0,413.0,0
9,3,00:39:44,71523,9,0,A,2,挑球,,,2,7,639.0,451.0,2.0,3,904.0,649.0,,,,,7,639.0,450.0,8,642.0,549.0,0
9,4,00:39:45,71571,9,0,B,2,過度切球,,1.0,2,3,904.0,649.0,2.0,2,856.0,456.0,,,,,3,859.0,666.0,8,662.0,414.0,0
9,5,00:39:46,71598,9,0,A,2,推球,,1.0,2,2,856.0,456.0,2.0,5,902.0,631.0,,,,,2,809.0,461.0,8,728.0,624.0,0
9,6,00:39:47,71634,9,0,B,2,長球,,1.0,2,5,902.0,631.0,2.0,3,443.0,362.0,,,,,9,807.0,639.0,7,707.0,427.0,0
9,7,00:39:49,71675,9,0,A,2,過度切球,,,2,3,443.0,362.0,2.0,1,857.0,530.0,,,,,5,458.0,375.0,8,594.0,607.0,0
9,8,00:39:50,71700,9,0,B,2,推球,,1.0,2,1,857.0,530.0,1.0,6,790.0,386.0,,,,,8,796.0,552.0,8,568.0,389.0,0
9,9,00:39:50,71719,9,0,A,2,平球,,1.0,1,6,790.0,386.0,2.0,8,781.0,543.0,,,,,8,698.0,397.0,8,715.0,555.0,0
9,10,00:39:50,71729,9,0,B,2,平球,,1.0,2,8,781.0,543.0,1.0,8,725.0,402.0,,,,,8,682.0,569.0,8,758.0,402.0,0
9,11,00:39:51,71740,9,0,A,2,平球,1.0,,1,8,725.0,402.0,2.0,5,834.0,575.0,,,,,8,677.0,403.0,8,684.0,582.0,0
9,12,00:39:51,71754,9,0,B,2,擋小球,,1.0,2,5,834.0,575.0,2.0,8,757.0,423.0,,,,,8,608.0,589.0,8,665.0,403.0,0
9,13,00:39:52,71780,9,0,A,2,勾球,,1.0,2,8,757.0,423.0,2.0,7,506.0,517.0,,,,,8,686.0,417.0,8,650.0,577.0,0
9,14,00:39:53,71802,9,0,B,2,放小球,,,2,7,506.0,517.0,2.0,7,639.0,469.0,,,,,7,537.0,538.0,8,646.0,399.0,0
9,15,00:39:54,71833,9,0,A,2,挑球,,,2,7,639.0,469.0,1.0,4,366.0,645.0,,,,,7,641.0,453.0,8,631.0,546.0,0
9,16,00:39:56,71881,9,0,B,2,長球,,,1,4,366.0,645.0,1.0,3,447.0,358.0,,,,,4,432.0,665.0,8,571.0,406.0,0
9,17,00:39:57,71917,9,0,A,2,過度切球,,,1,3,447.0,358.0,2.0,2,460.0,534.0,,,,,5,467.0,367.0,8,548.0,619.0,0
