rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:05:23,9715,1,0,B,1,發短球,,1.0,2.0,,,,2.0,7,693.0,527.0,,,,,8,630.0,444.0,8,726.0,591.0,0
1,2,00:05:24,9737,1,0,A,2,放小球,,,2.0,7,693.0,527.0,2.0,7,634.0,482.0,,,,,7,664.0,541.0,8,646.0,440.0,0
1,3,00:05:25,9758,1,0,B,3,挑球,,1.0,2.0,7,634.0,482.0,2.0,14,948.0,659.0,出界,對手出界,A,,7,632.0,455.0,8,643.0,556.0,0
2,1,00:05:35,10069,1,1,A,1,未知球種,,,2.0,,,,2.0,,,,,,,1,,,,,,,0
2,2,00:05:36,10097,1,1,B,2,放小球,,1.0,2.0,,,,2.0,1,842.0,516.0,,,,,8,744.0,449.0,8,640.0,569.0,0
2,3,00:05:37,10121,1,1,A,2,放小球,,,2.0,1,842.0,516.0,2.0,2,833.0,498.0,,,,,7,788.0,534.0,8,709.0,444.0,0
2,4,00:05:38,10149,1,1,B,2,推球,,,2.0,2,833.0,498.0,1.0,8,586.0,578.0,,,,,7,776.0,467.0,8,718.0,556.0,0
2,5,00:05:38,10163,1,1,A,2,防守回挑,,1.0,1.0,8,586.0,578.0,1.0,4,796.0,389.0,,,,,8,733.0,574.0,7,762.0,463.0,0
2,6,00:05:40,10203,1,1,B,2,切球,,,1.0,4,796.0,389.0,2.0,1,876.0,547.0,,,,,9,736.0,390.0,8,697.0,587.0,0
2,7,00:05:41,10230,1,1,A,2,挑球,,,2.0,1,876.0,547.0,1.0,4,796.0,391.0,,,,,5,834.0,560.0,8,710.0,413.0,0
2,8,00:05:42,10267,1,1,B,2,長球,,,1.0,4,796.0,391.0,1.0,3,904.0,654.0,,,,,9,756.0,391.0,8,728.0,592.0,0
2,9,00:05:43,10297,1,1,A,2,點扣,,,1.0,3,904.0,654.0,2.0,6,798.0,427.0,,,,,5,871.0,638.0,8,729.0,414.0,0
2,10,00:05:43,10311,1,1,B,2,擋小球,,,2.0,6,798.0,427.0,2.0,7,681.0,546.0,,,,,8,729.0,423.0,5,839.0,629.0,0
2,11,00:05:44,10335,1,1,A,2,放小球,,1.0,2.0,7,681.0,546.0,2.0,2,824.0,498.0,,,,,8,665.0,566.0,8,713.0,428.0,0
2,12,00:05:45,10361,1,1,B,2,放小球,,,2.0,2,824.0,498.0,2.0,1,862.0,517.0,,,,,2,780.0,465.0,8,667.0,567.0,0
2,13,00:05:46,10388,1,1,A,2,挑球,,,2.0,1,862.0,517.0,1.0,4,797.0,394.0,,,,,1,818.0,539.0,8,706.0,449.0,0
2,14,00:05:47,10426,1,1,B,2,切球,,,1.0,4,797.0,394.0,2.0,2,448.0,521.0,,,,,9,763.0,390.0,8,740.0,585.0,0
2,15,00:05:48,10451,1,1,A,2,放小球,,1.0,2.0,2,448.0,521.0,2.0,1,481.0,490.0,,,,,2,475.0,548.0,8,661.0,402.0,0
2,16,00:05:49,10478,1,1,B,2,挑球,,1.0,2.0,1,481.0,490.0,1.0,3,899.0,661.0,,,,,7,514.0,482.0,8,512.0,557.0,0
2,17,00:05:50,10515,1,1,A,2,長球,,,1.0,3,899.0,661.0,1.0,9,552.0,394.0,,,,,9,783.0,651.0,8,657.0,432.0,0
2,18,00:05:51,10549,1,1,B,2,點扣,1.0,,1.0,9,552.0,394.0,2.0,8,492.0,580.0,,,,,8,642.0,413.0,8,735.0,621.0,0
2,19,00:05:52,10570,1,1,A,2,擋小球,,1.0,2.0,8,492.0,580.0,1.0,5,479.0,432.0,,,,,8,559.0,595.0,8,624.0,409.0,0
2,20,00:05:52,10589,1,1,B,2,放小球,,1.0,1.0,5,479.0,432.0,2.0,2,432.0,534.0,,,,,8,569.0,427.0,8,604.0,588.0,0
2,21,00:05:53,10611,1,1,A,2,挑球,,1.0,2.0,2,432.0,534.0,1.0,3,453.0,386.0,,,,,2,470.0,550.0,8,570.0,432.0,0
2,22,00:05:54,10646,1,1,B,2,長球,1.0,,1.0,3,453.0,386.0,1.0,4,438.0,659.0,,,,,8,529.0,400.0,8,592.0,579.0,0
2,23,00:05:56,10681,1,1,A,2,長球,,,1.0,4,438.0,659.0,1.0,3,478.0,395.0,,,,,8,507.0,637.0,8,595.0,412.0,0
2,24,00:05:56,10709,1,1,B,2,長球,,,1.0,3,478.0,395.0,1.0,4,377.0,649.0,,,,,8,523.0,412.0,8,558.0,619.0,0
2,25,00:05:58,10746,1,1,A,2,長球,1.0,,1.0,4,377.0,649.0,1.0,3,450.0,388.0,,,,,8,500.0,626.0,8,567.0,421.0,0
2,26,00:05:59,10793,1,1,B,2,切球,,,1.0,3,450.0,388.0,2.0,1,816.0,522.0,,,,,3,471.0,392.0,8,583.0,595.0,0
2,27,00:06:00,10816,1,1,A,3,放小球,,,2.0,1,816.0,522.0,2.0,1,832.0,508.0,掛網,對手掛網,B,,7,775.0,541.0,3,493.0,394.0,0
3,1,00:06:19,11390,2,1,B,1,未知球種,,,2.0,,,,2.0,,,,,,,1,,,,,,,0
3,2,00:06:20,11422,2,1,A,2,挑球,,,2.0,,,,1.0,3,512.0,389.0,,,,,7,549.0,547.0,8,631.0,438.0,0
3,3,00:06:21,11456,2,1,B,3,點扣,,,1.0,3,512.0,389.0,2.0,1,465.0,501.0,掛網,對手掛網,A,,8,542.0,402.0,8,608.0,583.0,0
4,1,00:06:42,12076,3,1,A,1,未知球種,,,2.0,,,,2.0,,,,,,,1,,,,,,,0
4,2,00:06:43,12103,3,1,B,2,放小球,,1.0,2.0,,,,2.0,1,848.0,523.0,,,,,7,620.0,456.0,8,644.0,578.0,0
4,3,00:06:44,12127,3,1,A,2,挑球,,,2.0,1,848.0,523.0,1.0,4,782.0,394.0,,,,,7,773.0,541.0,8,653.0,442.0,0
4,4,00:06:45,12160,3,1,B,2,切球,,,1.0,4,782.0,394.0,2.0,2,454.0,544.0,,,,,9,738.0,396.0,8,731.0,577.0,0
4,5,00:06:46,12184,3,1,A,2,擋小球,,1.0,2.0,2,454.0,544.0,2.0,7,649.0,483.0,,,,,8,501.0,567.0,8,661.0,415.0,0
4,6,00:06:47,12213,3,1,B,2,放小球,,1.0,2.0,7,649.0,483.0,2.0,7,648.0,511.0,,,,,8,666.0,453.0,8,635.0,579.0,0
4,7,00:06:47,12238,3,1,A,2,放小球,,,2.0,7,648.0,511.0,2.0,7,637.0,495.0,,,,,7,655.0,537.0,7,647.0,457.0,0
4,8,00:06:48,12262,3,1,B,2,挑球,,1.0,2.0,7,637.0,495.0,1.0,9,784.0,662.0,,,,,7,645.0,483.0,7,646.0,541.0,0
4,9,00:06:50,12305,3,1,A,2,切球,,,1.0,9,784.0,662.0,2.0,7,759.0,458.0,,,,,9,751.0,668.0,8,688.0,419.0,0
4,10,00:06:50,12326,3,1,B,2,放小球,,,2.0,7,759.0,458.0,2.0,7,686.0,519.0,,,,,8,735.0,436.0,8,699.0,627.0,0
