rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:07:49,14087,1,0,A,1,發短球,,1.0,2,,,,2,7,592,405,,,,,8,650,533,8,536,324,0
1,2,00:07:50,14109,1,0,B,2,挑球,,,2,7,592.0,405.0,1,9,791,641,,,,,7,611,364,8,629,528,0
1,3,00:07:51,14144,1,0,A,2,點扣,,,1,9,791.0,641.0,2,6,816,310,,,,,9,713,643,8,627,329,0
1,4,00:07:51,14154,1,0,B,2,擋小球,,1.0,2,6,816.0,310.0,1,7,785,445,,,,,8,597,314,9,798,671,0
1,5,00:07:52,14183,1,0,A,3,撲球,,,1,7,785.0,445.0,2,8,673,305,對手落地致勝,落地致勝,A,,7,786,482,8,696,297,0
2,1,00:08:05,14553,2,0,A,1,發短球,,1.0,2,,,,2,7,743,392,,,,,8,623,528,8,734,323,0
2,2,00:08:05,14576,2,0,B,2,挑球,,1.0,2,7,743.0,392.0,1,5,837,629,,,,,7,700,365,8,623,528,0
2,3,00:08:06,14602,2,0,A,2,切球,,,1,5,837.0,629.0,2,2,837,394,,,,,8,751,621,8,708,343,0
2,4,00:08:07,14621,2,0,B,2,挑球,,1.0,2,2,837.0,394.0,1,8,526,607,,,,,2,792,367,8,750,612,0
2,5,00:08:08,14649,2,0,A,2,切球,1.0,,1,8,526.0,607.0,2,7,690,370,,,,,8,675,570,8,672,336,0
2,6,00:08:09,14674,2,0,B,2,放小球,,1.0,2,7,690.0,370.0,2,2,435,438,,,,,8,668,349,8,630,562,0
2,7,00:08:10,14701,2,0,A,2,放小球,,1.0,2,2,435.0,438.0,2,1,444,418,,,,,7,523,461,8,628,346,0
2,8,00:08:10,14724,2,0,B,2,挑球,,,2,1,444.0,418.0,1,8,781,618,,,,,7,493,383,7,549,482,0
2,9,00:08:12,14763,2,0,A,3,殺球,,,1,8,781.0,618.0,2,9,598,266,對手落地致勝,落地致勝,A,,8,691,620,8,612,324,0
3,1,00:08:29,15283,3,0,A,1,發短球,,1.0,2,,,,2,7,556,393,,,,,8,650,529,8,535,330,0
3,2,00:08:30,15305,3,0,B,2,放小球,,1.0,2,7,556.0,393.0,2,2,424,454,,,,,7,537,366,8,622,538,0
3,3,00:08:30,15329,3,0,A,2,挑球,,1.0,2,2,424.0,454.0,1,9,757,266,,,,,7,490,478,8,570,353,0
3,4,00:08:32,15369,3,0,B,2,長球,,1.0,1,9,757.0,266.0,1,4,399,635,,,,,9,747,278,8,671,550,0
3,5,00:08:33,15405,3,0,A,2,長球,1.0,,1,4,399.0,635.0,1,9,744,267,,,,,8,536,607,8,608,304,0
3,6,00:08:35,15454,3,0,B,3,殺球,,,1,9,744.0,267.0,2,15,976,580,出界,對手出界,A,,9,743,270,8,689,574,0
4,1,00:08:53,16004,3,1,A,1,發短球,,1.0,2,,,,2,7,763,386,,,,,8,622,527,8,726,323,0
4,2,00:08:54,16026,3,1,B,2,放小球,,1.0,2,7,763.0,386.0,2,7,644,451,,,,,8,705,361,8,628,530,0
4,3,00:08:54,16046,3,1,A,2,放小球,,,2,7,644.0,451.0,2,7,630,426,,,,,7,639,473,8,688,352,0
4,4,00:08:55,16071,3,1,B,2,挑球,,1.0,2,7,630.0,426.0,1,9,538,659,,,,,7,601,380,7,642,505,0
4,5,00:08:57,16136,3,1,A,2,點扣,,,1,9,538.0,659.0,2,8,508,320,,,,,9,552,654,8,609,319,0
4,6,00:08:58,16148,3,1,B,2,擋小球,,,2,8,508.0,320.0,2,7,751,489,,,,,8,556,318,8,594,622,0
4,7,00:08:59,16179,3,1,A,3,挑球,,,2,7,751.0,489.0,2,13,774,252,出界,對手出界,B,,8,708,519,8,628,333,0
5,1,00:09:18,16761,3,2,B,1,發短球,,1.0,2,,,,2,7,599,480,,,,,8,653,342,8,546,562,0
5,2,00:09:19,16781,3,2,A,2,放小球,,1.0,2,7,599.0,480.0,2,2,849,406,,,,,7,642,502,8,649,338,0
5,3,00:09:20,16804,3,2,B,2,放小球,,1.0,2,2,849.0,406.0,2,1,848,441,,,,,2,794,386,8,682,520,0
5,4,00:09:21,16830,3,2,A,2,挑球,,,2,1,848.0,441.0,1,8,752,307,,,,,1,826,463,7,734,368,0
5,5,00:09:22,16866,3,2,B,2,殺球,,,1,8,752.0,307.0,2,8,817,557,,,,,8,726,302,8,731,532,0
5,6,00:09:22,16875,3,2,A,2,擋小球,,,2,8,817.0,557.0,2,8,595,332,,,,,8,762,577,8,694,300,0
5,7,00:09:23,16905,3,2,B,3,挑球,,,2,8,595.0,332.0,2,4,354,664,落點判斷失誤,對手落點判斷失誤,B,,8,670,333,8,692,555,0
6,1,00:09:40,17409,4,2,B,1,發短球,,1.0,2,,,,2,7,797,463,,,,,8,617,343,8,749,561,0
6,2,00:09:40,17428,4,2,A,2,放小球,,,2,7,797.0,463.0,2,7,504,402,,,,,7,781,494,8,628,338,0
6,3,00:09:41,17451,4,2,B,2,挑球,,,2,7,504.0,402.0,1,9,747,646,,,,,7,552,373,8,667,524,0
6,4,00:09:43,17496,4,2,A,2,殺球,,,1,9,747.0,646.0,2,8,542,319,,,,,9,745,648,8,627,319,0
6,5,00:09:43,17510,4,2,B,3,擋小球,,,2,8,542.0,319.0,2,1,461,422,掛網,對手掛網,A,,8,570,317,9,812,644,0
7,1,00:10:01,18046,5,2,A,1,發短球,,1.0,2,,,,2,7,559,401,,,,,8,653,531,8,535,327,0
7,2,00:10:02,18067,5,2,B,2,放小球,,1.0,2,7,559.0,401.0,2,2,419,453,,,,,8,529,362,8,617,527,0
7,3,00:10:03,18090,5,2,A,2,挑球,,1.0,2,2,419.0,453.0,1,9,760,269,,,,,7,485,482,8,572,346,0
7,4,00:10:04,18129,5,2,B,2,切球,,1.0,1,9,760.0,269.0,2,8,676,521,,,,,9,741,276,8,667,551,0
7,5,00:10:04,18144,5,2,A,2,放小球,,,2,8,676.0,521.0,2,7,519,371,,,,,8,704,539,8,686,304,0
7,6,00:10:05,18167,5,2,B,2,挑球,,,2,7,519.0,371.0,1,6,376,616,,,,,8,539,356,8,659,531,0
7,7,00:10:06,18202,5,2,A,2,長球,,1.0,1,6,376.0,616.0,1,3,471,274,,,,,6,454,629,8,576,327,0
7,8,00:10:07,18238,5,2,B,3,切球,,,1,3,471.0,274.0,2,1,406,421,掛網,對手掛網,A,,9,520,272,8,667,570,0
