rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:07:17,13114,1,0,B,1,發短球,,1.0,2.0,,,,2.0,7,584.0,448.0,,,,,8,648.0,557.0,8,562.0,390.0,0
1,2,00:07:17,13136,1,0,A,2,放小球,,,2.0,7,584.0,448.0,2.0,7,657.0,492.0,,,,,7,581.0,428.0,8,638.0,561.0,0
1,3,00:07:18,13160,1,0,B,2,放小球,,,2.0,7,657.0,492.0,2.0,7,637.0,450.0,,,,,7,664.0,514.0,8,605.0,421.0,0
1,4,00:07:19,13186,1,0,A,2,挑球,,,2.0,7,637.0,450.0,1.0,3,821.0,638.0,,,,,7,640.0,445.0,8,653.0,536.0,0
1,5,00:07:21,13231,1,0,B,3,殺球,,,1.0,3,821.0,638.0,2.0,7,573.0,478.0,掛網,對手掛網,A,,9,768.0,639.0,8,637.0,397.0,0
2,1,00:07:34,13631,2,0,A,1,發短球,,1.0,2.0,,,,2.0,7,564.0,498.0,,,,,8,651.0,412.0,8,521.0,567.0,0
2,2,00:07:35,13651,2,0,B,2,放小球,,1.0,2.0,7,564.0,498.0,2.0,2,816.0,447.0,,,,,7,576.0,522.0,8,630.0,409.0,0
2,3,00:07:35,13674,2,0,A,2,挑球,,1.0,2.0,2,816.0,447.0,1.0,4,465.0,634.0,,,,,7,742.0,438.0,8,659.0,543.0,0
2,4,00:07:36,13709,2,0,B,2,殺球,1.0,,1.0,4,465.0,634.0,2.0,5,501.0,381.0,,,,,8,551.0,615.0,8,611.0,401.0,0
2,5,00:07:37,13726,2,0,A,2,擋小球,,,2.0,5,501.0,381.0,2.0,7,764.0,516.0,,,,,8,539.0,388.0,9,516.0,628.0,0
2,6,00:07:38,13755,2,0,B,2,挑球,,,2.0,7,764.0,516.0,1.0,4,784.0,364.0,,,,,8,708.0,550.0,8,617.0,399.0,0
2,7,00:07:39,13780,2,0,A,3,殺球,1.0,,1.0,4,784.0,364.0,2.0,5,904.0,604.0,對手落地致勝,落地致勝,A,,8,702.0,380.0,8,718.0,586.0,0
3,1,00:07:54,14238,3,0,A,1,發短球,,1.0,2.0,,,,2.0,7,739.0,511.0,,,,,8,618.0,408.0,8,736.0,573.0,0
3,2,00:07:55,14261,3,0,B,2,挑球,,1.0,2.0,7,739.0,511.0,1.0,9,758.0,362.0,,,,,8,745.0,539.0,8,646.0,410.0,0
3,3,00:07:56,14291,3,0,A,3,殺球,1.0,,1.0,9,758.0,362.0,2.0,5,916.0,603.0,對手落地致勝,落地致勝,A,,8,696.0,372.0,8,716.0,577.0,0
4,1,00:08:13,14802,3,1,A,1,發短球,,1.0,2.0,,,,2.0,7,617.0,497.0,,,,,8,647.0,410.0,8,543.0,566.0,0
4,2,00:08:14,14821,3,1,B,2,放小球,,,2.0,7,617.0,497.0,2.0,7,607.0,455.0,,,,,7,592.0,523.0,8,631.0,408.0,0
4,3,00:08:14,14841,3,1,A,2,挑球,,,2.0,7,607.0,455.0,1.0,9,784.0,645.0,,,,,7,605.0,449.0,8,626.0,534.0,0
4,4,00:08:15,14878,3,1,B,2,後場抽平球,,,1.0,9,784.0,645.0,2.0,8,740.0,395.0,,,,,9,726.0,646.0,8,634.0,399.0,0
4,5,00:08:16,14899,3,1,A,2,挑球,,1.0,2.0,8,740.0,395.0,1.0,3,878.0,641.0,,,,,8,662.0,406.0,8,701.0,601.0,0
4,6,00:08:17,14927,3,1,B,2,切球,,,1.0,3,878.0,641.0,2.0,7,529.0,427.0,,,,,3,835.0,629.0,8,656.0,410.0,0
4,7,00:08:18,14953,3,1,A,2,挑球,,,2.0,7,529.0,427.0,1.0,3,849.0,645.0,,,,,8,561.0,414.0,8,711.0,594.0,0
4,8,00:08:19,14989,3,1,B,2,長球,,,1.0,3,849.0,645.0,1.0,3,470.0,357.0,,,,,9,799.0,630.0,8,637.0,402.0,0
4,9,00:08:20,15027,3,1,A,2,切球,,,1.0,3,470.0,357.0,2.0,7,792.0,509.0,,,,,5,492.0,373.0,8,649.0,581.0,0
4,10,00:08:21,15051,3,1,B,2,擋小球,,,2.0,7,792.0,509.0,2.0,2,812.0,460.0,,,,,8,755.0,552.0,8,592.0,392.0,0
4,11,00:08:22,15080,3,1,A,2,推球,,1.0,2.0,2,812.0,460.0,2.0,3,910.0,648.0,,,,,7,759.0,448.0,8,711.0,556.0,0
4,12,00:08:23,15109,3,1,B,2,後場抽平球,,,2.0,3,910.0,648.0,1.0,6,833.0,400.0,,,,,9,790.0,632.0,8,698.0,421.0,0
4,13,00:08:24,15126,3,1,A,2,擋小球,,1.0,1.0,6,833.0,400.0,2.0,2,462.0,507.0,,,,,8,721.0,413.0,8,761.0,612.0,0
4,14,00:08:25,15150,3,1,B,2,放小球,,1.0,2.0,2,462.0,507.0,2.0,1,471.0,444.0,,,,,8,512.0,538.0,8,681.0,397.0,0
4,15,00:08:25,15178,3,1,A,2,挑球,,,2.0,1,471.0,444.0,1.0,3,858.0,637.0,,,,,7,519.0,429.0,8,574.0,547.0,0
4,16,00:08:27,15216,3,1,B,2,長球,,,1.0,3,858.0,637.0,1.0,4,831.0,355.0,,,,,9,764.0,627.0,8,621.0,401.0,0
4,17,00:08:28,15247,3,1,A,2,切球,1.0,,1.0,4,831.0,355.0,2.0,7,760.0,496.0,,,,,8,709.0,374.0,8,729.0,597.0,0
4,18,00:08:29,15271,3,1,B,2,擋小球,,,2.0,7,760.0,496.0,2.0,7,503.0,444.0,,,,,8,722.0,545.0,8,698.0,387.0,0
4,19,00:08:29,15298,3,1,A,2,放小球,,,2.0,7,503.0,444.0,2.0,2,451.0,480.0,,,,,7,534.0,437.0,8,663.0,546.0,0
4,20,00:08:30,15324,3,1,B,2,勾球,,1.0,2.0,2,451.0,480.0,2.0,7,766.0,458.0,,,,,7,504.0,506.0,8,548.0,426.0,0
4,21,00:08:31,15354,3,1,A,2,挑球,,1.0,2.0,7,766.0,458.0,1.0,4,413.0,627.0,,,,,7,699.0,447.0,8,628.0,545.0,0
