rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:52:50,95123,1,0,B,1,發短球,,1.0,2.0,,,,2.0,7,706.0,538.0,,,,,8,623.0,450.0,8,731.0,594.0,0
1,2,00:52:51,95145,1,0,A,2,放小球,,,2.0,7,706.0,538.0,2.0,7,635.0,487.0,,,,,7,680.0,550.0,8,623.0,450.0,0
1,3,00:52:52,95167,1,0,B,2,挑球,,,2.0,7,635.0,487.0,2.0,3,909.0,652.0,,,,,7,640.0,477.0,7,644.0,557.0,0
1,4,00:52:53,95211,1,0,A,2,過度切球,,,2.0,3,909.0,652.0,2.0,7,521.0,471.0,,,,,3,836.0,658.0,8,644.0,450.0,0
1,5,00:52:54,95234,1,0,B,2,放小球,,,2.0,7,521.0,471.0,2.0,7,587.0,528.0,,,,,7,569.0,463.0,8,723.0,624.0,0
1,6,00:52:55,95260,1,0,A,2,放小球,,1.0,2.0,7,587.0,528.0,2.0,7,657.0,493.0,,,,,7,609.0,543.0,8,619.0,448.0,0
1,7,00:52:56,95283,1,0,B,2,放小球,,1.0,2.0,7,657.0,493.0,2.0,7,644.0,519.0,,,,,7,629.0,482.0,7,620.0,550.0,0
1,8,00:52:57,95311,1,0,A,2,挑球,,1.0,2.0,7,644.0,519.0,1.0,9,536.0,407.0,,,,,7,659.0,539.0,7,637.0,463.0,0
1,9,00:52:58,95350,1,0,B,2,點扣,,,1.0,9,536.0,407.0,2.0,8,484.0,590.0,,,,,9,562.0,401.0,8,655.0,590.0,0
1,10,00:52:58,95364,1,0,A,2,擋小球,,1.0,2.0,8,484.0,590.0,2.0,8,510.0,460.0,,,,,8,666.0,592.0,9,557.0,398.0,0
1,11,00:52:59,95389,1,0,B,2,放小球,,,2.0,8,510.0,460.0,2.0,7,633.0,522.0,,,,,8,567.0,451.0,8,625.0,587.0,0
1,12,00:53:00,95413,1,0,A,2,推球,,,2.0,7,633.0,522.0,1.0,5,512.0,427.0,,,,,7,596.0,539.0,8,598.0,450.0,0
1,13,00:53:00,95426,1,0,B,2,長球,,,1.0,5,512.0,427.0,1.0,6,458.0,636.0,,,,,8,579.0,437.0,7,590.0,554.0,0
1,14,00:53:01,95459,1,0,A,2,點扣,,,1.0,6,458.0,636.0,2.0,6,797.0,441.0,,,,,8,542.0,620.0,8,582.0,442.0,0
1,15,00:53:02,95482,1,0,B,2,擋小球,,1.0,2.0,6,797.0,441.0,2.0,1,833.0,537.0,,,,,8,746.0,440.0,8,554.0,643.0,0
1,16,00:53:03,95511,1,0,A,2,放小球,,,2.0,1,833.0,537.0,2.0,2,815.0,491.0,,,,,1,818.0,551.0,8,708.0,443.0,0
1,17,00:53:04,95534,1,0,B,2,放小球,,1.0,2.0,2,815.0,491.0,2.0,1,799.0,516.0,,,,,2,798.0,482.0,8,779.0,567.0,0
1,18,00:53:05,95559,1,0,A,2,挑球,,,2.0,1,799.0,516.0,1.0,4,783.0,404.0,,,,1,1,791.0,528.0,7,728.0,466.0,0
1,19,00:53:07,95610,1,0,B,3,殺球,,,1.0,4,783.0,404.0,2.0,7,745.0,498.0,掛網,對手掛網,A,,4,770.0,399.0,8,696.0,586.0,0
2,1,00:53:38,96559,2,0,A,1,未知球種,,,2.0,,,,,7,745.0,498.0,,,,1,4,770.0,399.0,8,696.0,586.0,0
3,1,00:53:53,97017,2,1,A,1,發短球,,1.0,2.0,,,,2.0,7,588.0,473.0,,,,,8,645.0,568.0,8,562.0,439.0,0
3,2,00:53:54,97042,2,1,B,2,挑球,,,2.0,7,588.0,473.0,1.0,3,863.0,655.0,,,,,7,601.0,463.0,8,632.0,572.0,0
3,3,00:53:56,97087,2,1,A,2,過度切球,,,1.0,3,863.0,655.0,2.0,8,526.0,458.0,,,,,9,799.0,665.0,8,632.0,445.0,0
3,4,00:53:56,97108,2,1,B,2,放小球,,,2.0,8,526.0,458.0,2.0,7,644.0,539.0,,,,,8,551.0,455.0,8,690.0,632.0,0
3,5,00:53:57,97133,2,1,A,2,放小球,,1.0,2.0,7,644.0,539.0,2.0,7,659.0,493.0,,,,,7,655.0,544.0,8,611.0,454.0,0
3,6,00:53:58,97154,2,1,B,2,放小球,,1.0,2.0,7,659.0,493.0,2.0,7,683.0,525.0,,,,,7,662.0,482.0,7,646.0,545.0,0
3,7,00:53:59,97177,2,1,A,2,挑球,,1.0,2.0,7,683.0,525.0,1.0,8,717.0,410.0,,,,,7,659.0,543.0,8,645.0,461.0,0
3,8,00:54:00,97221,2,1,B,2,殺球,,,1.0,8,717.0,410.0,2.0,8,575.0,589.0,,,,,9,677.0,408.0,8,701.0,597.0,0
3,9,00:54:01,97232,2,1,A,2,防守回挑,,1.0,2.0,8,575.0,589.0,1.0,8,548.0,437.0,,,,,8,727.0,604.0,8,677.0,410.0,0
3,10,00:54:01,97258,2,1,B,3,撲球,,,1.0,8,548.0,437.0,2.0,8,770.0,624.0,對手落地致勝,落地致勝,B,,8,580.0,437.0,8,658.0,606.0,0
4,1,00:54:29,98094,3,1,B,1,發短球,,1.0,2.0,,,,2.0,7,569.0,538.0,,,,,8,646.0,449.0,8,533.0,594.0,0
4,2,00:54:30,98115,3,1,A,2,放小球,,,2.0,7,569.0,538.0,2.0,7,541.0,496.0,,,,,7,567.0,553.0,8,648.0,449.0,0
4,3,00:54:31,98140,3,1,B,3,挑球,,,2.0,7,541.0,496.0,2.0,13,740.0,684.0,出界,對手出界,A,,7,558.0,483.0,7,598.0,557.0,0
