rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:06:54,12420,0,1,B,1,發短球,,1.0,2.0,,,,2.0,7,559.0,359.0,,,,,8,657.0,511.0,8,549.0,321.0,0
1,2,00:06:54,12442,0,1,A,2,放小球,,,2.0,7,559.0,359.0,2.0,7,628.0,416.0,,,,,7,597.0,359.0,8,658.0,516.0,0
1,3,00:06:55,12465,0,1,B,2,挑球,,1.0,2.0,7,628.0,416.0,1.0,4,765.0,281.0,,,,,7,669.0,450.0,7,620.0,352.0,0
1,4,00:06:56,12507,0,1,A,2,切球,1.0,,1.0,4,765.0,281.0,2.0,5,872.0,536.0,,,,,9,724.0,290.0,8,693.0,544.0,0
1,5,00:06:57,12527,0,1,B,2,勾球,,,2.0,5,872.0,536.0,2.0,1,444.0,370.0,,,,,8,807.0,542.0,8,717.0,302.0,0
1,6,00:06:58,12557,0,1,A,2,挑球,,,2.0,1,444.0,370.0,1.0,4,380.0,612.0,,,,,7,501.0,355.0,8,652.0,528.0,0
1,7,00:06:59,12597,0,1,B,2,殺球,1.0,,1.0,4,380.0,612.0,2.0,5,462.0,313.0,,,,,9,461.0,616.0,8,555.0,327.0,0
1,8,00:07:00,12609,0,1,A,2,擋小球,,,2.0,5,462.0,313.0,2.0,2,415.0,431.0,,,,,8,539.0,320.0,8,445.0,594.0,0
1,9,00:07:01,12637,0,1,B,2,放小球,,1.0,2.0,2,415.0,431.0,2.0,7,515.0,381.0,,,,,2,438.0,460.0,5,494.0,317.0,0
1,10,00:07:02,12664,0,1,A,2,放小球,,,2.0,7,515.0,381.0,2.0,2,461.0,425.0,,,,,7,526.0,368.0,8,556.0,471.0,0
1,11,00:07:03,12690,0,1,B,2,挑球,,1.0,2.0,2,461.0,425.0,1.0,4,762.0,285.0,,,,,7,529.0,452.0,7,538.0,364.0,0
1,12,00:07:05,12758,0,1,A,2,切球,1.0,,1.0,4,762.0,285.0,2.0,8,498.0,510.0,,,,,9,723.0,289.0,8,662.0,553.0,0
1,13,00:07:05,12776,0,1,B,2,放小球,,1.0,2.0,8,498.0,510.0,2.0,7,672.0,386.0,,,,,8,630.0,533.0,8,717.0,299.0,0
1,14,00:07:06,12807,0,1,A,2,放小球,,,2.0,7,672.0,386.0,2.0,7,684.0,425.0,,,,,7,640.0,368.0,8,628.0,507.0,0
1,15,00:07:07,12831,0,1,B,2,挑球,,,2.0,7,684.0,425.0,1.0,9,639.0,280.0,,,,,7,657.0,459.0,7,624.0,366.0,0
1,16,00:07:09,12879,0,1,A,2,過度切球,,,1.0,9,639.0,280.0,2.0,5,855.0,472.0,,,,,8,638.0,292.0,8,648.0,529.0,0
