rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:49:07,88419,0,1,A,1,發短球,,1.0,2.0,,,,2.0,7,580.0,439.0,,,,,8,642.0,546.0,8,561.0,387.0,0
1,2,00:49:07,88438,0,1,B,2,放小球,,,2.0,7,580.0,439.0,2.0,7,662.0,481.0,,,,,8,593.0,425.0,8,643.0,547.0,0
1,3,00:49:08,88460,0,1,A,3,放小球,,,2.0,7,662.0,481.0,2.0,7,652.0,477.0,掛網,對手掛網,B,,7,645.0,502.0,8,623.0,412.0,0
3,1,00:49:46,89598,1,2,A,1,發短球,,1.0,2.0,,,,2.0,2,777.0,427.0,,,,,8,616.0,544.0,8,718.0,385.0,0
3,2,00:49:47,89617,1,2,B,2,放小球,,1.0,2.0,2,777.0,427.0,2.0,7,568.0,498.0,,,,,8,721.0,424.0,8,616.0,541.0,0
3,3,00:49:47,89639,1,2,A,2,放小球,,1.0,2.0,7,568.0,498.0,1.0,7,698.0,440.0,,,,,7,643.0,518.0,8,671.0,410.0,0
3,4,00:49:48,89660,1,2,B,2,撲球,,1.0,1.0,7,698.0,440.0,2.0,8,594.0,535.0,,,,,7,665.0,435.0,8,644.0,542.0,0
3,5,00:49:48,89669,1,2,A,2,防守回挑,,1.0,2.0,8,594.0,535.0,1.0,8,731.0,371.0,,,,,8,645.0,551.0,7,664.0,434.0,0
3,6,00:49:49,89696,1,2,B,2,點扣,1.0,,1.0,8,731.0,371.0,2.0,8,597.0,563.0,,,,,8,649.0,383.0,8,690.0,576.0,0
3,7,00:49:50,89708,1,2,A,2,擋小球,,1.0,2.0,8,597.0,563.0,2.0,8,541.0,418.0,,,,,8,742.0,585.0,8,631.0,384.0,0
3,8,00:49:51,89732,1,2,B,2,挑球,,,2.0,8,541.0,418.0,1.0,5,917.0,607.0,,,,,8,586.0,419.0,8,604.0,561.0,0
3,9,00:49:52,89771,1,2,A,2,切球,,,1.0,5,917.0,607.0,2.0,2,779.0,432.0,,,,,5,849.0,619.0,8,638.0,394.0,0
3,10,00:49:53,89797,1,2,B,2,放小球,,1.0,2.0,2,779.0,432.0,2.0,7,534.0,500.0,,,,,8,736.0,425.0,8,707.0,572.0,0
3,11,00:49:53,89816,1,2,A,2,放小球,,1.0,2.0,7,534.0,500.0,2.0,7,659.0,453.0,,,,,7,571.0,519.0,8,669.0,413.0,0
3,12,00:49:54,89840,1,2,B,2,挑球,,1.0,2.0,7,659.0,453.0,1.0,6,382.0,608.0,,,,,7,621.0,431.0,7,624.0,530.0,0
3,13,00:49:56,89881,1,2,A,3,切球,,1.0,1.0,6,382.0,608.0,2.0,7,676.0,470.0,掛網,對手掛網,B,,4,440.0,628.0,8,569.0,391.0,0
4,1,00:50:14,90445,1,3,B,1,發短球,,1.0,2.0,,,,2.0,7,690.0,495.0,,,,,8,621.0,406.0,8,728.0,565.0,0
4,2,00:50:15,90464,1,3,A,2,放小球,,,2.0,7,690.0,495.0,2.0,7,628.0,470.0,,,,,7,684.0,518.0,8,627.0,404.0,0
4,3,00:50:16,90488,1,3,B,2,挑球,,1.0,2.0,7,628.0,470.0,1.0,9,477.0,628.0,,,,,7,596.0,437.0,7,645.0,520.0,0
4,4,00:50:18,90542,1,3,A,2,殺球,1.0,,1.0,9,477.0,628.0,2.0,5,433.0,385.0,,,,,8,556.0,621.0,8,574.0,388.0,0
4,5,00:50:18,90557,1,3,B,2,擋小球,,,2.0,5,433.0,385.0,2.0,2,408.0,514.0,,,,,5,501.0,385.0,9,554.0,624.0,0
4,6,00:50:19,90586,1,3,A,2,放小球,,1.0,2.0,2,408.0,514.0,2.0,1,425.0,438.0,,,,,2,451.0,526.0,8,547.0,394.0,0
4,7,00:50:20,90609,1,3,B,2,放小球,,,2.0,1,425.0,438.0,2.0,2,389.0,494.0,,,,,1,483.0,437.0,8,537.0,532.0,0
