rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:26:10,47120,0,1,A,1,發短球,,1.0,2.0,,,,2.0,7,586.0,358.0,,,,,8,646.0,492.0,8,582.0,317.0,0
1,2,00:26:11,47153,0,1,B,2,放小球,,1.0,2.0,7,586.0,358.0,2.0,2,486.0,435.0,,,,,7,560.0,356.0,8,636.0,490.0,0
1,3,00:26:12,47174,0,1,A,2,放小球,,1.0,2.0,2,486.0,435.0,1.0,1,477.0,378.0,,,,,2,510.0,455.0,8,578.0,341.0,0
1,4,00:26:13,47190,0,1,B,3,撲球,,,1.0,1,477.0,378.0,2.0,8,499.0,532.0,對手落地致勝,落地致勝,B,,8,564.0,345.0,7,524.0,458.0,0
2,1,00:26:27,47639,0,2,B,1,發短球,,1.0,2.0,,,,2.0,7,617.0,457.0,,,,,8,648.0,327.0,8,558.0,526.0,0
2,2,00:26:28,47659,0,2,A,2,放小球,,1.0,2.0,7,617.0,457.0,2.0,2,781.0,375.0,,,,,7,650.0,463.0,8,652.0,328.0,0
2,3,00:26:29,47681,0,2,B,2,放小球,,1.0,2.0,2,781.0,375.0,2.0,1,839.0,436.0,,,,,7,726.0,359.0,8,670.0,505.0,0
2,4,00:26:30,47707,0,2,A,3,挑球,,,2.0,1,839.0,436.0,2.0,1,851.0,413.0,掛網,對手掛網,B,,1,794.0,455.0,8,700.0,337.0,0
3,1,00:26:43,48097,0,3,B,1,發短球,,1.0,2.0,,,,2.0,7,731.0,434.0,,,,,8,626.0,327.0,8,721.0,522.0,0
3,2,00:26:43,48104,0,3,A,2,放小球,,,2.0,7,731.0,434.0,2.0,7,650.0,387.0,,,,,7,699.0,448.0,8,629.0,324.0,0
