rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:31:21,56459,1,0,A,1,發長球,,,2,,,,1.0,8,684.0,618.0,,,,,8,603.0,352.0,8,734.0,561.0,0
1,2,00:31:23,56516,1,0,B,2,殺球,,,1,8,684.0,618.0,2.0,5,489.0,369.0,,,,,9,689.0,640.0,8,619.0,359.0,0
1,3,00:31:24,56536,1,0,A,2,擋小球,,,2,5,489.0,369.0,2.0,1,790.0,472.0,,,,,8,539.0,371.0,8,668.0,613.0,0
1,4,00:31:25,56564,1,0,B,2,推球,,,2,1,790.0,472.0,1.0,8,717.0,324.0,,,,,7,737.0,507.0,8,618.0,360.0,0
1,5,00:31:26,56591,1,0,A,2,點扣,1.0,,1,8,717.0,324.0,2.0,8,550.0,535.0,,,,,8,670.0,337.0,8,720.0,536.0,0
1,6,00:31:26,56603,1,0,B,2,擋小球,,1.0,2,8,550.0,535.0,2.0,6,771.0,376.0,,,,,8,712.0,558.0,8,643.0,334.0,0
1,7,00:31:27,56633,1,0,A,2,勾球,,1.0,2,6,771.0,376.0,2.0,7,518.0,465.0,,,,,8,691.0,381.0,8,681.0,559.0,0
1,8,00:31:28,56660,1,0,B,2,勾球,,1.0,2,7,518.0,465.0,2.0,2,837.0,411.0,,,,,7,548.0,498.0,8,628.0,365.0,0
1,9,00:31:29,56687,1,0,A,2,挑球,,1.0,2,2,837.0,411.0,1.0,8,638.0,618.0,,,,,2,769.0,400.0,8,606.0,509.0,0
1,10,00:31:30,56725,1,0,B,2,殺球,,,1,8,638.0,618.0,2.0,5,472.0,365.0,,,,,9,647.0,634.0,8,660.0,382.0,0
1,11,00:31:31,56748,1,0,A,2,防守回抽,,,2,5,472.0,365.0,1.0,6,449.0,562.0,,,,,8,531.0,374.0,8,671.0,618.0,0
1,12,00:31:32,56770,1,0,B,2,過度切球,,1.0,1,6,449.0,562.0,2.0,7,756.0,408.0,,,,,8,507.0,568.0,8,562.0,372.0,0
1,13,00:31:33,56796,1,0,A,2,推球,,1.0,2,7,756.0,408.0,1.0,8,755.0,584.0,,,,,7,716.0,391.0,8,622.0,550.0,0
1,14,00:31:33,56819,1,0,B,2,殺球,,,1,8,755.0,584.0,1.0,6,761.0,355.0,,,,,8,663.0,591.0,8,674.0,372.0,0
1,15,00:31:34,56831,1,0,A,2,擋小球,1.0,,1,6,761.0,355.0,1.0,1,786.0,506.0,,,,,8,623.0,373.0,8,748.0,605.0,0
1,16,00:31:35,56855,1,0,B,3,殺球,,,1,1,786.0,506.0,2.0,13,586.0,284.0,出界,對手出界,A,,8,769.0,546.0,8,634.0,366.0,0
2,1,00:31:53,57396,2,0,A,1,發長球,,,2,,,,1.0,8,590.0,614.0,,,,,8,655.0,346.0,8,541.0,581.0,0
2,2,00:31:55,57450,2,0,B,2,殺球,,,1,8,590.0,614.0,2.0,8,736.0,358.0,,,,,9,593.0,628.0,8,603.0,363.0,0
2,3,00:31:55,57464,2,0,A,2,擋小球,,1.0,2,8,736.0,358.0,2.0,1,838.0,479.0,,,,,8,578.0,363.0,8,632.0,603.0,0
2,4,00:31:56,57494,2,0,B,2,推球,,,2,1,838.0,479.0,2.0,4,789.0,312.0,,,,,8,776.0,513.0,8,651.0,352.0,0
2,5,00:31:57,57530,2,0,A,2,過度切球,,1.0,2,4,789.0,312.0,2.0,2,489.0,457.0,,,,,9,732.0,315.0,8,717.0,551.0,0
2,6,00:31:58,57552,2,0,B,2,勾球,,1.0,2,2,489.0,457.0,2.0,2,779.0,403.0,,,,,7,557.0,501.0,8,660.0,338.0,0
2,7,00:31:59,57578,2,0,A,2,推球,,1.0,2,2,779.0,403.0,1.0,3,888.0,628.0,,,,,7,732.0,393.0,8,626.0,516.0,0
2,8,00:32:00,57618,2,0,B,2,長球,,,1,3,888.0,628.0,1.0,6,772.0,333.0,,,,,3,827.0,641.0,8,661.0,364.0,0
2,9,00:32:01,57647,2,0,A,2,殺球,1.0,,1,6,772.0,333.0,2.0,5,813.0,556.0,,,,,8,723.0,339.0,8,750.0,584.0,0
2,10,00:32:01,57659,2,0,B,3,防守回抽,,,2,5,813.0,556.0,2.0,15,427.0,345.0,出界,對手出界,A,,8,736.0,574.0,8,736.0,335.0,0
3,1,00:32:24,58332,3,0,A,1,未知球種,,,2,,,,1.0,,,,,,,1,,,,,,,0
3,2,00:32:26,58397,3,0,B,3,殺球,,,1,,,,2.0,7,522.0,446.0,掛網,對手掛網,A,,9,797.0,636.0,8,635.0,362.0,0
4,1,00:32:52,59188,4,0,A,1,發長球,,,2,,,,1.0,9,518.0,624.0,,,,,8,654.0,348.0,8,541.0,566.0,0
4,2,00:32:54,59246,4,0,B,2,殺球,,,1,9,518.0,624.0,2.0,8,697.0,364.0,,,,,9,540.0,631.0,8,613.0,358.0,0
4,3,00:32:55,59262,4,0,A,2,擋小球,,1.0,2,8,697.0,364.0,2.0,7,559.0,474.0,,,,,8,580.0,361.0,8,563.0,602.0,0
4,4,00:32:56,59293,4,0,B,2,推球,,1.0,2,7,559.0,474.0,2.0,3,474.0,317.0,,,,,8,595.0,511.0,8,617.0,368.0,0
4,5,00:32:57,59328,4,0,A,2,過度切球,,,2,3,474.0,317.0,2.0,2,413.0,493.0,,,,,8,538.0,329.0,8,616.0,563.0,0
4,6,00:32:58,59356,4,0,B,2,挑球,,1.0,2,2,413.0,493.0,1.0,8,737.0,329.0,,,,,6,449.0,527.0,8,574.0,354.0,0
4,7,00:32:59,59388,4,0,A,3,殺球,1.0,,1,8,737.0,329.0,2.0,6,382.0,579.0,對手落地致勝,落地致勝,A,,8,681.0,328.0,8,621.0,561.0,0
5,1,00:33:18,59956,5,0,A,1,未知球種,,,2,,,,1.0,,,,,,,1,,,,,,,0
5,2,00:33:20,60026,5,0,B,2,殺球,,,1,,,,2.0,6,781.0,352.0,,,,,9,771.0,634.0,8,638.0,364.0,0
5,3,00:33:21,60040,5,0,A,2,擋小球,,1.0,2,6,781.0,352.0,2.0,1,837.0,468.0,,,,,8,597.0,363.0,8,741.0,603.0,0
5,4,00:33:22,60064,5,0,B,2,挑球,,,2,1,837.0,468.0,1.0,3,524.0,317.0,,,,,5,795.0,514.0,8,678.0,352.0,0
5,5,00:33:23,60100,5,0,A,2,長球,,,1,3,524.0,317.0,1.0,5,845.0,596.0,,,,,8,568.0,327.0,8,678.0,566.0,0
5,6,00:33:24,60133,5,0,B,2,後場抽平球,,,1,5,845.0,596.0,2.0,6,810.0,351.0,,,,,9,802.0,623.0,8,639.0,357.0,0
5,7,00:33:24,60149,5,0,A,2,擋小球,,1.0,2,6,810.0,351.0,2.0,1,862.0,470.0,,,,,8,645.0,356.0,8,775.0,591.0,0
5,8,00:33:25,60175,5,0,B,2,挑球,,,2,1,862.0,470.0,1.0,4,816.0,309.0,,,,,1,803.0,499.0,8,693.0,362.0,0
5,9,00:33:27,60211,5,0,A,2,切球,1.0,,1,4,816.0,309.0,2.0,1,818.0,481.0,,,,,9,700.0,322.0,8,717.0,549.0,0
5,10,00:33:27,60239,5,0,B,2,挑球,,,2,1,818.0,481.0,1.0,4,787.0,321.0,,,,,5,793.0,525.0,8,701.0,334.0,0
5,11,00:33:29,60272,5,0,A,3,切球,1.0,,1,4,787.0,321.0,2.0,2,406.0,494.0,對手落地致勝,落地致勝,A,,8,752.0,334.0,8,729.0,549.0,0
6,1,00:33:52,60977,6,0,A,1,未知球種,,,2,,,,1.0,,,,,,,1,,,,,,,0
6,2,00:33:52,60984,6,0,B,3,長球,,,1,,,,2.0,13,563.0,295.0,出界,對手出界,A,,9,512.0,640.0,8,609.0,358.0,0
7,1,00:34:08,61445,7,0,A,1,發長球,,,2,,,,1.0,8,750.0,610.0,,,,,8,602.0,352.0,8,741.0,576.0,0
7,2,00:34:09,61498,7,0,B,2,切球,,,1,8,750.0,610.0,2.0,6,795.0,367.0,,,,,9,762.0,640.0,8,638.0,368.0,0
7,3,00:34:10,61520,7,0,A,2,放小球,,1.0,2,6,795.0,367.0,2.0,1,836.0,477.0,,,,,8,749.0,380.0,8,727.0,583.0,0
7,4,00:34:11,61548,7,0,B,2,推球,,,2,1,836.0,477.0,2.0,4,796.0,311.0,,,,,1,786.0,507.0,8,671.0,353.0,0
7,5,00:34:12,61580,7,0,A,3,長球,,1.0,2,4,796.0,311.0,2.0,3,846.0,651.0,對手落地致勝,落地致勝,A,,8,743.0,333.0,8,722.0,555.0,0
8,1,00:34:34,62249,7,1,A,1,發長球,,,2,,,,1.0,4,431.0,627.0,,,,,8,653.0,348.0,8,560.0,563.0,0
8,2,00:34:36,62305,7,1,B,2,切球,,,1,4,431.0,627.0,2.0,6,770.0,386.0,,,,,4,445.0,641.0,8,596.0,363.0,0
8,3,00:34:37,62329,7,1,A,2,放小球,,1.0,2,6,770.0,386.0,2.0,1,810.0,469.0,,,,,8,731.0,374.0,8,565.0,593.0,0
8,4,00:34:38,62356,7,1,B,2,挑球,,,2,1,810.0,469.0,1.0,9,746.0,316.0,,,,,8,764.0,508.0,8,668.0,366.0,0
8,5,00:34:40,62402,7,1,A,2,長球,,,1,9,746.0,316.0,1.0,8,776.0,562.0,,,,,9,720.0,323.0,8,687.0,550.0,0
8,6,00:34:40,62428,7,1,B,2,點扣,,,1,8,776.0,562.0,2.0,5,497.0,355.0,,,,,8,700.0,575.0,9,690.0,320.0,0
8,7,00:34:41,62448,7,1,A,2,擋小球,,,2,5,497.0,355.0,1.0,2,465.0,499.0,,,,,8,565.0,352.0,8,743.0,586.0,0
