rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:07:43,13893,1,0,A,1,發短球,,1.0,2,,,,2,7,573,239,,,,,8,660,410,8,560,192,0
1,2,00:07:43,13919,1,0,B,2,放小球,,,2,7,573.0,239.0,2,2,449,357,,,,,8,600,237,8,651,438,0
1,3,00:07:45,13950,1,0,A,2,挑球,,1.0,2,2,449.0,357.0,1,3,524,148,,,,,2,492,375,8,613,225,0
1,4,00:07:46,13987,1,0,B,2,切球,,,1,3,524.0,148.0,2,1,809,376,,,,,9,552,155,8,616,455,0
1,5,00:07:47,14016,1,0,A,2,放小球,,,2,1,809.0,376.0,2,2,819,251,,,,,8,778,402,8,620,178,0
1,6,00:07:48,14046,1,0,B,2,挑球,,1.0,2,2,819.0,251.0,1,3,912,599,,,,,2,753,255,8,716,437,0
1,7,00:07:49,14085,1,0,A,2,切球,,,1,3,912.0,599.0,2,1,502,242,,,,,3,842,599,8,652,205,0
1,8,00:07:50,14112,1,0,B,2,放小球,,,2,1,502.0,242.0,2,2,449,353,,,,,5,530,234,8,723,509,0
1,9,00:07:51,14141,1,0,A,2,挑球,,1.0,2,2,449.0,353.0,1,4,754,145,,,,,2,485,374,8,589,225,0
1,10,00:07:52,14186,1,0,B,2,殺球,,,1,4,754.0,145.0,2,8,496,492,,,,,9,727,148,8,706,451,0
1,11,00:07:53,14203,1,0,A,2,擋小球,,1.0,2,8,496.0,492.0,2,8,564,220,,,,,8,732,518,4,742,153,0
1,12,00:07:54,14237,1,0,B,3,挑球,,,2,8,564.0,220.0,2,12,331,595,出界,對手出界,A,,8,625,215,8,627,460,0
2,1,00:08:10,14724,2,0,A,1,發短球,,1.0,2,,,,1,7,689,240,,,,,8,624,408,8,716,191,0
2,2,00:08:11,14744,2,0,B,2,推球,,,1,7,689.0,240.0,1,3,914,589,,,,,8,709,228,8,652,413,0
2,3,00:08:12,14777,2,0,A,2,後場抽平球,,,1,3,914.0,589.0,1,6,772,193,,,,,3,853,595,8,671,203,0
2,4,00:08:12,14789,2,0,B,2,擋小球,,1.0,1,6,772.0,193.0,2,6,509,401,,,,,8,662,205,5,827,565,0
2,5,00:08:13,14816,2,0,A,2,推球,,1.0,2,6,509.0,401.0,2,3,513,147,,,,,8,559,427,8,650,197,0
2,6,00:08:14,14845,2,0,B,2,過度切球,,,2,3,513.0,147.0,1,2,460,339,,,,,8,557,164,8,583,436,0
2,7,00:08:15,14869,2,0,A,3,放小球,,1.0,1,2,460.0,339.0,2,1,491,260,對手落地致勝,落地致勝,A,,2,474,361,5,545,179,0
3,1,00:08:32,15366,3,0,A,1,發短球,,1.0,2,,,,2,7,571,240,,,,,8,663,418,8,563,197,0
3,2,00:08:33,15392,3,0,B,2,挑球,,,2,7,571.0,240.0,1,3,832,606,,,,,8,605,235,8,654,439,0
3,3,00:08:34,15425,3,0,A,2,後場抽平球,,,1,3,832.0,606.0,1,6,755,217,,,,,9,769,606,8,623,201,0
