rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:07:02,12686,0,1,A,1,發長球,,,2.0,,,,1.0,9,564.0,390.0,,,,,8,678.0,560.0,8,555.0,418.0,0
1,2,00:07:05,12753,0,1,B,2,點扣,,,1.0,9,564.0,390.0,2.0,6,416.0,574.0,,,,,9,562.0,390.0,8,639.0,576.0,0
1,3,00:07:05,12774,0,1,A,2,擋小球,,1.0,2.0,6,416.0,574.0,1.0,1,457.0,479.0,,,,,8,514.0,573.0,8,618.0,407.0,0
1,4,00:07:06,12802,0,1,B,3,撲球,,,1.0,1,457.0,479.0,2.0,3,875.0,639.0,對手落地致勝,落地致勝,B,,1,484.0,466.0,8,563.0,580.0,0
2,1,00:07:20,13206,1,1,B,1,發長球,,,2.0,,,,1.0,4,363.0,651.0,,,,,8,656.0,430.0,8,508.0,592.0,0
2,2,00:07:22,13266,1,1,A,2,殺球,,,1.0,4,363.0,651.0,2.0,5,521.0,423.0,,,,,12,349.0,651.0,8,594.0,422.0,0
2,3,00:07:22,13282,1,1,B,2,防守回挑,,,2.0,5,521.0,423.0,1.0,8,775.0,595.0,,,,,8,583.0,417.0,6,397.0,633.0,0
2,4,00:07:23,13307,1,1,A,2,殺球,,,1.0,8,775.0,595.0,2.0,6,788.0,421.0,,,,,8,733.0,599.0,8,609.0,424.0,0
2,5,00:07:24,13320,1,1,B,2,擋小球,,1.0,2.0,6,788.0,421.0,2.0,1,862.0,523.0,,,,,8,630.0,418.0,8,793.0,598.0,0
2,6,00:07:24,13349,1,1,A,2,放小球,,,2.0,1,862.0,523.0,2.0,2,821.0,475.0,,,,,5,828.0,542.0,8,708.0,424.0,0
2,7,00:07:25,13376,1,1,B,2,挑球,,1.0,2.0,2,821.0,475.0,1.0,3,833.0,645.0,,,,,7,765.0,453.0,8,714.0,553.0,0
2,8,00:07:27,13412,1,1,A,2,長球,,,1.0,3,833.0,645.0,1.0,4,764.0,394.0,,,,,9,777.0,641.0,8,679.0,427.0,0
2,9,00:07:28,13441,1,1,B,2,長球,1.0,,1.0,4,764.0,394.0,1.0,9,798.0,646.0,,,,,8,719.0,406.0,8,710.0,595.0,0
2,10,00:07:29,13476,1,1,A,2,長球,,,1.0,9,798.0,646.0,1.0,6,771.0,399.0,,,,,9,755.0,641.0,8,655.0,414.0,0
2,11,00:07:30,13507,1,1,B,2,長球,1.0,,1.0,6,771.0,399.0,1.0,3,824.0,640.0,,,,,8,725.0,408.0,8,714.0,603.0,0
2,12,00:07:31,13547,1,1,A,2,切球,,,1.0,3,824.0,640.0,2.0,7,768.0,464.0,,,,,9,803.0,640.0,8,667.0,412.0,0
2,13,00:07:32,13572,1,1,B,3,放小球,,1.0,2.0,7,768.0,464.0,2.0,10,399.0,508.0,出界,對手出界,A,,8,742.0,441.0,8,705.0,595.0,0
3,1,00:07:48,14069,1,2,A,1,發長球,,,2.0,,,,1.0,9,740.0,388.0,,,,,8,631.0,566.0,8,722.0,416.0,0
3,2,00:07:51,14135,1,2,B,2,切球,,,1.0,9,740.0,388.0,2.0,8,786.0,545.0,,,,,9,733.0,392.0,8,690.0,580.0,0
3,3,00:07:51,14153,1,2,A,2,放小球,,,2.0,8,786.0,545.0,2.0,2,788.0,473.0,,,,,8,764.0,566.0,8,699.0,402.0,0
3,4,00:07:52,14180,1,2,B,2,挑球,,1.0,2.0,2,788.0,473.0,1.0,8,560.0,589.0,,,,,7,740.0,452.0,8,698.0,572.0,0
3,5,00:07:53,14197,1,2,A,2,長球,,1.0,1.0,8,560.0,589.0,1.0,9,617.0,398.0,,,,,8,619.0,577.0,8,695.0,442.0,0
3,6,00:07:54,14232,1,2,B,2,長球,,,1.0,9,617.0,398.0,1.0,5,882.0,626.0,,,,,8,610.0,408.0,8,654.0,596.0,0
3,7,00:07:55,14271,1,2,A,3,長球,,,1.0,5,882.0,626.0,2.0,13,811.0,382.0,出界,對手出界,B,,5,828.0,629.0,8,648.0,415.0,0
4,1,00:08:11,14754,1,3,B,1,未知球種,,,2.0,,,,1.0,,,,,,,1,,,,,,,0
4,2,00:08:12,14778,1,3,A,2,殺球,,,1.0,,,,2.0,8,747.0,424.0,,,,,9,769.0,640.0,8,627.0,421.0,0
4,3,00:08:13,14791,1,3,B,2,擋小球,,1.0,2.0,8,747.0,424.0,2.0,7,726.0,523.0,,,,,8,618.0,425.0,8,731.0,614.0,0
4,4,00:08:13,14816,1,3,A,3,挑球,,,2.0,7,726.0,523.0,2.0,14,446.0,385.0,出界,對手出界,B,,8,681.0,547.0,8,649.0,428.0,0
5,1,00:08:39,15575,2,3,B,1,發長球,,,2.0,,,,1.0,4,461.0,643.0,,,,,8,658.0,428.0,8,506.0,590.0,0
5,2,00:08:41,15636,2,3,A,2,殺球,,,1.0,4,461.0,643.0,2.0,6,775.0,418.0,,,,,4,471.0,642.0,8,608.0,428.0,0
5,3,00:08:41,15655,2,3,B,3,擋小球,,1.0,2.0,6,775.0,418.0,2.0,2,787.0,480.0,掛網,對手掛網,A,,8,608.0,424.0,8,575.0,611.0,0
6,1,00:08:57,16116,3,3,A,1,未知球種,,,2.0,,,,2.0,,,,,,,1,,,,,,,0
6,2,00:08:57,16135,3,3,B,2,挑球,,1.0,2.0,,,,1.0,4,425.0,639.0,,,,,7,556.0,450.0,8,639.0,560.0,0
6,3,00:08:59,16171,3,3,A,2,長球,1.0,,1.0,4,425.0,639.0,1.0,3,527.0,391.0,,,,,8,513.0,633.0,8,588.0,428.0,0
6,4,00:09:00,16215,3,3,B,2,殺球,,,1.0,3,527.0,391.0,2.0,5,809.0,562.0,,,,,3,526.0,393.0,8,625.0,589.0,0
6,5,00:09:01,16231,3,3,A,2,擋小球,,,2.0,5,809.0,562.0,2.0,6,831.0,447.0,,,,,8,745.0,575.0,3,533.0,396.0,0
