rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:05:50,10521,0,1,A,1,發長球,,,2.0,,,,1.0,8,609.0,402.0,,,,,8,680.0,567.0,8,569.0,416.0,0
1,2,00:05:52,10585,0,1,B,3,殺球,,,1.0,8,609.0,402.0,2.0,5,893.0,631.0,對手落地致勝,落地致勝,B,,9,600.0,398.0,8,664.0,579.0,0
2,1,00:06:07,11038,1,1,B,1,發短球,,1.0,2.0,,,,2.0,7,555.0,526.0,,,,,8,651.0,430.0,8,521.0,584.0,0
2,2,00:06:08,11064,1,1,A,2,挑球,,,2.0,7,555.0,526.0,1.0,3,515.0,399.0,,,,,7,511.0,535.0,8,628.0,431.0,0
2,3,00:06:09,11096,1,1,B,2,殺球,,,1.0,3,515.0,399.0,2.0,6,436.0,569.0,,,,,9,577.0,394.0,8,600.0,576.0,0
2,4,00:06:10,11111,1,1,A,2,擋小球,,1.0,2.0,6,436.0,569.0,2.0,1,481.0,461.0,,,,,6,487.0,589.0,8,563.0,399.0,0
2,5,00:06:11,11140,1,1,B,2,挑球,,,2.0,1,481.0,461.0,1.0,8,801.0,612.0,,,,,7,534.0,458.0,8,587.0,580.0,0
2,6,00:06:12,11180,1,1,A,2,點扣,,,1.0,8,801.0,612.0,2.0,6,781.0,424.0,,,,,8,724.0,626.0,8,619.0,427.0,0
2,7,00:06:13,11195,1,1,B,2,擋小球,,1.0,2.0,6,781.0,424.0,2.0,1,827.0,528.0,,,,,8,622.0,427.0,8,792.0,629.0,0
2,8,00:06:14,11222,1,1,A,2,挑球,,,2.0,1,827.0,528.0,1.0,6,790.0,415.0,,,,,7,770.0,542.0,8,649.0,420.0,0
2,9,00:06:14,11243,1,1,B,2,點扣,1.0,,1.0,6,790.0,415.0,2.0,6,465.0,563.0,,,,,8,681.0,419.0,8,703.0,543.0,0
2,10,00:06:15,11261,1,1,A,2,擋小球,,1.0,2.0,6,465.0,563.0,2.0,7,623.0,459.0,,,,,8,698.0,572.0,8,705.0,412.0,0
2,11,00:06:16,11291,1,1,B,2,挑球,,,2.0,7,623.0,459.0,1.0,9,512.0,634.0,,,,,7,664.0,454.0,8,569.0,579.0,0
2,12,00:06:18,11340,1,1,A,2,點扣,1.0,,1.0,9,512.0,634.0,2.0,8,749.0,429.0,,,,,9,496.0,642.0,8,606.0,428.0,0
2,13,00:06:18,11356,1,1,B,2,擋小球,,1.0,2.0,8,749.0,429.0,2.0,1,792.0,526.0,,,,,8,613.0,425.0,8,511.0,628.0,0
2,14,00:06:19,11385,1,1,A,2,挑球,,,2.0,1,792.0,526.0,1.0,6,768.0,399.0,,,,,7,764.0,531.0,8,688.0,425.0,0
2,15,00:06:20,11425,1,1,B,2,長球,1.0,,1.0,6,768.0,399.0,1.0,6,479.0,607.0,,,,,9,733.0,394.0,8,713.0,570.0,0
2,16,00:06:21,11459,1,1,A,2,長球,1.0,,1.0,6,479.0,607.0,1.0,8,565.0,401.0,,,,,8,571.0,606.0,8,654.0,409.0,0
