rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:06:22,11462,1,0,B,1,發短球,,1.0,2,,,,2.0,7,705.0,439.0,,,,,8,627.0,327.0,8,733.0,533.0,0
1,2,00:06:22,11481,1,0,A,2,勾球,,,2,7,705.0,439.0,2.0,1,515.0,366.0,,,,,8,684.0,478.0,8,636.0,330.0,0
1,3,00:06:23,11505,1,0,B,2,挑球,,,2,1,515.0,366.0,1.0,6,488.0,579.0,,,,,7,555.0,353.0,8,594.0,481.0,0
1,4,00:06:24,11540,1,0,A,2,殺球,1.0,,1,6,488.0,579.0,2.0,8,607.0,319.0,,,,,8,561.0,580.0,8,598.0,320.0,0
1,5,00:06:25,11554,1,0,B,2,擋小球,,1.0,2,8,607.0,319.0,2.0,2,512.0,455.0,,,,,8,575.0,308.0,8,531.0,586.0,0
1,6,00:06:25,11579,1,0,A,2,勾球,,1.0,2,2,512.0,455.0,2.0,7,708.0,366.0,,,,,8,568.0,486.0,8,603.0,329.0,0
1,7,00:06:26,11602,1,0,B,2,放小球,,1.0,2,7,708.0,366.0,2.0,7,614.0,434.0,,,,,7,681.0,355.0,8,606.0,490.0,0
1,8,00:06:27,11626,1,0,A,2,推球,,1.0,2,7,614.0,434.0,1.0,3,535.0,275.0,,,,,7,639.0,463.0,7,659.0,351.0,0
1,9,00:06:28,11657,1,0,B,2,後場抽平球,,,1,3,535.0,275.0,2.0,6,461.0,513.0,,,,,8,564.0,289.0,8,633.0,508.0,0
1,10,00:06:29,11673,1,0,A,2,擋小球,,1.0,2,6,461.0,513.0,2.0,1,476.0,345.0,,,,,8,621.0,523.0,8,574.0,288.0,0
1,11,00:06:29,11699,1,0,B,2,放小球,,,2,1,476.0,345.0,2.0,2,447.0,434.0,,,,,5,511.0,329.0,8,581.0,540.0,0
1,12,00:06:30,11728,1,0,A,2,挑球,,1.0,2,2,447.0,434.0,1.0,3,500.0,272.0,,,,,2,489.0,462.0,8,568.0,343.0,0
1,13,00:06:32,11764,1,0,B,2,過度切球,,,1,3,500.0,272.0,2.0,2,451.0,460.0,,,,,5,539.0,281.0,8,585.0,529.0,0
1,14,00:06:32,11789,1,0,A,2,放小球,,1.0,2,2,451.0,460.0,2.0,7,609.0,372.0,,,,,6,471.0,495.0,8,567.0,289.0,0
1,15,00:06:33,11817,1,0,B,3,放小球,,,2,7,609.0,372.0,2.0,7,622.0,392.0,未過網,對手未過網,A,,7,613.0,364.0,8,614.0,499.0,0
2,1,00:06:49,12278,1,1,A,1,發短球,,1.0,2,,,,2.0,7,693.0,359.0,,,,,8,617.0,513.0,8,685.0,319.0,0
2,2,00:06:50,12307,1,1,B,2,挑球,,,2,7,693.0,359.0,1.0,6,456.0,597.0,,,,,7,689.0,346.0,8,615.0,505.0,0
2,3,00:06:51,12348,1,1,A,2,殺球,1.0,,1,6,456.0,597.0,2.0,6,764.0,306.0,,,,,8,549.0,599.0,8,600.0,319.0,0
2,4,00:06:52,12366,1,1,B,2,擋小球,,1.0,2,6,764.0,306.0,2.0,1,773.0,444.0,,,,,8,596.0,313.0,4,484.0,604.0,0
2,5,00:06:53,12395,1,1,A,2,挑球,,,2,1,773.0,444.0,1.0,9,573.0,278.0,,,,,8,737.0,482.0,8,715.0,325.0,0
2,6,00:06:54,12433,1,1,B,2,點扣,,,1,9,573.0,278.0,2.0,8,757.0,510.0,,,,,8,614.0,287.0,8,656.0,526.0,0
2,7,00:06:54,12448,1,1,A,2,擋小球,,,2,8,757.0,510.0,2.0,8,730.0,342.0,,,,,8,683.0,530.0,9,561.0,275.0,0
2,8,00:06:55,12478,1,1,B,2,推球,,1.0,2,8,730.0,342.0,1.0,5,874.0,598.0,,,,,8,688.0,336.0,8,670.0,524.0,0
2,9,00:06:57,12510,1,1,A,3,過度切球,,,1,5,874.0,598.0,2.0,1,806.0,414.0,掛網,對手掛網,B,,5,820.0,599.0,8,670.0,329.0,0
3,1,00:07:13,13013,2,1,B,1,發短球,,1.0,2,,,,2.0,7,580.0,436.0,,,,,8,648.0,333.0,8,553.0,539.0,0
3,2,00:07:14,13032,2,1,A,2,放小球,,,2,7,580.0,436.0,2.0,7,541.0,379.0,,,,,8,564.0,472.0,8,646.0,326.0,0
3,3,00:07:15,13057,2,1,B,2,挑球,,,2,7,541.0,379.0,1.0,9,734.0,625.0,,,,,7,553.0,359.0,7,571.0,468.0,0
3,4,00:07:17,13122,2,1,A,2,切球,,,1,9,734.0,625.0,2.0,2,768.0,350.0,,,,,9,709.0,652.0,8,614.0,321.0,0
3,5,00:07:18,13145,2,1,B,2,推球,,1.0,2,2,768.0,350.0,1.0,5,852.0,597.0,,,,,8,726.0,341.0,8,680.0,578.0,0
3,6,00:07:19,13177,2,1,A,2,過度切球,,,1,5,852.0,597.0,2.0,5,498.0,340.0,,,,,8,798.0,602.0,8,655.0,319.0,0
3,7,00:07:20,13204,2,1,B,2,放小球,,,2,5,498.0,340.0,2.0,2,456.0,440.0,,,,,5,529.0,329.0,8,693.0,566.0,0
3,8,00:07:21,13232,2,1,A,2,推球,,1.0,2,2,456.0,440.0,1.0,3,496.0,273.0,,,,,2,498.0,462.0,8,562.0,337.0,0
3,9,00:07:22,13272,2,1,B,2,過度切球,,,1,3,496.0,273.0,2.0,1,817.0,432.0,,,,,3,516.0,274.0,8,591.0,529.0,0
3,10,00:07:23,13302,2,1,A,2,放小球,,,2,1,817.0,432.0,2.0,2,806.0,380.0,,,,,7,763.0,458.0,8,584.0,294.0,0
3,11,00:07:24,13332,2,1,B,2,挑球,,1.0,2,2,806.0,380.0,1.0,9,783.0,615.0,,,,,7,752.0,363.0,8,699.0,486.0,0
3,12,00:07:25,13371,2,1,A,2,後場抽平球,,,1,9,783.0,615.0,2.0,6,756.0,316.0,,,,,9,724.0,643.0,8,667.0,329.0,0
3,13,00:07:26,13390,2,1,B,2,推球,,1.0,2,6,756.0,316.0,1.0,5,848.0,556.0,,,,,8,633.0,320.0,8,714.0,581.0,0
3,14,00:07:27,13418,2,1,A,2,長球,,,1,5,848.0,556.0,1.0,9,548.0,278.0,,,,,8,780.0,572.0,8,655.0,326.0,0
3,15,00:07:28,13453,2,1,B,2,點扣,,,1,9,548.0,278.0,2.0,6,464.0,534.0,,,,,8,581.0,294.0,8,682.0,554.0,0
3,16,00:07:28,13466,2,1,A,2,擋小球,,1.0,2,6,464.0,534.0,2.0,1,478.0,358.0,,,,,8,658.0,545.0,5,524.0,280.0,0
3,17,00:07:29,13497,2,1,B,2,放小球,,,2,1,478.0,358.0,2.0,2,464.0,419.0,,,,,1,506.0,353.0,8,539.0,511.0,0
3,18,00:07:30,13523,2,1,A,2,推球,,1.0,2,2,464.0,419.0,1.0,8,732.0,285.0,,,,,2,491.0,460.0,7,539.0,344.0,0
3,19,00:07:31,13553,2,1,B,3,後場抽平球,,1.0,1,8,732.0,285.0,2.0,7,735.0,384.0,掛網,對手掛網,A,,8,695.0,291.0,8,608.0,519.0,0
4,1,00:08:02,14464,2,2,A,1,發短球,,1.0,2,,,,2.0,8,600.0,343.0,,,,,8,653.0,505.0,8,565.0,319.0,0
4,2,00:08:02,14484,2,2,B,2,挑球,,1.0,2,8,600.0,343.0,1.0,8,518.0,573.0,,,,,8,574.0,343.0,8,630.0,502.0,0
4,3,00:08:04,14522,2,2,A,2,殺球,1.0,,1,8,518.0,573.0,2.0,5,504.0,304.0,,,,,8,564.0,588.0,8,610.0,317.0,0
