rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:48:17,86912,1,0,B,1,發短球,,1.0,2,,,,2,7,534,368,,,,,8,645,482,8,583,309,0
1,2,00:48:17,86933,1,0,A,2,挑球,,,2,7,534.0,368.0,1,5,830,578,,,,,7,567,345,8,638,487,0
1,3,00:48:18,86964,1,0,B,2,後場抽平球,,,1,5,830.0,578.0,2,6,755,315,,,,,9,779,603,8,627,315,0
1,4,00:48:19,86979,1,0,A,2,擋小球,,1.0,2,6,755.0,315.0,2,7,682,456,,,,,8,631,311,8,748,572,0
1,5,00:48:20,87002,1,0,B,2,放小球,,1.0,2,7,682.0,456.0,2,2,787,352,,,,,8,720,477,8,648,312,0
1,6,00:48:20,87023,1,0,A,2,推球,,1.0,2,2,787.0,352.0,1,5,863,560,,,,,8,739,344,8,693,501,0
1,7,00:48:21,87052,1,0,B,2,切球,,,1,5,863.0,560.0,2,1,513,348,,,,,5,802,586,8,664,318,0
1,8,00:48:22,87077,1,0,A,2,放小球,,,2,1,513.0,348.0,2,2,467,434,,,,,8,554,337,8,697,550,0
1,9,00:48:23,87106,1,0,B,2,挑球,,1.0,2,2,467.0,434.0,1,8,732,301,,,,,2,513,455,8,595,326,0
1,10,00:48:24,87129,1,0,A,2,點扣,1.0,,1,8,732.0,301.0,2,8,704,505,,,,,8,626,302,8,624,492,0
1,11,00:48:24,87140,1,0,B,3,擋小球,,,2,8,704.0,505.0,2,7,700,426,掛網,對手掛網,A,,8,689,522,8,645,297,0
2,1,00:48:43,87700,2,0,A,1,發短球,,1.0,2,,,,2,7,584,437,,,,,8,650,326,8,555,513,0
2,2,00:48:44,87725,2,0,B,2,放小球,,,2,7,584.0,437.0,2,7,554,386,,,,,7,572,459,8,649,324,0
2,3,00:48:45,87750,2,0,A,2,挑球,,,2,7,554.0,386.0,1,5,871,589,,,,,7,569,364,7,605,464,0
2,4,00:48:46,87796,2,0,B,2,點扣,,,1,5,871.0,589.0,2,6,787,310,,,,,9,796,607,8,631,316,0
2,5,00:48:46,87809,2,0,A,2,擋小球,,1.0,2,6,787.0,310.0,2,1,770,438,,,,,8,622,312,3,840,637,0
2,6,00:48:47,87836,2,0,B,2,放小球,,,2,1,770.0,438.0,2,2,805,377,,,,,7,719,460,8,699,312,0
2,7,00:48:48,87864,2,0,A,2,挑球,,1.0,2,2,805.0,377.0,1,3,877,615,,,,,2,756,352,8,712,482,0
2,8,00:48:50,87902,2,0,B,2,切球,,,1,3,877.0,615.0,2,2,760,346,,,,,9,797,627,8,662,316,0
2,9,00:48:50,87923,2,0,A,2,放小球,,1.0,2,2,760.0,346.0,2,7,593,450,,,,,8,709,331,8,734,570,0
2,10,00:48:51,87948,2,0,B,2,放小球,,1.0,2,7,593.0,450.0,2,7,738,384,,,,,8,655,474,8,650,317,0
2,11,00:48:52,87972,2,0,A,2,放小球,,1.0,2,7,738.0,384.0,2,1,786,415,,,,,7,725,358,8,662,473,0
2,12,00:48:53,87996,2,0,B,2,挑球,,,2,1,786.0,415.0,1,8,579,281,,,,,7,763,421,7,701,355,0
2,13,00:48:55,88064,2,0,A,2,切球,,,1,8,579.0,281.0,2,2,485,456,,,,,9,586,268,8,661,512,0
2,14,00:48:56,88086,2,0,B,2,放小球,,1.0,2,2,485.0,456.0,2,7,530,380,,,,,7,529,466,8,608,285,0
2,15,00:48:57,88115,2,0,A,2,挑球,,,2,7,530.0,380.0,1,6,441,587,,,,,7,544,353,8,575,480,0
2,16,00:48:58,88151,2,0,B,2,點扣,1.0,,1,6,441.0,587.0,2,5,495,319,,,,,8,522,573,8,587,317,0
2,17,00:48:59,88174,2,0,A,2,擋小球,,,2,5,495.0,319.0,2,7,673,435,,,,,8,543,318,8,518,587,0
2,18,00:49:00,88200,2,0,B,2,挑球,,,2,7,673.0,435.0,1,3,481,276,,,,,7,645,470,8,594,314,0
2,19,00:49:01,88236,2,0,A,2,長球,,,1,3,481.0,276.0,1,6,437,554,,,,,3,520,277,8,635,508,0
2,20,00:49:01,88259,2,0,B,2,切球,1.0,,1,6,437.0,554.0,2,1,508,349,,,,,8,541,535,8,558,289,0
2,21,00:49:02,88282,2,0,A,2,放小球,,,2,1,508.0,349.0,2,7,642,413,,,,,8,550,332,8,542,539,0
2,22,00:49:03,88310,2,0,B,2,放小球,,,2,7,642.0,413.0,2,7,634,391,,,,,7,622,440,8,600,329,0
2,23,00:49:04,88336,2,0,A,2,挑球,,1.0,2,7,634.0,391.0,1,9,707,617,,,,,7,610,365,7,624,460,0
2,24,00:49:06,88390,2,0,B,2,長球,,,1,9,707.0,617.0,1,4,746,278,,,,,9,658,621,8,622,314,0
2,25,00:49:07,88424,2,0,A,2,切球,1.0,,1,4,746.0,278.0,2,5,840,480,,,,,8,701,281,8,699,521,0
2,26,00:49:08,88448,2,0,B,2,放小球,,,2,5,840.0,480.0,2,2,808,348,,,,,8,766,505,9,713,277,0
2,27,00:49:09,88478,2,0,A,2,挑球,,1.0,2,2,808.0,348.0,1,5,905,600,,,,,2,764,346,8,717,490,0
2,28,00:49:10,88518,2,0,B,2,切球,,,1,5,905.0,600.0,2,2,779,347,,,,,3,841,605,8,678,315,0
2,29,00:49:11,88547,2,0,A,2,挑球,,1.0,2,2,779.0,347.0,1,5,860,587,,,,,8,740,339,8,726,528,0
2,30,00:49:12,88581,2,0,B,2,長球,,,1,5,860.0,587.0,1,5,523,286,,,,,9,800,602,8,681,318,0
2,31,00:49:13,88613,2,0,A,2,長球,,,1,5,523.0,286.0,1,6,431,558,,,,,9,555,280,8,675,534,0
2,32,00:49:14,88637,2,0,B,2,切球,1.0,,1,6,431.0,558.0,2,6,793,331,,,,,8,542,537,8,576,286,0
2,33,00:49:15,88664,2,0,A,2,挑球,,1.0,2,6,793.0,331.0,2,5,884,556,,,,,8,743,325,8,556,550,0
2,34,00:49:16,88695,2,0,B,2,過度切球,,,2,5,884.0,556.0,2,7,540,358,,,,,8,791,574,8,682,313,0
2,35,00:49:17,88723,2,0,A,2,挑球,,,2,7,540.0,358.0,1,6,464,583,,,,,7,564,347,8,683,521,0
2,36,00:49:18,88760,2,0,B,2,長球,1.0,,1,6,464.0,583.0,1,3,505,280,,,,,8,520,586,8,600,318,0
2,37,00:49:20,88802,2,0,A,3,點扣,,,1,3,505.0,280.0,2,5,830,473,對手落地致勝,落地致勝,A,,3,515,273,8,654,532,0
3,1,00:50:07,90217,3,0,A,1,發短球,,1.0,2,,,,2,7,697,434,,,,,8,629,325,8,719,508,0
3,2,00:50:08,90240,3,0,B,2,放小球,,,2,7,697.0,434.0,2,7,649,356,,,,,7,675,448,8,631,322,0
3,3,00:50:08,90264,3,0,A,2,挑球,,1.0,2,7,649.0,356.0,1,5,894,564,,,,,8,580,341,8,638,488,0
3,4,00:50:09,90296,3,0,B,2,長球,,,1,5,894.0,564.0,1,6,776,309,,,,,5,802,583,8,637,316,0
3,5,00:50:10,90311,3,0,A,2,點扣,,1.0,1,6,776.0,309.0,2,8,716,488,,,,,8,663,316,8,766,558,0
3,6,00:50:10,90323,3,0,B,2,擋小球,,,2,8,716.0,488.0,2,8,548,344,,,,,8,717,512,8,674,320,0
3,7,00:50:11,90348,3,0,A,2,推球,,,2,8,548.0,344.0,1,6,448,513,,,,,8,582,334,8,648,504,0
3,8,00:50:12,90365,3,0,B,2,擋小球,,1.0,1,6,448.0,513.0,2,1,483,371,,,,,8,580,508,8,579,337,0
3,9,00:50:12,90383,3,0,A,2,放小球,,,2,1,483.0,371.0,2,7,558,419,,,,,1,520,355,8,506,512,0
3,10,00:50:13,90410,3,0,B,2,挑球,,1.0,2,7,558.0,419.0,1,9,572,274,,,,,7,593,440,8,594,342,0
3,11,00:50:15,90453,3,0,A,2,切球,,,1,9,572.0,274.0,2,7,525,454,,,,,9,594,267,8,664,507,0
3,12,00:50:15,90474,3,0,B,2,放小球,,1.0,2,7,525.0,454.0,2,2,785,368,,,,,8,544,479,9,599,277,0
3,13,00:50:16,90503,3,0,A,2,挑球,,1.0,2,2,785.0,368.0,1,9,541,605,,,,,7,740,347,8,661,486,0
3,14,00:50:18,90545,3,0,B,2,點扣,,,1,9,541.0,605.0,2,8,552,310,,,,,9,543,606,8,641,313,0
3,15,00:50:18,90564,3,0,A,2,擋小球,,,2,8,552.0,310.0,1,7,583,435,,,,,8,587,303,8,591,588,0
3,16,00:50:19,90591,3,0,B,2,平球,,1.0,1,7,583.0,435.0,1,8,634,316,,,,,7,588,446,8,599,303,0
3,17,00:50:20,90600,3,0,A,2,擋小球,,1.0,1,8,634.0,316.0,2,7,556,436,,,,,8,594,308,7,599,446,0
3,18,00:50:20,90616,3,0,B,2,放小球,,1.0,2,7,556.0,436.0,2,2,789,371,,,,,7,619,457,8,594,308,0
3,19,00:50:21,90644,3,0,A,2,放小球,,1.0,2,2,789.0,371.0,2,2,485,423,,,,,7,744,355,8,668,486,0
3,20,00:50:22,90666,3,0,B,2,挑球,,1.0,2,2,485.0,423.0,1,4,750,274,,,,,7,535,439,8,678,333,0
3,21,00:50:23,90704,3,0,A,2,長球,1.0,,1,4,750.0,274.0,1,6,481,594,,,,,9,660,275,8,677,494,0
3,22,00:50:25,90752,3,0,B,2,殺球,,,1,6,481.0,594.0,2,5,515,313,,,,,8,500,602,8,616,304,0
3,23,00:50:25,90766,3,0,A,2,擋小球,,,2,5,515.0,313.0,2,7,753,425,,,,,8,547,309,8,504,587,0
3,24,00:50:26,90797,3,0,B,2,放小球,,,2,7,753.0,425.0,2,2,791,386,,,,,7,730,449,8,633,314,0
3,25,00:50:27,90822,3,0,A,2,挑球,,1.0,2,2,791.0,386.0,1,8,623,505,,,,,7,750,371,7,715,454,0
3,26,00:50:28,90843,3,0,B,2,點扣,,1.0,1,8,623.0,505.0,2,8,676,344,,,,,8,689,491,7,696,351,0
3,27,00:50:28,90854,3,0,A,2,擋小球,,1.0,2,8,676.0,344.0,2,7,541,416,,,,,8,645,322,8,676,491,0
3,28,00:50:29,90876,3,0,B,2,放小球,,1.0,2,7,541.0,416.0,2,1,508,382,,,,,7,566,439,8,614,301,0
3,29,00:50:30,90904,3,0,A,2,挑球,,,2,1,508.0,382.0,1,4,463,607,,,,,7,542,364,7,586,461,0
3,30,00:50:31,90954,3,0,B,2,殺球,,,1,4,463.0,607.0,2,5,520,317,,,,,9,507,603,8,586,316,0
3,31,00:50:32,90971,3,0,A,2,擋小球,,,2,5,520.0,317.0,2,7,563,439,,,,,8,563,314,9,498,606,0
3,32,00:50:33,91002,3,0,B,2,挑球,,1.0,2,7,563.0,439.0,1,3,517,275,,,,,7,585,460,8,611,322,0
3,33,00:50:34,91038,3,0,A,3,點扣,,,1,3,517.0,275.0,2,6,427,563,對手落地致勝,落地致勝,A,,9,565,268,8,645,514,0
5,1,00:52:00,93605,5,0,A,1,發短球,,1.0,2,,,,2,7,718,432,,,,,8,630,327,8,724,506,0
5,2,00:52:00,93624,5,0,B,2,推球,,,2,7,718.0,432.0,1,8,567,332,,,,,7,672,443,8,630,324,0
5,3,00:52:01,93636,5,0,A,2,平球,,,1,8,567.0,332.0,1,7,715,459,,,,,8,589,324,7,670,470,0
5,4,00:52:01,93647,5,0,B,2,擋小球,,1.0,1,7,715.0,459.0,2,8,673,327,,,,,8,666,476,8,595,317,0
5,5,00:52:02,93664,5,0,A,2,推球,,1.0,2,8,673.0,327.0,1,5,806,522,,,,,8,626,323,8,670,507,0
5,6,00:52:02,93682,5,0,B,2,切球,,,1,5,806.0,522.0,2,5,531,344,,,,,8,686,522,8,630,320,0
5,7,00:52:03,93706,5,0,A,2,放小球,,,2,5,531.0,344.0,2,2,476,432,,,,,8,564,335,8,728,533,0
5,8,00:52:04,93732,5,0,B,2,推球,,1.0,2,2,476.0,432.0,2,5,506,284,,,,,7,514,456,8,600,325,0
5,9,00:52:05,93760,5,0,A,2,切球,,,2,5,506.0,284.0,1,2,485,418,,,,,9,547,278,8,564,480,0
5,10,00:52:06,93783,5,0,B,2,撲球,,1.0,1,2,485.0,418.0,2,8,622,317,,,,,7,525,427,8,580,282,0
5,11,00:52:06,93792,5,0,A,2,防守回抽,,1.0,2,8,622.0,317.0,2,7,571,441,,,,,8,587,318,7,529,427,0
5,12,00:52:06,93806,5,0,B,2,平球,,,2,7,571.0,441.0,1,8,594,310,,,,,7,597,448,8,594,309,0
5,13,00:52:07,93819,5,0,A,2,平球,,1.0,1,8,594.0,310.0,1,8,526,473,,,,,8,611,298,7,623,460,0
5,14,00:52:07,93832,5,0,B,2,平球,,1.0,1,8,526.0,473.0,1,8,637,318,,,,,8,641,479,8,605,302,0
5,15,00:52:08,93843,5,0,A,2,擋小球,,1.0,1,8,637.0,318.0,2,2,517,424,,,,,8,591,307,8,624,487,0
5,16,00:52:08,93862,5,0,B,2,放小球,,1.0,2,2,517.0,424.0,2,7,742,373,,,,,7,528,447,8,601,311,0
5,17,00:52:09,93885,5,0,A,2,挑球,,1.0,2,7,742.0,373.0,1,6,468,593,,,,,7,712,349,8,609,482,0
5,18,00:52:10,93923,5,0,B,3,殺球,1.0,,1,6,468.0,593.0,2,2,446,402,掛網,對手掛網,A,,8,566,588,8,615,311,0
6,1,00:52:34,94646,5,1,A,1,發短球,,1.0,2,,,,2,7,615,444,,,,,8,647,326,8,559,512,0
6,2,00:52:35,94669,5,1,B,2,放小球,,1.0,2,7,615.0,444.0,2,7,677,346,,,,,7,645,451,8,646,325,0
6,3,00:52:36,94691,5,1,A,2,挑球,,1.0,2,7,677.0,346.0,1,6,476,517,,,,,8,651,334,8,640,478,0
6,4,00:52:37,94713,5,1,B,2,點扣,1.0,,1,6,476.0,517.0,2,8,653,324,,,,,8,631,506,8,612,322,0
6,5,00:52:37,94722,5,1,A,2,擋小球,,1.0,2,8,653.0,324.0,2,7,622,434,,,,,8,579,312,8,599,535,0
6,6,00:52:38,94747,5,1,B,2,挑球,,,2,7,622.0,434.0,1,5,526,292,,,,,7,595,457,8,618,314,0
6,7,00:52:39,94773,5,1,A,3,切球,,,1,5,526.0,292.0,2,10,418,446,出界,對手出界,B,,8,594,289,8,620,494,0
7,1,00:53:16,95886,6,1,B,1,發短球,,1.0,2,,,,2,7,714,349,,,,,8,625,480,8,696,307,0
7,2,00:53:17,95929,6,1,A,2,放小球,,1.0,2,7,714.0,349.0,2,2,504,429,,,,,8,660,340,8,657,489,0
7,3,00:53:18,95952,6,1,B,2,放小球,,1.0,2,2,504.0,429.0,2,7,625,385,,,,,7,521,452,8,636,327,0
7,4,00:53:19,95980,6,1,A,2,挑球,,,2,7,625.0,385.0,1,4,459,607,,,,,7,653,362,7,638,466,0
7,5,00:53:20,96026,6,1,B,2,殺球,,,1,4,459.0,607.0,2,6,766,312,,,,,8,488,593,8,579,303,0
7,6,00:53:21,96042,6,1,A,2,擋小球,,1.0,2,6,766.0,312.0,2,7,763,420,,,,,8,602,300,4,456,614,0
7,7,00:53:22,96072,6,1,B,2,放小球,,,2,7,763.0,420.0,2,2,773,389,,,,,7,742,447,8,717,311,0
7,8,00:53:23,96100,6,1,A,2,挑球,,1.0,2,2,773.0,389.0,1,4,438,611,,,,,7,739,366,7,703,464,0
7,9,00:53:25,96166,6,1,B,2,殺球,,,1,4,438.0,611.0,2,5,535,306,,,,,6,461,597,8,573,295,0
7,10,00:53:26,96180,6,1,A,2,擋小球,,,2,5,535.0,306.0,2,7,605,418,,,,,8,569,297,6,482,581,0
7,11,00:53:27,96210,6,1,B,2,放小球,,,2,7,605.0,418.0,2,7,637,383,,,,,7,610,445,8,628,310,0
7,12,00:53:27,96235,6,1,A,2,挑球,,1.0,2,7,637.0,383.0,1,4,377,611,,,,,7,600,366,7,613,461,0
7,13,00:53:29,96281,6,1,B,2,殺球,1.0,,1,4,377.0,611.0,2,5,503,315,,,,,8,526,594,8,588,315,0
7,14,00:53:29,96295,6,1,A,2,擋小球,,,2,5,503.0,315.0,2,8,608,474,,,,,5,534,303,4,481,605,0
7,15,00:53:30,96321,6,1,B,2,放小球,,1.0,2,8,608.0,474.0,2,2,775,372,,,,,8,623,490,8,597,315,0
7,16,00:53:31,96344,6,1,A,2,挑球,,1.0,2,2,775.0,372.0,1,6,473,552,,,,,7,719,354,8,666,487,0
7,17,00:53:32,96377,6,1,B,2,後場抽平球,,1.0,1,6,473.0,552.0,1,5,511,319,,,,,8,523,581,8,620,313,0
