rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:47:18,85153,0,1,B,1,發短球,,1.0,2,,,,2.0,7,541,357,,,,,8,655,519,8,545,317,0
1,2,00:47:19,85177,0,1,A,2,放小球,,,2,7,541.0,357.0,2.0,2,461,418,,,,,8,520,342,8,627,517,0
1,3,00:47:20,85203,0,1,B,2,挑球,,1.0,2,2,461.0,418.0,1.0,9,666,288,,,,,7,535,453,8,544,327,0
1,4,00:47:21,85250,0,1,A,2,殺球,,,1,9,666.0,288.0,2.0,5,881,519,,,,,9,652,287,8,624,519,0
1,5,00:47:22,85265,0,1,B,2,擋小球,,,2,5,881.0,519.0,2.0,2,828,355,,,,,8,671,543,9,686,282,0
1,6,00:47:23,85292,0,1,A,2,挑球,,,2,2,828.0,355.0,1.0,8,824,567,,,,,8,753,346,8,782,546,0
1,7,00:47:24,85325,0,1,B,2,殺球,,,1,8,824.0,567.0,2.0,8,650,322,,,,,8,794,599,8,685,327,0
1,8,00:47:24,85338,0,1,A,2,擋小球,,1.0,2,8,650.0,322.0,2.0,7,793,456,,,,,8,690,311,8,785,584,0
1,9,00:47:25,85364,0,1,B,2,推球,,,2,7,793.0,456.0,1.0,9,542,287,,,,,8,759,478,8,674,324,0
1,10,00:47:26,85396,0,1,A,2,長球,1.0,,1,9,542.0,287.0,1.0,8,815,566,,,,,8,578,304,8,652,521,0
1,11,00:47:27,85430,0,1,B,2,切球,,,1,8,815.0,566.0,2.0,2,787,359,,,,,8,733,594,8,632,309,0
1,12,00:47:28,85455,0,1,A,2,放小球,,,2,2,787.0,359.0,2.0,7,695,441,,,,,8,719,347,8,710,573,0
1,13,00:47:29,85479,0,1,B,2,挑球,,,2,7,695.0,441.0,1.0,9,737,281,,,,,8,666,471,8,683,343,0
1,14,00:47:30,85524,0,1,A,2,切球,,,1,9,737.0,281.0,2.0,1,847,461,,,,,9,706,283,8,704,534,0
1,15,00:47:31,85546,0,1,B,2,放小球,,,2,1,847.0,461.0,2.0,2,816,368,,,,,8,786,505,8,695,308,0
1,16,00:47:32,85577,0,1,A,2,挑球,,,2,2,816.0,368.0,1.0,5,908,603,,,,,7,739,354,8,727,512,0
1,17,00:47:33,85612,0,1,B,2,過度切球,,,1,5,908.0,603.0,2.0,6,819,350,,,,,9,812,611,8,678,329,0
1,18,00:47:34,85639,0,1,A,2,勾球,,,2,6,819.0,350.0,2.0,2,464,425,,,,,8,756,341,8,697,566,0
1,19,00:47:35,85667,0,1,B,2,挑球,,1.0,2,2,464.0,425.0,1.0,9,715,285,,,,,7,507,447,8,648,346,0
1,20,00:47:36,85704,0,1,A,3,切球,,,1,9,715.0,285.0,2.0,7,552,390,掛網,對手掛網,B,,9,667,289,8,623,511,0
2,1,00:48:06,86603,0,2,B,1,發短球,,1.0,2,,,,2.0,7,681,355,,,,,8,610,528,8,697,327,0
2,2,00:48:07,86630,0,2,A,2,挑球,,1.0,2,7,681.0,355.0,1.0,8,553,560,,,,,7,695,351,8,639,509,0
2,3,00:48:08,86660,0,2,B,2,殺球,,,1,8,553.0,560.0,2.0,6,799,337,,,,,8,613,560,8,649,343,0
2,4,00:48:09,86680,0,2,A,2,防守回挑,,,2,6,799.0,337.0,1.0,5,878,550,,,,,6,755,325,8,584,600,0
2,5,00:48:10,86707,0,2,B,2,殺球,,,1,5,878.0,550.0,2.0,5,476,313,,,,,8,768,570,8,708,326,0
2,6,00:48:10,86724,0,2,A,2,擋小球,,1.0,2,5,476.0,313.0,2.0,2,443,435,,,,,8,636,322,5,914,591,0
2,7,00:48:11,86753,0,2,B,2,放小球,,1.0,2,2,443.0,435.0,2.0,1,422,378,,,,,8,487,478,8,540,318,0
2,8,00:48:12,86782,0,2,A,2,挑球,,1.0,2,1,422.0,378.0,1.0,9,463,606,,,,,1,483,359,8,556,489,0
2,9,00:48:14,86821,0,2,B,2,切球,,,1,9,463.0,606.0,2.0,1,466,368,,,,,8,492,600,8,608,332,0
2,10,00:48:14,86847,0,2,A,2,放小球,,1.0,2,1,466.0,368.0,2.0,2,435,425,,,,,8,506,342,8,535,602,0
2,11,00:48:15,86878,0,2,B,2,挑球,,1.0,2,2,435.0,425.0,1.0,9,705,289,,,,,7,479,454,8,557,340,0
2,12,00:48:17,86917,0,2,A,2,長球,,,1,9,705.0,289.0,1.0,5,928,602,,,,,9,642,278,8,632,514,0
2,13,00:48:18,86947,0,2,B,2,長球,,,1,5,928.0,602.0,1.0,4,805,283,,,,,3,875,611,8,667,310,0
2,14,00:48:19,86980,0,2,A,2,切球,,,1,4,805.0,283.0,2.0,2,429,447,,,,,6,787,299,8,721,571,0
2,15,00:48:20,87007,0,2,B,2,挑球,,1.0,2,2,429.0,447.0,1.0,5,480,299,,,,,8,470,478,8,690,309,0
2,16,00:48:21,87034,0,2,A,2,殺球,1.0,,1,5,480.0,299.0,2.0,8,576,503,,,,,8,583,304,8,554,523,0
2,17,00:48:21,87050,0,2,B,2,擋小球,,1.0,2,8,576.0,503.0,2.0,6,812,343,,,,,8,632,536,8,532,305,0
2,18,00:48:22,87074,0,2,A,2,放小球,,,2,6,812.0,343.0,2.0,1,850,433,,,,,8,743,337,8,670,533,0
2,19,00:48:23,87103,0,2,B,2,挑球,,,2,1,850.0,433.0,1.0,4,802,288,,,,,5,817,478,8,687,336,0
2,20,00:48:24,87131,0,2,A,2,長球,,,1,4,802.0,288.0,1.0,3,961,608,,,,,8,725,295,8,737,517,0
2,21,00:48:25,87167,0,2,B,2,長球,,,1,3,961.0,608.0,1.0,4,789,288,,,,,3,883,618,8,695,314,0
2,22,00:48:26,87201,0,2,A,3,殺球,,,1,4,789.0,288.0,2.0,11,274,545,出界,對手出界,B,,6,751,293,8,742,562,0
3,1,00:49:02,88273,1,2,B,1,發短球,,1.0,2,,,,2.0,8,523,346,,,,,8,643,515,8,526,321,0
