rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:08:06,14594,0,1,B,1,發短球,,1.0,2,,,,2.0,7,720,460,,,,,8,617,346,8,723,550,0
1,2,00:08:07,14614,0,1,A,2,推球,,,2,7,720.0,460.0,1.0,8,571,304,,,,,8,709,487,8,608,349,0
1,3,00:08:08,14643,0,1,B,2,點扣,,,1,8,571.0,304.0,2.0,6,470,548,,,,,8,604,306,8,675,540,0
1,4,00:08:08,14655,0,1,A,3,擋小球,,1.0,2,6,470.0,548.0,2.0,2,447,430,掛網,對手掛網,B,,8,693,570,8,571,303,0
2,1,00:08:21,15039,0,2,B,1,發短球,,1.0,2,,,,2.0,7,623,451,,,,,8,648,351,8,521,554,0
2,2,00:08:21,15059,0,2,A,2,放小球,,,2,7,623.0,451.0,2.0,7,640,380,,,,,8,561,487,8,625,344,0
2,3,00:08:22,15081,0,2,B,2,放小球,,,2,7,640.0,380.0,2.0,2,508,456,,,,,7,663,376,8,614,504,0
2,4,00:08:23,15114,0,2,A,2,挑球,,1.0,2,2,508.0,456.0,1.0,4,773,289,,,,,8,519,495,7,621,364,0
2,5,00:08:25,15156,0,2,B,2,點扣,1.0,,1,4,773.0,289.0,2.0,5,855,538,,,,,8,729,298,8,718,550,0
2,6,00:08:25,15171,0,2,A,2,擋小球,,,2,5,855.0,538.0,2.0,6,821,356,,,,,8,781,563,8,743,296,0
2,7,00:08:26,15198,0,2,B,2,推球,,1.0,2,6,821.0,356.0,1.0,8,554,572,,,,,8,742,353,8,736,545,0
2,8,00:08:27,15217,0,2,A,2,平球,1.0,,1,8,554.0,572.0,2.0,8,563,323,,,,,8,706,558,8,645,337,0
2,9,00:08:27,15230,0,2,B,2,平球,,,2,8,563.0,323.0,1.0,8,575,528,,,,,8,621,330,8,614,568,0
2,10,00:08:28,15244,0,2,A,2,平球,,1.0,1,8,575.0,528.0,2.0,8,636,328,,,,,8,631,542,8,589,330,0
2,11,00:08:28,15257,0,2,B,2,擋小球,,1.0,2,8,636.0,328.0,2.0,2,506,479,,,,,8,588,325,8,644,542,0
2,12,00:08:29,15277,0,2,A,2,推球,,1.0,2,2,506.0,479.0,1.0,8,542,307,,,,,8,561,502,8,607,330,0
2,13,00:08:29,15298,0,2,B,2,切球,,,1,8,542.0,307.0,2.0,2,487,460,,,,,8,595,319,8,620,540,0
2,14,00:08:30,15324,0,2,A,2,放小球,,1.0,2,2,487.0,460.0,2.0,1,477,388,,,,,6,495,514,8,577,329,0
2,15,00:08:31,15350,0,2,B,2,放小球,,,2,1,477.0,388.0,2.0,2,461,442,,,,,1,501,383,8,579,539,0
2,16,00:08:32,15375,0,2,A,2,挑球,,1.0,2,2,461.0,442.0,1.0,4,755,290,,,,,2,493,469,7,551,365,0
2,17,00:08:33,15416,0,2,B,2,切球,1.0,,1,4,755.0,290.0,2.0,2,471,477,,,,,8,696,305,8,673,551,0
2,18,00:08:34,15441,0,2,A,3,放小球,,1.0,2,2,471.0,477.0,2.0,7,588,425,未過網,對手未過網,B,,8,519,506,8,689,296,0
3,1,00:08:52,15972,1,2,B,1,發短球,,1.0,2,,,,2.0,7,709,463,,,,,8,617,349,8,719,553,0
3,2,00:08:53,15990,1,2,A,2,放小球,,,2,7,709.0,463.0,2.0,7,659,388,,,,,7,719,481,8,627,348,0
3,3,00:08:53,16015,1,2,B,3,挑球,,1.0,2,7,659.0,388.0,2.0,13,933,673,出界,對手出界,A,,7,608,385,8,675,521,0
4,1,00:09:07,16424,2,2,A,1,發短球,,1.0,2,,,,2.0,8,684,359,,,,,8,613,527,8,698,337,0
4,2,00:09:08,16445,2,2,B,2,勾球,,1.0,2,8,684.0,359.0,2.0,2,495,449,,,,,8,658,357,8,664,517,0
4,3,00:09:08,16467,2,2,A,2,推球,,1.0,2,2,495.0,449.0,2.0,3,516,289,,,,,7,548,484,8,628,355,0
4,4,00:09:09,16497,2,2,B,2,後場抽平球,,,2,3,516.0,289.0,2.0,6,422,540,,,,,8,543,301,8,607,537,0
4,5,00:09:10,16511,2,2,A,2,擋小球,,1.0,2,6,422.0,540.0,2.0,5,518,338,,,,,8,623,545,8,566,310,0
4,6,00:09:11,16537,2,2,B,2,放小球,,,2,5,518.0,338.0,2.0,2,459,451,,,,,8,544,347,8,589,533,0
4,7,00:09:12,16568,2,2,A,3,挑球,,1.0,2,2,459.0,451.0,2.0,4,809,281,落點判斷失誤,對手落點判斷失誤,A,,6,482,489,8,583,346,0
5,1,00:09:28,17046,3,2,A,1,發短球,,1.0,2,,,,1.0,7,609,370,,,,,8,655,517,8,572,340,0
