rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:57:49,104094,0,1,B,1,發短球,,1.0,2.0,,,,2.0,7,769.0,515.0,,,,,8,630.0,435.0,8,721.0,579.0,0
1,2,00:57:50,104117,0,1,A,2,挑球,,1.0,2.0,7,769.0,515.0,1.0,9,537.0,398.0,,,,,7,760.0,535.0,8,642.0,431.0,0
1,3,00:57:51,104145,0,1,B,2,後場抽平球,,,1.0,9,537.0,398.0,1.0,6,469.0,568.0,,,,,9,572.0,397.0,8,676.0,567.0,0
1,4,00:57:51,104157,0,1,A,2,擋小球,,1.0,1.0,6,469.0,568.0,2.0,5,474.0,441.0,,,,,8,672.0,570.0,8,555.0,399.0,0
1,5,00:57:52,104176,0,1,B,2,挑球,,,2.0,5,474.0,441.0,1.0,4,424.0,634.0,,,,,5,527.0,429.0,8,588.0,571.0,0
1,6,00:57:53,104217,0,1,A,2,點扣,,,1.0,4,424.0,634.0,2.0,5,468.0,426.0,,,,,6,475.0,626.0,8,575.0,424.0,0
1,7,00:57:54,104231,0,1,B,2,擋小球,,,2.0,5,468.0,426.0,2.0,2,442.0,513.0,,,,,8,544.0,424.0,8,491.0,625.0,0
1,8,00:57:55,104258,0,1,A,2,挑球,,1.0,2.0,2,442.0,513.0,1.0,9,721.0,390.0,,,,,2,475.0,539.0,8,544.0,424.0,0
1,9,00:57:56,104300,0,1,B,2,切球,,,1.0,9,721.0,390.0,2.0,5,818.0,556.0,,,,,9,700.0,394.0,8,679.0,585.0,0
1,10,00:57:57,104321,0,1,A,2,挑球,,,2.0,5,818.0,556.0,1.0,6,774.0,401.0,,,,,8,781.0,571.0,9,708.0,396.0,0
1,11,00:57:58,104348,0,1,B,2,長球,1.0,,1.0,6,774.0,401.0,1.0,3,858.0,647.0,,,,,8,708.0,411.0,8,752.0,580.0,0
1,12,00:57:59,104388,0,1,A,2,長球,,,1.0,3,858.0,647.0,1.0,4,774.0,391.0,,,,,3,838.0,638.0,8,665.0,421.0,0
1,13,00:58:01,104435,0,1,B,2,長球,,,1.0,4,774.0,391.0,1.0,9,793.0,647.0,,,,,9,750.0,389.0,8,693.0,573.0,0
1,14,00:58:02,104481,0,1,A,2,點扣,,,1.0,9,793.0,647.0,2.0,5,519.0,432.0,,,,,9,796.0,644.0,8,652.0,413.0,0
1,15,00:58:03,104498,0,1,B,2,擋小球,,,2.0,5,519.0,432.0,2.0,2,458.0,518.0,,,,,8,572.0,433.0,8,734.0,626.0,0
1,16,00:58:04,104528,0,1,A,2,挑球,,1.0,2.0,2,458.0,518.0,1.0,4,754.0,391.0,,,,,7,503.0,539.0,8,601.0,430.0,0
1,17,00:58:05,104567,0,1,B,2,切球,1.0,,1.0,4,754.0,391.0,2.0,5,831.0,547.0,,,,,9,686.0,395.0,8,649.0,572.0,0
1,18,00:58:06,104591,0,1,A,2,挑球,,,2.0,5,831.0,547.0,1.0,5,504.0,403.0,,,,,5,801.0,575.0,8,701.0,413.0,0
1,19,00:58:07,104627,0,1,B,2,切球,,,1.0,5,504.0,403.0,2.0,7,784.0,535.0,,,,,5,532.0,406.0,8,689.0,575.0,0
1,20,00:58:08,104654,0,1,A,2,挑球,,,2.0,7,784.0,535.0,1.0,4,796.0,391.0,,,,,7,699.0,540.0,8,606.0,423.0,0
1,21,00:58:09,104686,0,1,B,2,切球,,1.0,1.0,4,796.0,391.0,2.0,1,795.0,515.0,,,,,6,773.0,401.0,8,700.0,577.0,0
1,22,00:58:10,104711,0,1,A,2,挑球,,,2.0,1,795.0,515.0,1.0,9,722.0,395.0,,,,,8,753.0,548.0,8,708.0,412.0,0
1,23,00:58:11,104743,0,1,B,2,點扣,,,1.0,9,722.0,395.0,2.0,8,532.0,567.0,,,,,8,707.0,399.0,8,704.0,579.0,0
1,24,00:58:11,104756,0,1,A,2,擋小球,,1.0,2.0,8,532.0,567.0,2.0,5,503.0,449.0,,,,,8,716.0,580.0,9,681.0,393.0,0
1,25,00:58:12,104786,0,1,B,2,挑球,,,2.0,5,503.0,449.0,1.0,4,423.0,645.0,,,,,8,560.0,433.0,8,605.0,568.0,0
1,26,00:58:14,104830,0,1,A,2,長球,,,1.0,4,423.0,645.0,1.0,6,762.0,400.0,,,,,9,495.0,640.0,8,600.0,421.0,0
1,27,00:58:15,104860,0,1,B,2,長球,1.0,,1.0,6,762.0,400.0,1.0,9,789.0,648.0,,,,,8,690.0,406.0,8,582.0,619.0,0
1,28,00:58:16,104906,0,1,A,2,長球,,,1.0,9,789.0,648.0,1.0,8,730.0,402.0,,,,,9,812.0,640.0,8,630.0,418.0,0
1,29,00:58:17,104928,0,1,B,2,切球,,,1.0,8,730.0,402.0,2.0,7,769.0,509.0,,,,,8,689.0,417.0,8,730.0,610.0,0
1,30,00:58:18,104955,0,1,A,2,放小球,,,2.0,7,769.0,509.0,2.0,7,532.0,471.0,,,,,7,722.0,535.0,8,715.0,417.0,0
1,31,00:58:19,104984,0,1,B,2,挑球,,,2.0,7,532.0,471.0,1.0,9,757.0,646.0,,,,,7,573.0,457.0,8,628.0,553.0,0
1,32,00:58:20,105025,0,1,A,2,長球,,,1.0,9,757.0,646.0,1.0,4,761.0,390.0,,,,,9,738.0,652.0,8,630.0,431.0,0
1,33,00:58:22,105063,0,1,B,2,長球,,,1.0,4,761.0,390.0,1.0,3,856.0,647.0,,,,,8,738.0,398.0,8,675.0,586.0,0
1,34,00:58:23,105111,0,1,A,2,長球,,,1.0,3,856.0,647.0,1.0,9,736.0,392.0,,,,,3,867.0,641.0,8,648.0,425.0,0
1,35,00:58:25,105157,0,1,B,2,切球,,,1.0,9,736.0,392.0,2.0,2,462.0,534.0,,,,,8,716.0,400.0,8,666.0,582.0,0
1,36,00:58:26,105184,0,1,A,2,放小球,,1.0,2.0,2,462.0,534.0,2.0,7,764.0,465.0,,,,,6,497.0,554.0,8,686.0,406.0,0
1,37,00:58:27,105214,0,1,B,2,挑球,,1.0,2.0,7,764.0,465.0,,4,361.0,648.0,,,,,7,727.0,451.0,8,652.0,568.0,0
2,1,00:58:52,105977,0,2,B,1,發短球,,1.0,2.0,,,,2.0,7,607.0,527.0,,,,,8,650.0,434.0,8,525.0,592.0,0
2,2,00:58:54,106030,0,2,A,2,挑球,,1.0,2.0,7,607.0,527.0,1.0,4,777.0,391.0,,,,,8,621.0,547.0,8,639.0,434.0,0
2,3,00:58:55,106061,0,2,B,2,長球,1.0,,1.0,4,777.0,391.0,1.0,9,790.0,648.0,,,,,9,682.0,397.0,8,694.0,579.0,0
2,4,00:58:56,106108,0,2,A,2,切球,,,1.0,9,790.0,648.0,2.0,5,494.0,437.0,,,,,9,751.0,651.0,8,645.0,424.0,0
2,5,00:58:57,106127,0,2,B,2,放小球,,,2.0,5,494.0,437.0,1.0,7,613.0,514.0,,,,,8,557.0,430.0,8,678.0,618.0,0
2,6,00:58:58,106150,0,2,A,2,放小球,,1.0,1.0,7,613.0,514.0,2.0,2,829.0,462.0,,,,,7,655.0,541.0,8,580.0,428.0,0
2,7,00:58:59,106177,0,2,B,2,放小球,,1.0,2.0,2,829.0,462.0,2.0,1,856.0,513.0,,,,,2,770.0,449.0,8,679.0,553.0,0
2,8,00:59:00,106206,0,2,A,2,挑球,,,2.0,1,856.0,513.0,1.0,9,716.0,393.0,,,,,1,832.0,526.0,8,721.0,444.0,0
2,9,00:59:01,106248,0,2,B,2,長球,,,1.0,9,716.0,393.0,1.0,9,743.0,652.0,,,,,9,708.0,394.0,8,724.0,557.0,0
2,10,00:59:03,106293,0,2,A,3,切球,,,1.0,9,743.0,652.0,2.0,2,488.0,498.0,掛網,對手掛網,B,,9,727.0,645.0,8,640.0,419.0,0
3,1,00:59:23,106890,1,2,B,1,發短球,,1.0,2.0,,,,2.0,1,807.0,522.0,,,,,8,637.0,435.0,8,737.0,585.0,0
3,2,00:59:23,106914,1,2,A,2,挑球,,,2.0,1,807.0,522.0,1.0,4,817.0,395.0,,,,,7,745.0,528.0,8,645.0,432.0,0
3,3,00:59:24,106944,1,2,B,3,點扣,1.0,,1.0,4,817.0,395.0,2.0,15,942.0,557.0,出界,對手出界,A,,8,708.0,404.0,8,743.0,552.0,0
4,1,00:59:38,107366,2,2,A,1,發短球,,1.0,2.0,,,,2.0,7,748.0,450.0,,,,,8,628.0,559.0,8,711.0,417.0,0
4,2,00:59:39,107390,2,2,B,2,推球,,1.0,2.0,7,748.0,450.0,2.0,5,849.0,615.0,,,,,8,695.0,440.0,8,622.0,558.0,0
4,3,00:59:40,107420,2,2,A,2,過度切球,,,2.0,5,849.0,615.0,2.0,6,786.0,448.0,,,,,8,750.0,617.0,8,658.0,426.0,0
4,4,00:59:41,107448,2,2,B,2,挑球,,1.0,2.0,6,786.0,448.0,1.0,8,488.0,629.0,,,,,8,762.0,440.0,8,701.0,586.0,0
4,5,00:59:43,107491,2,2,A,2,殺球,,,1.0,8,488.0,629.0,2.0,5,476.0,420.0,,,,,8,517.0,633.0,8,603.0,416.0,0
4,6,00:59:43,107506,2,2,B,2,擋小球,,,2.0,5,476.0,420.0,1.0,7,638.0,505.0,,,,,8,572.0,415.0,8,557.0,614.0,0
4,7,00:59:44,107533,2,2,A,2,推球,,,1.0,7,638.0,505.0,1.0,6,771.0,412.0,,,,,7,628.0,527.0,8,531.0,419.0,0
4,8,00:59:44,107549,2,2,B,2,長球,,1.0,1.0,6,771.0,412.0,1.0,4,400.0,641.0,,,,,8,630.0,421.0,7,648.0,534.0,0
4,9,00:59:46,107588,2,2,A,2,長球,,1.0,1.0,4,400.0,641.0,1.0,9,612.0,396.0,,,,,4,431.0,647.0,8,617.0,419.0,0
4,10,00:59:47,107623,2,2,B,2,切球,,,1.0,9,612.0,396.0,2.0,7,525.0,528.0,,,,,8,597.0,399.0,8,628.0,604.0,0
