rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:08:49,15870,1,0,A,1,發短球,,1.0,2.0,,,,2.0,7,555.0,450.0,,,,,8,656.0,549.0,8,566.0,434.0,0
1,2,00:08:49,15896,1,0,B,2,挑球,,1.0,2.0,7,555.0,450.0,1.0,5,803.0,599.0,,,,,8,597.0,442.0,8,652.0,558.0,0
1,3,00:08:51,15931,1,0,A,2,點扣,,,1.0,5,803.0,599.0,2.0,5,480.0,419.0,,,,,8,764.0,620.0,8,683.0,422.0,0
1,4,00:08:51,15951,1,0,B,2,擋小球,,1.0,2.0,5,480.0,419.0,2.0,2,485.0,521.0,,,,,8,544.0,422.0,8,773.0,606.0,0
1,5,00:08:52,15978,1,0,A,2,放小球,,1.0,2.0,2,485.0,521.0,2.0,7,755.0,453.0,,,,,2,494.0,540.0,8,602.0,427.0,0
1,6,00:08:53,16010,1,0,B,2,放小球,,,2.0,7,755.0,453.0,2.0,1,809.0,510.0,,,,,7,717.0,454.0,8,636.0,558.0,0
1,7,00:08:54,16038,1,0,A,2,挑球,,,2.0,1,809.0,510.0,1.0,6,772.0,399.0,,,,,7,764.0,520.0,8,682.0,443.0,0
1,8,00:08:55,16076,1,0,B,2,切球,,,1.0,6,772.0,399.0,2.0,5,836.0,558.0,,,,,9,734.0,394.0,8,686.0,579.0,0
1,9,00:08:56,16095,1,0,A,2,放小球,,,2.0,5,836.0,558.0,2.0,6,786.0,434.0,,,,,8,781.0,573.0,8,697.0,402.0,0
1,10,00:08:57,16121,1,0,B,2,推球,,,2.0,6,786.0,434.0,1.0,5,829.0,571.0,,,,,8,738.0,436.0,8,684.0,569.0,0
1,11,00:08:58,16141,1,0,A,2,平球,,,1.0,5,829.0,571.0,2.0,6,763.0,425.0,,,,,8,784.0,595.0,8,721.0,425.0,0
1,12,00:08:48,15854,1,0,B,2,未知球種,,,2.0,6,763.0,425.0,2.0,,,,,,,1,8,722.0,415.0,8,769.0,578.0,0
1,13,00:08:59,16179,1,0,A,2,挑球,,1.0,2.0,,,,1.0,9,741.0,394.0,,,,,8,671.0,554.0,8,667.0,424.0,0
1,14,00:09:00,16208,1,0,B,2,點扣,,,1.0,9,741.0,394.0,2.0,5,823.0,562.0,,,,,9,714.0,395.0,8,703.0,576.0,0
1,15,00:09:00,16226,1,0,A,2,擋小球,,,2.0,5,823.0,562.0,2.0,6,786.0,439.0,,,,,8,768.0,568.0,8,706.0,405.0,0
