rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:07:25,13352,1,0,A,1,發短球,,1.0,2.0,,,,2.0,7,684.0,421.0,,,,,8,631.0,301.0,8,717.0,497.0,0
1,2,00:07:25,13375,1,0,B,2,放小球,,1.0,2.0,7,684.0,421.0,2.0,2,782.0,339.0,,,,,7,703.0,439.0,8,643.0,295.0,0
1,3,00:07:26,13401,1,0,A,2,挑球,,1.0,2.0,2,782.0,339.0,1.0,4,475.0,602.0,,,,,2,736.0,320.0,8,682.0,472.0,0
1,4,00:07:28,13443,1,0,B,2,殺球,1.0,,1.0,4,475.0,602.0,2.0,6,774.0,283.0,,,,,8,557.0,590.0,8,609.0,275.0,0
1,5,00:07:28,13463,1,0,A,2,擋小球,,1.0,2.0,6,774.0,283.0,2.0,1,778.0,406.0,,,,,8,633.0,283.0,9,502.0,591.0,0
1,6,00:07:29,13494,1,0,B,2,挑球,,,2.0,1,778.0,406.0,1.0,4,761.0,247.0,,,,,7,747.0,429.0,8,697.0,287.0,0
1,7,00:07:31,13534,1,0,A,2,殺球,1.0,,1.0,4,761.0,247.0,2.0,6,503.0,481.0,,,,,9,710.0,247.0,8,720.0,479.0,0
1,8,00:07:31,13552,1,0,B,2,擋小球,,1.0,2.0,6,503.0,481.0,2.0,1,513.0,331.0,,,,,8,693.0,502.0,4,729.0,242.0,0
1,9,00:07:32,13582,1,0,A,2,挑球,,,2.0,1,513.0,331.0,1.0,6,451.0,582.0,,,,,5,541.0,310.0,8,559.0,485.0,0
1,10,00:07:34,13626,1,0,B,3,殺球,,,1.0,6,451.0,582.0,2.0,7,715.0,377.0,掛網,對手掛網,A,,6,437.0,580.0,8,563.0,291.0,0
2,1,00:08:02,14477,2,0,A,1,發短球,,1.0,2.0,,,,2.0,7,610.0,421.0,,,,,8,648.0,296.0,8,553.0,498.0,0
2,2,00:08:03,14498,2,0,B,2,放小球,,,2.0,7,610.0,421.0,2.0,1,525.0,349.0,,,,,7,579.0,437.0,8,640.0,290.0,0
2,3,00:08:04,14523,2,0,A,2,放小球,,,2.0,1,525.0,349.0,2.0,1,773.0,391.0,,,,,7,564.0,322.0,8,590.0,463.0,0
2,4,00:08:05,14554,2,0,B,2,挑球,,,2.0,1,773.0,391.0,1.0,3,525.0,253.0,,,,,7,728.0,417.0,8,660.0,302.0,0
2,5,00:08:06,14593,2,0,A,2,切球,,,1.0,3,525.0,253.0,2.0,6,447.0,454.0,,,,,3,546.0,246.0,8,647.0,477.0,0
2,6,00:08:07,14617,2,0,B,2,放小球,,1.0,2.0,6,447.0,454.0,2.0,2,771.0,319.0,,,,,6,492.0,477.0,8,577.0,262.0,0
2,7,00:08:08,14646,2,0,A,2,挑球,,1.0,2.0,2,771.0,319.0,1.0,4,418.0,616.0,,,,,8,726.0,305.0,8,607.0,475.0,0
2,8,00:08:09,14688,2,0,B,2,殺球,,,1.0,4,418.0,616.0,2.0,5,504.0,276.0,,,,,9,527.0,598.0,8,608.0,279.0,0
2,9,00:08:10,14708,2,0,A,2,擋小球,,,2.0,5,504.0,276.0,2.0,7,734.0,407.0,,,,,5,555.0,273.0,8,511.0,583.0,0
2,10,00:08:11,14736,2,0,B,2,放小球,,,2.0,7,734.0,407.0,2.0,2,788.0,345.0,,,,,7,708.0,436.0,8,619.0,281.0,0
2,11,00:08:12,14764,2,0,A,2,挑球,,1.0,2.0,2,788.0,345.0,1.0,4,484.0,595.0,,,,,2,744.0,327.0,8,689.0,449.0,0
2,12,00:08:13,14809,2,0,B,2,殺球,,,1.0,4,484.0,595.0,2.0,8,659.0,284.0,,,,,8,566.0,580.0,8,612.0,277.0,0
2,13,00:08:14,14827,2,0,A,2,防守回抽,,1.0,2.0,8,659.0,284.0,2.0,5,870.0,532.0,,,,,8,599.0,277.0,8,554.0,577.0,0
2,14,00:08:15,14856,2,0,B,2,小平球,,,2.0,5,870.0,532.0,1.0,6,766.0,271.0,,,,,5,801.0,551.0,8,627.0,277.0,0
2,15,00:08:15,14875,2,0,A,2,擋小球,,1.0,1.0,6,766.0,271.0,2.0,1,770.0,417.0,,,,,8,686.0,279.0,8,750.0,516.0,0
2,16,00:08:16,14897,2,0,B,2,挑球,,,2.0,1,770.0,417.0,1.0,4,774.0,249.0,,,,,8,734.0,448.0,8,681.0,277.0,0
2,17,00:08:17,14931,2,0,A,2,殺球,1.0,,1.0,4,774.0,249.0,2.0,5,805.0,489.0,,,,,8,690.0,255.0,8,698.0,498.0,0
2,18,00:08:18,14947,2,0,B,2,擋小球,,,2.0,5,805.0,489.0,2.0,7,580.0,318.0,,,,,8,748.0,512.0,9,705.0,253.0,0
