rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:30:12,54385,1,0,B,1,發短球,,1.0,2,,,,2,7,633.0,383.0,,,,,8,649.0,514.0,8,577.0,331.0,0
1,2,00:30:13,54404,1,0,A,2,挑球,,1.0,2,7,633.0,383.0,1,8,534.0,606.0,,,,,7,594.0,372.0,8,648.0,518.0,0
1,3,00:30:14,54437,1,0,B,2,點扣,1.0,,1,8,534.0,606.0,2,8,563.0,319.0,,,,,8,593.0,596.0,8,600.0,327.0,0
1,4,00:30:14,54449,1,0,A,2,擋小球,,,2,8,563.0,319.0,2,1,795.0,486.0,,,,,8,571.0,316.0,8,603.0,608.0,0
1,5,00:30:15,54479,1,0,B,2,放小球,,,2,1,795.0,486.0,2,2,789.0,384.0,,,,,8,743.0,518.0,8,659.0,331.0,0
1,6,00:30:16,54502,1,0,A,2,挑球,,1.0,2,2,789.0,384.0,1,9,519.0,617.0,,,,,2,753.0,373.0,8,696.0,519.0,0
1,7,00:30:17,54536,1,0,B,2,點扣,1.0,,1,9,519.0,617.0,2,8,550.0,329.0,,,,,8,603.0,604.0,8,616.0,334.0,0
1,8,00:30:18,54554,1,0,A,2,擋小球,,,2,8,550.0,329.0,2,7,685.0,473.0,,,,,8,577.0,329.0,8,570.0,597.0,0
1,9,00:30:19,54577,1,0,B,2,推球,,,2,7,685.0,473.0,2,8,559.0,335.0,,,,,8,654.0,510.0,8,619.0,335.0,0
1,10,00:30:19,54590,1,0,A,2,防守回挑,,,2,8,559.0,335.0,1,4,403.0,618.0,,,,,8,593.0,338.0,8,656.0,505.0,0
1,11,00:30:20,54625,1,0,B,2,過度切球,1.0,,1,4,403.0,618.0,2,8,659.0,352.0,,,,,8,546.0,582.0,8,573.0,333.0,0
1,12,00:30:21,54648,1,0,A,2,放小球,,,2,8,659.0,352.0,2,1,835.0,462.0,,,,,8,700.0,348.0,8,504.0,588.0,0
1,13,00:30:22,54674,1,0,B,2,放小球,,,2,1,835.0,462.0,2,2,827.0,389.0,,,,,1,782.0,487.0,8,688.0,337.0,0
1,14,00:30:23,54703,1,0,A,2,挑球,,1.0,2,2,827.0,389.0,1,9,527.0,642.0,,,,,2,787.0,377.0,8,722.0,504.0,0
1,15,00:30:25,54751,1,0,B,2,切球,,,1,9,527.0,642.0,2,8,688.0,353.0,,,,,9,554.0,637.0,8,613.0,335.0,0
1,16,00:30:25,54772,1,0,A,2,放小球,,,2,8,688.0,353.0,2,1,786.0,476.0,,,,,8,680.0,349.0,9,561.0,617.0,0
1,17,00:30:26,54799,1,0,B,2,挑球,,,2,1,786.0,476.0,1,4,771.0,285.0,,,,,7,758.0,490.0,8,685.0,345.0,0
1,18,00:30:28,54841,1,0,A,2,點扣,,,1,4,771.0,285.0,2,8,510.0,525.0,,,,,9,716.0,289.0,8,713.0,540.0,0
1,19,00:30:28,54858,1,0,B,2,擋小球,,1.0,2,8,510.0,525.0,2,7,529.0,381.0,,,,,8,594.0,545.0,4,733.0,287.0,0
1,20,00:30:29,54892,1,0,A,2,挑球,,,2,7,529.0,381.0,1,4,419.0,621.0,,,,,7,543.0,377.0,8,581.0,499.0,0
1,21,00:30:31,54935,1,0,B,2,長球,1.0,1.0,1,4,419.0,621.0,1,,,,,,,,6,466.0,611.0,8,581.0,336.0,0
1,22,00:30:32,54980,1,0,A,2,殺球,,,1,,,,2,6,471.0,545.0,,,,,3,514.0,288.0,8,664.0,571.0,0
1,23,00:30:33,54995,1,0,B,2,擋小球,,1.0,2,6,471.0,545.0,1,5,524.0,351.0,,,,,8,686.0,552.0,5,508.0,309.0,0
1,24,00:30:33,55018,1,0,A,3,撲球,,,1,5,524.0,351.0,2,3,800.0,614.0,對手落地致勝,落地致勝,A,,8,551.0,349.0,8,513.0,538.0,0
2,1,00:30:59,55788,1,1,A,1,發長球,,1.0,2,,,,1,8,551.0,583.0,,,,,8,642.0,349.0,8,583.0,558.0,0
2,2,00:31:00,55816,1,1,B,2,殺球,,,1,8,551.0,583.0,2,5,515.0,328.0,,,,,8,591.0,586.0,8,604.0,331.0,0
2,3,00:31:01,55831,1,1,A,2,擋小球,,,2,5,515.0,328.0,2,2,496.0,464.0,,,,,8,587.0,318.0,8,601.0,609.0,0
2,4,00:31:02,55860,1,1,B,2,挑球,,1.0,2,2,496.0,464.0,1,9,548.0,285.0,,,,,8,549.0,507.0,8,584.0,329.0,0
2,5,00:31:03,55896,1,1,A,2,殺球,,,1,9,548.0,285.0,2,5,792.0,541.0,,,,,9,581.0,296.0,8,643.0,532.0,0
2,6,00:31:03,55912,1,1,B,2,擋小球,,,2,5,792.0,541.0,2,6,792.0,348.0,,,,,8,685.0,540.0,9,548.0,291.0,0
2,7,00:31:04,55936,1,1,A,2,挑球,,1.0,2,6,792.0,348.0,1,3,852.0,621.0,,,,,6,746.0,346.0,8,720.0,521.0,0
2,8,00:31:05,55966,1,1,B,2,殺球,,,1,3,852.0,621.0,2,6,798.0,325.0,,,,,8,764.0,613.0,8,658.0,331.0,0
2,9,00:31:05,55978,1,1,A,3,擋小球,,1.0,2,6,798.0,325.0,2,15,972.0,519.0,出界,對手出界,B,,8,630.0,322.0,3,811.0,635.0,0
3,1,00:31:30,56719,1,2,B,1,發短球,,1.0,2,,,,2,8,728.0,365.0,,,,,8,632.0,515.0,8,710.0,329.0,0
3,2,00:31:31,56741,1,2,A,2,推球,,1.0,2,8,728.0,365.0,1,5,844.0,591.0,,,,,8,692.0,363.0,8,641.0,515.0,0
3,3,00:31:32,56766,1,2,B,2,殺球,1.0,,1,5,844.0,591.0,2,8,673.0,340.0,,,,,8,771.0,597.0,8,647.0,345.0,0
3,4,00:31:32,56777,1,2,A,2,擋小球,,1.0,2,8,673.0,340.0,2,6,502.0,495.0,,,,,8,634.0,338.0,8,769.0,599.0,0
3,5,00:31:33,56800,1,2,B,2,放小球,,1.0,2,6,502.0,495.0,2,1,494.0,391.0,,,,,8,544.0,517.0,8,603.0,339.0,0
3,6,00:31:34,56822,1,2,A,2,放小球,,,2,1,494.0,391.0,2,1,808.0,485.0,,,,,7,542.0,377.0,8,570.0,520.0,0
