rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:08:12,14775,1,0,A,1,發長球,,1.0,2.0,,,,1.0,9,528.0,408.0,,,,,8,660.0,577.0,8,553.0,442.0,0
1,2,00:08:13,14806,1,0,B,2,切球,,,1.0,9,528.0,408.0,2.0,1,835.0,553.0,,,,,8,557.0,416.0,8,670.0,591.0,0
1,3,00:08:14,14829,1,0,A,2,放小球,,,2.0,1,835.0,553.0,2.0,2,814.0,477.0,,,,,8,762.0,594.0,8,597.0,428.0,0
1,4,00:08:15,14856,1,0,B,2,推球,,1.0,2.0,2,814.0,477.0,1.0,4,434.0,652.0,,,,,7,755.0,468.0,8,705.0,596.0,0
1,5,00:08:16,14892,1,0,A,2,長球,1.0,,1.0,4,434.0,652.0,1.0,4,773.0,405.0,,,,,9,553.0,654.0,8,612.0,441.0,0
1,6,00:08:17,14935,1,0,B,2,切球,1.0,,1.0,4,773.0,405.0,2.0,2,449.0,550.0,,,,,8,729.0,412.0,8,672.0,609.0,0
1,7,00:08:18,14958,1,0,A,2,放小球,,1.0,2.0,2,449.0,550.0,2.0,1,461.0,473.0,,,,,8,489.0,582.0,8,722.0,423.0,0
1,8,00:08:19,14988,1,0,B,2,放小球,,,2.0,1,461.0,473.0,2.0,2,420.0,526.0,,,,,1,499.0,468.0,8,569.0,581.0,0
1,9,00:08:20,15014,1,0,A,2,挑球,,1.0,2.0,2,420.0,526.0,1.0,4,764.0,406.0,,,,,2,483.0,553.0,8,574.0,459.0,0
1,10,00:08:21,15054,1,0,B,2,切球,1.0,,1.0,4,764.0,406.0,2.0,8,571.0,562.0,,,,,8,677.0,417.0,8,661.0,610.0,0
1,11,00:08:22,15072,1,0,A,2,推球,,1.0,2.0,8,571.0,562.0,1.0,9,746.0,405.0,,,,,8,681.0,605.0,8,705.0,430.0,0
1,12,00:08:23,15108,1,0,B,2,長球,1.0,,1.0,9,746.0,405.0,1.0,3,898.0,663.0,,,,,8,667.0,423.0,8,680.0,611.0,0
1,13,00:08:25,15155,1,0,A,2,點扣,,,1.0,3,898.0,663.0,2.0,6,827.0,431.0,,,,,3,856.0,665.0,8,638.0,429.0,0
1,14,00:08:25,15169,1,0,B,2,擋小球,,1.0,2.0,6,827.0,431.0,2.0,7,781.0,528.0,,,,,8,627.0,436.0,3,897.0,666.0,0
1,15,00:08:26,15196,1,0,A,2,勾球,,,2.0,7,781.0,528.0,2.0,1,465.0,476.0,,,,,7,730.0,555.0,8,727.0,435.0,0
1,16,00:08:27,15222,1,0,B,2,放小球,,,2.0,1,465.0,476.0,2.0,2,406.0,527.0,,,,,1,502.0,469.0,8,664.0,580.0,0
1,17,00:08:28,15253,1,0,A,2,挑球,,1.0,2.0,2,406.0,527.0,1.0,9,536.0,408.0,,,,,2,440.0,549.0,8,541.0,456.0,0
1,18,00:08:30,15301,1,0,B,2,殺球,,,1.0,9,536.0,408.0,2.0,8,493.0,590.0,,,,,8,532.0,409.0,8,635.0,601.0,0
1,19,00:08:30,15316,1,0,A,2,防守回挑,,1.0,2.0,8,493.0,590.0,2.0,9,708.0,405.0,,,,,8,684.0,633.0,5,502.0,421.0,0
