rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:32:57,59321,0,1,A,1,發短球,,1.0,2,,,,1,7,676,429,,,,,8,635,299,8,734,501,0
1,2,00:32:58,59350,0,1,B,2,放小球,,1.0,1,7,676.0,429.0,2,2,769,318,,,,,7,693,434,8,619,289,0
1,3,00:32:59,59374,0,1,A,2,挑球,,1.0,2,2,769.0,318.0,1,9,573,608,,,,,8,738,311,8,689,474,0
1,4,00:33:00,59417,0,1,B,2,殺球,,,1,9,573.0,608.0,2,6,743,283,,,,,9,600,603,8,617,279,0
1,5,00:33:01,59431,0,1,A,2,擋小球,,1.0,2,6,743.0,283.0,2,1,790,436,,,,,8,621,275,9,608,627,0
1,6,00:33:02,59462,0,1,B,2,挑球,,,2,1,790.0,436.0,1,9,585,242,,,,,8,745,462,8,677,275,0
1,7,00:33:02,59489,0,1,A,2,殺球,,,1,9,585.0,242.0,2,6,460,536,,,,,9,625,243,8,696,486,0
1,8,00:33:03,59502,0,1,B,2,擋小球,,1.0,2,6,460.0,536.0,1,1,529,314,,,,,8,676,510,3,563,246,0
1,9,00:33:04,59530,0,1,A,2,放小球,,,1,1,529.0,314.0,2,1,781,418,,,,,1,544,318,8,561,490,0
1,10,00:33:05,59554,0,1,B,2,放小球,,,2,1,781.0,418.0,2,2,778,320,,,,,8,755,446,8,600,298,0
1,11,00:33:06,59581,0,1,A,2,挑球,,1.0,2,2,778.0,320.0,1,9,508,623,,,,,7,738,319,8,727,468,0
1,12,00:33:07,59618,0,1,B,2,殺球,,,1,9,508.0,623.0,2,6,768,276,,,,,9,540,605,8,621,286,0
1,13,00:33:07,59636,0,1,A,2,擋小球,,1.0,2,6,768.0,276.0,2,1,824,434,,,,,8,616,278,4,492,624,0
1,14,00:33:09,59670,0,1,B,2,放小球,,,2,1,824.0,434.0,2,1,534,323,,,,,5,774,453,8,694,283,0
1,15,00:33:10,59701,0,1,A,2,放小球,,,2,1,534.0,323.0,2,2,505,398,,,,,7,573,318,8,686,499,0
1,16,00:33:10,59729,0,1,B,2,挑球,,1.0,2,2,505.0,398.0,1,9,702,242,,,,,2,514,424,8,602,300,0
1,17,00:33:11,59759,0,1,A,2,點扣,1.0,,1,9,702.0,242.0,2,5,787,501,,,,,8,661,259,8,649,478,0
1,18,00:33:12,59773,0,1,B,2,擋小球,,,2,5,787.0,501.0,2,5,532,307,,,,,8,733,517,9,657,249,0
1,19,00:33:13,59805,0,1,A,2,挑球,,,2,5,532.0,307.0,1,4,495,609,,,,,8,566,306,8,634,491,0
1,20,00:33:14,59838,0,1,B,2,殺球,,,1,4,495.0,609.0,2,5,515,256,,,,,8,550,580,8,610,277,0
1,21,00:33:15,59852,0,1,A,2,擋小球,,,2,5,515.0,256.0,1,2,476,428,,,,,8,573,272,8,511,572,0
1,22,00:33:15,59876,0,1,B,2,平球,,1.0,1,2,476.0,428.0,2,8,604,272,,,,,2,495,440,5,548,265,0
1,23,00:33:16,59886,0,1,A,2,防守回挑,,1.0,2,8,604.0,272.0,1,8,555,532,,,,,5,561,275,2,497,437,0
1,24,00:33:17,59921,0,1,B,3,殺球,,,1,8,555.0,532.0,2,5,529,267,對手落地致勝,落地致勝,B,,8,580,500,8,593,269,0
2,1,00:33:46,60797,1,1,B,1,發短球,,1.0,2,,,,2,8,729,306,,,,,8,634,454,8,709,276,0
2,2,00:33:47,60817,1,1,A,2,推球,,1.0,2,8,729.0,306.0,1,5,851,567,,,,,8,690,306,8,645,460,0
2,3,00:33:48,60847,1,1,B,2,殺球,,,1,5,851.0,567.0,2,8,649,260,,,,,8,699,565,8,669,283,0
2,4,00:33:48,60863,1,1,A,2,擋小球,,,2,8,649.0,260.0,1,8,688,446,,,,,8,648,272,5,830,585,0
2,5,00:33:49,60884,1,1,B,2,推球,,,1,8,688.0,446.0,1,5,551,259,,,,,8,646,460,8,661,265,0
2,6,00:33:50,60911,1,1,A,2,點扣,,,1,5,551.0,259.0,2,6,511,492,,,,,8,571,276,8,648,471,0
2,7,00:33:50,60924,1,1,B,2,防守回抽,,1.0,2,6,511.0,492.0,1,8,621,294,,,,,8,651,498,5,545,273,0
2,8,00:33:51,60938,1,1,A,2,殺球,,1.0,1,8,621.0,294.0,2,8,538,498,,,,,8,574,300,8,665,505,0
2,9,00:33:51,60949,1,1,B,2,擋小球,,1.0,2,8,538.0,498.0,1,7,558,323,,,,,8,684,510,8,587,301,0
2,10,00:33:52,60964,1,1,A,2,殺球,,,1,7,558.0,323.0,2,6,484,530,,,,,5,555,310,8,641,498,0
2,11,00:33:52,60976,1,1,B,2,防守回挑,,1.0,2,6,484.0,530.0,1,8,579,251,,,,,8,670,520,5,549,310,0
2,12,00:33:53,61005,1,1,A,2,殺球,,,1,8,579.0,251.0,2,8,521,506,,,,,9,599,250,8,659,512,0
2,13,00:33:54,61020,1,1,B,2,擋小球,,1.0,2,8,521.0,506.0,1,1,528,312,,,,,8,682,530,8,600,256,0
2,14,00:33:54,61043,1,1,A,2,放小球,,,1,1,528.0,312.0,2,7,620,428,,,,,8,570,310,8,622,507,0
2,15,00:33:55,61068,1,1,B,2,挑球,,,2,7,620.0,428.0,1,3,519,244,,,,,8,576,458,8,625,289,0
2,16,00:33:56,61108,1,1,A,2,後場抽平球,,,1,3,519.0,244.0,1,6,508,493,,,,,3,539,251,8,594,486,0
2,17,00:33:57,61124,1,1,B,3,擋小球,,1.0,1,6,508.0,493.0,2,2,496,375,掛網,對手掛網,A,,8,603,500,5,564,261,0
3,1,00:34:20,61811,2,1,A,1,發短球,,1.0,2,,,,1,7,592,440,,,,,8,663,299,8,538,517,0
3,2,00:34:20,61825,2,1,B,2,挑球,,,1,7,592.0,440.0,1,4,764,239,,,,,7,584,440,8,637,297,0
3,3,00:34:22,61862,2,1,A,2,殺球,,,1,4,764.0,239.0,2,5,861,492,,,,,9,697,249,8,721,470,0
3,4,00:34:22,61880,2,1,B,2,擋小球,,,2,5,861.0,492.0,1,2,799,330,,,,,8,748,525,9,706,248,0
3,5,00:34:23,61907,2,1,A,3,撲球,,1.0,1,2,799.0,330.0,2,6,454,574,對手落地致勝,落地致勝,A,,8,730,310,5,860,517,0
4,1,00:34:41,62452,3,1,A,1,發短球,,1.0,2,,,,1,7,700,430,,,,,8,633,296,8,732,506,0
4,2,00:34:42,62471,3,1,B,3,推球,,,1,7,700.0,430.0,2,13,629,229,出界,對手出界,A,,7,694,418,8,628,298,0
5,1,00:35:04,63130,3,2,A,1,發短球,,1.0,2,,,,2,7,599,440,,,,,8,660,296,8,536,507,0
5,2,00:35:04,63149,3,2,B,2,放小球,,1.0,2,7,599.0,440.0,2,2,763,331,,,,,7,651,433,8,644,291,0
5,3,00:35:05,63173,3,2,A,2,挑球,,1.0,2,2,763.0,331.0,1,4,476,619,,,,,7,720,319,8,679,461,0
5,4,00:35:07,63218,3,2,B,2,切球,,,1,4,476.0,619.0,2,6,763,308,,,,,9,507,612,8,606,277,0
5,5,00:35:07,63239,3,2,A,2,放小球,,1.0,2,6,763.0,308.0,1,1,786,408,,,,,8,723,302,4,496,601,0
5,6,00:35:08,63266,3,2,B,2,放小球,,,1,1,786.0,408.0,2,2,784,344,,,,,1,772,430,8,697,284,0
5,7,00:35:09,63292,3,2,A,2,挑球,,1.0,2,2,784.0,344.0,1,9,544,627,,,,,7,742,331,7,742,433,0
5,8,00:35:11,63334,3,2,B,2,長球,,,1,9,544.0,627.0,1,4,762,240,,,,,9,568,607,8,625,281,0
5,9,00:35:12,63374,3,2,A,2,長球,1.0,,1,4,762.0,240.0,1,4,440,607,,,,,8,709,254,8,674,504,0
5,10,00:35:14,63421,3,2,B,3,殺球,,,1,4,440.0,607.0,2,5,509,261,對手落地致勝,落地致勝,B,,4,493,590,8,620,276,0
6,1,00:35:44,64326,4,2,B,1,發長球,,1.0,2,,,,1,3,553,244,,,,,8,661,450,8,593,279,0
6,2,00:35:45,64357,4,2,A,2,殺球,,,1,3,553.0,244.0,2,6,419,530,,,,,9,585,248,8,665,498,0
6,3,00:35:45,64370,4,2,B,2,擋小球,,1.0,2,6,419.0,530.0,1,1,505,317,,,,,8,648,522,8,578,251,0
