rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:08:09,14689,1,0,B,1,發短球,,1.0,2.0,,,,2.0,7,693.0,462.0,,,,,8,629.0,350.0,8,729.0,546.0,0
1,2,00:08:10,14712,1,0,A,2,挑球,,,2.0,7,693.0,462.0,1.0,3,540.0,301.0,,,,,7,687.0,484.0,8,639.0,349.0,0
1,3,00:08:11,14750,1,0,B,2,殺球,1.0,,1.0,3,540.0,301.0,2.0,6,468.0,520.0,,,,,9,570.0,295.0,8,661.0,525.0,0
1,4,00:08:12,14766,1,0,A,2,擋小球,,1.0,2.0,6,468.0,520.0,2.0,7,744.0,371.0,,,,,8,642.0,548.0,9,545.0,300.0,0
1,5,00:08:13,14795,1,0,B,2,放小球,,,2.0,7,744.0,371.0,2.0,7,726.0,443.0,,,,,8,699.0,358.0,8,597.0,534.0,0
1,6,00:08:13,14816,1,0,A,2,挑球,,,2.0,7,726.0,443.0,1.0,3,508.0,302.0,,,,,7,698.0,475.0,8,689.0,353.0,0
1,7,00:08:14,14849,1,0,B,2,殺球,1.0,,1.0,3,508.0,302.0,2.0,6,415.0,524.0,,,,,8,599.0,309.0,8,646.0,527.0,0
1,8,00:08:15,14867,1,0,A,2,擋小球,,1.0,2.0,6,415.0,524.0,2.0,1,490.0,388.0,,,,,8,584.0,547.0,8,576.0,304.0,0
1,9,00:08:16,14894,1,0,B,2,放小球,,1.0,2.0,1,490.0,388.0,2.0,7,758.0,439.0,,,,,1,514.0,373.0,6,505.0,527.0,0
1,10,00:08:17,14922,1,0,A,2,挑球,,,2.0,7,758.0,439.0,1.0,9,549.0,300.0,,,,,7,716.0,461.0,8,612.0,355.0,0
1,11,00:08:18,14958,1,0,B,2,殺球,,,1.0,9,549.0,300.0,2.0,5,828.0,508.0,,,,,9,568.0,291.0,8,678.0,509.0,0
1,12,00:08:19,14975,1,0,A,2,擋小球,,,2.0,5,828.0,508.0,2.0,2,792.0,373.0,,,,,8,711.0,540.0,9,553.0,290.0,0
1,13,00:08:20,15008,1,0,B,2,放小球,,,2.0,2,792.0,373.0,2.0,1,817.0,439.0,,,,,8,742.0,358.0,8,756.0,531.0,0
1,14,00:08:21,15035,1,0,A,2,放小球,,,2.0,1,817.0,439.0,2.0,1,522.0,396.0,,,,,1,796.0,481.0,8,694.0,348.0,0
1,15,00:08:22,15060,1,0,B,2,挑球,,1.0,2.0,1,522.0,396.0,1.0,6,420.0,555.0,,,,,7,564.0,379.0,8,705.0,498.0,0
1,16,00:08:23,15090,1,0,A,2,後場抽平球,,1.0,1.0,6,420.0,555.0,2.0,5,512.0,349.0,,,,,6,447.0,583.0,8,613.0,352.0,0
1,17,00:08:23,15106,1,0,B,2,擋小球,,1.0,2.0,5,512.0,349.0,2.0,2,511.0,452.0,,,,,8,625.0,346.0,8,558.0,543.0,0
1,18,00:08:24,15132,1,0,A,2,挑球,,1.0,2.0,2,511.0,452.0,2.0,4,767.0,297.0,,,,,7,533.0,489.0,8,620.0,336.0,0
1,19,00:08:25,15176,1,0,B,2,切球,,,2.0,4,767.0,297.0,2.0,1,769.0,461.0,,,,,9,732.0,290.0,8,690.0,529.0,0
1,20,00:08:26,15199,1,0,A,2,放小球,,,2.0,1,769.0,461.0,2.0,1,510.0,383.0,,,,,8,717.0,510.0,8,692.0,307.0,0
