rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:30:49,55493,1,0,A,1,發長球,,1.0,2.0,,,,1.0,8,779.0,619.0,,,,,8,617.0,409.0,8,723.0,586.0,0
1,2,00:30:50,55518,1,0,B,2,殺球,,,1.0,8,779.0,619.0,2.0,6,842.0,380.0,,,,,8,747.0,595.0,8,596.0,391.0,0
1,3,00:30:51,55535,1,0,A,2,擋小球,,1.0,2.0,6,842.0,380.0,2.0,1,833.0,511.0,,,,,8,630.0,381.0,8,798.0,611.0,0
1,4,00:30:52,55561,1,0,B,2,勾球,,,2.0,1,833.0,511.0,2.0,7,511.0,453.0,,,,,7,792.0,531.0,8,712.0,401.0,0
1,5,00:30:52,55586,1,0,A,2,挑球,,,2.0,7,511.0,453.0,1.0,3,925.0,654.0,,,,,7,568.0,432.0,8,675.0,544.0,0
1,6,00:30:54,55626,1,0,B,2,切球,,,1.0,3,925.0,654.0,2.0,6,815.0,418.0,,,,,3,873.0,645.0,8,627.0,399.0,0
1,7,00:30:55,55651,1,0,A,2,擋小球,,1.0,2.0,6,815.0,418.0,2.0,7,663.0,512.0,,,,,8,757.0,418.0,8,756.0,613.0,0
1,8,00:30:55,55676,1,0,B,2,挑球,,1.0,2.0,7,663.0,512.0,1.0,4,777.0,355.0,,,,,8,695.0,542.0,8,663.0,397.0,0
1,9,00:30:57,55716,1,0,A,2,切球,1.0,,1.0,4,777.0,355.0,2.0,5,823.0,567.0,,,,,9,731.0,354.0,8,684.0,578.0,0
1,10,00:30:57,55733,1,0,B,2,勾球,,,2.0,5,823.0,567.0,2.0,1,487.0,452.0,,,,,8,767.0,593.0,9,729.0,356.0,0
1,11,00:30:58,55763,1,0,A,2,放小球,,,2.0,1,487.0,452.0,2.0,2,406.0,519.0,,,,,7,527.0,429.0,8,649.0,584.0,0
1,12,00:30:59,55796,1,0,B,2,挑球,,1.0,2.0,2,406.0,519.0,1.0,4,795.0,353.0,,,,,6,436.0,538.0,8,570.0,402.0,0
1,13,00:31:01,55838,1,0,A,2,殺球,1.0,,1.0,4,795.0,353.0,2.0,5,886.0,579.0,,,,,9,741.0,356.0,8,688.0,588.0,0
1,14,00:31:01,55850,1,0,B,2,勾球,,,2.0,5,886.0,579.0,2.0,8,543.0,426.0,,,,,8,757.0,594.0,4,775.0,361.0,0
1,15,00:31:02,55879,1,0,A,2,放小球,,,2.0,8,543.0,426.0,2.0,2,410.0,520.0,,,,,8,598.0,410.0,8,761.0,604.0,0
1,16,00:31:03,55908,1,0,B,2,放小球,,1.0,2.0,2,410.0,520.0,2.0,1,462.0,443.0,,,,,6,464.0,545.0,8,580.0,385.0,0
1,17,00:31:04,55936,1,0,A,2,勾球,,,2.0,1,462.0,443.0,2.0,1,815.0,496.0,,,,,5,497.0,421.0,8,561.0,550.0,0
1,18,00:31:05,55961,1,0,B,2,挑球,,,2.0,1,815.0,496.0,1.0,9,736.0,362.0,,,,,7,757.0,524.0,8,585.0,403.0,0
1,19,00:31:06,56000,1,0,A,2,殺球,1.0,,1.0,9,736.0,362.0,2.0,5,838.0,575.0,,,,,9,708.0,355.0,8,713.0,574.0,0
1,20,00:31:07,56014,1,0,B,2,擋小球,,,2.0,5,838.0,575.0,2.0,2,849.0,429.0,,,,,8,706.0,592.0,9,674.0,349.0,0
1,21,00:31:08,56042,1,0,A,2,挑球,,1.0,2.0,2,849.0,429.0,1.0,9,468.0,656.0,,,,,6,783.0,416.0,8,755.0,584.0,0
1,22,00:31:09,56087,1,0,B,2,殺球,1.0,,1.0,9,468.0,656.0,2.0,6,815.0,395.0,,,,,9,524.0,647.0,8,574.0,390.0,0
1,23,00:31:10,56102,1,0,A,2,防守回挑,,1.0,2.0,6,815.0,395.0,1.0,9,804.0,656.0,,,,,8,577.0,394.0,9,508.0,645.0,0
1,24,00:31:11,56137,1,0,B,2,切球,,,1.0,9,804.0,656.0,1.0,7,499.0,436.0,,,,,8,765.0,633.0,8,688.0,391.0,0
1,25,00:31:12,56165,1,0,A,2,擋小球,,,1.0,7,499.0,436.0,2.0,2,415.0,519.0,,,,,8,519.0,420.0,8,690.0,597.0,0
1,26,00:31:13,56191,1,0,B,2,勾球,,1.0,2.0,2,415.0,519.0,2.0,7,759.0,454.0,,,,,6,442.0,540.0,8,582.0,406.0,0
1,27,00:31:13,56219,1,0,A,2,挑球,,1.0,2.0,7,759.0,454.0,1.0,9,554.0,653.0,,,,,7,689.0,442.0,8,488.0,563.0,0
