rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:06:01,10846,1,0,A,1,未知球種,,,2.0,,,,,,,,,,,1,,,,,,,0
2,1,00:06:21,11450,2,0,A,1,發短球,,1.0,2.0,,,,2.0,7,737.0,388.0,,,,,8,630.0,533.0,8,708.0,336.0,0
2,2,00:06:22,11470,2,0,B,2,放小球,,,2.0,7,737.0,388.0,2.0,7,652.0,450.0,,,,,7,702.0,368.0,8,648.0,527.0,0
2,3,00:06:23,11498,2,0,A,2,挑球,,,2.0,7,652.0,450.0,1.0,4,784.0,288.0,,,,,7,638.0,474.0,8,646.0,358.0,0
2,4,00:06:24,11543,2,0,B,2,切球,,,1.0,4,784.0,288.0,2.0,1,783.0,463.0,,,,,4,734.0,290.0,8,701.0,541.0,0
2,5,00:06:25,11573,2,0,A,2,挑球,,,2.0,1,783.0,463.0,1.0,8,591.0,304.0,,,,,7,726.0,491.0,8,696.0,318.0,0
2,6,00:06:26,11598,2,0,B,2,殺球,1.0,,1.0,8,591.0,304.0,2.0,8,517.0,529.0,,,,,8,650.0,316.0,8,670.0,520.0,0
2,7,00:06:27,11612,2,0,A,2,擋小球,,1.0,2.0,8,517.0,529.0,2.0,7,550.0,385.0,,,,,8,656.0,537.0,8,636.0,314.0,0
2,8,00:06:27,11636,2,0,B,2,挑球,,1.0,2.0,7,550.0,385.0,1.0,9,746.0,637.0,,,,,8,573.0,361.0,8,598.0,537.0,0
2,9,00:06:29,11673,2,0,A,2,長球,,,1.0,9,746.0,637.0,1.0,3,530.0,298.0,,,,,9,703.0,644.0,8,663.0,332.0,0
2,10,00:06:30,11705,2,0,B,2,長球,1.0,,1.0,3,530.0,298.0,1.0,3,884.0,640.0,,,,,8,580.0,315.0,8,650.0,574.0,0
2,11,00:06:31,11747,2,0,A,2,切球,,,1.0,3,884.0,640.0,2.0,2,779.0,392.0,,,,,3,835.0,637.0,8,650.0,325.0,0
2,12,00:06:32,11774,2,0,B,2,放小球,,,2.0,2,779.0,392.0,2.0,2,509.0,449.0,,,,,6,747.0,364.0,8,719.0,603.0,0
2,13,00:06:33,11802,2,0,A,2,挑球,,1.0,2.0,2,509.0,449.0,1.0,4,734.0,290.0,,,,,7,535.0,471.0,8,657.0,356.0,0
2,14,00:06:34,11848,2,0,B,3,殺球,,,1.0,4,734.0,290.0,2.0,15,903.0,582.0,出界,對手出界,A,,9,706.0,290.0,8,648.0,520.0,0
3,1,00:06:52,12366,3,0,A,1,發短球,,1.0,2.0,,,,2.0,8,649.0,364.0,,,,,8,657.0,527.0,8,572.0,334.0,0
3,2,00:06:53,12391,3,0,B,3,挑球,,,2.0,8,649.0,364.0,2.0,14,914.0,634.0,出界,對手出界,A,,8,613.0,361.0,8,642.0,519.0,0
4,1,00:07:08,12845,4,0,A,1,發短球,,1.0,2.0,,,,2.0,7,719.0,390.0,,,,,8,630.0,530.0,8,703.0,334.0,0
4,2,00:07:08,12867,4,0,B,2,放小球,,,2.0,7,719.0,390.0,2.0,7,671.0,447.0,,,,,8,685.0,364.0,8,647.0,536.0,0
4,3,00:07:09,12891,4,0,A,2,放小球,,,2.0,7,671.0,447.0,2.0,7,647.0,414.0,,,,,7,650.0,475.0,8,666.0,359.0,0
4,4,00:07:10,12917,4,0,B,2,挑球,,,2.0,7,647.0,414.0,1.0,4,483.0,617.0,,,,,7,615.0,393.0,7,649.0,480.0,0
4,5,00:07:11,12951,4,0,A,2,長球,1.0,,1.0,4,483.0,617.0,1.0,3,507.0,298.0,,,,,8,591.0,584.0,8,609.0,351.0,0
4,6,00:07:12,12983,4,0,B,2,殺球,,,1.0,3,507.0,298.0,2.0,6,481.0,562.0,,,,,8,544.0,301.0,8,627.0,577.0,0
4,7,00:07:13,12996,4,0,A,3,擋小球,,1.0,2.0,6,481.0,562.0,2.0,6,813.0,365.0,對手落地致勝,落地致勝,A,,8,647.0,576.0,5,532.0,305.0,0
5,1,00:07:30,13528,4,1,A,1,發短球,,1.0,2.0,,,,2.0,7,577.0,395.0,,,,,8,654.0,530.0,8,575.0,333.0,0
5,2,00:07:31,13551,4,1,B,2,放小球,,,2.0,7,577.0,395.0,2.0,2,478.0,450.0,,,,,7,557.0,367.0,8,623.0,521.0,0
5,3,00:07:32,13575,4,1,A,3,挑球,,1.0,2.0,2,478.0,450.0,2.0,12,806.0,285.0,出界,對手出界,B,,7,527.0,478.0,8,584.0,348.0,0
6,1,00:08:15,14867,5,1,B,1,發短球,,,2.0,,,,2.0,7,608.0,471.0,,,,,8,662.0,340.0,8,547.0,554.0,0
6,2,00:08:16,14891,5,1,A,2,挑球,,,2.0,7,608.0,471.0,1.0,9,552.0,295.0,,,,,8,546.0,494.0,8,632.0,343.0,0
6,3,00:08:17,14927,5,1,B,3,點扣,,,1.0,9,552.0,295.0,2.0,1,498.0,419.0,掛網,對手掛網,A,,8,583.0,301.0,8,641.0,548.0,0
7,1,00:08:32,15368,6,1,A,1,發短球,,1.0,2.0,,,,2.0,7,715.0,385.0,,,,,8,624.0,531.0,8,702.0,335.0,0
7,2,00:08:33,15390,6,1,B,2,放小球,,,2.0,7,715.0,385.0,2.0,7,631.0,443.0,,,,,7,695.0,367.0,8,637.0,524.0,0
7,3,00:08:33,15416,6,1,A,2,放小球,,,2.0,7,631.0,443.0,2.0,7,644.0,413.0,,,,,7,618.0,469.0,8,661.0,351.0,0
7,4,00:08:34,15442,6,1,B,2,挑球,,1.0,2.0,7,644.0,413.0,1.0,3,799.0,624.0,,,,,7,642.0,383.0,7,635.0,481.0,0
7,5,00:08:36,15486,6,1,A,2,點扣,,,1.0,3,799.0,624.0,2.0,6,763.0,330.0,,,,,9,716.0,628.0,8,669.0,333.0,0
7,6,00:08:36,15499,6,1,B,2,擋小球,,,2.0,6,763.0,330.0,2.0,7,535.0,454.0,,,,,8,713.0,330.0,9,773.0,629.0,0
7,7,00:08:37,15529,6,1,A,2,推球,,1.0,2.0,7,535.0,454.0,2.0,5,503.0,324.0,,,,,7,576.0,489.0,8,637.0,334.0,0
7,8,00:08:38,15546,6,1,B,2,防守回挑,,1.0,2.0,5,503.0,324.0,1.0,8,725.0,567.0,,,,,8,579.0,329.0,8,587.0,505.0,0
7,9,00:08:39,15573,6,1,A,2,點扣,,,1.0,8,725.0,567.0,2.0,6,788.0,332.0,,,,,8,669.0,551.0,8,629.0,323.0,0
7,10,00:08:39,15587,6,1,B,3,擋小球,,,2.0,6,788.0,332.0,2.0,2,777.0,413.0,未過網,對手未過網,A,,8,718.0,333.0,8,735.0,577.0,0
8,1,00:08:53,16010,7,1,A,1,未知球種,,,2.0,,,,2.0,,,,,,,1,,,,,,,0
8,2,00:08:54,16037,7,1,B,2,挑球,,,2.0,,,,1.0,3,828.0,631.0,,,,,7,572.0,368.0,8,622.0,520.0,0
8,3,00:08:55,16074,7,1,A,2,切球,,,1.0,3,828.0,631.0,2.0,2,806.0,371.0,,,,,9,766.0,626.0,8,665.0,331.0,0
