id,video,homography_matrix,upleft_x,upright_x,downleft_x,downright_x,upleft_y,upright_y,downleft_y,downright_y,db
1,Ng_Ka_Long_Angus_Lee_Cheuk_Yiu_YONEX_Thailand_Open_2021_QuarterFinals,"[[1.2049765445361083, 0.4712532186619585, -588.0864448025472], [-0.022499188132429987, 5.655248235276021, -1428.9125669559749], [-2.656611636133803e-05, 0.002771542520349543, 1.0]]",411.2,864.0,990.8,295.2,302.8,304.4,656.8,656.6,2
2,Carolina_Marin_An_Se_Young_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,"[[1.2386677191975748, 0.5044181027592145, -614.9361953460232], [0.008686309647404574, 5.778278563976227, -1482.9815340656733], [-5.115075334415229e-06, 0.0028670177137528553, 1.0]]",413.8,866.4,991.2,290.8,304.6,303.8,659.8,662.4,2
3,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,"[[1.2181960812875399, 0.4785742535078147, -596.0295541494885], [-0.024038194971610832, 5.717077501531219, -1461.2794663739778], [-3.462006018968606e-05, 0.002794974247235092, 1.0]]",410.6,860.4,984.6,294.6,305.6,307.2,656.6,657.4,2
4,Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,"[[1.2333335968084074, 0.48512282444149046, -603.7154132921111], [-0.02542777719466385, 5.782625734941326, -1477.2089273775778], [-2.6409605506579783e-05, 0.002837608795262587, 1.0]]",410.6,859.8,985.2,294.6,305.4,307.2,657.6,656.8,2
5,Pusarla_V._Sindhu_Pornpawee_Chochuwong_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,"[[1.2525753835625857, 0.5103194777517027, -622.5549695124088], [0.025375537287164854, 5.817461793362739, -1502.0283246187075], [1.048540549660237e-05, 0.0028885650516388005, 1.0]]",414.0,866.4,991.0,290.6,305.0,303.0,660.0,663.4,2
6,Carolina_Marin_Pornpawee_Chochuwong_HSBC_BWF_WORLD_TOUR_FINALS_2020_SemiFinals,"[[1.2748402289006995, 0.5171886249928548, -632.5791638152884], [0.028723485952944976, 5.900302703570793, -1526.410873662765], [3.0495751613673334e-05, 0.002934574723728483, 1.0]]",413.4,865.6,991.6,290.8,305.2,303.2,662.0,662.8,2
7,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,"[[1.243457179750565, 0.5045446917659319, -617.4505970304539], [0.01693954306980188, 5.76717987415123, -1483.0039542751447], [2.595816357640083e-06, 0.0028569523192686773, 1.0]]",414.2,865.8,989.6,291.4,304.6,303.2,659.8,662.8,2
8,Lakshya_SEN_LOH_Kean_Yew_YONEX_SUNRISE_India_Open_2022_ Finals,"[[2.062798646978643, 1.3484770388077614, -1106.8955429030589], [-0.07407451440361923, 11.709735314527238, -2683.759147373011], [-8.703176111901993e-05, 0.007908019832617911, 1.0]]",400.4,848.8,188.2,1077.6,271.6,274.2,658.8,659.4,0
9,Kunlavut_VITIDSARN_LEE_Zii_Jia_YONEX_GAINWARD_German_Open_2022_SemiFinals,"[[3.6918937860035324, 2.4080788821149857, -2177.238216951394], [0.0077124192115263735, 19.30624981333597, -4592.761943815321], [-6.922308902256727e-05, 0.01367687151315265, 1.0]]",445.8,827.2,236.4,1036.2,274.4,274.0,654.8,648.6,0
10,Akane_YAMAGUCHI_AN_Seyoung_YONEX_All_England_Open_Badminton_Championships_2022_Finals,"[[2.513325699494093, 1.3106968242763386, -1419.036058199646], [-0.07338137731615714, 15.089086432480453, -5290.21622689319], [-5.078374549491286e-05, 0.0075273091736554314, 1.0]]",403.2,870.2,276.8,1001.8,391.6,393.8,679.4,682.0,0
11,Viktor_AXELSEN_Lakshya_SEN_YONEX_All_England_Open_2022_Finals,"[[2.5619885648614202, 1.337408615831658, -1451.8132410361102], [-0.06929930823606165, 15.377858556778003, -5410.847094287408], [-5.4223557762276584e-05, 0.007671333505668226, 1.0]]",404.4,869.6,278.2,1000.4,392.6,394.6,679.6,681.6,0
12,AN_Seyoung_PUSARLA_V._Sindhu_Korea_Open_Badminton_Championships_2022_Semi_Final,"[[2.0151696566501807, 1.05755982263515, -1121.8857309817975], [-0.013385704248496793, 9.234268653784836, -2137.249386337726], [-2.1508535561861386e-06, 0.005768563665571007, 1.0]]",448.0,832.4,281.6,986.8,274.0,274.6,646.8,648.6,0
13,He_Bing_Jiao_Chen_Yu_Fei_GWANGJU_YONEX_Korea_Masters_2022_Final,"[[1.3308645164091648, 0.6976618174988704, -651.3229979631086], [-0.014843903646024097, 7.221172785477689, -1880.1637929361252], [-1.1376694237824684e-05, 0.004034525029765488, 1.0]]",374.2,877.8,209.6,1052.4,307.6,308.6,680.8,682.0,0
14,LEE_Zii_Jia_Kento_MOMOTA_Tota_Energies_BWF_Thomas_and_Uber_Cup_Finals_2022_Group D_Trim,"[[1.4515422694976712, 0.6350413609981628, -744.2738936798976], [0.04611838646271621, 8.158667654414328, -2764.9972328553154], [6.237266492455241e-05, 0.0035566312382886533, 1.0]]",391.2,889.0,281.0,1000.2,380.4,378.0,677.6,678.2,0
15,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,"[[1.4295463860672293, 0.6189215843396844, -732.2549453759308], [0.019984317443789465, 8.083824561667912, -2730.253412893915], [3.187460297338819e-05, 0.0035191403576255408, 1.0]]",392.6,889.6,284.2,1001.8,380.4,379.4,676.8,677.6,0
16,Viktor_AXELSEN_Anthony_Sinisuka_GINTING_DAIHATSU_INDONESIA_MASTERS_2022_Semifinals,"[[1.4691360971722105, 0.6457341621204867, -768.5790300964597], [-0.036105424392318, 6.424840492559715, -1452.988265493345], [-4.7029847136960454e-05, 0.003690962462560561, 1.0]]",439.4,843.6,297.4,988.2,275.2,277.2,658.6,658.2,0
17,CHEN_Yu_Fei_HE_Bing_Jiao_DAIHATSU_Indonesia_Masters_2022_Semifinals,"[[0.7770350499961634, 0.3451254137938581, -319.99893072674416], [0.013305714645217159, 3.4437422338531625, -423.67885120018735], [8.641581096350565e-06, 0.0019497014738877317, 1.0]]",379.4,904.2,199.0,1086.0,180.6,178.6,661.0,658.0,0
18,Wang_Zhi_Yi_He_Bing_Jiao_Indonesia_Open_2022_Semi_finals,"[[1.582515749075952, 0.6510917470758978, -831.0319745171545], [-0.002678187509151846, 6.525651394135998, -1530.4000234366717], [-1.785458367695341e-05, 0.0037221460460213317, 1.0]]",444.6,830.2,311.4,966.8,281.6,281.6,665.6,663.4,0
19,Viktor_AXELSEN_LEE_Zii_Jia_EAST_VENTURES_Indonesia_Open_2022_Semifinals,"[[1.6112607154327712, 0.6659131618670249, -849.1463290141623], [0.0011537699833514526, 6.659136381033358, -1572.0049573678516], [-1.3428037617636063e-05, 0.0038046246966995756, 1.0]]",445.4,829.8,312.2,966.4,282.6,282.4,664.8,662.6,0
20,Kento_MOMOTA_Kunlavut_VITIDSARN_Malaysia_Open_2022_ Semi_finals,"[[5.694366647630631, 3.335646069654039, -3495.9884989760476], [0.1608579156949042, 33.953026352144114, -11912.891361050348], [0.00011338467346899719, 0.01853788579046428, 1.0]]",427.8,861.2,285.8,999.2,385.0,383.0,670.8,668.2,0
