id,video,tournament,round,year,month,day,set,duration,winner,loser,downcourt,db
1,Ng_Ka_Long_Angus_Lee_Cheuk_Yiu_YONEX_Thailand_Open_2021_QuarterFinals,YONEX THAILAND OPEN 2021,Quarter-finals,2021,1,15,2,44,NG Ka Long Angus,LEE Cheuk Yiu,1,0
2,Carolina_Marin_An_Se_Young_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,HSBC BWF WORLD TOUR FINALS 2020,Quarter-finals,2021,1,29,3,55,An Se Young,Carolina MARIN,1,0
3,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,HSBC BWF WORLD TOUR FINALS 2020,Quarter-finals,2021,1,29,3,50,Anthony Sinisuka GINTING,LEE Zii Jia,1,0
4,Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,HSBC BWF WORLD TOUR FINALS 2020,Quarter-finals,2021,1,29,3,65,NG Ka Long Angus,KIDAMBI Srikanth,1,0
5,Pusarla_V._Sindhu_Pornpawee_Chochuwong_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,HSBC BWF WORLD TOUR FINALS 2020,Quarter-finals,2021,1,29,2,42,PUSARLA V. Sindhu,Pornpawee CHOCHUWONG,0,0
6,Carolina_Marin_Pornpawee_Chochuwong_HSBC_BWF_WORLD_TOUR_FINALS_2020_SemiFinals,HSBC BWF WORLD TOUR FINALS 2020,Semi-finals,2021,1,30,2,40,Carolina MARIN,Pornpawee CHOCHUWONG,0,0
7,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,HSBC BWF WORLD TOUR FINALS 2020,Finals,2021,1,31,3,60,Anders ANTONSEN,Viktor AXELSEN,0,0
8,Lakshya_SEN_LOH_Kean_Yew_YONEX_SUNRISE_India_Open_2022_ Finals,YONEX-SUNRISE India Open 2022,Finals,2022.0,1.0,16.0,2,54,Lakshya SEN,LOH Kean Yew,1.0,0.0
9,Kunlavut_VITIDSARN_LEE_Zii_Jia_YONEX_GAINWARD_German_Open_2022_SemiFinals,YONEX GAINWARD German Open 2022,Semi-finals,2022.0,3.0,12.0,2,43,Kunlavut VITIDSARN,LEE Zii Jia,1.0,0.0
10,Akane_YAMAGUCHI_AN_Seyoung_YONEX_All_England_Open_Badminton_Championships_2022_Finals,YONEX All England Open Badminton Championships 2022,Finals,2022.0,3.0,20.0,2,44,Akane YAMAGUCHI,An Se Young,1.0,0.0
11,Viktor_AXELSEN_Lakshya_SEN_YONEX_All_England_Open_2022_Finals,YONEX All England Open Badminton Championships 2022,Finals,2022.0,3.0,20.0,2,53,Viktor AXELSEN,Lakshya SEN,0.0,0.0
12,AN_Seyoung_PUSARLA_V._Sindhu_Korea_Open_Badminton_Championships_2022_Semi_Final,Korea Open Badminton Championships 2022,Semi-finals,2022.0,4.0,9.0,2,48,An Se Young,PUSARLA V. Sindhu,1.0,0.0
13,He_Bing_Jiao_Chen_Yu_Fei_GWANGJU_YONEX_Korea_Masters_2022_Final,GWANGJU YONEX Korea Masters 2022,Finals,2022.0,4.0,17.0,3,63,HE Bingjiao,CHEN Yufei,0.0,0.0
14,LEE_Zii_Jia_Kento_MOMOTA_Tota_Energies_BWF_Thomas_and_Uber_Cup_Finals_2022_Group D_Trim,TotalEnergies BWF Thomas and Uber Cup Finals 2022,Group-Stage,2022.0,5.0,11.0,2,46,LEE Zii Jia,Kento MOMOTA,0.0,0.0
15,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,TotalEnergies BWF Thomas and Uber Cup Finals 2022,Semi-finals,2022.0,5.0,13.0,3,63,An Se Young,Akane YAMAGUCHI,0.0,0.0
16,Viktor_AXELSEN_Anthony_Sinisuka_GINTING_DAIHATSU_INDONESIA_MASTERS_2022_Semifinals,DAIHATSU INDONESIA MASTERS 2022,Semi-finals,2022.0,6.0,11.0,2,48,Viktor AXELSEN,Anthony Sinisuka GINTING,0.0,0.0
17,CHEN_Yu_Fei_HE_Bing_Jiao_DAIHATSU_Indonesia_Masters_2022_Semifinals,DAIHATSU INDONESIA MASTERS 2022,Semi-finals,2022.0,6.0,11.0,2,51,CHEN Yufei,HE Bingjiao,0.0,0.0
18,Wang_Zhi_Yi_He_Bing_Jiao_Indonesia_Open_2022_Semi_finals,INDONESIA OPEN 2022,Semi-finals,2022.0,6.0,18.0,2,42,WANG Zhi Yi,HE Bingjiao,0.0,0.0
19,Viktor_AXELSEN_LEE_Zii_Jia_EAST_VENTURES_Indonesia_Open_2022_Semifinals,INDONESIA OPEN 2022,Semi-finals,2022.0,6.0,18.0,3,70,Viktor AXELSEN,LEE Zii Jia,0.0,0.0
20,Kento_MOMOTA_Kunlavut_VITIDSARN_Malaysia_Open_2022_ Semi_finals,Malaysia Open 2022,Semi-finals,2022.0,7.0,2.0,2,42,Kento MOMOTA,Kunlavut VITIDSARN,1.0,0.0
21,Viktor_AXELSEN_Jonatan_CHRISTIE_Malaysia_Open_2022_SemiFinals,Malaysia Open 2022,Semi-finals,2022.0,7.0,2.0,3,71,Viktor AXELSEN,Jonatan CHRISTIE,0.0,0.0
22,Viktor_AXELSEN_Kento_MOMOTA_PETRONAS_Malaysia_Open_2022_Finals,Malaysia Open 2022,Finals,2022.0,7.0,3.0,2,34,Viktor AXELSEN,Kento MOMOTA,0.0,0.0
