rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id,rally_length
1,1,00:06:00,10827,1,0,0,short service,0.0,1,2.0,7,0.7731707317073171,0.5196874999999999,,,8,170.8,308.95,8,236.7,675.21,1,1,0,8
1,2,00:06:01,10849,1,0,1,net shot,0.0,0,2.0,7,0.0865853658536584,-0.2372395833333334,,,8,208.7,594.37,8,176.8,318.46,1,1,0,8
1,3,00:06:02,10873,1,0,0,lob,0.0,0,1.0,3,1.4024390243902438,1.6384895833333335,,,7,174.2,378.28,8,180.1,622.54,1,1,0,8
1,4,00:06:03,10917,1,0,1,clear,0.0,0,1.0,4,1.3585365853658533,-1.4341666666666668,,,3,257.9,809.08,8,179.3,306.43,1,1,0,8
1,5,00:06:04,10943,1,0,0,drop,0.0,1,2.0,1,1.4878048780487805,0.3598437500000002,,,6,273.5,268.22,8,233.2,738.15,1,1,0,8
1,6,00:06:05,10966,1,0,1,net shot,0.0,0,2.0,2,1.297560975609756,-0.2201041666666666,,,1,259.8,573.61,8,240.6,263.58,1,1,0,8
1,7,00:06:06,10994,1,0,0,lob,0.0,1,1.0,9,-0.7878048780487804,1.6596354166666665,,,2,255.6,384.09,8,211.5,604.38,1,1,0,8
1,8,00:06:08,11041,1,0,1,drop,0.0,0,2.0,10,1.601219512195122,-0.5040624999999999,out,0.0,9,128.9,789.4,8,154.2,292.12,1,1,0,8
8,1,00:09:20,16805,2,6,1,short service,0.0,1,2.0,7,-0.2804878048780488,-0.4956770833333334,,,8,186.0,630.55,8,132.6,284.99,1,1,7,5
8,2,00:09:21,16830,2,6,0,push/rush,0.0,1,1.0,3,1.204878048780488,1.54421875,,,7,125.7,391.98,8,166.2,633.83,1,1,7,5
8,3,00:09:22,16860,2,6,1,clear,0.0,0,1.0,4,1.5304878048780488,-1.420885416666667,,,9,231.9,764.88,8,173.8,289.42,1,1,7,5
8,4,00:09:22,16889,2,6,0,clear,0.0,1,1.0,9,-0.5487804878048781,1.565989583333333,,,6,274.6,237.37,8,225.7,687.14,1,1,7,5
8,5,00:09:24,16924,2,6,1,smash,0.0,0,2.0,7,0.3585365853658537,0.1291145833333334,touched the net,0.0,8,154.6,739.7,8,182.0,256.69,1,1,7,5
9,1,00:09:44,17546,3,6,0,short service,0.0,1,2.0,7,0.5231707317073171,0.4930208333333332,,,8,165.3,309.01,8,238.1,687.1,1,1,8,24
9,2,00:09:45,17565,3,6,1,lob,0.0,0,1.0,3,-1.1658536585365853,-1.4472395833333334,,,8,198.5,596.11,8,168.3,304.14,1,1,8,24
9,3,00:09:46,17603,3,6,0,drop,0.0,0,2.0,6,-1.1804878048780487,0.9202604166666668,,,3,99.3,166.55,8,181.7,666.37,1,1,8,24
9,4,00:09:47,17622,3,6,1,net shot,0.0,1,2.0,7,-0.3134146341463413,-0.4033333333333333,,,8,108.1,655.98,9,134.4,185.57,1,1,8,24
9,5,00:09:48,17651,3,6,0,net shot,0.0,0,2.0,7,0.1634146341463415,0.2386979166666668,,,7,169.6,398.07,8,172.6,619.34,1,1,8,24
9,6,00:09:49,17676,3,6,1,lob,0.0,0,1.0,3,-1.3121951219512191,-1.4751041666666669,,,7,173.8,547.74,8,183.1,362.5,1,1,8,24
9,7,00:09:51,17732,3,6,0,smash,0.0,0,2.0,6,-1.2439024390243902,1.1416666666666668,,,3,94.1,183.39,8,175.9,667.91,1,1,8,24
9,8,00:09:51,17745,3,6,1,defensive shot,0.0,1,2.0,7,-0.7987804878048781,-0.3110416666666668,,,8,176.9,664.87,3,78.5,197.36,1,1,8,24
9,9,00:09:52,17773,3,6,0,net shot,0.0,0,2.0,2,-1.0121951219512195,0.4511458333333333,,,7,128.8,400.64,8,159.3,640.19,1,1,8,24
9,10,00:09:53,17796,3,6,1,lob,0.0,1,1.0,9,0.8926829268292682,-1.3744270833333332,,,2,99.9,586.54,8,162.9,325.73,1,1,8,24
9,11,00:09:54,17825,3,6,0,drop,1.0,0,2.0,7,0.926829268292683,0.5555208333333331,,,8,181.5,236.0,8,188.3,673.89,1,1,8,24
9,12,00:09:54,17849,3,6,1,lob,0.0,0,1.0,4,1.2439024390243902,-1.4048958333333337,,,8,238.8,602.57,8,199.7,248.75,1,1,8,24
9,13,00:09:55,17875,3,6,0,clear,1.0,0,1.0,3,1.145121951219512,1.658489583333333,,,8,233.1,263.67,8,234.5,661.59,1,1,8,24
9,14,00:09:57,17920,3,6,1,clear,0.0,0,1.0,5,-1.0719512195121952,-1.3065625,,,9,245.5,793.02,8,180.2,243.84,1,1,8,24
9,15,00:09:58,17962,3,6,0,drop,0.0,0,2.0,5,1.267073170731707,0.7308854166666668,,,3,94.7,183.38,8,176.4,672.44,1,1,8,24
9,16,00:09:59,17987,3,6,1,lob,0.0,0,1.0,6,1.4121951219512197,-1.321302083333333,,,8,242.7,604.21,8,159.3,223.13,1,1,8,24
9,17,00:10:00,18014,3,6,0,drop,1.0,0,2.0,1,1.4804878048780483,0.5900520833333331,,,8,232.3,232.7,8,217.5,647.76,1,1,8,24
9,18,00:10:01,18039,3,6,1,lob,0.0,0,1.0,6,1.1365853658536584,-1.2503125,,,5,281.8,622.04,8,222.1,214.27,1,1,8,24
9,19,00:10:02,18073,3,6,0,drop,1.0,0,2.0,1,1.3670731707317076,0.3124479166666667,,,8,245.1,229.9,8,222.4,660.11,1,1,8,24
9,20,00:10:03,18106,3,6,1,net shot,0.0,0,2.0,2,1.2475609756097563,-0.0380208333333333,,,1,275.0,563.06,8,217.7,256.23,1,1,8,24
9,21,00:10:04,18134,3,6,0,lob,0.0,1,1.0,9,-0.4268292682926829,1.6986979166666665,,,2,260.0,399.35,8,224.3,610.91,1,1,8,24
9,22,00:10:06,18198,3,6,1,smash,0.0,0,2.0,8,-0.0439024390243901,-0.88640625,,,9,140.2,786.87,8,156.0,284.7,1,1,8,24
9,23,00:10:07,18210,3,6,0,defensive shot,0.0,1,2.0,6,-1.0317073170731708,0.7360416666666669,,,8,150.0,301.94,9,142.5,770.24,1,1,8,24
9,24,00:10:07,18238,3,6,1,lob,0.0,1,2.0,10,-1.6390243902439026,-1.545625,out,0.0,8,118.5,608.17,8,157.1,267.18,1,1,8,24
11,1,00:10:58,19747,5,6,0,short service,0.0,1,2.0,1,1.3353658536585369,0.6259895833333337,,,8,174.3,341.99,8,238.5,669.18,1,1,10,10
11,2,00:10:59,19771,5,6,1,net shot,0.0,0,2.0,2,1.2646341463414632,-0.1872916666666665,,,7,242.8,592.5,8,192.6,313.49,1,1,10,10
11,3,00:10:59,19798,5,6,0,lob,0.0,1,1.0,3,1.2365853658536583,1.6847395833333334,,,7,247.3,375.3,8,211.4,606.03,1,1,10,10
11,4,00:11:01,19835,5,6,1,smash,0.0,0,2.0,8,0.1304878048780486,-1.0558333333333334,,,9,233.1,767.49,8,189.2,289.23,1,1,10,10
11,5,00:11:01,19845,5,6,0,defensive shot,0.0,1,2.0,7,-0.5963414634146342,0.5773437500000002,,,8,172.6,269.5,3,259.2,785.45,1,1,10,10
11,6,00:11:02,19883,5,6,1,lob,0.0,1,1.0,9,0.4158536585365853,-1.44265625,,,7,138.9,579.5,8,153.8,316.34,1,1,10,10
11,7,00:11:04,19927,5,6,0,smash,0.0,0,2.0,6,-1.1634146341463416,1.1415624999999998,,,9,212.4,189.96,8,200.8,672.34,1,1,10,10
11,8,00:11:04,19942,5,6,1,defensive shot,0.0,1,2.0,7,-0.0658536585365854,-0.1390624999999999,,,8,204.5,661.71,9,194.6,203.87,1,1,10,10
11,9,00:11:05,19969,5,6,0,net shot,0.0,0,2.0,7,0.2439024390243902,0.1793749999999999,,,7,160.8,371.74,6,101.9,627.75,1,1,10,10
11,10,00:11:06,19998,5,6,1,net shot,0.0,0,2.0,7,0.274390243902439,0.0789062499999998,touched the net,0.0,7,179.1,542.32,8,175.5,341.97,1,1,10,10
12,1,00:11:33,20819,5,7,0,short service,0.0,1,2.0,7,-0.7036585365853659,0.4962499999999998,,,8,185.3,308.77,8,124.6,672.64,1,1,11,13
12,2,00:11:34,20839,5,7,1,net shot,0.0,1,2.0,2,1.2695121951219517,-0.22,,,7,133.6,570.91,8,172.0,299.24,1,1,11,13
12,3,00:11:35,20867,5,7,0,lob,0.0,1,1.0,9,-0.4841463414634145,1.6528645833333335,,,2,254.6,381.89,8,165.7,651.1,1,1,11,13
12,4,00:11:37,20916,5,7,1,smash,0.0,0,2.0,8,0.8134146341463413,-0.955,,,9,142.2,775.4,8,151.5,269.77,1,1,11,13
12,5,00:11:37,20930,5,7,0,defensive shot,0.0,1,2.0,5,1.253658536585366,0.7736979166666664,,,8,147.1,259.69,9,139.7,784.34,1,1,11,13
12,6,00:11:38,20960,5,7,1,net shot,0.0,0,2.0,2,1.3682926829268292,-0.1877083333333334,,,8,247.4,630.25,8,213.7,315.64,1,1,11,13
12,7,00:11:39,20989,5,7,0,net shot,0.0,1,2.0,1,1.3926829268292682,0.1756770833333334,,,2,259.4,410.11,8,219.7,614.21,1,1,11,13
