rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:27:20,49204.0,1,0,A,1,發短球,,1.0,2.0,,,,2.0,7,718.0,479.0,,,,,8,627.0,365.0,8,740.0,538.0,0
1,2.0,00:27:21,49232.0,1,0,B,2,推球,,,2.0,7,718.0,479.0,2.0,4,789.0,321.0,,,,,8,660.0,511.0,8,620.0,362.0,0
1,3.0,00:27:22,49260.0,1,0,A,2,過度切球,,1.0,2.0,4,789.0,321.0,2.0,1,802.0,466.0,,,,,8,641.0,337.0,8,730.0,549.0,0
1,4.0,00:27:22,49285.0,1,0,B,3,推球,,,2.0,1,802.0,466.0,2.0,13,524.0,296.0,出界,對手出界,A,,7,716.0,493.0,8,661.0,370.0,0
2,1.0,00:27:37,49731.0,2,0,A,1,發短球,,1.0,2.0,,,,2.0,7,602.0,490.0,,,,,8,653.0,365.0,8,560.0,557.0,0
2,2.0,00:27:38,49754.0,2,0,B,2,推球,,,2.0,7,602.0,490.0,1.0,3,514.0,313.0,,,,,7,563.0,508.0,8,629.0,364.0,0
2,3.0,00:27:40,49801.0,2,0,A,2,殺球,,,1.0,3,514.0,313.0,2.0,8,501.0,520.0,,,,,9,552.0,322.0,8,651.0,561.0,0
2,4.0,00:27:40,49811.0,2,0,B,2,防守回挑,,1.0,2.0,8,501.0,520.0,1.0,9,550.0,318.0,,,,,8,582.0,548.0,8,589.0,356.0,0
2,5.0,00:27:41,49839.0,2,0,A,2,切球,,,1.0,9,550.0,318.0,2.0,2,492.0,479.0,,,,,8,578.0,330.0,8,625.0,550.0,0
2,6.0,00:27:42,49861.0,2,0,B,2,挑球,,1.0,2.0,2,492.0,479.0,1.0,9,737.0,314.0,,,,,7,531.0,506.0,8,607.0,338.0,0
2,7.0,00:27:43,49893.0,2,0,A,2,殺球,,,1.0,9,737.0,314.0,2.0,5,869.0,526.0,,,,,8,668.0,324.0,8,628.0,547.0,0
2,8.0,00:27:43,49912.0,2,0,B,2,防守回挑,,,2.0,5,869.0,526.0,1.0,4,825.0,314.0,,,,,8,789.0,548.0,8,675.0,331.0,0
2,9.0,00:27:44,49946.0,2,0,A,2,切球,1.0,,1.0,4,825.0,314.0,2.0,1,857.0,470.0,,,,,9,690.0,313.0,8,718.0,561.0,0
2,10.0,00:27:45,49977.0,2,0,B,2,放小球,,,2.0,1,857.0,470.0,2.0,2,838.0,409.0,,,,,1,800.0,491.0,8,686.0,349.0,0
2,11.0,00:27:46,50001.0,2,0,A,2,放小球,,1.0,2.0,2,838.0,409.0,2.0,1,822.0,464.0,,,,,2,782.0,397.0,7,745.0,503.0,0
2,12.0,00:27:47,50031.0,2,0,B,2,推球,,,2.0,1,822.0,464.0,1.0,4,806.0,311.0,,,,,1,806.0,474.0,8,705.0,389.0,0
