rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:33:31,60352.0,0,1,A,1,發短球,,1.0,2.0,,,,2.0,7,577.0,392.0,,,,,8,652.0,535.0,8,573.0,347.0,0
1,2.0,00:33:32,60378.0,0,1,B,2,放小球,,1.0,2.0,7,577.0,392.0,2.0,2,472.0,475.0,,,,,8,560.0,380.0,8,650.0,522.0,0
1,3.0,00:33:33,60403.0,0,1,A,2,推球,,1.0,2.0,2,472.0,475.0,1.0,3,480.0,313.0,,,,,7,526.0,474.0,8,597.0,366.0,0
1,4.0,00:33:34,60427.0,0,1,B,2,後場抽平球,,,1.0,3,480.0,313.0,1.0,6,438.0,542.0,,,,,8,543.0,326.0,8,578.0,507.0,0
1,5.0,00:33:34,60443.0,0,1,A,2,切球,,1.0,1.0,6,438.0,542.0,2.0,5,501.0,383.0,,,,,8,584.0,527.0,8,565.0,342.0,0
1,6.0,00:33:35,60462.0,0,1,B,2,放小球,,,2.0,5,501.0,383.0,2.0,2,455.0,455.0,,,,,8,536.0,375.0,8,595.0,538.0,0
1,7.0,00:33:36,60494.0,0,1,A,2,挑球,,1.0,2.0,2,455.0,455.0,1.0,3,514.0,316.0,,,,,2,487.0,501.0,8,585.0,371.0,0
1,8.0,00:33:37,60534.0,0,1,B,2,切球,,,1.0,3,514.0,316.0,2.0,1,788.0,501.0,,,,,9,539.0,322.0,8,599.0,523.0,0
1,9.0,00:33:38,60560.0,0,1,A,2,放小球,,,2.0,1,788.0,501.0,2.0,6,779.0,383.0,,,,,8,730.0,524.0,8,617.0,343.0,0
1,10.0,00:33:39,60586.0,0,1,B,2,推球,,1.0,2.0,6,779.0,383.0,1.0,8,495.0,611.0,,,,,7,711.0,392.0,8,713.0,522.0,0
1,11.0,00:33:40,60613.0,0,1,A,3,切球,1.0,,1.0,8,495.0,611.0,2.0,11,867.0,341.0,出界,對手出界,B,,8,619.0,566.0,8,620.0,373.0,0
2,1.0,00:34:00,61209.0,1,1,A,1,未知球種,,,2.0,,,,2.0,,,,,,,1,,,,,,,0
2,2.0,00:34:02,61283.0,1,1,B,2,擋小球,,,2.0,,,,2.0,7,500.0,490.0,,,,,8,567.0,359.0,8,627.0,560.0,0
2,3.0,00:34:03,61310.0,1,1,A,2,推球,,1.0,2.0,7,500.0,490.0,2.0,3,455.0,309.0,,,,,8,532.0,515.0,8,593.0,357.0,0
2,4.0,00:34:05,61350.0,1,1,B,2,長球,,,2.0,3,455.0,309.0,1.0,5,851.0,600.0,,,,,5,505.0,327.0,8,609.0,543.0,0
2,5.0,00:34:06,61382.0,1,1,A,2,長球,,,1.0,5,851.0,600.0,1.0,4,802.0,314.0,,,,,8,758.0,593.0,8,630.0,341.0,0
2,6.0,00:34:07,61419.0,1,1,B,3,殺球,,,1.0,4,802.0,314.0,2.0,15,970.0,606.0,出界,對手出界,A,,9,729.0,316.0,8,743.0,564.0,0
3,1.0,00:34:33,62214.0,1,2,A,1,發短球,,1.0,2.0,,,,2.0,7,758.0,404.0,,,,,8,622.0,528.0,8,735.0,344.0,0
3,2.0,00:34:34,62232.0,1,2,B,2,放小球,,,2.0,7,758.0,404.0,2.0,1,810.0,458.0,,,,,8,741.0,381.0,8,661.0,517.0,0
3,3.0,00:34:35,62264.0,1,2,A,2,挑球,,,2.0,1,810.0,458.0,1.0,8,715.0,349.0,,,,,7,767.0,471.0,8,701.0,380.0,0
3,4.0,00:34:37,62318.0,1,2,B,2,殺球,,,1.0,8,715.0,349.0,2.0,8,769.0,544.0,,,,,8,711.0,348.0,8,706.0,563.0,0
3,5.0,00:34:37,62333.0,1,2,A,3,擋小球,,,2.0,8,769.0,544.0,2.0,7,693.0,457.0,未過網,對手未過網,B,,8,746.0,559.0,8,700.0,359.0,0
4,1.0,00:35:08,63244.0,2,2,B,1,發短球,,,2.0,,,,2.0,7,723.0,490.0,,,,,8,611.0,347.0,8,724.0,580.0,0
4,2.0,00:35:09,63272.0,2,2,A,2,放小球,,1.0,2.0,7,723.0,490.0,2.0,7,555.0,394.0,,,,,7,737.0,505.0,8,628.0,353.0,0
4,3.0,00:35:10,63304.0,2,2,B,3,放小球,,,2.0,7,555.0,394.0,2.0,7,539.0,434.0,掛網,對手掛網,A,,7,570.0,396.0,7,629.0,500.0,0
5,1.0,00:35:25,63766.0,3,2,A,1,未知球種,,,2.0,,,,2.0,,,,,,,1,,,,,,,0
5,2.0,00:35:29,63875.0,3,2,B,2,挑球,,1.0,2.0,,,,1.0,3,852.0,636.0,,,,,7,745.0,397.0,7,724.0,500.0,0
5,3.0,00:35:32,63978.0,3,2,A,2,點扣,,,1.0,3,852.0,636.0,2.0,6,817.0,351.0,,,,,9,793.0,631.0,8,660.0,359.0,0
5,4.0,00:35:33,64001.0,3,2,B,2,勾球,,1.0,2.0,6,817.0,351.0,2.0,2,488.0,472.0,,,,,8,648.0,352.0,8,731.0,570.0,0
5,5.0,00:35:34,64031.0,3,2,A,2,放小球,,1.0,2.0,2,488.0,472.0,2.0,1,473.0,415.0,,,,,7,515.0,483.0,8,664.0,353.0,0
5,6.0,00:35:35,64059.0,3,2,B,3,勾球,,,2.0,1,473.0,415.0,2.0,7,633.0,426.0,掛網,對手掛網,A,,1,503.0,400.0,7,553.0,472.0,0
6,1.0,00:35:53,64600.0,4,2,A,1,未知球種,,,2.0,,,,2.0,,,,,,,1,,,,,,,0
6,2.0,00:35:54,64639.0,4,2,B,2,防守回挑,,,2.0,,,,1.0,6,444.0,594.0,,,,,8,538.0,359.0,9,728.0,615.0,0
6,3.0,00:35:55,64661.0,4,2,A,2,殺球,1.0,,1.0,6,444.0,594.0,2.0,5,468.0,345.0,,,,,8,555.0,571.0,8,561.0,355.0,0
6,4.0,00:35:55,64679.0,4,2,B,2,擋小球,,,2.0,5,468.0,345.0,2.0,2,441.0,472.0,,,,,8,524.0,356.0,8,500.0,578.0,0
6,5.0,00:35:56,64702.0,4,2,A,2,放小球,,1.0,2.0,2,441.0,472.0,2.0,1,444.0,401.0,,,,,2,487.0,501.0,8,566.0,345.0,0
6,6.0,00:35:57,64736.0,4,2,B,2,挑球,,,2.0,1,444.0,401.0,1.0,9,494.0,619.0,,,,,1,498.0,390.0,8,531.0,512.0,0
6,7.0,00:35:59,64785.0,4,2,A,2,殺球,,,1.0,9,494.0,619.0,2.0,8,540.0,346.0,,,,,9,489.0,619.0,8,583.0,362.0,0
6,8.0,00:36:00,64800.0,4,2,B,3,勾球,,,2.0,8,540.0,346.0,2.0,7,732.0,423.0,掛網,對手掛網,A,,8,581.0,349.0,8,527.0,589.0,0
7,1.0,00:36:21,65443.0,5,2,A,1,發短球,,1.0,2.0,,,,2.0,7,590.0,388.0,,,,,8,649.0,528.0,8,574.0,349.0,0
7,2.0,00:36:22,65467.0,5,2,B,2,推球,,,2.0,7,590.0,388.0,1.0,5,892.0,611.0,,,,,8,612.0,379.0,8,648.0,526.0,0
7,3.0,00:36:23,65507.0,5,2,A,2,殺球,,,1.0,5,892.0,611.0,2.0,6,816.0,358.0,,,,,3,832.0,622.0,8,649.0,347.0,0
7,4.0,00:36:24,65524.0,5,2,B,3,勾球,,1.0,2.0,6,816.0,358.0,2.0,7,591.0,415.0,掛網,對手掛網,A,,8,664.0,352.0,8,766.0,570.0,0
8,1.0,00:36:48,66268.0,5,3,A,1,未知球種,,,2.0,,,,2.0,,,,,,,1,,,,,,,0
8,2.0,00:36:53,66415.0,5,3,B,2,挑球,,,2.0,,,,1.0,5,855.0,578.0,,,,,5,502.0,372.0,8,507.0,551.0,0
8,3.0,00:36:54,66444.0,5,3,A,3,殺球,,,1.0,5,855.0,578.0,2.0,11,856.0,324.0,出界,對手出界,B,,8,740.0,581.0,8,600.0,338.0,0
9,1.0,00:37:17,67123.0,5,4,B,1,發長球,,,2.0,,,,1.0,9,593.0,643.0,,,,,8,638.0,370.0,8,536.0,587.0,0
9,2.0,00:37:19,67180.0,5,4,A,2,殺球,,,1.0,9,593.0,643.0,2.0,8,671.0,352.0,,,,,9,583.0,638.0,8,620.0,364.0,0
9,3.0,00:37:20,67200.0,5,4,B,2,擋小球,,1.0,2.0,8,671.0,352.0,2.0,2,468.0,485.0,,,,,8,601.0,363.0,8,644.0,581.0,0
9,4.0,00:37:20,67227.0,5,4,A,2,挑球,,1.0,2.0,2,468.0,485.0,1.0,4,756.0,314.0,,,,,2,485.0,504.0,8,611.0,353.0,0
9,5.0,00:37:21,67259.0,5,4,B,2,長球,1.0,,1.0,4,756.0,314.0,1.0,3,902.0,619.0,,,,,8,664.0,330.0,8,630.0,545.0,0
9,6.0,00:37:23,67299.0,5,4,A,2,殺球,,,1.0,3,902.0,619.0,2.0,8,523.0,380.0,,,,,5,865.0,599.0,8,682.0,351.0,0
9,7.0,00:37:24,67321.0,5,4,B,2,放小球,,,2.0,8,523.0,380.0,2.0,2,413.0,483.0,,,,,8,563.0,372.0,5,873.0,599.0,0
9,8.0,00:37:25,67353.0,5,4,A,3,放小球,,1.0,2.0,2,413.0,483.0,2.0,2,406.0,486.0,未過網,對手未過網,B,,6,477.0,509.0,8,599.0,363.0,0
10,1.0,00:37:47,68019.0,5,5,A,1,未知球種,,,2.0,,,,2.0,,,,,,,1,,,,,,,0
10,2.0,00:37:49,68099.0,5,5,B,2,防守回挑,,1.0,2.0,,,,1.0,5,872.0,604.0,,,,,8,628.0,348.0,5,830.0,606.0,0
10,3.0,00:37:50,68128.0,5,5,A,2,點扣,,,1.0,5,872.0,604.0,2.0,6,802.0,358.0,,,,,8,793.0,574.0,8,668.0,373.0,0
10,4.0,00:37:51,68146.0,5,5,B,2,勾球,,1.0,2.0,6,802.0,358.0,2.0,7,512.0,482.0,,,,,8,645.0,350.0,5,810.0,589.0,0
10,5.0,00:37:52,68175.0,5,5,A,2,推球,,1.0,2.0,7,512.0,482.0,1.0,6,758.0,327.0,,,,,7,542.0,502.0,8,651.0,342.0,0
10,6.0,00:37:52,68186.0,5,5,B,2,擋小球,,1.0,1.0,6,758.0,327.0,2.0,1,811.0,480.0,,,,,8,611.0,363.0,7,577.0,481.0,0
10,7.0,00:37:53,68210.0,5,5,A,2,放小球,,,2.0,1,811.0,480.0,2.0,2,813.0,393.0,,,,,7,776.0,497.0,8,629.0,352.0,0
10,8.0,00:37:54,68236.0,5,5,B,2,挑球,,1.0,2.0,2,813.0,393.0,1.0,9,783.0,649.0,,,,,8,748.0,387.0,8,727.0,507.0,0
10,9.0,00:37:56,68299.0,5,5,A,2,切球,,,1.0,9,783.0,649.0,2.0,5,470.0,384.0,,,,,9,743.0,640.0,8,634.0,350.0,0
10,10.0,00:37:57,68328.0,5,5,B,2,放小球,,,2.0,5,470.0,384.0,2.0,2,422.0,458.0,,,,,5,496.0,385.0,8,629.0,548.0,0
10,11.0,00:37:58,68351.0,5,5,A,3,挑球,,1.0,2.0,2,422.0,458.0,2.0,13,553.0,299.0,出界,對手出界,B,,2,481.0,482.0,8,523.0,377.0,0
11,1.0,00:38:44,69747.0,6,5,A,1,未知球種,,,2.0,,,,2.0,,,,,,,1,,,,,,,0
11,2.0,00:38:56,70089.0,6,5,B,2,勾球,,1.0,2.0,,,,2.0,2,481.0,468.0,,,,,6,783.0,375.0,8,706.0,542.0,0
11,3.0,00:38:57,70129.0,6,5,A,2,放小球,,1.0,2.0,2,481.0,468.0,2.0,1,460.0,409.0,,,,,7,522.0,489.0,8,678.0,367.0,0
11,4.0,00:38:58,70160.0,6,5,B,2,挑球,,,2.0,1,460.0,409.0,1.0,9,530.0,636.0,,,,,1,509.0,414.0,7,556.0,480.0,0
11,5.0,00:39:00,70218.0,6,5,A,2,殺球,,,1.0,9,530.0,636.0,2.0,5,502.0,352.0,,,,,9,525.0,632.0,8,605.0,362.0,0
11,6.0,00:39:01,70245.0,6,5,B,2,防守回抽,,,2.0,5,502.0,352.0,1.0,6,423.0,576.0,,,,,8,542.0,362.0,8,625.0,568.0,0
11,7.0,00:39:02,70261.0,6,5,A,2,切球,,1.0,1.0,6,423.0,576.0,2.0,5,465.0,388.0,,,,,8,500.0,532.0,8,557.0,366.0,0
