rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:35:05,52627.0,1,0,A,1,發短球,,1.0,2.0,,,,2.0,7,687.0,456.0,,,,,8,627.0,335.0,8,705.0,540.0,0
1,2.0,00:35:05,52645.0,1,0,B,2,勾球,,,2.0,7,687.0,456.0,2.0,1,513.0,350.0,,,,,8,658.0,478.0,8,632.0,329.0,0
1,3.0,00:35:06,52665.0,1,0,A,2,放小球,,,2.0,1,513.0,350.0,2.0,1,489.0,424.0,,,,,7,576.0,350.0,8,643.0,494.0,0
1,4.0,00:35:07,52685.0,1,0,B,2,推球,,1.0,2.0,1,489.0,424.0,1.0,8,662.0,295.0,,,,,7,536.0,448.0,8,588.0,331.0,0
1,5.0,00:35:07,52697.0,1,0,A,2,點扣,1.0,,1.0,8,662.0,295.0,2.0,7,626.0,465.0,,,,,8,587.0,325.0,7,567.0,464.0,0
1,6.0,00:35:08,52705.0,1,0,B,3,推球,,,2.0,7,626.0,465.0,2.0,13,747.0,242.0,出界,對手出界,A,,8,627.0,509.0,8,611.0,278.0,0
2,1.0,00:35:25,53142.0,1,1,A,1,發短球,,1.0,2.0,,,,2.0,7,613.0,441.0,,,,,8,646.0,330.0,8,530.0,545.0,0
2,2.0,00:35:26,53160.0,1,1,B,2,放小球,,,2.0,7,613.0,441.0,2.0,1,521.0,351.0,,,,,8,566.0,487.0,8,613.0,319.0,0
2,3.0,00:35:27,53183.0,1,1,A,2,放小球,,,2.0,1,521.0,351.0,2.0,1,445.0,457.0,,,,,8,560.0,334.0,8,631.0,498.0,0
2,4.0,00:35:28,53206.0,1,1,B,2,放小球,,1.0,2.0,1,445.0,457.0,2.0,1,441.0,368.0,,,,,1,503.0,451.0,8,577.0,325.0,0
2,5.0,00:35:29,53228.0,1,1,A,2,挑球,,,2.0,1,441.0,368.0,1.0,3,470.0,636.0,,,,,1,502.0,356.0,7,541.0,471.0,0
2,6.0,00:35:30,53258.0,1,1,B,2,長球,1.0,,1.0,3,470.0,636.0,1.0,9,733.0,257.0,,,,,9,488.0,609.0,8,560.0,323.0,0
2,7.0,00:35:31,53294.0,1,1,A,2,切球,1.0,,1.0,9,733.0,257.0,2.0,2,865.0,468.0,,,,,9,670.0,267.0,8,666.0,539.0,0
2,8.0,00:35:32,53309.0,1,1,B,2,放小球,,,2.0,2,865.0,468.0,2.0,2,796.0,351.0,,,,,8,787.0,510.0,9,681.0,268.0,0
2,9.0,00:35:33,53329.0,1,1,A,2,放小球,,1.0,2.0,2,796.0,351.0,2.0,7,660.0,435.0,,,,,8,745.0,338.0,8,758.0,528.0,0
2,10.0,00:35:33,53348.0,1,1,B,2,挑球,,,2.0,7,660.0,435.0,1.0,9,564.0,260.0,,,,,7,632.0,474.0,8,665.0,318.0,0
2,11.0,00:35:35,53375.0,1,1,A,3,點扣,,,1.0,9,564.0,260.0,2.0,1,476.0,401.0,掛網,對手掛網,B,,9,617.0,270.0,8,649.0,530.0,0
3,1.0,00:35:56,53909.0,1,2,B,1,發短球,,1.0,2.0,,,,2.0,7,670.0,347.0,,,,,8,629.0,511.0,8,710.0,302.0,0
